PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,PLS1_6,PLS1_7,PLS1_8,PLS1_9,PLS1_10,PLS1_11,PLS1_12,PLS1_13,PLS1_14,PLS1_15,PLS1_16,PLS1_17,PLS1_18,PLS1_19,PLS1_20,PLS1_21,PLS1_22,PLS1_23,PLS1_24,PLS1_25,PLS1_26,PLS1_27,PLS1_28,PLS1_29,PLS1_30,PLS1_31,PLS1_32,PLS1_33,PLS1_34,PLS1_35,PLS1_36,PLS1_37,PLS1_38,PLS1_39,PLS1_40,PLS1_41,PLS1_42,PLS1_43,PLS1_44,PLS1_45,PLS1_46,PLS1_47,PLS1_48,PLS1_49,PLS1_50,PLS1_51,PLS1_52,PLS1_53,PLS1_54,PLS1_55,PLS1_56,PLS1_57,PLS1_58,PLS1_59,PLS1_60,PLS1_61,PLS1_62,PLS1_63,PLS1_64,PLS1_65,PLS1_66,PLS1_67,PLS1_68,PLS1_69,PLS1_70,PLS1_71,PLS1_72,PLS1_73,PLS1_74,PLS1_75,PLS1_76,PLS1_77,PLS1_78,PLS1_79,PLS1_80,PLS1_81,PLS1_82,PLS1_83,PLS1_84,PLS1_85,PLS1_86,PLS1_87,PLS1_88,PLS1_89,PLS1_90,PLS1_91,PLS1_92,PLS1_93,PLS1_94,PLS1_95,PLS1_96,PLS1_97,PLS1_98,PLS1_99,PLS1_100,Class
12.683373,12.176919,45.600414,-0.821758,-9.206717,-22.711789,5.918409,7.94859,20.765636,16.382771,-10.498609,-17.541743,-6.682839,-2.101914,1.129405,3.325197,8.071727,5.064362,-5.105461,-3.396227,1.062895,0.273905,-1.707335,-2.743188,1.478801,-0.80386,1.202704,0.354377,2.203905,-1.539982,-0.684275,-0.486471,3.91085,-1.886449,8.049805,-7.28712,1.140151,3.725662,-2.936436,-1.254945,4.934169,-6.685888,-5.976777,13.808742,6.465201,-5.59019,-0.187152,0.838817,10.399152,-7.921788,2.121257,-0.907552,0.183462,0.016471,-0.001038,0.000118,0.000074,0,0.000011,0.00001,-0.001036,-0.000067,0.001777,-0.005067,-0.009878,-0.002582,0.018544,-0.017307,-0.00492,-0.015449,-0.012587,-0.015542,0.015903,-0.006955,-0.022027,0.026189,0.020945,-0.0119,-0.004611,0.048475,0.01576,-0.012689,0.017235,-0.006193,0.026932,-0.042897,-0.028891,-0.016507,0.058258,0.019176,0.055576,-0.053985,0.041511,-0.012214,-0.043092,0.053657,-0.007344,-0.017942,0.008329,0.086647,F
7.780846,-16.616878,23.337317,21.615078,2.747634,-0.171554,-14.750416,-0.167022,-2.027146,-11.89154,5.499791,7.364914,-2.933397,-6.64633,11.399024,1.83023,-3.304131,-1.628744,2.491709,-2.908432,-8.64007,6.30471,1.285645,-0.899221,-4.93214,0.626958,6.177815,0.427469,-2.98786,-1.772648,-1.373903,2.824137,3.59446,-1.797415,0.203639,6.407409,-6.239455,-8.178619,9.58329,7.262861,-0.980846,-6.741253,-5.66524,13.438203,-4.250894,-0.078314,-0.22007,1.435845,-7.17173,6.174069,-0.304934,-0.062094,-0.141811,0.009822,0.0029,-0.00022,0.000019,0.000038,0.000058,0.000112,-0.022395,-0.001611,0.037701,-0.08823,-0.20348,-0.021653,0.34428,-0.340203,-0.064104,-0.251651,-0.270077,-0.276857,0.326108,-0.087954,-0.453965,0.518716,0.363498,-0.242721,-0.12863,0.902389,0.298005,-0.312584,0.375709,-0.066153,0.485799,-0.825216,-0.516224,-0.326365,1.113613,0.353341,1.025757,-1.091498,0.813464,-0.173833,-0.868301,1.096228,-0.103461,-0.315313,0.03528,1.630612,F
9.947918,21.758604,55.958258,-9.427264,-19.775161,0.057196,6.303384,-3.407479,17.023878,-10.496742,-7.442194,1.976853,8.407779,-15.839466,12.342626,8.495654,-7.30719,1.468082,5.219871,-5.071173,1.193244,-2.235423,3.67752,1.781041,-3.003552,-1.817304,-0.326291,1.799352,-1.422635,1.148268,0.117531,3.16609,-3.03978,0.823342,0.290908,4.321067,1.857583,-2.214459,4.962596,-4.6358,-2.484173,1.200475,-0.761374,0.878226,5.779292,-8.625761,6.835961,0.557698,2.519515,-4.071165,2.534232,-0.011145,0.059506,-0.024064,-0.002977,0.001212,-0.00024,0.000039,0.000043,0.000091,-0.019569,-0.001111,0.032707,-0.078888,-0.180998,-0.015577,0.302223,-0.299665,-0.053556,-0.214124,-0.243167,-0.23512,0.28016,-0.074993,-0.405003,0.461061,0.308767,-0.211982,-0.11618,0.799287,0.267375,-0.284896,0.331361,-0.053245,0.425664,-0.720448,-0.467657,-0.291178,0.983789,0.313639,0.915551,-0.975226,0.700477,-0.146262,-0.780988,0.976635,-0.095493,-0.274496,0.037658,1.450314,F
7.068706,21.519584,28.826238,-2.881397,0.588706,-0.375073,0.940627,-9.239862,-8.919182,-11.889568,4.653856,-17.171351,15.037415,18.664604,0.478415,-10.366726,0.410293,-6.860651,-3.947414,1.540438,3.443552,3.429516,1.743916,0.173823,-3.987617,0.752859,0.787239,-0.470451,-0.301643,-1.609147,3.103156,3.001505,-0.461098,-0.10218,9.505422,8.390822,4.152761,-3.474465,-1.736807,1.603777,8.109267,-0.890822,-9.039018,-3.008301,7.648953,-1.402377,1.979649,-11.448011,3.760467,0.912667,0.035506,0.447035,-0.012316,-0.003013,0.002255,0.000061,-0.000024,-0.000086,-0.000086,-0.000161,0.032493,0.001865,-0.054148,0.128447,0.298524,0.02431,-0.496517,0.493297,0.085889,0.351366,0.402165,0.386993,-0.46527,0.12118,0.667116,-0.760498,-0.508873,0.350909,0.195463,-1.312991,-0.439231,0.469416,-0.549483,0.087086,-0.698391,1.187353,0.765844,0.479732,-1.616122,-0.516767,-1.498178,1.605366,-1.157266,0.23964,1.282843,-1.607582,0.150724,0.448904,-0.050538,-2.381533,F
30.109372,-26.544106,-9.730735,-4.359711,2.357043,4.969299,6.981787,3.12622,16.338716,15.336064,11.885627,-6.459414,-2.065331,-3.807776,-4.348287,-12.47059,-6.841496,-8.063834,-1.898724,4.345045,-6.78169,2.451942,5.647514,-0.464825,3.380384,8.132295,0.780632,0.845464,-2.781693,-4.032455,-1.690676,-0.804894,-2.11206,2.586565,2.745131,-2.051154,-11.205069,-9.767222,-7.363569,-9.324716,-5.291386,0.073031,-0.775478,-0.477438,1.016429,-4.298793,-8.200084,-12.777302,1.495837,-4.207055,-1.309229,-0.274907,-0.127974,-0.021654,-0.003274,-0.000563,-0.000073,0.000008,0.000024,0.000053,-0.010659,-0.001311,0.020123,-0.043658,-0.092507,-0.024219,0.175777,-0.169919,-0.043191,-0.150664,-0.117407,-0.158238,0.170404,-0.055683,-0.208852,0.240553,0.206591,-0.122069,-0.048611,0.445295,0.134167,-0.121514,0.177772,-0.052416,0.254365,-0.428614,-0.224889,-0.156373,0.547536,0.171665,0.489302,-0.50144,0.426884,-0.102526,-0.394522,0.519194,-0.04693,-0.169341,0.027805,0.780843,F
4.983378,35.370785,4.544674,7.579638,-5.579072,0.959855,-6.217056,-12.350277,4.398526,-15.95615,3.572475,-9.236675,5.224101,-10.085873,1.389246,4.637613,-4.883805,-3.517423,-9.199229,-14.221663,-6.67635,-4.372095,-4.39675,4.303796,-0.471538,2.195396,3.2688,0.263034,-3.678804,-1.915295,-2.799138,-3.014164,0.694257,7.08321,7.21393,-9.87227,-4.130181,-4.828025,4.137743,4.487849,7.539945,1.065822,-10.575381,-9.599253,-3.396083,6.761176,8.888474,5.73519,-5.056436,-5.878481,-2.296823,0.184809,0.018922,-0.004465,0.001652,0.000279,-0.000071,-0.000074,-0.000101,-0.000192,0.039471,0.002348,-0.066525,0.157104,0.362998,0.031723,-0.6071,0.602624,0.106564,0.433026,0.48965,0.474054,-0.568045,0.150215,0.812431,-0.925856,-0.62348,0.428434,0.237059,-1.604957,-0.534866,0.567185,-0.669564,0.110409,-0.856157,1.453686,0.933721,0.586219,-1.973082,-0.630263,-1.827904,1.956675,-1.41342,0.291205,1.565634,-1.962357,0.183593,0.549279,-0.066192,-2.90444,F
-2.17607,33.710622,25.476886,-2.978947,5.288282,8.693161,6.529152,-10.516121,-6.927268,-7.319127,2.732744,-14.061898,10.544726,15.554043,1.036909,-0.312273,6.915133,-7.660782,-6.946629,2.282005,7.035698,-0.692883,-4.81303,2.591872,1.329899,4.105521,-3.456355,-0.952196,-0.057956,-0.208386,0.063341,2.270502,-1.308532,-0.824708,6.780888,-2.550476,-5.790823,-0.773911,6.569369,-1.250431,5.636421,-8.566033,0.808803,12.998368,-0.070333,-15.149191,-7.159814,4.413021,-1.033309,1.484744,-2.837764,0.47597,-0.006025,-0.015053,0.002149,-0.000771,0.000063,0.000033,0.000019,0.000048,-0.011377,-0.00038,0.018123,-0.046352,-0.109012,-0.002308,0.172545,-0.172732,-0.025285,-0.110592,-0.150345,-0.124026,0.156035,-0.038058,-0.243098,0.27467,0.163953,-0.121022,-0.073644,0.465966,0.161432,-0.183525,0.195819,-0.021333,0.23985,-0.406853,-0.288919,-0.172889,0.572531,0.183679,0.543985,-0.586946,0.38969,-0.073876,-0.473527,0.579036,-0.058721,-0.15108,0.021562,0.858003,F
-7.073483,54.064032,51.220542,-7.998905,-5.650999,1.886136,-4.622669,8.554762,-3.392277,4.984688,-5.983044,-7.892569,19.491012,5.716103,-20.59525,2.66546,6.855369,1.752293,2.200934,-2.894815,-13.595592,12.409413,-4.321336,-0.142617,4.685064,-6.995874,1.538979,3.63059,-3.105475,0.790431,0.10161,0.194689,0.926714,1.207651,0.151533,13.875187,-21.075928,11.189205,-4.410056,7.203624,-8.718104,3.393777,4.286644,-9.801404,6.060305,1.19758,-5.482936,0.822083,-0.068706,1.862998,-0.503185,0.181124,-0.026008,-0.002494,-0.000313,0.000039,-0.000004,0.000004,0.000004,0.000003,-0.000314,0.000368,-0.001638,-0.000826,-0.007549,0.010287,-0.002913,0.000947,0.008208,0.021232,-0.014202,0.016789,-0.008236,0.00816,-0.014055,0.014874,-0.019345,0.001962,-0.010925,0.007775,0.011951,-0.029573,0.007361,0.016037,-0.011635,0.017113,-0.032515,-0.004819,0.008077,0.005061,0.025476,-0.03809,-0.020146,0.007579,-0.0308,0.020569,-0.00853,0.008979,-0.001477,0.034234,F
21.722958,-22.391435,38.754761,-0.681846,-14.372725,9.561102,3.695672,-14.315505,9.145466,-23.136878,6.831784,10.400052,17.898091,-18.40435,-0.119813,6.636263,-16.543854,-4.985778,4.202929,3.011338,14.925356,0.354494,-3.753703,-3.515046,2.061531,-1.203529,-1.51321,1.96322,3.867386,0.493261,-0.813145,0.748663,0.000218,-1.380635,5.628609,4.274802,-2.628477,-0.92746,-1.316661,1.172667,3.731539,-2.856651,5.087917,-9.406807,-2.600675,9.674242,0.435051,3.190281,1.688672,1.086532,-1.574434,-0.609411,0.065528,0.015938,-0.00417,-0.000518,0.000146,-0.000008,0.000009,0.000028,-0.006228,-0.000794,0.012628,-0.026532,-0.053356,-0.016863,0.106271,-0.103187,-0.028078,-0.095898,-0.066792,-0.098124,0.102945,-0.034977,-0.122635,0.140879,0.12624,-0.073833,-0.026601,0.265477,0.078651,-0.066432,0.104451,-0.03522,0.156167,-0.262633,-0.125519,-0.094157,0.327342,0.101569,0.288212,-0.290677,0.258232,-0.06069,-0.232692,0.310049,-0.025629,-0.104027,0.020001,0.460874,F
6.426742,7.611153,-1.172155,9.958034,0.256085,9.78824,8.157548,4.328199,5.69676,-9.490997,2.310886,4.05888,-8.734625,-20.985408,-1.243386,3.896974,5.176275,13.932687,16.933591,10.029224,6.188908,-5.076343,-0.717274,0.935035,-1.544293,0.692689,0.023673,0.965137,2.250736,-2.279941,-0.338116,-2.441548,0.317773,2.063624,7.069082,13.199098,-2.861088,-1.586358,-5.057882,-1.695403,1.555221,5.267083,7.411244,7.148046,4.082654,-4.543138,-13.973626,-11.99629,1.82781,-1.769344,0.091706,1.038287,0.036233,0.000816,0.004262,0.000714,0.000078,-0.000058,-0.000097,-0.000164,0.031596,0.001708,-0.051777,0.124942,0.292379,0.019688,-0.480006,0.477304,0.080476,0.332886,0.394693,0.369467,-0.448236,0.115533,0.651032,-0.742524,-0.487249,0.338725,0.191909,-1.272917,-0.430342,0.466121,-0.533359,0.078796,-0.674236,1.143511,0.752982,0.466296,-1.569171,-0.501024,-1.461459,1.568347,-1.116024,0.227902,1.253731,-1.563098,0.148986,0.430687,-0.048978,-2.31886,F
