PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,PLS1_6,PLS1_7,PLS1_8,PLS1_9,PLS1_10,Class
12.683382,12.176914,45.600419,-0.821759,-9.206716,-22.711785,5.918409,7.948593,20.765636,16.382768,F
7.780947,-16.616874,23.337453,21.615103,2.747653,-0.171479,-14.750434,-0.166981,-2.027158,-11.891598,F
9.948001,21.758617,55.958379,-9.427241,-19.775147,0.057263,6.303367,-3.407443,17.023867,-10.496794,F
7.068564,21.519573,28.82604,-2.881431,0.588682,-0.375184,0.940654,-9.239922,-8.919164,-11.889482,F
30.109427,-26.544109,-9.730666,-4.359696,2.357058,4.969333,6.981779,3.126237,16.338711,15.336037,F
4.983205,35.37077,4.544432,7.579595,-5.579102,0.959721,-6.217023,-12.35035,4.398548,-15.956046,F
-2.176028,33.710638,25.476957,-2.978934,5.288287,8.693202,6.52914,-10.516101,-6.927275,-7.319159,F
-7.073487,54.064037,51.22054,-7.998907,-5.651004,1.886139,-4.62267,8.554764,-3.392278,4.984686,F
21.72299,-22.391435,38.754804,-0.681835,-14.372715,9.561121,3.695667,-14.315496,9.145463,-23.136894,F
6.426599,7.611149,-1.172343,9.958005,0.256063,9.788133,8.157573,4.328137,5.696777,-9.490914,F
15.240077,-1.990049,9.055729,7.281111,-12.738628,12.02134,-3.37839,2.874397,5.015507,-8.358264,F
-3.047081,24.294817,-18.550951,20.208663,5.061478,4.433994,6.190206,13.23672,10.737393,8.724668,F
37.012638,-21.236985,2.639196,-4.265058,-0.991968,-16.843556,-4.398688,-2.920155,-9.945615,-7.917209,F
13.965435,-4.087501,10.894415,2.635656,6.53873,3.591186,-9.703197,-2.004016,16.798516,-1.451853,F
38.154797,-27.532865,1.122334,-2.142685,-3.623071,-10.531222,-9.225977,-13.993771,3.466176,6.200333,F
18.409151,1.697328,8.62396,-2.321047,3.974508,-2.336938,-0.090297,-11.857265,-3.319893,5.499031,F
14.736604,-17.567232,50.616437,-23.153798,29.600522,11.230149,-33.091545,5.941121,23.422503,-19.377765,F
5.979694,13.958646,-9.705882,9.404354,8.222853,6.397651,4.383926,-8.898387,7.269269,3.316362,F
12.234132,6.286004,-8.994013,7.986269,7.12091,3.505115,-3.578434,-5.099518,-11.090218,1.794327,F
58.318722,-72.552238,21.194945,-32.586655,-4.766261,13.983306,2.488331,-2.245235,-16.761223,20.860338,F
26.073643,10.915141,-38.165696,-5.086012,3.445012,8.800873,-15.003646,9.123114,-5.921081,4.635854,F
-0.527818,32.745996,5.683243,16.306261,-3.772057,-1.68995,-6.168784,-1.755567,-6.329857,9.369584,F
4.163727,41.832876,1.964989,3.161608,-7.29107,3.909914,-4.74294,-0.834195,6.662748,-5.489025,F
24.362943,-8.278913,8.443997,-14.885433,5.367038,6.683255,6.241719,-0.427718,1.822022,7.445985,F
2.12587,7.036126,5.079471,21.155668,3.199379,1.337404,-2.267918,-1.79854,-6.120642,0.31497,F
13.078585,0.137612,5.448922,8.624887,7.400959,-8.544002,3.890994,-8.014416,-6.487491,4.449204,F
-7.595186,74.327675,30.069461,-12.225359,0.156146,-1.611153,-3.757274,7.635385,-3.121624,-10.082295,F
-20.063513,-25.280701,13.501858,-2.721815,-22.666959,-1.583891,-0.903989,-0.375838,0.453354,9.163439,T
-8.536136,-20.481278,-48.169899,-2.179751,-16.304543,1.858549,-12.950795,6.058119,0.739843,3.269827,T
-34.552162,-55.278135,8.238085,21.55036,12.029046,-6.59147,-4.197021,5.396666,-3.644675,-15.208998,T
-22.778099,-10.845841,-4.62843,-11.737964,-14.075982,-0.302863,19.962733,12.497388,5.363057,-11.335027,T
-22.702019,-17.34095,22.766712,-6.416385,-18.293569,-14.193391,7.589279,11.013681,2.342139,-7.866929,T
-47.983526,-20.529942,52.197239,11.471045,-11.16999,12.831907,-6.366477,-15.137725,-8.019818,22.274984,T
-25.91864,-15.315709,1.519373,-16.367498,0.469771,2.230206,14.081962,12.145754,-0.173874,2.863602,T
-21.4191,28.431654,-20.122636,-23.304703,-7.182469,-9.009382,-10.861078,4.642235,1.56917,5.678036,T
-38.38298,-52.6747,20.398132,25.579574,7.782026,-8.562126,-0.375808,-18.974211,13.302749,17.63478,T
-36.498252,-33.41308,11.061277,16.896674,-10.548335,13.583282,-11.98775,1.027685,-4.924513,3.584563,T
-24.972343,-4.483686,1.530471,-7.420521,-23.741104,15.211413,-19.210834,9.560644,-3.148502,15.219345,T
2.414633,36.500998,12.245099,6.237354,-5.542524,-7.651972,15.244635,-3.670874,-6.589476,7.307992,F
-4.417479,37.729698,9.150982,0.583146,27.252369,-6.871727,-8.953465,3.009139,-15.16768,-2.295553,F
24.824986,3.63356,-31.007385,-1.255113,3.455456,5.153346,-0.162076,-7.433081,1.906589,2.037718,F
6.793627,1.137569,5.936827,18.076821,-1.841771,2.908227,-11.79379,22.589537,-9.647695,-3.897213,F
7.909361,19.281125,-25.554182,9.275327,3.469931,11.770008,-2.999418,12.30363,4.740384,3.991784,F
24.5051,11.702474,-18.917815,6.550045,-10.735919,-14.858875,8.526871,-4.648407,-0.110124,13.715903,F
18.084308,7.214349,-19.778118,8.646449,-4.120597,-6.184504,22.317054,6.531209,-23.298651,-11.990859,F
14.25297,13.09332,-25.628848,16.449234,1.064218,-8.374481,0.794374,-3.878597,-2.150527,5.187119,F
10.686646,5.848303,-28.80583,2.082937,15.552519,18.783273,8.302362,0.15863,-5.433537,-3.746375,F
39.089243,-32.950998,11.078684,-14.990265,-0.634882,-10.742676,6.831816,21.246229,4.817012,1.125284,F
