PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,PLS1_6,PLS1_7,PLS1_8,PLS1_9,PLS1_10,PLS1_11,PLS1_12,PLS1_13,PLS1_14,PLS1_15,PLS1_16,PLS1_17,PLS1_18,PLS1_19,PLS1_20,PLS1_21,PLS1_22,PLS1_23,PLS1_24,PLS1_25,PLS1_26,PLS1_27,PLS1_28,PLS1_29,PLS1_30,PLS1_31,PLS1_32,PLS1_33,PLS1_34,PLS1_35,PLS1_36,PLS1_37,PLS1_38,PLS1_39,PLS1_40,PLS1_41,PLS1_42,PLS1_43,PLS1_44,PLS1_45,PLS1_46,PLS1_47,PLS1_48,PLS1_49,PLS1_50,PLS1_51,PLS1_52,PLS1_53,PLS1_54,PLS1_55,PLS1_56,PLS1_57,PLS1_58,PLS1_59,PLS1_60,PLS1_61,PLS1_62,PLS1_63,PLS1_64,PLS1_65,PLS1_66,PLS1_67,PLS1_68,PLS1_69,PLS1_70,PLS1_71,PLS1_72,PLS1_73,PLS1_74,PLS1_75,PLS1_76,PLS1_77,PLS1_78,PLS1_79,PLS1_80,PLS1_81,PLS1_82,PLS1_83,PLS1_84,PLS1_85,PLS1_86,PLS1_87,PLS1_88,PLS1_89,PLS1_90,PLS1_91,PLS1_92,PLS1_93,PLS1_94,PLS1_95,PLS1_96,PLS1_97,PLS1_98,PLS1_99,PLS1_100,PLS1_101,PLS1_102,PLS1_103,PLS1_104,PLS1_105,PLS1_106,PLS1_107,PLS1_108,PLS1_109,PLS1_110,PLS1_111,PLS1_112,PLS1_113,PLS1_114,PLS1_115,PLS1_116,PLS1_117,PLS1_118,PLS1_119,PLS1_120,PLS1_121,PLS1_122,PLS1_123,PLS1_124,PLS1_125,PLS1_126,PLS1_127,PLS1_128,PLS1_129,PLS1_130,PLS1_131,PLS1_132,PLS1_133,PLS1_134,PLS1_135,PLS1_136,PLS1_137,PLS1_138,PLS1_139,PLS1_140,PLS1_141,PLS1_142,PLS1_143,PLS1_144,PLS1_145,PLS1_146,PLS1_147,PLS1_148,PLS1_149,PLS1_150,PLS1_151,PLS1_152,PLS1_153,PLS1_154,PLS1_155,PLS1_156,PLS1_157,PLS1_158,PLS1_159,PLS1_160,PLS1_161,PLS1_162,PLS1_163,PLS1_164,PLS1_165,PLS1_166,PLS1_167,PLS1_168,PLS1_169,PLS1_170,PLS1_171,PLS1_172,PLS1_173,PLS1_174,PLS1_175,PLS1_176,PLS1_177,PLS1_178,PLS1_179,PLS1_180,PLS1_181,PLS1_182,PLS1_183,PLS1_184,PLS1_185,PLS1_186,PLS1_187,PLS1_188,PLS1_189,PLS1_190,PLS1_191,PLS1_192,PLS1_193,PLS1_194,PLS1_195,PLS1_196,PLS1_197,PLS1_198,PLS1_199,PLS1_200,Class
12.683394,12.176931,45.60041,-0.821759,-9.206703,-22.711792,5.918409,7.94859,20.765637,16.382763,-10.49862,-17.541736,-6.682832,-2.101925,1.129409,3.325202,8.071732,5.064359,-5.105463,-3.396223,1.062891,0.273902,-1.707342,-2.743194,1.478781,-0.803912,1.202582,0.354093,2.203089,-1.541929,-0.689833,-0.50662,3.852091,-2.053854,7.643339,-7.565784,1.057884,3.697954,-2.942249,-1.256195,4.9338,-6.686009,-5.97681,13.808734,6.465204,-5.590198,-0.187148,0.838811,10.399162,-7.921789,2.121264,-0.907543,0.183469,0.016481,-0.00103,0.000126,0.000082,0.000007,0.00002,0.000027,-0.00458,0.002993,0.004361,0.001171,-0.011237,0.013651,0.008084,0.008687,-0.00835,-0.028361,-0.002289,-0.001228,0.007089,0.02187,0.024632,-0.018457,-0.028208,-0.014106,0.017066,-0.076944,0.054551,-0.043535,0.010769,0.056072,-0.01512,0.014576,0.02326,-0.059461,-0.008203,-0.019165,-0.003826,0.039933,0.05478,-0.019109,-0.006623,-0.004593,0.073179,0.050144,-0.048133,-0.050824,0.107652,-0.068194,0.012722,-0.025042,-0.005683,-0.081759,0.038062,-0.111822,0.022612,0.071554,-0.026169,-0.035192,0.032322,-0.080689,0.012502,-0.024158,-0.135638,0.147922,0.046442,0.123343,0.090483,-0.098254,0.099464,0.197038,-0.144415,-0.022727,0.083483,-0.098309,0.021686,-0.071109,0.16539,-0.1073,0.142494,-0.132154,0.001349,0.054187,-0.064655,-0.024614,0.068684,0.253825,-0.001635,-0.160344,-0.021995,0.125635,0.15222,-0.066382,-0.218261,0.08129,-0.035238,0.180093,-0.200394,0.243002,-0.068919,-0.366196,-0.033332,-0.006244,-0.157717,0.249786,-0.057719,0.20236,-0.178352,-0.029901,0.068985,-0.164884,-0.078381,0.17558,0.137532,0.347385,-0.048181,-0.053741,-0.051247,-0.111885,-0.37798,-0.469437,0.142626,0.062921,0.410057,-0.257119,0.074821,-0.12166,0.309538,-0.096988,0.084715,-0.178568,-0.171637,0.095954,0.090949,-0.38878,0.175877,0.145756,-0.028841,-0.098341,-0.195756,-0.289069,0.244784,0.239555,-0.1142,-0.06847,0.321655,0.040447,F
7.781188,-16.616717,23.337264,21.615062,2.747818,-0.171586,-14.750425,-0.167011,-2.02712,-11.891673,5.499624,7.365035,-2.933284,-6.646522,11.399098,1.830307,-3.304058,-1.628773,2.491692,-2.908361,-8.640149,6.304654,1.285545,-0.899319,-4.932447,0.626125,6.175834,0.422729,-3.000876,-1.803471,-1.464771,2.514548,2.651371,-4.502625,-6.221795,2.030172,-7.581324,-8.607805,9.497827,7.24351,-0.986623,-6.74309,-5.665774,13.438074,-4.250843,-0.078422,-0.220007,1.435735,-7.171547,6.174062,-0.304814,-0.061962,-0.141683,0.009948,0.003026,-0.000095,0.000147,0.000163,0.00021,0.000407,-0.080193,0.049954,0.06807,0.011334,-0.17546,0.265497,0.118135,0.145592,-0.154234,-0.482341,-0.055521,-0.032874,0.148309,0.410641,0.33535,-0.311358,-0.439973,-0.306514,0.264443,-1.139798,0.908913,-0.757263,0.255398,0.88755,-0.214119,0.230025,0.393284,-0.905023,-0.177098,-0.351533,-0.275544,0.577411,0.944861,-0.231513,-0.139365,-0.029882,1.040327,0.858341,-0.797313,-0.841726,1.695256,-1.193392,0.168658,-0.475835,0.053798,-1.010375,0.762804,-1.757799,0.350808,1.355899,-0.526535,-0.198549,0.600469,-1.369454,0.35809,-0.544377,-2.519954,2.435143,0.937693,1.798719,1.462147,-1.761166,1.704672,2.906604,-2.335095,-0.239847,1.47728,-1.687205,0.645702,-0.977089,2.327681,-1.528328,2.276334,-2.007389,0.064102,0.840639,-0.966684,-0.493607,1.441184,3.824981,0.266057,-2.718562,-0.458915,1.977012,2.571868,-1.359637,-2.612143,1.400479,-0.563045,3.303103,-3.906587,3.540747,-1.590996,-5.653264,-0.387992,0.065411,-2.565937,4.301241,-1.318865,3.741583,-3.091306,-0.498403,1.095331,-2.62944,-1.154064,3.308691,2.588532,5.761248,-0.573416,-1.047847,-0.561517,-1.398936,-6.531226,-7.386518,2.498846,1.011479,6.332163,-4.016844,1.917209,-2.022213,4.865534,-1.559682,1.410133,-2.556003,-2.48778,2.08194,1.045667,-6.211392,2.695816,2.152565,-0.335885,-1.668705,-3.588533,-4.912015,3.859002,3.820424,-1.808432,-0.893805,4.630462,0.353219,F
9.948207,21.758747,55.958222,-9.42728,-19.775008,0.057171,6.303376,-3.407468,17.023901,-10.496857,-7.442335,1.976958,8.407876,-15.839629,12.34269,8.495716,-7.307127,1.468058,5.219859,-5.071111,1.193176,-2.235471,3.677434,1.780957,-3.003814,-1.818014,-0.327971,1.795336,-1.433661,1.122167,0.040401,2.90098,-3.84198,-1.469581,-5.153538,0.575226,0.722319,-2.581848,4.889894,-4.652337,-2.489079,1.198908,-0.761828,0.878119,5.779336,-8.625852,6.836016,0.557602,2.519673,-4.071171,2.534333,-0.011032,0.059615,-0.023956,-0.002869,0.001317,-0.000131,0.000145,0.000172,0.000341,-0.068656,0.043528,0.057563,0.008687,-0.14945,0.225099,0.101012,0.124222,-0.13225,-0.413427,-0.051035,-0.030687,0.132001,0.354427,0.280719,-0.269158,-0.377077,-0.268095,0.218453,-0.971965,0.766592,-0.647153,0.22323,0.765872,-0.180846,0.199942,0.340448,-0.772434,-0.15408,-0.307749,-0.248439,0.483067,0.808285,-0.195613,-0.117104,-0.02193,0.8828,0.719923,-0.686707,-0.707725,1.434399,-1.006538,0.139228,-0.401169,0.047077,-0.867328,0.658353,-1.477515,0.310206,1.163396,-0.464159,-0.135711,0.516116,-1.187803,0.313126,-0.475851,-2.141715,2.090009,0.767966,1.529882,1.219578,-1.524886,1.449113,2.492362,-2.002076,-0.19712,1.260413,-1.450037,0.563999,-0.810814,1.954507,-1.288109,1.944941,-1.69266,0.051738,0.711388,-0.840629,-0.422466,1.262156,3.245128,0.246566,-2.366176,-0.378784,1.706383,2.213504,-1.181088,-2.229842,1.20397,-0.491806,2.828359,-3.309103,3.036221,-1.398528,-4.888014,-0.325919,0.083048,-2.200684,3.643284,-1.163314,3.247013,-2.639011,-0.428245,0.952653,-2.201217,-0.993904,2.766444,2.243645,4.907079,-0.448707,-0.89347,-0.415073,-1.161641,-5.561559,-6.291828,2.158951,0.845303,5.400752,-3.394749,1.698748,-1.75046,4.139451,-1.30593,1.190135,-2.191929,-2.12383,1.807424,0.880051,-5.31794,2.277627,1.833654,-0.296599,-1.391275,-3.077902,-4.20643,3.269482,3.240671,-1.542007,-0.798337,3.99343,0.263669,F
7.068226,21.519353,28.826303,-2.881371,0.588455,-0.375032,0.940641,-9.239879,-8.919218,-11.889378,4.65409,-17.171523,15.037253,18.664875,0.478309,-10.366831,0.410189,-6.860612,-3.947394,1.540336,3.443665,3.429595,1.744058,0.173961,-3.987185,0.754032,0.790024,-0.463799,-0.283387,-1.565906,3.231095,3.436311,0.864317,3.702177,18.547566,14.537221,6.042992,-2.872119,-1.616916,1.631015,8.117411,-0.888235,-9.038266,-3.008123,7.648881,-1.402227,1.979559,-11.447853,3.760205,0.912677,0.035338,0.446849,-0.012497,-0.003188,0.002079,-0.000115,-0.000204,-0.000262,-0.0003,-0.000578,0.114053,-0.071558,-0.095854,-0.014517,0.247374,-0.377217,-0.165817,-0.206508,0.22017,0.685147,0.084052,0.049329,-0.21642,-0.587412,-0.462133,0.443531,0.620933,0.442932,-0.367588,1.593563,-1.280841,1.074485,-0.374453,-1.256756,0.2978,-0.328294,-0.55872,1.268094,0.257383,0.507979,0.417897,-0.801113,-1.341763,0.317579,0.194008,0.040644,-1.450847,-1.202197,1.136422,1.169655,-2.374374,1.680522,-0.237439,0.678527,-0.093337,1.395472,-1.095014,2.450771,-0.505314,-1.93984,0.763233,0.218304,-0.855713,1.949436,-0.521095,0.787537,3.568559,-3.446006,-1.306768,-2.515767,-2.036888,2.51765,-2.421341,-4.091314,3.311436,0.320498,-2.087211,2.39424,-0.946193,1.34891,-3.227531,2.112148,-3.218126,2.817232,-0.094289,-1.177687,1.379745,0.706467,-2.092007,-5.338794,-0.420739,3.896281,0.64666,-2.800297,-3.658362,1.955137,3.603497,-1.992157,0.794341,-4.710087,5.542061,-4.967383,2.323875,7.998593,0.530856,-0.138053,3.620349,-6.069287,1.920835,-5.351488,4.373634,0.715538,-1.555814,3.683236,1.633456,-4.683296,-3.701243,-8.157762,0.75952,1.502824,0.728753,1.911125,9.219879,10.361587,-3.556425,-1.405748,-8.912669,5.620458,-2.817629,2.873973,-6.854028,2.185629,-1.98373,3.586341,3.514225,-3.018998,-1.437606,8.789621,-3.789522,-3.015303,0.453718,2.335403,5.122111,6.975934,-5.447348,-5.359931,2.562069,1.285668,-6.504299,-0.448228,F
30.109563,-26.544023,-9.730778,-4.359718,2.357159,4.969273,6.981786,3.126222,16.33873,15.335993,11.885532,-6.459349,-2.065274,-3.807885,-4.348248,-12.470541,-6.841457,-8.063853,-1.898738,4.345082,-6.781731,2.45191,5.647457,-0.464883,3.380211,8.131827,0.779507,0.842784,-2.789118,-4.050034,-1.74227,-0.980345,-2.646543,1.054349,-0.935895,-4.518114,-11.957944,-10.011093,-7.412752,-9.335623,-5.294671,0.071991,-0.775782,-0.477518,1.016457,-4.298856,-8.20005,-12.777358,1.495933,-4.20706,-1.30916,-0.274831,-0.127902,-0.02158,-0.003201,-0.000493,0,0.000078,0.000109,0.000216,-0.043286,0.026507,0.03825,0.008811,-0.098521,0.144175,0.066112,0.080131,-0.081491,-0.26034,-0.023729,-0.013376,0.069962,0.214884,0.200454,-0.166487,-0.244322,-0.154529,0.157152,-0.65124,0.508401,-0.411771,0.12349,0.482032,-0.123292,0.125517,0.2121,-0.510668,-0.087311,-0.179928,-0.107095,0.33748,0.512778,-0.142837,-0.073043,-0.02681,0.598042,0.486316,-0.426234,-0.479201,0.965843,-0.658573,0.105092,-0.263653,0.004,-0.597869,0.390632,-1.016182,0.184813,0.714368,-0.259024,-0.210625,0.314778,-0.721419,0.167204,-0.272347,-1.360262,1.333552,0.523287,1.026529,0.849963,-0.927927,0.929908,1.643701,-1.268891,-0.152232,0.810208,-0.916969,0.301512,-0.589553,1.367856,-0.905758,1.259781,-1.13521,0.033445,0.469164,-0.527823,-0.24362,0.726711,2.194381,0.082147,-1.434435,-0.254378,1.08559,1.405123,-0.690093,-1.59943,0.75569,-0.305832,1.7704,-2.106085,1.987611,-0.76961,-3.11194,-0.245634,-0.028753,-1.410921,2.38952,-0.643008,1.960144,-1.686433,-0.272722,0.588718,-1.516523,-0.646514,1.841417,1.341171,3.17293,-0.396399,-0.565612,-0.429903,-0.858549,-3.605794,-4.161319,1.344174,0.579137,3.57329,-2.270168,0.898746,-1.079891,2.741099,-0.887142,0.793935,-1.450945,-1.413915,1.05334,0.643868,-3.443015,1.545949,1.205112,-0.184306,-0.955223,-1.915499,-2.67963,2.154151,2.150409,-0.997936,-0.477125,2.575806,0.288439,F
4.98279,35.370502,4.544757,7.579669,-5.579381,0.959907,-6.217039,-12.350298,4.398483,-15.955917,3.572762,-9.236886,5.223903,-10.085541,1.389116,4.637483,-4.883932,-3.517375,-9.199205,-14.221788,-6.676212,-4.371998,-4.396576,4.303965,-0.471008,2.196835,3.272214,0.271196,-3.656375,-1.86217,-2.64227,-2.480704,2.320232,11.761941,18.313908,-2.33975,-1.812931,-4.088758,4.285033,4.521262,7.549934,1.068998,-10.57446,-9.599034,-3.396171,6.761361,8.888364,5.735383,-5.056756,-5.878469,-2.297029,0.184581,0.0187,-0.00468,0.001435,0.000064,-0.000292,-0.00029,-0.000364,-0.000704,0.139612,-0.087241,-0.117441,-0.018204,0.303128,-0.461459,-0.203597,-0.252855,0.269669,0.838237,0.102013,0.059881,-0.263224,-0.717782,-0.568166,0.542748,0.75939,0.53746,-0.453186,1.953129,-1.569468,1.315089,-0.456564,-1.53635,0.367437,-0.400109,-0.682835,1.552947,0.31343,0.618551,0.504338,-0.983242,-1.643135,0.38999,0.235067,0.051879,-1.78355,-1.476394,1.388758,1.437622,-2.910858,2.057131,-0.296421,0.833581,-0.110407,1.712165,-1.339193,3.004476,-0.616316,-2.369915,0.92736,0.286278,-1.047337,2.378742,-0.63444,0.959931,4.365467,-4.214412,-1.606237,-3.082618,-2.497574,3.07248,-2.960561,-5.009201,4.047202,0.392917,-2.548882,2.92879,-1.146721,1.666677,-3.966252,2.594982,-3.943046,3.46311,-0.113316,-1.445281,1.690185,0.866266,-2.552827,-6.556484,-0.505027,4.758665,0.801432,-3.426484,-4.477191,2.377697,4.432138,-2.441822,0.965959,-5.755793,6.770773,-6.088442,2.828893,9.788797,0.651054,-0.161231,4.442193,-7.433421,2.33333,-6.520037,5.352637,0.873444,-1.900655,4.520742,2.010341,-5.739275,-4.512719,-9.974928,0.949345,1.843209,0.908922,2.358833,11.281049,12.690121,-4.342883,-1.733369,-10.916082,6.887124,-3.417243,3.51368,-8.411947,2.680944,-2.424225,4.391378,4.295873,-3.679679,-1.766836,10.757324,-4.661977,-3.69674,0.540885,2.859301,6.261815,8.532692,-6.681366,-6.570931,3.129587,1.565822,-7.95991,-0.552533,F
-2.175914,33.710706,25.476875,-2.978958,5.288359,8.693151,6.529146,-10.516113,-6.927256,-7.319192,2.732668,-14.06184,10.544782,15.553957,1.036945,-0.312244,6.915168,-7.660794,-6.946633,2.28204,7.03566,-0.692908,-4.813077,2.591828,1.329757,4.105136,-3.457252,-0.954356,-0.063836,-0.222372,0.021848,2.126705,-1.741017,-2.065473,3.887418,-4.574021,-6.401619,-0.972505,6.530506,-1.259377,5.633794,-8.566881,0.808559,12.998315,-0.07031,-15.149239,-7.159783,4.412967,-1.03322,1.484742,-2.837711,0.476031,-0.005967,-0.014996,0.002206,-0.000714,0.000121,0.00009,0.000088,0.000185,-0.037761,0.024018,0.030776,0.00362,-0.080644,0.122588,0.055062,0.067813,-0.073772,-0.226601,-0.031939,-0.019128,0.078268,0.198729,0.146523,-0.150949,-0.20359,-0.14994,0.113226,-0.520095,0.40962,-0.35304,0.129089,0.420194,-0.098879,0.109241,0.188061,-0.416017,-0.087653,-0.173283,-0.15523,0.25234,0.443909,-0.098844,-0.066182,-0.006804,0.47982,0.382502,-0.379257,-0.381908,0.765315,-0.545978,0.070743,-0.214661,0.034881,-0.46029,0.375976,-0.779788,0.170665,0.645666,-0.267826,-0.03188,0.29076,-0.664424,0.185204,-0.270192,-1.169033,1.141045,0.410145,0.824621,0.639641,-0.850582,0.786889,1.349277,-1.0959,-0.095991,0.683959,-0.793316,0.328217,-0.423456,1.028221,-0.671919,1.057916,-0.916105,0.024688,0.389166,-0.466287,-0.250035,0.711169,1.74087,0.160595,-1.318497,-0.211876,0.935162,1.211176,-0.665423,-1.153224,0.665213,-0.27221,1.551069,-1.795865,1.651685,-0.807368,-2.682813,-0.16278,0.073637,-1.215025,1.963396,-0.668547,1.816069,-1.446743,-0.231055,0.526235,-1.168114,-0.543548,1.481577,1.260083,2.657863,-0.208691,-0.493649,-0.156198,-0.594774,-2.99782,-3.377911,1.190927,0.447571,2.915589,-1.815131,0.991622,-0.976449,2.241365,-0.697065,0.630833,-1.18329,-1.134669,1.02062,0.451961,-2.865633,1.212027,1.004386,-0.166941,-0.731554,-1.703626,-2.303512,1.767329,1.747626,-0.823415,-0.443659,2.19066,0.074493,F
-7.073508,54.064033,51.22057,-7.998907,-5.651024,1.886146,-4.622673,8.554764,-3.392278,4.984693,-5.983029,-7.892573,19.491008,5.716118,-20.595253,2.665445,6.855367,1.752297,2.200942,-2.894818,-13.595589,12.409418,-4.321329,-0.142607,4.685087,-6.99581,1.539141,3.630979,-3.104361,0.793041,0.10905,0.217256,1.001313,1.421646,0.704948,14.200832,-20.96957,11.220434,-4.403124,7.20504,-8.717643,3.393916,4.286688,-9.801385,6.060302,1.19759,-5.482939,0.822085,-0.068713,1.862999,-0.503196,0.181114,-0.026019,-0.002504,-0.000323,0.00003,-0.000015,-0.000006,-0.000009,-0.000017,0.004262,-0.00103,-0.00553,-0.004258,0.014033,-0.018317,-0.005774,-0.009573,0.004649,0.025243,-0.007589,-0.005508,0.00748,-0.015085,-0.035444,0.011239,0.029656,0.00847,-0.030591,0.096282,-0.07907,0.04748,0.003096,-0.037659,0.016625,-0.012044,-0.019895,0.072753,0.002875,0.001272,-0.032356,-0.063134,-0.052297,0.027086,0.012441,0.011522,-0.077456,-0.086524,0.030614,0.078396,-0.157404,0.089031,-0.025468,0.037643,0.019264,0.085407,-0.011052,0.178039,0.000168,-0.062127,-0.002817,0.136572,-0.020873,0.040859,0.006461,0.004268,0.157035,-0.139355,-0.101554,-0.158066,-0.172393,0.057157,-0.10686,-0.221753,0.124047,0.026671,-0.114244,0.086562,0.011323,0.112061,-0.261623,0.153146,-0.143884,0.158411,-0.009421,-0.050818,0.025021,-0.010148,-0.016103,-0.314826,0.050988,0.059973,0.038681,-0.100622,-0.136177,0.025385,0.27264,-0.068757,0.020359,-0.187016,0.307978,-0.224251,-0.036009,0.298786,0.057202,0.096071,0.15239,-0.341675,-0.001149,-0.13305,0.178729,0.013233,-0.038856,0.272644,0.05045,-0.342063,-0.080017,-0.423289,0.146814,0.077595,0.247061,0.171684,0.473757,0.538134,-0.109992,-0.091247,-0.444465,0.335453,0.064389,0.066058,-0.371398,0.152784,-0.13047,0.189762,0.188448,-0.031921,-0.130289,0.40676,-0.236874,-0.131686,0.00935,0.182766,0.162342,0.288253,-0.245122,-0.309794,0.146297,0.004117,-0.243582,-0.176186,F
21.723081,-22.391385,38.754724,-0.681849,-14.372646,9.561083,3.695673,-14.315503,9.145475,-23.136922,6.831722,10.400093,17.898126,-18.40442,-0.119789,6.636297,-16.543831,-4.985791,4.202917,3.011361,14.925331,0.354473,-3.75374,-3.515084,2.061419,-1.203834,-1.51394,1.961473,3.862548,0.481851,-0.846661,0.634432,-0.347095,-2.369341,3.239921,2.661088,-3.114916,-1.086212,-1.348556,1.165594,3.729437,-2.857323,5.087719,-9.406862,-2.600658,9.674201,0.435073,3.190247,1.688733,1.086528,-1.574389,-0.609361,0.065575,0.015986,-0.004123,-0.000474,0.000194,0.000038,0.000065,0.000134,-0.027314,0.015862,0.024775,0.006997,-0.064195,0.092716,0.041,0.050766,-0.04963,-0.165145,-0.009955,-0.004953,0.037791,0.134176,0.132089,-0.10315,-0.157996,-0.097571,0.102958,-0.430121,0.334587,-0.262624,0.070253,0.300866,-0.079575,0.079677,0.136256,-0.337708,-0.053271,-0.104848,-0.048822,0.226485,0.323323,-0.096877,-0.053423,-0.017015,0.384104,0.326363,-0.261876,-0.320346,0.644234,-0.42562,0.067657,-0.165738,-0.00909,-0.398764,0.23443,-0.676409,0.107454,0.44937,-0.154799,-0.187986,0.19541,-0.449678,0.098205,-0.165192,-0.868962,0.853193,0.353402,0.681253,0.580165,-0.575732,0.585822,1.067967,-0.799556,-0.096321,0.537875,-0.5806,0.173609,-0.391648,0.921507,-0.600033,0.804757,-0.726149,0.022928,0.293058,-0.312844,-0.135491,0.434551,1.43872,0.021323,-0.866518,-0.162443,0.683305,0.886437,-0.421055,-1.062662,0.478618,-0.195278,1.128197,-1.399523,1.282563,-0.432961,-1.987629,-0.167308,-0.065872,-0.91333,1.557105,-0.385949,1.229525,-1.080235,-0.15654,0.370906,-1.008239,-0.389311,1.224388,0.841477,2.05228,-0.294823,-0.362495,-0.365594,-0.578862,-2.344645,-2.706549,0.84274,0.382819,2.290749,-1.482379,0.502446,-0.670596,1.755454,-0.586942,0.526151,-0.939103,-0.898765,0.62935,0.436778,-2.206083,0.996151,0.775331,-0.126655,-0.640821,-1.188544,-1.704932,1.336662,1.414574,-0.663061,-0.276624,1.651448,0.254411,F
6.42628,7.610926,-1.172093,9.95806,0.255845,9.788279,8.157563,4.328181,5.696726,-9.490813,2.31111,4.058714,-8.734782,-20.985148,-1.243489,3.896875,5.176175,13.932724,16.933609,10.029125,6.189018,-5.076267,-0.717138,0.935167,-1.543877,0.69382,0.026352,0.971544,2.268282,-2.238322,-0.215042,-2.022265,1.595348,5.731579,15.752771,19.127008,-1.042341,-1.006086,-4.94251,-1.669158,1.563048,5.269574,7.411967,7.148215,4.082585,-4.542994,-13.973713,-11.996136,1.827557,-1.769334,0.091545,1.038108,0.03606,0.000647,0.004092,0.000545,-0.000094,-0.000227,-0.000303,-0.000566,0.11008,-0.068744,-0.092219,-0.013993,0.238539,-0.36273,-0.160298,-0.198814,0.212351,0.660024,0.081058,0.048836,-0.211031,-0.567234,-0.445352,0.428849,0.597175,0.425617,-0.352765,1.536239,-1.232003,1.03356,-0.360487,-1.212544,0.289227,-0.315091,-0.53877,1.222524,0.247748,0.488473,0.405644,-0.773389,-1.294263,0.305071,0.190233,0.036009,-1.404591,-1.156735,1.095355,1.133081,-2.285492,1.622409,-0.225522,0.646422,-0.08824,1.347453,-1.059852,2.356773,-0.481429,-1.870225,0.737596,0.205042,-0.829014,1.887758,-0.506571,0.757368,3.443561,-3.319399,-1.265951,-2.424531,-1.956845,2.429813,-2.331479,-3.938581,3.191305,0.308214,-2.007794,2.304076,-0.916888,1.301429,-3.111682,2.029564,-3.098693,2.72029,-0.085954,-1.139346,1.326644,0.693751,-2.005942,-5.14658,-0.404497,3.749879,0.628841,-2.698425,-3.515733,1.89028,3.464163,-1.919469,0.772032,-4.529108,5.335289,-4.805153,2.241411,7.712557,0.511364,-0.135655,3.504244,-5.8386,1.852258,-5.164786,4.22338,0.68285,-1.501659,3.535732,1.56941,-4.498376,-3.580998,-7.852148,0.72127,1.442304,0.683851,1.844372,8.874049,9.973339,-3.431495,-1.356384,-8.582096,5.428137,-2.716059,2.77858,-6.607188,2.109989,-1.905041,3.464142,3.369688,-2.904543,-1.381156,8.440632,-3.636553,-2.921169,0.44367,2.239105,4.936679,6.706332,-5.246013,-5.174047,2.459787,1.232063,-6.284919,-0.395983,F
