PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,PLS1_6,PLS1_7,PLS1_8,PLS1_9,PLS1_10,PLS1_11,PLS1_12,PLS1_13,PLS1_14,PLS1_15,PLS1_16,PLS1_17,PLS1_18,PLS1_19,PLS1_20,PLS1_21,PLS1_22,PLS1_23,PLS1_24,PLS1_25,PLS1_26,PLS1_27,PLS1_28,PLS1_29,PLS1_30,Class
12.683382,12.176914,45.600419,-0.821759,-9.206716,-22.711785,5.918409,7.948593,20.765636,16.382768,-10.498608,-17.541743,-6.682835,-2.101912,1.129404,3.325193,8.071729,5.064366,-5.105457,-3.396222,1.0629,0.27391,-1.707332,-2.743179,1.47882,-0.803806,1.202841,0.354718,2.204828,-1.53781,F
7.780947,-16.616874,23.337453,21.615103,2.747653,-0.171479,-14.750434,-0.166981,-2.027158,-11.891598,5.499819,7.364897,-2.933352,-6.646315,11.39903,1.830171,-3.304091,-1.628714,2.491768,-2.908392,-8.640038,6.304745,1.285658,-0.899171,-4.932042,0.627245,6.17855,0.429313,-2.982772,-1.760591,F
9.948001,21.758617,55.958379,-9.427241,-19.775147,0.057263,6.303367,-3.407443,17.023867,-10.496794,-7.442169,1.976838,8.407816,-15.839454,12.342633,8.495604,-7.307155,1.468106,5.219922,-5.07114,1.193268,-2.235395,3.677528,1.781077,-3.003483,-1.817099,-0.325765,1.800682,-1.418962,1.156969,F
7.068564,21.519573,28.82604,-2.881431,0.588682,-0.375184,0.940654,-9.239922,-8.919164,-11.889482,4.653814,-17.171326,15.03735,18.664582,0.478406,-10.366638,0.410235,-6.860696,-3.947499,1.540379,3.443506,3.429465,1.743898,0.173752,-3.987757,0.752446,0.786179,-0.473102,-0.308977,-1.626554,F
30.109427,-26.544109,-9.730666,-4.359696,2.357058,4.969333,6.981779,3.126237,16.338711,15.336037,11.88564,-6.459421,-2.065312,-3.807772,-4.348284,-12.470614,-6.841475,-8.063821,-1.898695,4.345063,-6.781675,2.451958,5.647518,-0.464804,3.380427,8.132419,0.780948,0.846266,-2.779504,-4.027293,F
4.983205,35.37077,4.544432,7.579595,-5.579102,0.959721,-6.217023,-12.35035,4.398548,-15.956046,3.572425,-9.236645,5.224022,-10.085899,1.389234,4.637718,-4.883875,-3.517476,-9.199334,-14.221734,-6.676405,-4.372156,-4.396771,4.303712,-0.471701,2.194914,3.267563,0.259937,-3.68737,-1.935616,F
-2.176028,33.710638,25.476957,-2.978934,5.288287,8.693202,6.52914,-10.516101,-6.927275,-7.319159,2.732758,-14.061907,10.544748,15.554051,1.036915,-0.312303,6.915153,-7.66077,-6.9466,2.282022,7.035709,-0.692869,-4.813028,2.591889,1.329926,4.105608,-3.45613,-0.951621,-0.056363,-0.204598,F
-7.073487,54.064037,51.22054,-7.998907,-5.651004,1.886139,-4.62267,8.554764,-3.392278,4.984686,-5.983043,-7.89257,19.491015,5.716106,-20.59525,2.665456,6.855369,1.752295,2.200935,-2.894813,-13.595591,12.409414,-4.321335,-0.142614,4.68507,-6.995856,1.539025,3.630704,-3.105161,0.791183,F
21.72299,-22.391435,38.754804,-0.681835,-14.372715,9.561121,3.695667,-14.315496,9.145463,-23.136894,6.831792,10.400049,17.8981,-18.404349,-0.119811,6.63625,-16.543842,-4.985772,4.202946,3.011347,14.925364,0.354502,-3.753703,-3.515037,2.061547,-1.203482,-1.513089,1.963536,3.868247,0.495275,F
6.426599,7.611149,-1.172343,9.958005,0.256063,9.788133,8.157573,4.328137,5.696777,-9.490914,2.310846,4.058905,-8.734693,-20.985432,-1.243393,3.897063,5.17622,13.932638,16.933506,10.029161,6.188858,-5.076398,-0.717298,0.934953,-1.544457,0.69221,0.022446,0.96208,2.242293,-2.299975,F
15.240077,-1.990049,9.055729,7.281111,-12.738628,12.02134,-3.37839,2.874397,5.015507,-8.358264,-0.316598,1.926911,-0.509731,-18.790204,13.8782,1.713423,2.377503,4.316455,-7.748115,-8.323959,-2.818811,-2.248614,-1.051453,2.829492,6.163833,2.662256,-0.515446,-1.465505,-4.299696,-1.525558,F
-3.047081,24.294817,-18.550951,20.208663,5.061478,4.433994,6.190206,13.23672,10.737393,8.724668,21.395321,13.59027,26.353128,23.519025,22.960826,19.427624,21.62628,10.299169,7.807542,8.80684,5.667923,4.714944,2.30564,0.996731,-1.019285,1.149192,3.266322,0.849773,1.623471,0.481032,F
37.012638,-21.236985,2.639196,-4.265058,-0.991968,-16.843556,-4.398688,-2.920155,-9.945615,-7.917209,-22.795123,0.184937,2.633285,0.975534,-3.972184,2.499633,9.75714,9.335911,-2.035638,1.701702,8.256531,-12.477073,-1.660977,-2.55925,-6.439339,-3.899487,-4.1151,1.55157,-3.279229,-0.189158,F
13.965435,-4.087501,10.894415,2.635656,6.53873,3.591186,-9.703197,-2.004016,16.798516,-1.451853,0.795624,-9.536524,4.101337,-8.251811,7.221344,2.531027,-4.3902,1.068182,5.819508,-2.54723,-15.631654,-0.478274,2.255143,-0.819807,-0.971692,1.867951,-0.492222,-4.97641,0.52965,3.372588,F
38.154797,-27.532865,1.122334,-2.142685,-3.623071,-10.531222,-9.225977,-13.993771,3.466176,6.200333,6.481692,-14.175051,0.653278,1.955636,-1.865353,-3.009801,10.143077,13.050718,9.492106,8.360251,-4.832235,2.023253,1.855063,-0.421087,-3.432769,2.83648,1.362051,1.635992,-0.469489,-2.172912,F
18.409151,1.697328,8.62396,-2.321047,3.974508,-2.336938,-0.090297,-11.857265,-3.319893,5.499031,1.879824,10.03519,7.521976,3.760155,0.348069,-14.085837,-3.313007,3.261524,10.626578,8.022918,-2.425099,-4.625412,-2.775764,-0.780056,0.185968,0.208817,-0.04545,-0.511011,5.939183,-2.415231,F
14.736604,-17.567232,50.616437,-23.153798,29.600522,11.230149,-33.091545,5.941121,23.422503,-19.377765,5.7034,11.687776,-21.260032,21.190531,-7.255233,-1.235073,-4.205096,15.092974,-22.359593,12.312613,-0.181287,-0.32027,-0.843094,0.043367,1.912052,-3.985724,2.892436,-2.279611,0.728738,-0.600973,F
5.979694,13.958646,-9.705882,9.404354,8.222853,6.397651,4.383926,-8.898387,7.269269,3.316362,-9.252048,-0.481662,-11.028677,1.532778,10.009954,0.970899,1.519866,-7.138001,-4.108597,-2.180327,5.582144,4.698569,4.511018,-5.000828,-3.45338,-0.289968,1.943851,1.384407,0.597764,-2.137201,F
12.234132,6.286004,-8.994013,7.986269,7.12091,3.505115,-3.578434,-5.099518,-11.090218,1.794327,-6.496109,3.791614,6.588329,2.853338,-2.332503,0.502035,-3.045889,-2.98064,1.480908,-0.148397,-0.577176,-4.427525,-0.071438,1.57489,2.275056,2.667546,1.019811,-1.156191,3.156151,-2.657885,F
58.318722,-72.552238,21.194945,-32.586655,-4.766261,13.983306,2.488331,-2.245235,-16.761223,20.860338,5.227033,-2.888759,-14.949543,1.175628,3.096144,17.072141,0.678679,-20.947228,15.82063,-2.210326,-0.111026,6.292248,-6.99807,6.371034,-0.714855,-7.002629,4.255598,-1.423443,0.833622,-0.404882,F
26.073643,10.915141,-38.165696,-5.086012,3.445012,8.800873,-15.003646,9.123114,-5.921081,4.635854,4.148033,-3.364811,-2.793548,-7.860299,15.782581,-22.423188,13.435959,-4.853216,7.715479,-6.003565,10.90971,-10.542169,2.994207,-1.400472,4.344874,-7.550494,4.278791,-1.814749,-1.686916,3.649614,F
-0.527818,32.745996,5.683243,16.306261,-3.772057,-1.68995,-6.168784,-1.755567,-6.329857,9.369584,-1.824218,-0.759385,1.342625,-1.590258,2.610127,-15.547151,2.152048,0.288852,0.635303,6.538871,-1.505618,-0.515381,-3.990904,-0.679538,1.41632,-1.496971,1.097497,0.0746,-1.796109,0.731161,F
4.163727,41.832876,1.964989,3.161608,-7.29107,3.909914,-4.74294,-0.834195,6.662748,-5.489025,8.209711,0.146145,8.700415,-11.770458,-0.804215,-6.495522,0.157141,4.286181,0.215606,-4.721075,4.189469,4.741312,1.546631,3.588781,-3.020736,-4.357951,-2.717661,0.656519,3.973953,2.308419,F
24.362943,-8.278913,8.443997,-14.885433,5.367038,6.683255,6.241719,-0.427718,1.822022,7.445985,-0.555006,-12.599247,4.749825,-0.334401,5.59334,-8.329002,5.001448,0.918794,-7.432909,7.329004,-8.01507,5.901532,4.912842,-4.916543,-1.882759,-0.031407,-2.014088,5.115245,1.997828,1.113009,F
2.12587,7.036126,5.079471,21.155668,3.199379,1.337404,-2.267918,-1.79854,-6.120642,0.31497,-11.911328,-9.958249,-13.591374,-6.392937,-6.646655,-4.369564,-7.103293,-3.282065,0.240432,0.048738,-6.747779,2.894936,3.626169,-4.858954,-4.710729,-3.766201,-2.096268,-4.385774,1.298694,-0.253571,F
13.078585,0.137612,5.448922,8.624887,7.400959,-8.544002,3.890994,-8.014416,-6.487491,4.449204,-8.860223,14.869215,6.287024,4.994768,9.506919,2.572493,0.88352,-6.828113,-6.36221,-8.632857,-4.929077,7.195262,6.855697,2.711265,4.14132,1.938574,0.069328,-2.107624,1.077021,-5.804537,F
-7.595186,74.327675,30.069461,-12.225359,0.156146,-1.611153,-3.757274,7.635385,-3.121624,-10.082295,12.025085,7.418663,-17.26714,15.630936,1.773077,-11.744058,5.275207,-14.053096,11.561284,-11.120999,7.127229,-0.298384,-0.24593,-3.066909,-0.278252,4.060046,-0.966482,-0.32732,-2.647723,1.467267,F
-20.063513,-25.280701,13.501858,-2.721815,-22.666959,-1.583891,-0.903989,-0.375838,0.453354,9.163439,6.162652,5.252731,-3.687934,-8.653001,-6.797933,-4.456815,0.384475,2.907378,-2.037874,10.872979,-0.701741,-3.81542,1.884137,-3.952439,1.001279,4.292218,2.18028,-3.23685,1.125162,-0.970389,T
-8.536136,-20.481278,-48.169899,-2.179751,-16.304543,1.858549,-12.950795,6.058119,0.739843,3.269827,7.938135,7.559144,11.898882,9.702032,6.961318,-0.696281,-4.495532,-10.294981,-14.336535,-16.725704,-14.177207,-10.879963,-6.844619,-5.690344,-3.721831,-0.800363,0.557986,3.043821,5.507415,0.308178,T
-34.552162,-55.278135,8.238085,21.55036,12.029046,-6.59147,-4.197021,5.396666,-3.644675,-15.208998,12.163719,-2.312329,-11.867262,9.010367,14.148144,2.290454,-9.378159,-12.197907,14.107637,8.108374,-10.962251,-6.158188,2.640577,1.413,2.368394,-1.950171,-6.666151,7.247055,-2.56764,2.500017,T
-22.778099,-10.845841,-4.62843,-11.737964,-14.075982,-0.302863,19.962733,12.497388,5.363057,-11.335027,7.248121,-12.100417,-2.836032,-6.15633,-7.788025,0.284974,4.106732,-2.773218,2.082694,7.201466,-0.786271,-3.452474,-3.707995,1.101907,0.230589,2.410943,3.512846,-1.117486,-2.58441,-0.101805,T
-22.702019,-17.34095,22.766712,-6.416385,-18.293569,-14.193391,7.589279,11.013681,2.342139,-7.866929,-2.770974,-3.424147,1.2112,8.926079,5.479702,0.25038,0.850078,0.303902,-6.572235,6.916057,-10.827706,-0.236074,-0.666939,6.027386,-2.684884,0.430289,-1.423581,-6.638793,4.902349,3.367835,T
-47.983526,-20.529942,52.197239,11.471045,-11.16999,12.831907,-6.366477,-15.137725,-8.019818,22.274984,-0.160684,4.063722,-2.675276,2.935105,-14.27006,11.675589,10.380537,-1.748973,-14.119462,-5.235535,8.336084,-10.964728,5.412809,0.075273,-0.592674,-0.249582,1.412051,-4.351941,3.917176,1.7239,T
-25.91864,-15.315709,1.519373,-16.367498,0.469771,2.230206,14.081962,12.145754,-0.173874,2.863602,-1.617035,-5.879485,-3.75889,-8.757548,15.02268,4.499278,-0.716279,-2.305548,-10.305937,6.637116,-2.649316,-2.454123,-0.281514,-3.659986,3.241953,0.691656,-1.444343,-3.320246,0.450873,0.208689,T
-21.4191,28.431654,-20.122636,-23.304703,-7.182469,-9.009382,-10.861078,4.642235,1.56917,5.678036,2.943332,-1.495373,9.516075,-7.859536,-1.470775,6.800767,-6.720319,-8.701384,-2.253019,12.408828,5.928774,0.764849,-0.032307,-4.65141,0.474284,0.08968,1.776879,2.251746,2.939284,-1.401991,T
-38.38298,-52.6747,20.398132,25.579574,7.782026,-8.562126,-0.375808,-18.974211,13.302749,17.63478,9.660447,1.128242,-6.471263,-4.94717,-1.477624,4.231215,6.153465,-1.194905,-6.40719,-2.26162,10.48836,-0.819656,-2.620776,-1.114171,1.842658,-1.241469,1.382683,3.644055,-7.147076,2.349363,T
-36.498252,-33.41308,11.061277,16.896674,-10.548335,13.583282,-11.98775,1.027685,-4.924513,3.584563,-1.200607,-11.915053,3.555851,8.465731,-10.92157,-0.680089,-5.349907,6.936987,15.154176,-9.069471,-0.523607,-5.654347,1.689152,2.341831,-2.144897,0.374049,1.842717,0.693488,-0.514065,-1.941406,T
-24.972343,-4.483686,1.530471,-7.420521,-23.741104,15.211413,-19.210834,9.560644,-3.148502,15.219345,-5.478509,0.965815,6.594392,5.749953,-0.466441,-5.142712,-9.262515,18.169082,15.913347,-3.72331,-8.236984,0.858467,2.401114,-0.926976,2.860139,1.284263,-4.090974,0.470992,1.838594,-0.896347,T
2.414633,36.500998,12.245099,6.237354,-5.542524,-7.651972,15.244635,-3.670874,-6.589476,7.307992,-8.344211,13.688565,-0.661406,-2.197279,-0.046799,-4.868535,-3.197336,11.363919,-1.926558,3.265766,-11.457993,1.117122,0.31021,1.430711,-0.197083,-3.700084,1.448485,0.992073,-5.00955,2.811596,F
