PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,PLS1_6,PLS1_7,PLS1_8,PLS1_9,PLS1_10,PLS1_11,PLS1_12,PLS1_13,PLS1_14,PLS1_15,PLS1_16,PLS1_17,PLS1_18,PLS1_19,PLS1_20,PLS1_21,PLS1_22,PLS1_23,PLS1_24,PLS1_25,PLS1_26,PLS1_27,PLS1_28,PLS1_29,PLS1_30,PLS1_31,PLS1_32,PLS1_33,PLS1_34,PLS1_35,PLS1_36,PLS1_37,PLS1_38,PLS1_39,PLS1_40,PLS1_41,PLS1_42,PLS1_43,PLS1_44,PLS1_45,PLS1_46,PLS1_47,PLS1_48,PLS1_49,PLS1_50,Class
12.683382,12.176914,45.600419,-0.821759,-9.206716,-22.711785,5.918409,7.948593,20.765636,16.382768,-10.498608,-17.541743,-6.682835,-2.101912,1.129404,3.325193,8.071729,5.064366,-5.105457,-3.396222,1.0629,0.27391,-1.707332,-2.743179,1.47882,-0.803806,1.202841,0.354718,2.204828,-1.53781,-0.677774,-0.464352,3.978528,-1.691511,8.512201,-6.972062,1.235435,3.756501,-2.930334,-1.253559,4.934583,-6.685743,-5.976737,13.808756,6.465205,-5.590187,-0.18715,0.838817,10.399153,-7.921792,F
7.780947,-16.616874,23.337453,21.615103,2.747653,-0.171479,-14.750434,-0.166981,-2.027158,-11.891598,5.499819,7.364897,-2.933352,-6.646315,11.39903,1.830171,-3.304091,-1.628714,2.491768,-2.908392,-8.640038,6.304745,1.285658,-0.899171,-4.932042,0.627245,6.17855,0.429313,-2.982772,-1.760591,-1.338207,2.945738,3.964375,-0.733596,2.721877,8.127033,-5.713458,-8.010038,9.616697,7.27048,-0.978608,-6.740449,-5.665001,13.438314,-4.250865,-0.078298,-0.220026,1.435823,-7.171703,6.174051,F
9.948001,21.758617,55.958379,-9.427241,-19.775147,0.057263,6.303367,-3.407443,17.023867,-10.496794,-7.442169,1.976838,8.407816,-15.839454,12.342633,8.495604,-7.307155,1.468106,5.219922,-5.07114,1.193268,-2.235395,3.677528,1.781077,-3.003483,-1.817099,-0.325765,1.800682,-1.418962,1.156969,0.143315,3.253978,-2.772298,1.591877,2.111983,5.562989,2.237101,-2.092525,4.986717,-4.630305,-2.482561,1.20106,-0.761198,0.878316,5.779315,-8.625749,6.836,0.557676,2.519539,-4.071177,F
7.068564,21.519573,28.82604,-2.881431,0.588682,-0.375184,0.940654,-9.239922,-8.919164,-11.889482,4.653814,-17.171326,15.03735,18.664582,0.478406,-10.366638,0.410235,-6.860696,-3.947499,1.540379,3.443506,3.429465,1.743898,0.173752,-3.987757,0.752446,0.786179,-0.473102,-0.308977,-1.626554,3.051807,2.826256,-0.993976,-1.631465,5.884646,5.916947,3.394573,-3.717063,-1.78486,1.59281,8.106044,-0.89198,-9.039363,-3.008464,7.648911,-1.4024,1.979587,-11.447977,3.760426,0.912693,F
30.109427,-26.544109,-9.730666,-4.359696,2.357058,4.969333,6.981779,3.126237,16.338711,15.336037,11.88564,-6.459421,-2.065312,-3.807772,-4.348284,-12.470614,-6.841475,-8.063821,-1.898695,4.345063,-6.781675,2.451958,5.647518,-0.464804,3.380427,8.132419,0.780948,0.846266,-2.779504,-4.027293,-1.675192,-0.752656,-1.95254,3.049987,3.840044,-1.306267,-10.978791,-9.694326,-7.349068,-9.321426,-5.290421,0.073384,-0.775374,-0.477391,1.016444,-4.298786,-8.200062,-12.77731,1.495848,-4.207064,F
4.983205,35.37077,4.544432,7.579595,-5.579102,0.959721,-6.217023,-12.35035,4.398548,-15.956046,3.572425,-9.236645,5.224022,-10.085899,1.389234,4.637718,-4.883875,-3.517476,-9.199334,-14.221734,-6.676405,-4.372156,-4.396771,4.303712,-0.471701,2.194914,3.267563,0.259937,-3.68737,-1.935616,-2.859121,-3.218891,0.072012,5.296641,2.983946,-12.763217,-5.015897,-5.111396,4.081618,4.47504,7.536182,1.064468,-10.575786,-9.599448,-3.396133,6.761149,8.888397,5.73523,-5.056486,-5.878451,F
-2.176028,33.710638,25.476957,-2.978934,5.288287,8.693202,6.52914,-10.516101,-6.927275,-7.319159,2.732758,-14.061907,10.544748,15.554051,1.036915,-0.312303,6.915153,-7.66077,-6.9466,2.282022,7.035709,-0.692869,-4.813028,2.591889,1.329926,4.105608,-3.45613,-0.951621,-0.056363,-0.204598,0.074483,2.308839,-1.19241,-0.493062,7.569528,-2.011312,-5.626231,-0.720953,6.5798,-1.248051,5.637118,-8.565778,0.808882,12.998416,-0.070322,-15.149186,-7.159791,4.413007,-1.033294,1.48474,F
-7.073487,54.064037,51.22054,-7.998907,-5.651004,1.886139,-4.62267,8.554764,-3.392278,4.984686,-5.983043,-7.89257,19.491015,5.716106,-20.59525,2.665456,6.855369,1.752295,2.200935,-2.894813,-13.595591,12.409414,-4.321335,-0.142614,4.68507,-6.995856,1.539025,3.630704,-3.105161,0.791183,0.103769,0.20245,0.950226,1.270972,0.305948,13.982345,-21.043827,11.199689,-4.408054,7.204083,-8.717963,3.393825,4.286657,-9.801396,6.060306,1.197581,-5.482936,0.822081,-0.068704,1.862997,F
21.72299,-22.391435,38.754804,-0.681835,-14.372715,9.561121,3.695667,-14.315496,9.145463,-23.136894,6.831792,10.400049,17.8981,-18.404349,-0.119811,6.63625,-16.543842,-4.985772,4.202946,3.011347,14.925364,0.354502,-3.753703,-3.515037,2.061547,-1.203482,-1.513089,1.963536,3.868247,0.495275,-0.806992,0.769076,0.062735,-1.195367,6.062931,4.568385,-2.539201,-0.898642,-1.310886,1.173969,3.731914,-2.85651,5.08796,-9.406786,-2.600668,9.674246,0.435065,3.190277,1.688678,1.086528,F
6.426599,7.611149,-1.172343,9.958005,0.256063,9.788133,8.157573,4.328137,5.696777,-9.490914,2.310846,4.058905,-8.734693,-20.985432,-1.243393,3.897063,5.17622,13.932638,16.933506,10.029161,6.188858,-5.076398,-0.717298,0.934953,-1.544457,0.69221,0.022446,0.96208,2.242293,-2.299975,-0.397222,-2.643372,-0.295952,0.303295,2.898533,10.348664,-3.73408,-1.865852,-5.113223,-1.708031,1.5515,5.265755,7.410854,7.14787,4.082609,-4.543165,-13.973686,-11.996259,1.827769,-1.769314,F
15.240077,-1.990049,9.055729,7.281111,-12.738628,12.02134,-3.37839,2.874397,5.015507,-8.358264,-0.316598,1.926911,-0.509731,-18.790204,13.8782,1.713423,2.377503,4.316455,-7.748115,-8.323959,-2.818811,-2.248614,-1.051453,2.829492,6.163833,2.662256,-0.515446,-1.465505,-4.299696,-1.525558,1.478975,4.631403,2.891332,0.525429,1.120624,3.724572,4.425153,9.549747,2.976297,-4.871568,-10.201613,2.459288,7.621325,4.658443,-12.854923,-1.907969,-2.464482,-7.510395,5.542771,4.097967,F
-3.047081,24.294817,-18.550951,20.208663,5.061478,4.433994,6.190206,13.23672,10.737393,8.724668,21.395321,13.59027,26.353128,23.519025,22.960826,19.427624,21.62628,10.299169,7.807542,8.80684,5.667923,4.714944,2.30564,0.996731,-1.019285,1.149192,3.266322,0.849773,1.623471,0.481032,0.790688,-1.444432,-0.381653,0.067373,3.975851,6.086103,-0.399118,1.315271,-4.079436,-3.525218,7.821095,3.123635,-5.491764,-2.457684,-7.622211,2.016508,1.836556,4.218446,-4.909512,-2.564786,F
37.012638,-21.236985,2.639196,-4.265058,-0.991968,-16.843556,-4.398688,-2.920155,-9.945615,-7.917209,-22.795123,0.184936,2.633285,0.975534,-3.972184,2.499633,9.75714,9.335911,-2.035638,1.701702,8.256531,-12.477073,-1.660977,-2.55925,-6.439339,-3.899487,-4.1151,1.55157,-3.279229,-0.189158,0.750815,-2.783575,0.307328,1.555004,2.876197,2.740559,-2.692412,3.549952,-0.046186,-1.054668,-7.052876,-5.366096,-10.375754,-7.462995,-6.520407,1.419114,-10.014006,-13.07151,-16.671763,-9.295428,F
