PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,Class
12.683382,12.176914,45.600419,-0.821759,-9.206716,F
7.780947,-16.616874,23.337453,21.615103,2.747653,F
9.948001,21.758617,55.958379,-9.427241,-19.775147,F
7.068564,21.519573,28.82604,-2.881431,0.588682,F
30.109427,-26.544109,-9.730666,-4.359696,2.357058,F
4.983205,35.37077,4.544432,7.579595,-5.579102,F
-2.176028,33.710638,25.476957,-2.978934,5.288287,F
-7.073487,54.064037,51.22054,-7.998907,-5.651004,F
21.72299,-22.391435,38.754804,-0.681835,-14.372715,F
6.426599,7.611149,-1.172343,9.958005,0.256063,F
15.240077,-1.990049,9.055729,7.281111,-12.738628,F
-3.047081,24.294817,-18.550951,20.208663,5.061478,F
37.012638,-21.236985,2.639196,-4.265058,-0.991968,F
13.965435,-4.087501,10.894415,2.635656,6.53873,F
38.154797,-27.532865,1.122334,-2.142685,-3.623071,F
18.409151,1.697328,8.62396,-2.321047,3.974508,F
14.736604,-17.567232,50.616437,-23.153798,29.600522,F
5.979694,13.958646,-9.705882,9.404354,8.222853,F
12.234132,6.286004,-8.994013,7.986269,7.12091,F
58.318722,-72.552238,21.194945,-32.586655,-4.766261,F
26.073643,10.915141,-38.165696,-5.086012,3.445012,F
-0.527818,32.745996,5.683243,16.306261,-3.772057,F
4.163727,41.832876,1.964989,3.161608,-7.29107,F
24.362943,-8.278913,8.443997,-14.885433,5.367038,F
2.12587,7.036126,5.079471,21.155668,3.199379,F
13.078585,0.137612,5.448922,8.624887,7.400959,F
-7.595186,74.327675,30.069461,-12.225359,0.156146,F
-20.063513,-25.280701,13.501858,-2.721815,-22.666959,T
-8.536136,-20.481278,-48.169899,-2.179751,-16.304543,T
-34.552162,-55.278135,8.238085,21.55036,12.029046,T
-22.778099,-10.845841,-4.62843,-11.737964,-14.075982,T
-22.702019,-17.34095,22.766712,-6.416385,-18.293569,T
-47.983526,-20.529942,52.197239,11.471045,-11.16999,T
-25.91864,-15.315709,1.519373,-16.367498,0.469771,T
-21.4191,28.431654,-20.122636,-23.304703,-7.182469,T
-38.38298,-52.6747,20.398132,25.579574,7.782026,T
-36.498252,-33.41308,11.061277,16.896674,-10.548335,T
-24.972343,-4.483686,1.530471,-7.420521,-23.741104,T
2.414633,36.500998,12.245099,6.237354,-5.542524,F
-4.417479,37.729698,9.150982,0.583146,27.252369,F
24.824986,3.63356,-31.007385,-1.255113,3.455456,F
6.793627,1.137569,5.936827,18.076821,-1.841771,F
7.909361,19.281125,-25.554182,9.275327,3.469931,F
24.5051,11.702474,-18.917815,6.550045,-10.735919,F
18.084308,7.214349,-19.778118,8.646449,-4.120597,F
14.25297,13.09332,-25.628848,16.449234,1.064218,F
10.686646,5.848303,-28.80583,2.082937,15.552519,F
39.089243,-32.950998,11.078684,-14.990265,-0.634882,F
-6.162088,51.7617,56.959573,-10.834253,-0.354983,F
-33.589248,-25.98524,5.257609,7.273203,-4.657077,T
-28.707482,0.864682,-16.429203,-4.631505,-11.270803,T
-20.193102,-27.260348,-43.777726,5.248453,8.553984,T
-27.943205,-33.255365,19.481073,-2.307696,-7.24506,T
-9.82601,-35.613782,-36.297701,-22.950836,4.868067,T
0.762702,24.740228,-24.18462,1.835242,10.750576,F
1.009743,40.23783,-2.639201,-2.076869,10.101941,F
-13.024537,14.636599,-49.937081,-12.627416,-7.471594,T
-28.641093,27.367949,-25.170688,-17.781809,-2.309961,T
7.3174,31.488363,-29.405081,10.598163,9.946693,F
-11.371009,4.037999,-54.354627,-15.742772,-4.833718,T
-19.189385,7.552429,-10.529787,-19.168861,-10.929851,T
-25.635041,-22.887839,-20.347536,-1.102323,24.929502,T
-32.492464,-48.075702,15.421809,-0.029403,24.176551,T
-37.441022,7.569755,13.236346,-36.7984,45.24903,T
-17.863919,-4.676346,-24.099609,-9.726017,-8.918304,T
3.855745,-1.081737,-60.287971,-12.817951,-22.950098,T
3.903553,-9.43816,-10.443268,20.76879,9.891099,F
35.479021,-40.370692,1.666654,-3.428001,6.062553,F
30.361213,-42.372729,12.307947,8.847995,-3.038181,F
6.445393,20.571965,-23.112892,16.190012,1.753219,F
6.725175,5.855839,-1.142826,21.215178,1.298881,F
11.7235,-2.291159,12.580644,12.940811,-1.376691,F
