PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,PLS1_6,PLS1_7,PLS1_8,PLS1_9,PLS1_10,PLS1_11,PLS1_12,PLS1_13,PLS1_14,PLS1_15,PLS1_16,PLS1_17,PLS1_18,PLS1_19,PLS1_20,PLS1_21,PLS1_22,PLS1_23,PLS1_24,PLS1_25,PLS1_26,PLS1_27,PLS1_28,PLS1_29,PLS1_30,PLS1_31,PLS1_32,PLS1_33,PLS1_34,PLS1_35,PLS1_36,PLS1_37,PLS1_38,PLS1_39,PLS1_40,PLS1_41,PLS1_42,PLS1_43,PLS1_44,PLS1_45,PLS1_46,PLS1_47,PLS1_48,PLS1_49,PLS1_50,PLS1_51,PLS1_52,PLS1_53,PLS1_54,PLS1_55,PLS1_56,PLS1_57,PLS1_58,PLS1_59,PLS1_60,PLS1_61,PLS1_62,PLS1_63,PLS1_64,PLS1_65,PLS1_66,PLS1_67,PLS1_68,PLS1_69,PLS1_70,PLS1_71,PLS1_72,PLS1_73,PLS1_74,PLS1_75,PLS1_76,PLS1_77,PLS1_78,PLS1_79,PLS1_80,PLS1_81,PLS1_82,PLS1_83,PLS1_84,PLS1_85,PLS1_86,PLS1_87,PLS1_88,PLS1_89,PLS1_90,PLS1_91,PLS1_92,PLS1_93,PLS1_94,PLS1_95,PLS1_96,PLS1_97,PLS1_98,PLS1_99,PLS1_100,Class
2.267096,5.925747,-5.950594,14.717947,2.387875,-8.752217,-3.513714,4.216896,-10.015492,-2.265355,5.888172,-0.268375,4.327781,-4.554608,3.711786,-0.809224,-5.34249,6.341599,-2.769286,0.063019,2.311563,-1.415667,2.164659,6.810624,2.408729,-3.925679,-4.631972,-0.416768,0.345817,-1.209556,0.654786,2.901298,-0.467191,0.695631,-1.542136,-3.882307,-10.891868,-29.909644,-160.591059,-243.913044,-171.931673,-27.02343,-19.447458,-7.385336,-4.83249,-1.684524,-5.235472,-1.970142,3.215184,-1.589888,-5.552416,-1.300193,-3.347259,3.991509,-1.775512,-0.116921,0.071943,0.005354,0.001954,0.00176,0.001321,0.000026,0.000132,-0.000014,0.000001,0.000453,0.000093,-0.000349,-0.001294,0.00039,0.001486,-0.000789,-0.003147,-0.000388,-0.000254,0.0004,0.000027,-0.001071,0.001556,0.000149,0.001314,0.000558,0.001231,0.002176,0.001021,0.000989,-0.000857,0.007034,0.005222,0.000643,-0.002178,0.000627,-0.000714,-0.00461,-0.004071,-0.007159,-0.002987,-0.000582,0.012217,-0.012127,F
-10.257136,-7.459274,-24.933737,3.019173,-1.980505,6.749755,-2.267681,0.574237,-3.635518,3.929863,0.719909,0.646893,-5.205365,-5.951457,-4.310225,-3.3017,-4.431528,3.01768,-3.18713,-3.662063,-5.07316,-2.23544,-5.035172,0.266059,7.255722,1.692101,1.402257,-1.915786,0.749687,-1.370087,0.902903,-0.231886,1.296183,1.160875,1.878236,4.35363,14.160369,59.327353,102.020788,213.84648,199.918972,70.269723,17.353082,13.055828,8.188012,7.963501,-0.16733,1.40424,3.646688,3.717899,1.900507,-0.29086,1.55297,4.379852,-0.075251,0.434014,0.044647,-0.012321,-0.003354,-0.000712,-0.001685,0.000004,0.000385,-0.000246,-0.000004,-0.000655,-0.000673,0.000841,-0.004881,0.001209,0.006816,-0.002736,-0.023356,0.00047,0.012815,0.001249,0.00702,0.000189,0.013248,-0.000195,-0.006313,-0.002052,-0.003332,0.007565,0.005231,-0.001161,-0.005262,0.033529,0.026498,0.01686,0.008205,0.005957,-0.006159,-0.04819,0.016637,-0.001559,-0.008238,-0.014184,-0.039255,-0.028789,T
-10.636353,33.047079,6.008935,3.370694,-10.044526,-10.041488,5.918589,10.472033,-9.154212,1.633236,4.692008,-0.55199,-11.410258,-1.973439,2.901389,-2.652709,3.422833,-4.101273,7.456407,-0.825503,-2.932585,0.250916,-3.376112,-1.861113,3.439425,2.182494,-1.198717,-0.603912,-0.779578,1.448451,-1.547918,0.411693,0.535359,-0.081867,1.268622,-1.832827,-0.218806,12.072843,-22.25021,-49.53126,81.036143,13.112305,-0.314006,-0.851307,0.984667,0.768373,0.054215,0.70294,-2.755116,2.283316,0.740181,2.686371,-2.625598,0.612206,-0.239584,0.399574,0.027969,-0.001455,0.000127,-0.000154,-0.000282,0.000007,0.000082,-0.000027,0,-0.000061,-0.000049,0.000168,-0.000701,0.00013,0.001098,-0.001031,-0.005399,-0.000145,0.00456,0.000276,-0.000644,-0.000183,0.004342,0.000004,-0.000297,0.000014,-0.000279,0.003077,0.000817,0.001658,-0.000294,0.00776,0.004892,-0.000089,-0.002339,0.00144,-0.000589,-0.014318,0.002169,-0.003735,0.003576,-0.003975,-0.004239,-0.00652,F
-11.540581,6.690646,-24.189221,0.455277,-1.454069,-13.392377,-1.253108,-3.576231,-13.792444,-2.787045,1.428029,5.553214,-0.120731,-1.460952,3.079225,-0.65187,3.321675,-8.673254,1.986895,-2.65097,-0.239412,5.777993,1.231316,-6.243841,-6.383779,-1.771302,2.158401,0.696985,-0.74357,0.851863,0.663226,-0.00387,-0.26584,-1.09677,-0.49055,-5.615297,-16.660063,-49.49152,-247.479433,-486.984172,-267.334022,-65.759041,-25.839187,-8.390326,-0.083405,-4.645639,2.745373,1.532867,6.878253,-2.654334,-1.71555,-4.621031,0.466464,3.08773,-0.505404,-0.478922,-0.074,-0.011112,0.001138,0.003199,0.002707,0.000017,-0.000205,0.000222,0.000004,0.00075,0.00048,-0.000926,0.002069,-0.000691,-0.003892,0.001827,0.014474,-0.000648,-0.014469,-0.00092,-0.0041,-0.000938,-0.005835,0.000527,0.007645,0.001839,0.00409,-0.007105,-0.005346,0.002421,0.002697,-0.023709,-0.023392,-0.013715,-0.010201,-0.006115,0.004731,0.0228,-0.012748,-0.008948,0.005099,0.007575,0.049289,0.00978,T
0.456995,9.263405,16.935016,-5.630309,11.600533,1.390475,-2.5248,0.327244,-1.915116,0.682899,2.795751,3.460342,-0.118401,-9.432915,-4.923482,1.912578,-4.301243,6.705144,8.001181,2.783331,-2.329283,-1.797858,0.607171,-5.734282,-1.176504,-2.65701,0.530134,-0.044972,1.279927,-2.298787,1.108961,-0.700181,1.287931,-1.392338,3.264916,6.221551,11.759384,44.465758,183.566858,314.457732,206.957851,50.074206,23.064555,12.562822,2.654996,-5.920103,-0.031151,4.312265,-3.526056,-1.279477,-2.193467,0.849671,-4.771436,1.717935,-0.76625,0.38383,-0.067309,0.008647,-0.000231,-0.001881,-0.001695,-0.00002,-0.000086,-0.000028,-0.000001,-0.000606,-0.00017,0.00061,0.00109,-0.000576,-0.000504,-0.000193,0.000063,0.000284,0.001821,-0.000277,0.000447,0.001056,0.000494,-0.000074,-0.000763,-0.000768,-0.001443,0.001003,0.000097,-0.000455,0.000495,0.002174,0.000926,0.002099,0.000454,0.000484,0.000921,0.006228,0.005311,0.007131,0.001779,-0.001851,-0.013904,0.005197,F
-20.547292,0.542686,14.092004,-11.328892,5.851603,-7.770229,-2.896341,-1.794532,-9.812575,5.606218,3.822206,8.795608,6.701254,-8.131119,-1.77562,0.372315,-1.158041,2.298558,-2.601242,-1.68243,-4.8988,-0.102309,3.675353,1.3312,0.731943,0.774565,-1.439337,0.792295,0.639004,0.117574,-0.741193,-1.119759,0.842243,1.796123,0.880024,-0.900254,3.227825,23.031638,30.414748,-38.04398,40.798298,10.621916,1.382741,-2.735481,4.595444,7.750354,0.469772,-0.093562,0.582017,-4.67171,2.163989,-0.105566,3.670221,-3.062481,-0.853727,0.275437,-0.053203,-0.00103,-0.00077,-0.000142,0.0002,-0.000006,-0.000147,0.000126,0.000001,0.000269,-0.000065,0.000046,0.001855,-0.000763,-0.002494,0.000977,0.005342,0.000107,-0.004271,-0.001019,0.003386,0.000324,-0.001851,0.000557,0.001542,0.000964,0.000094,-0.003855,-0.00322,0.00115,0.00196,-0.00884,-0.005902,-0.009009,-0.002418,-0.007256,0.005779,0.013367,-0.005931,0.005087,0.001648,0.001802,0.024839,0.010683,T
8.234332,3.842439,-6.352489,1.730745,1.010571,4.292795,10.441381,13.907663,-10.491397,-5.376815,-6.958423,1.185997,9.334792,-1.397552,-1.04852,-2.129276,5.834072,-5.021428,4.157827,1.490059,1.260388,0.650243,3.084823,-2.596031,1.903295,1.04005,-2.243052,-1.511803,-0.419446,1.016051,2.908433,-1.250489,-1.91936,-0.312033,1.390425,3.761601,2.335723,5.926925,51.053782,120.605647,89.166283,15.721587,8.512977,0.568449,-2.410935,5.547867,-2.875687,0.070662,-0.091902,-0.012486,-2.994239,2.786158,-3.314572,2.150202,0.53138,0.106099,-0.001077,-0.013172,-0.001389,-0.000834,-0.000736,0,0.000183,-0.000182,-0.000002,-0.00037,-0.00031,0.000347,-0.001871,0.000613,0.003191,-0.001713,-0.010009,0.000418,0.008243,0.000964,0.000994,0.000093,0.004899,-0.00019,-0.00328,-0.001179,-0.001587,0.005117,0.003653,-0.00108,-0.001901,0.017409,0.013859,0.009597,0.005437,0.005959,-0.003346,-0.021131,0.01015,-0.001822,-0.005058,-0.006255,-0.035207,-0.014624,F
-19.225071,-2.670896,3.120245,-6.801464,-1.303468,-8.789987,6.181404,13.885294,0.533243,7.782647,-6.715754,-1.402737,1.562525,-4.217268,4.827806,-9.492208,-0.641505,-8.117143,4.266132,2.738611,4.027859,-4.948942,1.906714,-3.118828,-2.769525,4.402899,0.613594,0.396779,0.800145,-1.397784,-1.82512,1.38393,-1.986372,1.548749,-4.436832,-4.917558,-13.141105,-39.832804,-177.941541,-442.707966,-205.022623,-72.578802,-19.11164,-2.273875,-5.249447,-0.515695,-1.055568,3.176881,-1.38719,-0.572756,2.792028,-0.61033,1.984388,-0.460332,-0.696724,-0.152175,0.056859,0.007602,0.002873,0.002631,0.002608,0.000016,-0.000199,0.00022,0.000002,0.000699,0.000293,-0.000829,0.002518,-0.000607,-0.003882,0.001535,0.009506,-0.000649,-0.008191,-0.000505,-0.003551,-0.000824,-0.006216,0.000492,0.004756,0.000956,0.003402,-0.006121,-0.005562,0.003011,0.004106,-0.020972,-0.017288,-0.012697,-0.008799,-0.006445,0.004916,0.013241,-0.013691,-0.007191,0.005573,0.00422,0.038831,0.013858,T
16.681376,-4.711393,-15.763651,-4.672491,13.172141,-1.898733,24.357468,-2.834673,-16.791771,9.369594,-3.273427,-5.275183,-0.916535,1.845225,1.464767,-3.083868,-5.864226,7.875114,-5.572901,2.014248,3.001774,0.383208,-3.377742,-0.35145,-3.600518,6.043242,-0.230781,-1.279088,-1.168589,1.250927,-0.155629,-0.143938,-0.608997,-2.006619,0.966571,-1.900934,-6.003782,-35.767584,-47.886677,-126.548731,-72.559889,-24.187302,-11.51891,-0.669929,1.517694,-2.455592,-1.181893,1.387708,0.705801,-1.382225,-0.873132,2.755406,-1.159817,-3.250403,1.29744,-0.200611,-0.051829,-0.003599,0.002679,0.000375,0.000742,0.000018,0.000138,-0.000123,-0.000001,0.000269,-0.000198,-0.000668,-0.001259,0.000372,0.001907,-0.000767,-0.002234,0.000506,0.007083,0.000954,-0.0019,-0.000729,0.004075,0.000675,-0.00058,-0.000016,0.001036,0.002877,0.002294,-0.000085,0.000361,0.009982,0.011034,0.006157,0.002255,0.001484,0.001687,-0.012069,0.00268,-0.00782,-0.007688,-0.00092,-0.013722,-0.01463,F
-20.732776,0.231878,8.154099,-9.887639,6.688812,11.635178,-3.413038,4.827602,-5.839739,-3.123675,-6.036619,-1.798615,-0.054854,-1.238217,3.1782,5.961395,-2.518329,-0.218924,-6.573737,-5.108087,-0.830961,4.905442,1.543939,-0.957954,-0.714985,-1.548519,0.433079,-1.701156,-0.426024,0.995932,1.097123,1.47028,3.118857,3.679639,5.825053,13.704229,34.759165,131.298055,404.977355,720.593653,559.233668,168.114812,47.183687,15.157411,5.317756,2.159584,4.774738,4.98761,0.462545,5.842807,-0.23776,-1.455549,-6.364121,-9.220241,0.082901,0.016953,0.059238,-0.005167,-0.004737,-0.00418,-0.00457,-0.000052,0.000109,-0.000204,-0.000003,-0.000884,-0.00084,0.001609,-0.001424,0.000094,0.002526,-0.001017,-0.014083,0.001311,0.009546,-0.000772,0.011946,0.002345,0.00524,-0.000304,-0.00597,-0.001379,-0.006612,0.001091,0.003732,-0.004823,-0.001987,0.015322,0.015448,0.007943,0.014235,0.00448,0.000882,-0.015595,0.018269,0.023732,-0.006419,-0.008434,-0.035939,0.002875,T
