PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,PLS1_6,PLS1_7,PLS1_8,PLS1_9,PLS1_10,PLS1_11,PLS1_12,PLS1_13,PLS1_14,PLS1_15,PLS1_16,PLS1_17,PLS1_18,PLS1_19,PLS1_20,PLS1_21,PLS1_22,PLS1_23,PLS1_24,PLS1_25,PLS1_26,PLS1_27,PLS1_28,PLS1_29,PLS1_30,PLS1_31,PLS1_32,PLS1_33,PLS1_34,PLS1_35,PLS1_36,PLS1_37,PLS1_38,PLS1_39,PLS1_40,PLS1_41,PLS1_42,PLS1_43,PLS1_44,PLS1_45,PLS1_46,PLS1_47,PLS1_48,PLS1_49,PLS1_50,PLS1_51,PLS1_52,PLS1_53,PLS1_54,PLS1_55,PLS1_56,PLS1_57,PLS1_58,PLS1_59,PLS1_60,PLS1_61,PLS1_62,PLS1_63,PLS1_64,PLS1_65,PLS1_66,PLS1_67,PLS1_68,PLS1_69,PLS1_70,PLS1_71,PLS1_72,PLS1_73,PLS1_74,PLS1_75,PLS1_76,PLS1_77,PLS1_78,PLS1_79,PLS1_80,PLS1_81,PLS1_82,PLS1_83,PLS1_84,PLS1_85,PLS1_86,PLS1_87,PLS1_88,PLS1_89,PLS1_90,PLS1_91,PLS1_92,PLS1_93,PLS1_94,PLS1_95,PLS1_96,PLS1_97,PLS1_98,PLS1_99,PLS1_100,PLS1_101,PLS1_102,PLS1_103,PLS1_104,PLS1_105,PLS1_106,PLS1_107,PLS1_108,PLS1_109,PLS1_110,PLS1_111,PLS1_112,PLS1_113,PLS1_114,PLS1_115,PLS1_116,PLS1_117,PLS1_118,PLS1_119,PLS1_120,PLS1_121,PLS1_122,PLS1_123,PLS1_124,PLS1_125,PLS1_126,PLS1_127,PLS1_128,PLS1_129,PLS1_130,PLS1_131,PLS1_132,PLS1_133,PLS1_134,PLS1_135,PLS1_136,PLS1_137,PLS1_138,PLS1_139,PLS1_140,PLS1_141,PLS1_142,PLS1_143,PLS1_144,PLS1_145,PLS1_146,PLS1_147,PLS1_148,PLS1_149,PLS1_150,PLS1_151,PLS1_152,PLS1_153,PLS1_154,PLS1_155,PLS1_156,PLS1_157,PLS1_158,PLS1_159,PLS1_160,PLS1_161,PLS1_162,PLS1_163,PLS1_164,PLS1_165,PLS1_166,PLS1_167,PLS1_168,PLS1_169,PLS1_170,PLS1_171,PLS1_172,PLS1_173,PLS1_174,PLS1_175,PLS1_176,PLS1_177,PLS1_178,PLS1_179,PLS1_180,PLS1_181,PLS1_182,PLS1_183,PLS1_184,PLS1_185,PLS1_186,PLS1_187,PLS1_188,PLS1_189,PLS1_190,PLS1_191,PLS1_192,PLS1_193,PLS1_194,PLS1_195,PLS1_196,PLS1_197,PLS1_198,PLS1_199,PLS1_200,Class
2.269056,5.924145,-5.949959,14.719459,2.388538,-8.752224,-3.51327,4.217519,-10.01528,-2.265748,5.887342,-0.268553,4.327758,-4.555083,3.710478,-0.80956,-5.342139,6.342186,-2.769452,0.062624,2.311438,-1.415959,2.165144,6.811297,2.408935,-3.924824,-4.631414,-0.414467,0.348855,-1.202301,0.68086,2.959222,-0.322992,1.070254,-0.514338,-1.816866,-2.96721,-15.991567,-49.289234,-101.096253,-87.883456,-21.498346,-12.844836,-2.731628,-3.992476,-1.438102,-5.169998,-1.936867,3.217352,-1.589175,-5.552072,-1.300539,-3.346477,3.990795,-1.776129,-0.117893,0.070769,0.004782,0.001394,0.000803,0.000533,0.000001,-0.000008,-0.000016,0,-0.000244,-0.00003,-0.000033,0.000389,-0.000189,0.000255,-0.000087,-0.000221,0.000145,0.000449,-0.000043,-0.000363,0.000182,-0.001027,-0.000055,-0.000136,-0.000339,-0.000074,0.000897,0.000496,0.000919,-0.000351,-0.00079,0.002869,0.001439,-0.001813,0.000804,0.002139,0.000849,0.003738,0.001441,0.001049,-0.003153,0.002596,-0.002318,0.000673,0.000489,0.002577,-0.002265,-0.000711,0.001581,0.001794,-0.004054,0.000041,-0.000027,-0.006534,0.007585,0.002367,0.001446,0.002895,-0.003234,0.003144,0.000329,-0.007035,-0.005196,-0.001621,0.00418,-0.001748,-0.008327,-0.000833,0.003034,0.008899,0.001975,0.002026,-0.000978,-0.001708,0.00248,0.010925,0.000734,0.004071,0.005304,-0.004855,-0.012903,0.004583,-0.008588,-0.004947,-0.00993,0.005932,0.005468,-0.009197,0.00946,-0.007566,-0.009021,-0.000409,-0.011301,-0.007894,-0.000071,0.008881,-0.014038,-0.000282,-0.001411,0.009758,0.001533,0.003519,0.01496,-0.004468,-0.000078,-0.010205,0.00667,-0.017516,0.005399,0.006243,-0.014035,0.003911,0.019787,0.006947,-0.017764,0.010707,0.011635,0.006743,-0.017432,-0.012701,-0.010777,-0.011885,0.007418,-0.013691,0.003555,0.003669,-0.001242,-0.009679,0.001998,-0.00373,-0.012916,0.002405,-0.036024,0.005953,-0.007199,0.018133,0.031538,0.015701,0.020311,0.007713,-0.008898,-0.032253,0.003535,F
-10.260097,-7.458149,-24.934468,3.01753,-1.98145,6.749735,-2.267914,0.574055,-3.635794,3.93017,0.721032,0.647069,-5.20533,-5.951083,-4.308138,-3.301323,-4.431806,3.017048,-3.186953,-3.661552,-5.072934,-2.235068,-5.035724,0.264977,7.255556,1.691176,1.4017,-1.918019,0.746814,-1.383652,0.879594,-0.325361,1.181931,0.488546,0.769651,1.355656,4.699298,18.005694,46.217304,80.687858,84.3177,18.608649,4.926276,9.945463,6.073159,7.488039,-0.260311,1.384318,3.641308,3.717456,1.900331,-0.290299,1.55183,4.38073,-0.074055,0.435292,0.046011,-0.011519,-0.0016,-0.000507,-0.000889,-0.000004,0.000028,-0.000026,0,0.000389,-0.000019,-0.000257,0.000065,-0.000042,0.000182,0.000504,0.000151,-0.000266,-0.000026,-0.000131,-0.000677,0.000051,-0.000631,-0.000106,0.000411,0.000464,-0.000017,-0.000917,0.002343,0.000401,0.000934,-0.002134,-0.000344,-0.001103,-0.000153,-0.00054,-0.001611,-0.000244,-0.003996,-0.00135,-0.001857,0.000717,-0.004312,0.002086,-0.003339,-0.002244,-0.005144,0.006146,0.001707,0.000599,-0.007794,0.005817,0.002434,-0.006739,0.001339,-0.000721,-0.004881,0.000086,0.002396,-0.005965,0.007599,0.001023,0.00274,-0.003745,-0.000575,-0.010306,0.002689,0.004788,0.015891,0.015366,-0.005974,-0.004513,-0.002522,-0.00062,-0.010911,0.008534,-0.001532,0.002549,-0.007186,-0.005039,-0.007256,-0.004695,0.00148,-0.004982,-0.014951,0.002722,0.001608,-0.011551,0.012877,-0.000143,0.002075,0.002604,0.021117,0.002428,0.001914,0.010281,0.008759,0.008633,-0.003935,0.004456,0.004649,0.00474,0.001765,-0.012437,0.015433,0.001592,0.030107,-0.023526,0.012093,0.010631,0.032323,0.02809,0.027583,-0.022607,-0.021324,-0.01506,-0.022356,-0.011784,0.015545,0.02167,-0.005421,-0.023015,0.001878,-0.013996,0.019976,-0.004442,-0.003664,0.013313,-0.026356,-0.000279,-0.012288,0.014785,-0.012805,0.051855,0.004249,0.017257,-0.024452,-0.011439,-0.017704,-0.030105,-0.007065,0.012727,0.034682,0.023982,T
-10.638446,33.04718,6.009047,3.370312,-10.044788,-10.041492,5.91843,10.471626,-9.154194,1.633511,4.692165,-0.551927,-11.410214,-1.973242,2.902534,-2.6525,3.422785,-4.101497,7.456562,-0.825104,-2.932451,0.250927,-3.376173,-1.861987,3.439362,2.182789,-1.198467,-0.604615,-0.780832,1.445226,-1.551667,0.394269,0.441612,-0.253405,0.536844,-3.084956,-1.75171,-13.134878,-33.113355,-68.851136,-64.385434,-1.1714,-6.800838,-2.587272,0.559549,0.460072,0.013103,0.685811,-2.757727,2.28285,0.740142,2.686579,-2.626199,0.612287,-0.239309,0.400026,0.02866,-0.00066,0.000849,0.000444,0.000315,-0.000005,-0.000032,0.000035,0,-0.000437,0.000095,-0.000053,-0.000378,0.000365,-0.000945,-0.000353,0.00025,0.000261,-0.000804,-0.000206,0.00131,0.000084,0.001067,0.000383,-0.000042,-0.000345,0.000665,0.000315,-0.003262,-0.002017,-0.00032,0.00137,-0.001335,0.002734,0.003057,0.00171,0.000094,-0.001002,0.002958,0.003447,0.003313,0.002982,0.002408,-0.001937,0.001605,0.003178,0.001979,-0.008604,-0.006861,-0.001893,0.005805,-0.00522,0.002752,0.002308,0.000689,0.000403,0.003134,-0.009136,-0.003508,0.006282,-0.011139,-0.008626,0.00643,0.002305,-0.000489,0.007604,-0.010095,0.002482,-0.022404,-0.009912,0.015342,0.000979,0.004101,0.004606,0.012464,-0.017065,-0.00575,-0.001423,0.000302,-0.00883,0.008453,0.010721,-0.000849,0.012603,0.026946,0.004593,-0.011497,0.00522,-0.005389,0.013574,0.003632,0.004421,-0.022988,-0.005284,-0.003774,-0.022035,0.006696,-0.003882,0.032623,-0.006148,-0.007963,-0.010791,0.004815,0.006635,-0.009487,-0.00252,-0.021989,-0.000155,-0.027758,-0.017163,-0.039508,-0.009133,-0.028977,0.004215,0.017422,0.031352,0.02078,-0.003916,-0.005849,-0.019083,0.008039,0.040714,0.012395,0.021991,-0.014764,0.009724,0.016966,-0.017447,0.040621,-0.008229,0.016201,-0.02835,0.034885,-0.053053,-0.002348,-0.008703,0.014157,0.007741,0.007957,0.01941,0.002204,-0.015686,0.000371,-0.040175,F
-11.530144,6.686493,-24.186807,0.461044,-1.451625,-13.392356,-1.251989,-3.574218,-13.791355,-2.78825,1.425108,5.552696,-0.120843,-1.462785,3.075257,-0.653064,3.322792,-8.670977,1.986219,-2.65225,-0.239946,5.777079,1.233309,-6.241719,-6.383231,-1.768766,2.160691,0.703528,-0.731412,0.883655,0.734755,0.158731,0.257728,0.031306,3.211167,2.866925,7.482105,24.457281,59.773409,152.149186,118.66148,28.338846,9.08821,4.260138,4.470936,-3.28755,3.004713,1.621754,6.889765,-2.652209,-1.714383,-4.622306,0.469222,3.085341,-0.507889,-0.482846,-0.077673,-0.014859,-0.001516,-0.000836,-0.001067,-0.000008,0.000056,0.00001,0,0.000259,-0.000221,-0.00032,0.000436,-0.000413,0.000098,0.000548,-0.000122,-0.000005,0.000539,-0.000088,-0.000662,0.00032,-0.001167,-0.000051,0.000296,0.000124,-0.000338,-0.000166,0.003593,0.001687,0.000556,-0.002846,0.001306,-0.000831,-0.001818,0.000014,0.001463,0.001139,-0.00286,-0.003163,-0.001461,0.000455,-0.002494,-0.00156,-0.004933,-0.004185,-0.003002,0.005642,0.000771,0.004387,-0.00703,0.003217,-0.001674,-0.004465,-0.000327,-0.000773,-0.005896,0.008344,0.004807,-0.003247,0.012473,-0.001969,-0.003508,-0.012419,-0.002412,-0.013118,0.000969,0.003034,0.008095,0.019624,-0.00155,-0.004807,-0.001315,-0.002835,-0.01952,0.013829,0.011334,0.005887,-0.004958,-0.008615,-0.007387,-0.011939,0.00873,-0.007454,-0.023813,-0.001374,0.006673,-0.002429,0.009995,0.01107,0.003326,0.000063,0.031405,-0.002438,-0.006232,0.010421,0.003935,-0.002654,-0.024465,0.001437,0.00887,0.003255,0.009268,-0.014703,0.015305,0.002231,0.009693,-0.019496,0.01063,0.014469,0.037034,-0.001281,0.02454,-0.017995,-0.023846,-0.021489,-0.021348,-0.014508,0.028479,0.009501,-0.008807,-0.01999,0.002079,-0.00809,0.01768,0.00188,-0.013534,0.02081,-0.036883,0.013264,0.005297,0.02809,-0.009774,0.021293,0.027735,0.020212,-0.014808,0.018176,-0.021002,-0.017821,-0.008711,0.004256,0.023236,0.010394,T
0.451446,9.265848,16.933739,-5.632574,11.599151,1.390475,-2.525367,0.326212,-1.915595,0.683563,2.797166,3.460603,-0.118337,-9.431943,-4.921088,1.913232,-4.301741,6.704157,8.001546,2.78426,-2.328964,-1.797422,0.606181,-5.735214,-1.176845,-2.658098,0.528972,-0.04831,1.273808,-2.311638,1.074257,-0.787355,1.030809,-1.919768,1.42764,1.046039,0.051107,2.339171,8.166805,21.129252,8.304021,1.461767,7.459235,5.563553,0.511673,-6.692231,-0.162363,4.25623,-3.532179,-1.28053,-2.194106,0.850181,-4.772978,1.719168,-0.765187,0.385579,-0.065228,0.010843,0.001142,-0.000131,0.000051,-0.000001,-0.000032,0.000014,0,0.000044,0.000167,0.000193,-0.000626,0.000383,-0.000818,-0.000216,0.000569,-0.000005,-0.000893,-0.00028,0.001889,-0.000273,0.001464,0.000301,0.000053,0.000339,0.000404,-0.000602,-0.003147,-0.002058,0.000638,0.001537,-0.003641,0.001202,0.003442,0.000956,-0.003298,-0.001194,0.000481,0.001773,0.001378,0.004467,-0.000154,0.001248,0.001047,0.00142,-0.000599,-0.003214,-0.003621,-0.002853,0.005959,-0.003598,0.001644,-0.000453,0.003516,-0.008555,0.003693,-0.009647,-0.004862,0.004063,-0.013208,-0.0031,0.013499,0.009949,-0.00006,0.005705,-0.005331,0.008661,-0.00704,-0.016371,0.004255,0.000204,0.001887,0.003128,0.009476,-0.01735,-0.017447,0.001233,-0.004799,-0.008546,0.010401,0.021595,-0.009793,0.01753,0.024126,0.006229,-0.008888,-0.003241,0.001851,0.000604,0.004729,0.011185,-0.017905,0.002743,0.010001,-0.013372,0.006048,0.011491,0.027624,0.002937,-0.011117,-0.007314,-0.006631,0.001688,-0.014467,-0.000698,0.003728,-0.003943,-0.003458,-0.015199,-0.034373,0.024774,-0.021796,-0.011374,0.011303,0.029177,0.00735,-0.00318,-0.015651,-0.003066,0.015162,0.032527,0.011042,0.007114,-0.010094,-0.001136,0.019338,-0.016224,0.033098,-0.011445,0.009559,-0.017432,0.017822,-0.009431,-0.026857,-0.004322,-0.009958,-0.025333,0.001304,-0.003968,0.005324,0.000506,0.02383,-0.026068,F
-20.549514,0.544062,14.091712,-11.330631,5.85067,-7.770221,-2.896643,-1.795248,-9.812868,5.606418,3.822747,8.795816,6.701291,-8.130754,-1.773389,0.372703,-1.158502,2.298103,-2.60099,-1.681556,-4.898612,-0.102149,3.67486,1.329752,0.731879,0.77405,-1.440052,0.790442,0.636353,0.107006,-0.770837,-1.205893,0.692458,1.037136,-0.793988,-3.345416,-6.535765,-26.093025,-79.130588,-188.660148,-117.025354,-39.934707,-12.349408,-7.354099,3.382241,7.338376,0.369425,-0.119438,0.576325,-4.67221,2.163627,-0.105429,3.669259,-3.061959,-0.853092,0.2765,-0.05253,0.000174,0.000863,0.000915,0.000792,0.000005,-0.000012,0.000009,0,-0.000434,-0.000104,0.000173,0.000083,-0.000255,-0.000115,-0.000208,0.000168,0.000125,0.00025,0.000177,0.000034,-0.00006,0.000439,-0.000008,-0.000367,-0.000332,-0.000125,0.00038,-0.000297,-0.000204,-0.000441,0.001502,0.001277,-0.000125,-0.001265,-0.000283,0.0007,0.004807,0.002957,0.002193,0.000102,-0.001208,0.00162,-0.002439,0.002589,0.001075,0.003852,0.000462,0.003545,0.00159,0.002919,-0.008217,-0.005188,0.005248,0.001676,0.005985,0.001956,0.004948,-0.001612,0.002441,-0.005659,-0.001352,-0.005193,0.00312,0.001452,-0.001965,-0.001642,-0.008395,-0.005943,0.001429,0.003357,0.000554,-0.00289,0.002484,0.004666,-0.005792,0.010401,0.000983,0.003782,0.012022,0.001343,-0.004619,-0.001576,0.002116,0.000359,-0.011616,0.001548,0.00819,-0.014921,-0.003735,-0.000629,-0.00699,-0.019021,0.001012,-0.003629,-0.007572,-0.02227,-0.009303,0.002164,-0.010028,0.000844,0.002461,0.002164,0.000696,0.005583,-0.000748,-0.015313,0.018406,-0.002783,-0.017587,-0.018818,-0.021876,-0.020078,0.021025,0.011097,0.005712,0.019774,0.017548,-0.002709,0.000747,0.003271,0.017611,0.001635,-0.012838,-0.017542,-0.001585,-0.012591,-0.000443,0.019066,0.007785,0.003467,-0.013083,-0.002807,-0.026701,0.000277,-0.000072,0.020303,0.014203,0.004449,0.058376,-0.012225,-0.016839,-0.036246,0.008158,T
8.235334,3.842178,-6.352366,1.731449,1.010901,4.292783,10.44147,13.907923,-10.491197,-5.37681,-6.958482,1.185937,9.334784,-1.397661,-1.049246,-2.129452,5.834278,-5.021412,4.157683,1.489781,1.2603,0.650217,3.085009,-2.595407,1.903288,1.040264,-2.24276,-1.511504,-0.41828,1.02138,2.914601,-1.231486,-1.879356,0.007186,1.926693,4.680455,6.801569,28.704257,92.875855,188.258961,129.765937,40.00635,14.891139,2.230107,-1.437901,5.696831,-2.837097,0.077346,-0.089384,-0.012454,-2.994079,2.786172,-3.314303,2.149904,0.531128,0.105723,-0.001054,-0.013599,-0.00211,-0.001329,-0.000962,-0.000007,0.00001,0.000019,0,0.000391,0.000085,-0.000287,-0.00014,0.00016,-0.000226,0.000256,-0.000193,-0.000089,-0.000506,-0.000096,0.000139,0.000042,-0.000121,0.000113,0.000394,0.000364,0.000155,-0.000669,-0.000011,-0.000602,0.000359,-0.001142,-0.002016,-0.000405,0.00228,0.001345,-0.001229,-0.003957,-0.001495,-0.001307,-0.000368,0.002662,-0.002323,0.00198,-0.001883,-0.000913,-0.002673,0.000775,-0.004681,0.000433,0.001781,0.008676,0.003757,-0.004231,-0.000899,-0.006847,-0.004283,-0.005166,-0.000337,0.00279,-0.000556,-0.004835,0.009964,-0.00253,-0.003416,-0.003404,0.001276,0.008086,-0.001756,-0.004684,-0.000616,-0.00278,0.001114,-0.000296,-0.00349,-0.000543,-0.010836,-0.000581,-0.001201,-0.015942,0.001637,0.006594,0.001851,-0.001658,0.004372,0.013533,-0.001957,-0.00871,0.010031,0.006941,0.003407,0.011532,0.015878,0.001843,-0.00114,0.000318,0.012619,0.007108,0.009422,0.00091,-0.002816,-0.006315,0.005356,-0.001523,-0.000045,-0.000099,0.010343,-0.017917,-0.000319,0.008652,0.013341,0.01581,0.012342,-0.02202,-0.013182,0.002137,-0.014222,-0.023906,0.002705,-0.000805,0.005924,0.005797,0.01264,0.019395,0.006943,0.003551,0.010876,-0.001298,-0.011376,-0.007351,0.016619,0.004394,0.008658,0.017885,-0.00176,-0.003263,-0.020004,-0.016486,-0.012631,-0.053007,0.004787,0.018257,0.052124,-0.008138,F
-19.217413,-2.673674,3.122299,-6.798107,-1.301414,-8.789968,6.182179,13.886465,0.534125,7.781849,-6.717874,-1.403035,1.562448,-4.218534,4.825728,-9.493136,-0.640881,-8.115632,4.265704,2.738031,4.027482,-4.949605,1.908127,-3.117861,-2.769061,4.404735,0.615219,0.401054,0.809223,-1.378348,-1.780591,1.484588,-1.657496,2.12936,-2.1677,1.632533,2.97088,3.107144,22.626002,3.66855,32.537213,2.384083,2.116918,4.941049,-1.533548,0.470905,-0.904703,3.234977,-1.3793,-0.571395,2.792727,-0.611395,1.986363,-0.462061,-0.698525,-0.15473,0.054193,0.005127,0.00112,0.000001,-0.00039,-0.000006,0.000039,-0.000002,0,0.000042,-0.000193,-0.000216,0.000511,-0.000424,0.000022,0.000275,-0.000227,0.00008,0.000554,0.000358,-0.001289,0.00014,-0.000324,-0.000269,0.000077,-0.000204,-0.000467,-0.000227,0.003154,0.00051,-0.000813,-0.002289,0.00068,-0.000824,-0.001131,-0.000706,0.001792,0.005295,-0.000238,-0.002196,-0.001551,0.000315,-0.000198,-0.002263,-0.003019,-0.002835,0.001359,0.005408,0.003124,0.001851,-0.011264,0.003494,-0.003981,-0.000796,-0.000506,0.007464,-0.005502,0.012108,0.004761,0.004262,0.005891,-0.00087,-0.003727,-0.005342,0.003623,-0.015431,0.000591,-0.003692,-0.002485,0.020214,-0.009189,-0.00425,-0.007795,0.000302,-0.016711,0.005036,0.017459,-0.004064,-0.001942,-0.000353,-0.001077,-0.011513,0.013171,-0.009354,-0.021605,-0.001827,0.000707,0.002457,0.00078,-0.001974,0.005795,-0.012057,0.010955,0.009652,-0.005207,0.007637,-0.016871,0.000214,-0.024229,-0.022575,0.00608,0.001325,-0.001007,-0.023841,0.027053,-0.007641,-0.006645,0.007857,0.006558,0.007679,0.025295,-0.019744,0.003364,0.012114,-0.015796,-0.001311,-0.0118,-0.007855,0.022145,0.013986,-0.000291,-0.007263,-0.001999,-0.018635,0.003113,0.009446,-0.019088,0.031275,-0.013537,0.011452,-0.005893,0.016945,-0.011564,0.014115,0.024078,0.006182,0.014342,0.012687,-0.031155,0.010198,-0.029078,-0.004792,0.014915,0.051979,T
16.690304,-4.714345,-15.761944,-4.668121,13.173916,-1.898741,24.358228,-2.833177,-16.79089,9.368664,-3.275427,-5.275592,-0.916629,1.844005,1.459965,-3.084902,-5.863386,7.876199,-5.573476,2.012781,3.00122,0.382608,-3.376521,-0.34904,-3.600073,6.044801,-0.229475,-1.274434,-1.157485,1.278025,-0.101324,0.011352,-0.261591,-0.793555,3.591128,4.559444,15.283733,57.225118,180.244257,372.355692,277.550317,83.194008,20.044674,9.609958,5.952008,-1.296162,-0.939831,1.458592,0.719943,-1.380849,-0.872327,2.754447,-1.157273,-3.252682,1.295711,-0.20445,-0.054559,-0.006982,-0.000763,-0.002437,-0.001946,-0.000016,0.000122,-0.000031,0,0.000871,-0.000438,-0.000706,0.002007,-0.001361,0.001406,0.001166,-0.001792,0.000222,0.002626,0.000863,-0.004876,0.000614,-0.003975,-0.000823,0.000592,0.000192,-0.001924,-0.000059,0.011023,0.006224,-0.001769,-0.008249,0.004576,-0.0058,-0.005763,-0.003553,0.006065,0.004017,-0.004309,-0.012927,-0.006885,-0.004648,-0.004869,-0.001768,-0.011102,-0.009657,-0.00048,0.019699,0.007468,0.010971,-0.021447,0.021359,-0.007466,-0.001854,-0.00994,0.008006,-0.01549,0.031713,0.021568,0.000326,0.031263,0.004583,-0.018895,-0.029419,0.000119,-0.039796,0.010006,-0.006265,0.021742,0.047432,-0.03238,-0.010915,-0.014621,-0.005275,-0.058466,0.047127,0.045921,-0.007918,0.004403,0.006149,-0.01466,-0.03906,0.037776,-0.044184,-0.080429,-0.006099,0.022551,0.000846,0.013886,-0.002647,0.000559,-0.026826,0.075625,0.015861,-0.010341,0.052269,-0.014706,-0.001867,-0.096734,-0.026588,0.029783,0.002446,0.001836,-0.048018,0.063565,-0.001876,-0.008938,0.001759,0.022558,0.059079,0.11587,-0.046008,0.079336,0.015378,-0.068023,-0.068714,-0.075126,-0.037525,0.077803,0.034408,-0.027781,-0.076299,-0.025138,-0.027028,0.040545,0.036717,-0.05469,0.104063,-0.114522,0.050852,-0.019725,0.095907,-0.043866,0.074619,0.077775,0.022778,0.007465,0.025083,-0.09338,-0.060697,-0.051086,0.020732,0.058242,0.129269,F
-20.748266,0.238552,8.150886,-9.895717,6.684555,11.63517,-3.414579,4.824564,-5.841403,-3.121925,-6.032199,-1.797767,-0.054672,-1.235686,3.18601,5.963444,-2.520035,-0.222193,-6.572695,-5.105547,-0.830005,4.906828,1.541016,-0.962562,-0.715833,-1.552519,0.429809,-1.711646,-0.444037,0.946325,0.972857,1.14248,2.342649,1.355036,-0.157335,0.016083,-5.887453,-21.812747,-60.970056,-168.785147,-109.508326,-35.056426,-11.371217,-3.853313,-2.707921,0.049565,4.304614,4.857839,0.44003,5.839701,-0.239392,-1.45352,-6.368858,-9.216373,0.087201,0.023101,0.065465,0.000508,0.001152,0.000971,0.000602,0.000008,-0.000007,0.000008,0,-0.000367,0,0.000119,-0.000274,-0.000099,-0.000027,-0.000216,0.000023,-0.000066,0.000111,0.000288,0.000379,-0.000217,0.000814,0.000107,-0.000368,-0.000205,-0.000032,-0.000306,-0.001181,-0.000497,-0.000005,0.00234,0.000559,-0.00166,-0.000745,-0.001551,-0.000408,0.003469,0.000083,0.001415,-0.000268,-0.001011,0.000346,0.000529,0.002533,0.001313,0.001136,0.002561,0.006691,-0.001164,-0.000819,-0.005532,-0.005498,0.003579,0.007057,0.003445,-0.000284,0.001052,-0.003405,-0.001355,-0.007565,0.003479,-0.004328,0.003765,-0.000079,0.002697,0.000909,-0.005744,0.000782,0.001242,-0.001061,0.002108,-0.000663,0.003316,0.012003,0.000142,0.002027,0.001734,0.003189,0.01361,0.000018,0.000476,-0.010274,0.002808,0.004347,-0.000462,0.001764,0.004814,-0.011944,-0.015854,-0.000596,-0.001604,-0.017696,0.006511,0.002588,-0.006896,-0.019446,-0.003484,0.006225,-0.007242,-0.004502,0.009755,-0.00125,0.001262,0.011674,0.001466,0.003085,0.004731,0.003704,-0.02049,-0.021964,-0.006064,-0.015562,0.006137,0.009993,0.009358,0.011003,0.014841,-0.014179,0.012194,0.012881,0.0111,-0.003691,-0.016452,0.000089,-0.005307,-0.01634,-0.014424,0.027384,0.004778,0.000617,-0.004885,-0.003722,-0.003535,-0.002529,0.003653,0.009892,0.00327,0.0106,0.04118,-0.007512,-0.007388,-0.022191,-0.003854,T
