PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,PLS1_6,PLS1_7,PLS1_8,PLS1_9,PLS1_10,PLS1_11,PLS1_12,PLS1_13,PLS1_14,PLS1_15,PLS1_16,PLS1_17,PLS1_18,PLS1_19,PLS1_20,Class
2.270663,5.923508,-5.949588,14.720059,2.389051,-8.752223,-3.513169,4.217857,-10.015079,-2.26593,5.887057,-0.268624,4.32774,-4.555345,3.709852,-0.809785,-5.341996,6.34251,-2.769552,0.062497,F
-10.26156,-7.457468,-24.934772,3.016714,-1.981869,6.749733,-2.268141,0.573743,-3.636011,3.930399,0.721692,0.647183,-5.205311,-5.950787,-4.307181,-3.301124,-4.432,3.016623,-3.186856,-3.661231,T
-10.637229,33.04672,6.009242,3.370383,-10.044341,-10.04149,5.918589,10.471725,-9.154163,1.633366,4.692008,-0.551964,-11.410223,-1.973386,2.901893,-2.65259,3.422895,-4.101364,7.456476,-0.825198,F
-11.53278,6.687517,-24.187392,0.459414,-1.45225,-13.39236,-1.252301,-3.57474,-13.791693,-2.787888,1.426025,5.552873,-0.120806,-1.462281,3.076404,-0.652725,3.322489,-8.671638,1.986382,-2.651733,T
0.45135,9.265825,16.933735,-5.632662,11.599094,1.390477,-2.525307,0.326095,-1.915649,0.683533,2.797113,3.460595,-0.118337,-9.431973,-4.921037,1.913281,-4.301726,6.704157,8.001555,2.784191,F
-20.547182,0.5429,14.092403,-11.329383,5.851558,-7.77022,-2.896226,-1.794863,-9.812705,5.60614,3.822102,8.79569,6.701264,-8.131214,-1.774908,0.372331,-1.158192,2.298618,-2.601224,-1.682082,T
8.232421,3.843404,-6.353118,1.729945,1.010019,4.292783,10.441107,13.907353,-10.491479,-5.376455,-6.957734,1.186086,9.334817,-1.397139,-1.047758,-2.129007,5.833958,-5.021992,4.157917,1.490279,F
-19.218364,-2.67353,3.122204,-6.798711,-1.301452,-8.78997,6.18218,13.886229,0.533924,7.781934,-6.717585,-1.40297,1.562461,-4.218415,4.825816,-9.493035,-0.640939,-8.115825,4.265709,2.738048,T
16.68379,-4.711771,-15.763444,-4.671102,13.172245,-1.898748,24.357535,-2.834248,-16.791485,9.369469,-3.27398,-5.275276,-0.916555,1.845155,1.46292,-3.084053,-5.863999,7.875096,-5.57303,2.013731,F
-20.745718,0.237449,8.151548,-9.89432,6.685359,11.63517,-3.414248,4.824895,-5.841236,-3.122211,-6.03273,-1.797889,-0.054701,-1.236127,3.184806,5.963077,-2.519772,-0.221744,-6.572881,-5.106052,T
10.802428,-5.254251,21.004483,-4.611034,-12.818596,14.16542,3.171586,14.190608,-11.553496,-2.500283,2.87477,-6.885834,-2.17994,-1.400834,4.948858,5.397887,-9.438926,-5.262304,-5.144231,3.247767,F
-9.190541,-6.886968,-18.102555,-0.057543,-6.235647,0.399124,6.047168,-3.870096,-16.133861,1.44738,-1.534261,12.684397,-0.06106,-0.566962,1.068045,6.928064,-1.083087,1.107017,1.365184,4.5489,T
-0.030499,5.91644,11.230665,6.384786,6.73311,-10.281632,-11.813052,9.144734,10.686763,3.149261,-3.858065,-6.171626,3.497622,7.829003,0.578885,-0.944974,2.673191,1.424834,-2.778559,1.333444,F
-16.291352,-5.412294,-7.127743,0.549451,6.214445,-12.465144,-7.184705,8.552526,7.532842,1.433482,0.232414,-3.453915,-5.353084,1.671778,-2.660803,-5.780723,4.839824,1.722915,-4.351742,0.169262,T
-3.60711,8.994499,8.611025,2.642633,14.636119,-6.273946,4.409516,5.341425,6.074367,-5.574005,-2.91328,1.818197,3.945054,0.978819,4.509146,-10.533541,-3.108073,-0.418955,3.16299,-1.851037,F
-5.460596,-8.268397,-24.638849,-14.129307,20.544542,0.023152,10.186557,3.280558,1.305024,-7.826385,3.762423,-1.47842,-6.141577,8.911611,-0.587386,-4.925559,5.000911,-1.592841,-2.562762,4.857719,T
7.951067,-3.467183,10.923167,10.935062,-3.477649,-20.376539,-2.365603,5.784227,-8.062595,-1.721023,0.885462,2.526976,-8.073769,9.500401,-1.943108,6.84332,-4.807779,-1.786884,-2.864126,-0.360278,F
-13.201283,-22.960921,-5.891246,6.908457,1.609189,-11.273487,1.393758,10.794389,-1.832786,10.407752,3.286238,-3.892291,-3.253247,3.504222,-7.808388,4.855416,1.636787,-4.178804,4.429559,-1.065897,T
11.351229,-2.202435,0.315531,3.260498,10.705968,-13.806038,6.525093,-3.495237,-12.460092,2.780632,-3.615903,-5.728022,3.507932,-0.923924,1.730073,2.668066,-4.680297,1.476494,1.829915,-1.680739,F
-20.129611,-8.066994,16.852833,-9.994692,2.596882,0.107292,-0.612798,10.023732,-6.442459,5.566662,1.304,1.116807,6.509639,1.365885,3.338831,3.486609,1.44743,1.206225,-4.312603,-1.052367,T
7.724622,0.56047,-12.024489,8.567165,5.566592,3.334384,-3.918497,8.974447,-1.882613,-2.987673,5.232642,1.259902,7.265928,0.557919,1.508028,-8.876031,-6.073976,3.395551,1.006065,-6.171611,F
-19.909742,2.888852,-8.780304,5.398063,-2.370455,1.062021,-13.99589,5.662328,-4.098027,-5.820133,-0.485381,-0.778007,0.180614,0.568487,7.158068,2.809703,1.472192,8.336321,-0.673545,-0.14527,T
4.403243,-0.749606,16.986731,-8.407001,14.117576,-1.35692,7.136147,7.404897,9.705817,-3.631732,4.166433,0.677865,-13.731587,-1.776868,-1.935381,10.215325,-3.335979,0.112053,-0.182973,-2.655329,F
-17.507419,-6.322131,3.79726,-2.341234,12.410622,-2.604727,-7.926837,4.245813,-9.115925,-10.106354,-0.221452,1.40255,1.431896,5.309283,-10.202616,8.73195,2.491039,-1.121965,6.916346,-3.740617,T
8.257299,0.145643,1.725736,-0.180333,12.31744,-5.637621,-4.229429,-1.74274,5.158676,6.530549,5.361592,-1.905293,-1.044483,-3.475971,-2.691721,-2.425346,4.676076,-0.228533,-0.020596,-1.775664,F
19.013671,4.442722,-11.914694,-4.400912,-6.16781,6.605921,-8.396872,2.795392,3.348693,3.437813,0.971392,3.281378,2.820429,2.304112,-4.220881,-0.868268,-3.646654,-0.774649,5.330389,6.951684,F
10.563759,2.98717,-8.400661,2.457052,3.895533,13.828114,-6.967295,3.752422,3.42754,-3.387086,-5.070734,3.787567,-1.282737,-3.404267,-6.987418,-4.031253,-5.262184,-7.826822,-6.750568,-6.450587,F
17.890926,4.248588,-11.863148,-2.190864,5.725292,-2.001862,-9.521826,-2.469493,4.003434,1.899631,-1.440632,-5.660177,-3.207976,-1.885303,5.774672,10.171239,1.095653,-0.257289,-0.034292,1.660447,F
12.417437,12.18298,-10.108728,0.659,-0.450685,13.065282,-12.75423,2.384391,-7.607195,-2.995258,-4.898569,-6.624625,-6.651951,-2.688,-5.950011,-5.350336,-2.106573,-1.618862,-4.841727,6.498955,F
15.731694,0.6555,-6.815582,-0.913026,-1.385943,10.388168,-3.627333,6.646812,-5.315405,-5.249139,-5.322752,5.205714,1.252758,3.57128,1.642422,3.508796,9.606395,10.540079,2.385671,-6.054614,F
3.834083,16.724179,2.43631,0.663014,-2.427906,-5.232674,-6.569994,-0.237352,5.120185,2.900693,-8.407177,8.767877,-6.187498,-0.22383,-1.469631,-6.725414,-1.819216,3.316327,1.086026,4.218367,F
10.249024,-6.896469,20.105808,-0.100617,-10.956012,8.151813,-2.472086,6.476837,-1.730496,4.874937,-7.882284,1.789611,-4.089715,5.276153,3.032099,0.0145,2.675334,1.661116,1.165733,6.616478,F
14.9345,-8.288449,11.876812,-1.012857,0.381789,6.134555,-3.534786,3.411954,-4.469992,-2.959935,-4.872647,-2.758389,-2.404302,-8.138416,-1.320548,1.071051,9.998318,-0.083406,-0.836701,4.055794,F
12.433727,6.590497,1.759985,-4.164629,-0.909391,-6.457253,-9.52456,-3.116037,8.682043,11.979822,-1.312438,-1.141999,1.466061,-0.59854,0.560222,4.114193,-0.668507,-3.565711,0.818944,1.379977,F
14.3414,-4.021762,-10.624618,5.283785,-1.153455,-2.041404,-1.219558,4.284493,6.757157,6.235107,-5.691613,3.469158,-1.572249,1.323561,6.303956,1.175258,2.586305,1.333814,-3.859657,-5.21828,F
21.923706,-8.453601,7.724337,-7.779045,3.517902,-2.865095,-2.33932,-7.909572,3.487213,0.207698,-4.560388,5.121058,-1.751799,-3.951109,-3.465582,-5.224751,-3.248196,-6.078827,-3.13458,-6.683601,F
7.463184,20.056921,-4.3461,-10.754842,1.964335,13.018202,-6.48677,-2.38422,-16.042939,8.996958,11.06472,-3.820624,9.610352,4.651261,-4.180892,0.916605,6.780349,0.543719,-4.214195,0.75504,F
