PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,PLS1_6,PLS1_7,PLS1_8,PLS1_9,PLS1_10,PLS1_11,PLS1_12,PLS1_13,PLS1_14,PLS1_15,PLS1_16,PLS1_17,PLS1_18,PLS1_19,PLS1_20,PLS1_21,PLS1_22,PLS1_23,PLS1_24,PLS1_25,PLS1_26,PLS1_27,PLS1_28,PLS1_29,PLS1_30,PLS1_31,PLS1_32,PLS1_33,PLS1_34,PLS1_35,PLS1_36,PLS1_37,PLS1_38,PLS1_39,PLS1_40,PLS1_41,PLS1_42,PLS1_43,PLS1_44,PLS1_45,PLS1_46,PLS1_47,PLS1_48,PLS1_49,PLS1_50,Class
2.270663,5.923508,-5.949588,14.720059,2.389051,-8.752223,-3.513169,4.217857,-10.015079,-2.26593,5.887057,-0.268624,4.32774,-4.555345,3.709852,-0.809785,-5.341996,6.34251,-2.769552,0.062497,2.311346,-1.416117,2.165476,6.811608,2.409017,-3.92455,-4.631187,-0.413326,0.350306,-1.197491,0.690707,2.991007,-0.251746,1.242059,0.013402,-0.526499,0.837276,1.224955,1.400646,0.590785,-0.057028,-3.707785,-4.131293,-1.308658,-3.207566,-1.259128,-5.119036,-1.92594,3.219521,-1.5888,F
-10.26156,-7.457468,-24.934772,3.016714,-1.981869,6.749733,-2.268141,0.573743,-3.636011,3.930399,0.721692,0.647183,-5.205311,-5.950787,-4.307181,-3.301124,-4.432,3.016623,-3.186856,-3.661231,-5.072806,-2.234942,-5.036171,0.264545,7.255461,1.690802,1.40124,-1.918914,0.744898,-1.389222,0.872317,-0.345015,1.102512,0.302475,0.099936,-0.302494,0.618824,0.149252,0.168246,0.176376,4.429559,2.990298,1.730283,7.370288,5.162772,7.204458,-0.307972,1.369261,3.639038,3.717066,T
-10.637229,33.04672,6.009242,3.370383,-10.044341,-10.04149,5.918589,10.471725,-9.154163,1.633366,4.692008,-0.551964,-11.410223,-1.973386,2.901893,-2.65259,3.422895,-4.101364,7.456476,-0.825198,-2.932494,0.250842,-3.376028,-1.861805,3.439415,2.182921,-1.19828,-0.604153,-0.780149,1.447897,-1.547628,0.408624,0.499234,-0.128415,1.066557,-2.256526,0.345941,0.687284,-0.199245,3.943021,-3.657682,7.436444,-2.160461,-1.289937,0.704966,0.569879,0.050201,0.692599,-2.756075,2.283157,F
-11.53278,6.687517,-24.187392,0.459414,-1.45225,-13.39236,-1.252301,-3.57474,-13.791693,-2.787888,1.426025,5.552873,-0.120806,-1.462281,3.076404,-0.652725,3.322489,-8.671638,1.986382,-2.651733,-0.239766,5.77731,1.232682,-6.242509,-6.383396,-1.769486,2.159897,0.701632,-0.734933,0.874221,0.718425,0.116372,0.099908,-0.339443,2.257208,0.286403,0.313427,-0.402085,0.176637,3.226852,0.372249,-2.412793,0.930319,0.156696,2.87763,-3.735057,2.938286,1.602292,6.886116,-2.652619,T
0.45135,9.265825,16.933735,-5.632662,11.599094,1.390477,-2.525307,0.326095,-1.915649,0.683533,2.797113,3.460595,-0.118337,-9.431973,-4.921037,1.913281,-4.301726,6.704157,8.001555,2.784191,-2.328983,-1.797417,0.606142,-5.735203,-1.176861,-2.658122,0.529136,-0.048614,1.273661,-2.311536,1.068815,-0.791709,1.030132,-1.957299,1.366408,1.361573,-0.306561,-0.463232,1.024857,1.331092,1.562753,-1.131929,4.562376,5.649418,0.324957,-6.600008,-0.169218,4.256072,-3.531752,-1.280597,F
-20.547182,0.5429,14.092403,-11.329383,5.851558,-7.77022,-2.896226,-1.794863,-9.812705,5.60614,3.822102,8.79569,6.701264,-8.131214,-1.774908,0.372331,-1.158192,2.298618,-2.601224,-1.682082,-4.898787,-0.10233,3.675379,1.330386,0.732001,0.774499,-1.439391,0.791998,0.639417,0.114929,-0.753767,-1.147422,0.825877,1.364066,0.364452,-0.80335,-0.299438,-0.059396,0.049866,4.353673,-0.708182,-5.357808,-2.491234,-4.168427,4.136312,7.640869,0.457574,-0.09671,0.580387,-4.67157,T
8.232421,3.843404,-6.353118,1.729945,1.010019,4.292783,10.441107,13.907353,-10.491479,-5.376455,-6.957734,1.186086,9.334817,-1.397139,-1.047758,-2.129007,5.833958,-5.021992,4.157917,1.490279,1.260483,0.650463,3.084395,-2.596138,1.903124,1.039685,-2.243389,-1.513429,-0.421602,1.012342,2.894098,-1.292341,-2.029227,-0.364796,0.777696,1.834949,-0.555857,0.722456,2.102675,-1.399779,1.663006,2.102642,3.25106,-1.566312,-2.772491,5.342335,-2.933683,0.053624,-0.093641,-0.013121,F
-19.218364,-2.67353,3.122204,-6.798711,-1.301452,-8.78997,6.18218,13.886229,0.533924,7.781934,-6.717585,-1.40297,1.562461,-4.218415,4.825816,-9.493035,-0.640939,-8.115825,4.265709,2.738048,4.027511,-4.949497,1.907962,-3.11801,-2.769122,4.404548,0.615096,0.400491,0.808274,-1.380981,-1.785269,1.482305,-1.689537,2.059749,-2.21917,1.032796,0.751777,-0.896486,1.879571,-0.617485,3.875121,-2.397501,0.305575,4.251818,-2.261593,0.312315,-0.915992,3.229584,-1.379824,-0.571473,T
16.68379,-4.711771,-15.763444,-4.671102,13.172245,-1.898748,24.357535,-2.834248,-16.791485,9.369469,-3.27398,-5.275276,-0.916555,1.845155,1.46292,-3.084053,-5.863999,7.875096,-5.57303,2.013731,3.00159,0.383171,-3.377696,-0.350531,-3.600434,6.043603,-0.230868,-1.27861,-1.164701,1.259744,-0.142114,-0.111282,-0.581269,-1.563185,1.311646,-0.936294,0.494627,1.152585,-0.380108,1.891788,2.260219,-0.466583,-3.559003,1.301026,3.382635,-2.096518,-1.133459,1.409811,0.71018,-1.382131,F
-20.745718,0.237449,8.151548,-9.89432,6.685359,11.63517,-3.414248,4.824895,-5.841236,-3.122211,-6.03273,-1.797889,-0.054701,-1.236127,3.184806,5.963077,-2.519772,-0.221744,-6.572881,-5.106052,-0.830158,4.906612,1.5415,-0.961842,-0.715684,-1.552056,0.430439,-1.709952,-0.440648,0.953693,0.993345,1.197676,2.481658,1.657419,0.964487,2.211788,0.231644,0.385632,1.225495,0.952243,-0.294149,1.737256,-1.34009,-0.837161,-1.82956,0.351557,4.380737,4.877111,0.444059,5.840128,T
10.802428,-5.254251,21.004483,-4.611034,-12.818596,14.16542,3.171586,14.190608,-11.553496,-2.500283,2.87477,-6.885834,-2.17994,-1.400834,4.948858,5.397887,-9.438926,-5.262304,-5.144231,3.247767,1.671735,2.595833,0.116288,-4.910237,2.225803,-3.959659,2.739554,-1.23584,-0.398394,0.142708,-0.526164,-0.180624,-0.197779,0.463906,0.060873,0.824148,-0.073886,1.012888,0.474434,1.199325,0.625425,1.845285,1.326473,0.224051,1.828841,0.168742,1.987047,0.939226,1.655526,-1.079653,F
-9.190541,-6.886968,-18.102555,-0.057543,-6.235647,0.399124,6.047168,-3.870096,-16.133861,1.44738,-1.534261,12.684397,-0.06106,-0.566962,1.068045,6.928064,-1.083087,1.107017,1.365184,4.5489,2.300239,3.926609,-5.488284,-6.267614,3.255792,-0.628842,1.625574,1.175581,0.644123,0.687131,0.191786,-0.105819,1.096037,-1.099178,-3.653196,-0.79641,-0.730555,0.37386,-0.119582,0.559112,6.514492,-0.004578,-0.81784,-5.831136,-0.998392,-2.509166,-1.524709,0.848394,-5.18502,1.13517,T
-0.030499,5.91644,11.230665,6.384786,6.73311,-10.281632,-11.813052,9.144734,10.686763,3.149261,-3.858065,-6.171626,3.497622,7.829003,0.578885,-0.944974,2.673191,1.424834,-2.778559,1.333444,0.023249,2.533889,-2.473613,-8.520643,5.472421,5.785985,1.564567,-0.585879,0.76582,-1.932802,0.397638,-0.248343,1.841411,-1.280437,2.320298,-2.72085,-0.96567,-0.352759,2.327468,0.065591,2.119135,-3.871382,-2.394738,-4.023182,-0.505116,1.679741,1.008197,1.788333,1.811236,-0.416964,F
