PLS1_1,PLS1_2,PLS1_3,PLS1_4,PLS1_5,Class
2.270663,5.923508,-5.949588,14.720059,2.389051,F
-10.26156,-7.457468,-24.934772,3.016714,-1.981869,T
-10.637229,33.04672,6.009242,3.370383,-10.044341,F
-11.53278,6.687517,-24.187392,0.459414,-1.45225,T
0.45135,9.265825,16.933735,-5.632662,11.599094,F
-20.547182,0.5429,14.092403,-11.329383,5.851558,T
8.232421,3.843404,-6.353118,1.729945,1.010019,F
-19.218364,-2.67353,3.122204,-6.798711,-1.301452,T
16.68379,-4.711771,-15.763444,-4.671102,13.172245,F
-20.745718,0.237449,8.151548,-9.89432,6.685359,T
10.802428,-5.254251,21.004483,-4.611034,-12.818596,F
-9.190541,-6.886968,-18.102555,-0.057543,-6.235647,T
-0.030499,5.91644,11.230665,6.384786,6.73311,F
-16.291352,-5.412294,-7.127743,0.549451,6.214445,T
-3.60711,8.994499,8.611025,2.642633,14.636119,F
-5.460596,-8.268397,-24.638849,-14.129307,20.544542,T
7.951067,-3.467183,10.923167,10.935062,-3.477649,F
-13.201283,-22.960921,-5.891246,6.908457,1.609189,T
11.351229,-2.202435,0.315531,3.260498,10.705968,F
-20.129611,-8.066994,16.852833,-9.994692,2.596882,T
7.724622,0.56047,-12.024489,8.567165,5.566592,F
-19.909742,2.888852,-8.780304,5.398063,-2.370455,T
4.403243,-0.749606,16.986731,-8.407001,14.117576,F
-17.507419,-6.322131,3.79726,-2.341234,12.410622,T
8.257299,0.145643,1.725736,-0.180333,12.31744,F
19.013671,4.442722,-11.914694,-4.400912,-6.16781,F
10.563759,2.98717,-8.400661,2.457052,3.895533,F
17.890926,4.248588,-11.863148,-2.190864,5.725292,F
12.417437,12.18298,-10.108728,0.659,-0.450685,F
15.731694,0.6555,-6.815582,-0.913026,-1.385943,F
3.834083,16.724179,2.43631,0.663014,-2.427906,F
10.249024,-6.896469,20.105808,-0.100617,-10.956012,F
14.9345,-8.288449,11.876812,-1.012857,0.381789,F
12.433727,6.590497,1.759985,-4.164629,-0.909391,F
14.3414,-4.021762,-10.624618,5.283785,-1.153455,F
21.923706,-8.453601,7.724337,-7.779045,3.517902,F
7.463184,20.056921,-4.3461,-10.754842,1.964335,F
21.296483,-10.345971,3.030307,-11.331956,12.014991,F
-19.747975,1.309682,-1.087029,-4.511754,12.072161,T
14.028304,-2.274035,-3.789246,7.063457,-9.925076,F
7.922121,5.959628,-14.971157,3.907141,4.774233,F
-16.499009,-9.007914,5.059311,7.569618,-7.49918,T
-11.833071,-13.523041,-2.00038,3.055172,-11.143,T
16.141772,-15.359649,10.178303,4.749185,-6.932706,F
-12.296848,2.051361,1.911674,14.578062,7.913524,F
14.724282,-9.044562,17.21432,6.869859,-7.252717,F
10.814113,-3.041837,12.247959,-3.293885,10.252931,F
-17.660276,-0.794993,-5.095967,-6.599671,1.010777,T
-14.766406,3.38884,8.089069,18.796997,-4.279977,F
-15.033882,-2.207053,1.215682,-0.61612,-11.807602,T
-1.385182,-3.792165,-8.519347,-13.935904,-16.403205,T
10.170749,-8.975619,4.712945,1.771035,0.538855,F
4.815574,3.295946,-2.502946,3.594522,4.318447,F
-19.52219,4.278396,-0.071804,-1.665558,2.638751,T
1.467853,2.540329,-0.74745,-18.812588,-38.346296,T
-11.991998,0.808538,20.705359,12.550865,4.796088,F
-7.408965,26.475635,11.713047,-4.362858,-4.209492,F
13.485952,7.560446,-10.863053,6.769911,-7.902856,F
9.40035,-0.616055,2.485276,4.206198,2.612984,F
-16.11081,-5.876214,-17.433449,0.537764,-10.991529,T
11.979841,0.153106,0.565443,0.102451,-13.928162,F
-12.645018,-6.810364,2.120335,1.366666,-12.833163,T
