normal,gene377,gene765,gene14,gene1597,gene493,gene1671,gene1400,gene625,gene1892,gene1047
F,0.396329,0.349957,-1.53192,-0.208554,1.03187,-0.525082,-0.942793,0.332443,-0.378657,1.69032
T,1.68741,1.55094,0.404811,-0.745925,1.58552,-1.83078,-1.43354,-0.044018,1.1736,0.508408
F,0.697607,-0.085503,-1.70035,-1.00352,0.695736,1.04685,-0.586686,-0.278723,-0.736563,0.176377
T,0.868489,1.03575,-0.55931,-0.226896,1.17647,-0.961789,-1.16683,-0.029961,-0.400963,0.072867
F,-1.19735,0.465046,0.486905,-0.25915,-0.63584,1.09874,-0.019951,-0.442686,0.096454,-0.679594
T,0.685269,2.0169,1.93079,0.460102,1.01743,-0.70534,0.028395,-0.816522,1.382,-2.27987
F,-0.204359,-0.543412,-0.976049,-0.58874,-0.794348,2.4,-0.903596,0.748909,-0.619891,-0.161914
T,1.20423,1.88703,1.15644,0.869148,1.05802,-0.623567,0.118521,-1.5901,-1.31616,-1.42771
F,-1.08521,0.006184,-0.588374,-1.26659,-0.953479,0.979544,0.752718,0.737611,-1.21942,1.5115
T,0.73714,1.86499,1.38068,0.4267,1.10446,-1.52505,-0.960517,-2.16295,1.46816,-1.13042
F,0.043436,-0.58444,-1.3067,0.092227,-0.698936,-0.369044,-0.476931,0.79234,0.370383,-0.918946
T,0.424935,1.92245,1.02923,-0.498545,1.64426,-1.36135,-1.38985,0.682479,1.45326,-0.246093
F,0.265867,0.640185,0.684712,-0.039219,0.101192,-0.122111,0.355437,0.306087,0.105264,-0.954375
T,1.04822,1.7931,1.01476,0.466268,2.02629,-1.78412,-0.722755,-1.15048,0.807683,-0.896482
F,-0.720749,0.478516,-0.178935,0.818666,0.316226,-0.517352,1.01698,-1.1886,-0.235008,-0.219566
T,0.435586,0.379343,-0.101042,0.64537,0.750946,-0.78385,-1.72185,-1.85838,-1.13995,0.398588
F,0.608344,-0.311375,-0.633022,0.036234,0.189036,0.587315,-0.03181,1.02459,-0.065456,-1.27301
T,2.79307,0.505664,1.02874,0.671953,1.62459,-0.416893,-0.163824,-0.749753,-0.629941,-2.49923
F,-0.86651,-0.518572,0.255625,-0.210832,0.03872,0.673107,0.035253,0.225784,-2.01713,0.702935
T,1.24517,1.84852,2.08865,-0.528005,1.48417,-0.968595,0.071298,-1.24503,0.479083,-2.22404
F,0.206886,-0.654079,-1.84593,0.178398,0.37907,0.188356,0.636268,0.521564,-1.10078,1.02599
T,0.480019,1.27248,-0.660579,0.732518,1.46716,-1.75036,-1.42803,-1.6444,1.09047,-0.334073
F,-1.06196,-0.554355,0.217414,0.831048,-0.943869,2.1186,1.81095,0.020976,0.380518,-0.793193
T,2.32254,0.65299,1.83464,2.28,1.40241,1.35008,-2.14975,-1.20663,0.289259,-1.12493
F,-0.922103,-0.69135,0.262912,0.067173,-0.412118,-0.710774,1.22494,0.062029,-0.510021,-0.226297
F,-0.668042,-0.896282,-1.41239,-1.06002,-1.24689,0.282961,-0.700096,0.9294,-0.444243,0.822421
F,-0.708878,-0.066362,-1.1616,-1.31651,-0.82305,0.486299,-0.624488,1.40694,0.115098,0.617032
F,-0.951402,-0.816295,-0.399909,-0.446471,-0.884028,0.417348,-0.332788,1.05687,-0.563711,1.09067
F,-0.788323,-0.783134,-1.74159,-2.53791,-1.04328,-0.825631,-1.98799,1.01588,-0.067261,0.907641
F,-0.407664,-0.369369,-1.20655,-3.66349,-1.18657,0.151039,0.043155,1.75803,-0.256759,0.441343
F,-1.05026,0.021763,-0.527436,-1.86149,-1.05708,0.123146,0.036463,0.216811,-0.361446,1.03022
F,-0.692001,0.16038,-0.140789,-0.208297,-0.549997,0.355803,1.32189,0.686197,0.222273,-0.792663
F,-0.612216,0.041811,0.468599,-1.01041,-0.728455,0.095302,0.983679,1.44673,-0.081453,-0.97515
F,-0.967186,-1.0495,0.105281,-0.034325,-0.913241,0.55201,-0.285508,0.963104,-0.165452,0.804045
F,-0.686497,0.081342,-0.750862,-0.952389,-0.338867,0.695614,-0.096745,0.464888,-0.049133,1.68122
F,-1.65309,-0.819163,0.063377,-0.234576,-1.83724,1.88159,1.24028,0.906277,-0.955153,-0.1456
F,-0.659746,-0.832429,-2.31952,-2.29605,-0.570915,-0.817119,-0.853598,-1.09858,-1.26058,1.13194
F,-1.6452,-0.091932,0.071696,0.165164,-1.21756,1.7433,1.69367,0.895546,-0.864422,1.03072
T,1.39393,1.33909,0.760898,1.32172,0.547207,-1.00121,0.650447,-1.51859,2.27016,0.170659
F,-0.347112,-2.1303,-0.142293,0.200959,-0.738518,0.29072,-0.274835,1.64226,-1.49576,1.05879
F,-0.970712,-0.800751,-0.232203,-0.612437,-0.977785,-0.094371,-0.202959,0.415664,-0.502851,0.923272
T,1.48753,0.109645,1.31337,1.15909,0.366829,-1.55922,-0.121483,-1.35399,1.27914,-1.42853
T,0.923745,0.953207,1.04868,0.805346,1.62195,-1.29321,0.319593,-0.171267,0.917024,-0.96937
F,-0.600602,-0.853935,0.08924,0.447727,-1.03132,1.52745,2.3266,1.41426,-0.399639,0.126167
F,-0.09786,-0.01211,0.026216,-0.204137,0.43863,-0.834091,-0.216494,-0.868588,0.357574,-0.764693
F,-0.61041,-0.898644,0.660668,0.522716,-0.636079,0.708197,1.17326,0.86473,-1.04314,-0.411855
F,-1.84239,-1.31511,-0.261051,0.568904,-1.81962,-0.166675,2.4155,-0.586901,-1.50261,0.930289
T,1.19715,-0.406948,0.731312,-0.038347,-0.045496,-1.34472,-1.61786,-1.04714,0.984154,-1.04887
F,0.70518,0.135997,0.061964,0.646064,1.02057,-0.721404,-0.708121,-0.390316,0.464721,-0.380491
T,-0.193367,0.939973,1.06366,1.35133,1.77076,0.216881,0.194183,-0.742501,1.91059,-0.298695
T,-0.137593,-1.27574,-0.015205,1.30475,0.0915,-0.355162,0.006701,0.408603,-0.340433,0.475153
F,-0.761555,-0.477421,0.954973,0.786019,-0.605867,-0.033978,1.47715,1.10302,-0.495257,0.713768
F,-0.552491,-0.504203,0.156209,0.455232,-0.502564,0.814943,0.083999,0.61061,0.468867,1.04707
T,0.114126,0.888538,1.39249,1.43728,0.448844,-0.52204,0.120995,-1.8871,1.11417,-0.441505
T,-0.164317,-1.92326,-0.769534,0.247832,-0.937252,1.27111,0.191606,-0.107927,-0.323548,0.62522
F,0.749598,0.965813,1.12447,0.803454,0.314639,0.531178,0.782236,-0.480854,1.70824,-0.437891
F,-0.75391,-0.842043,-0.324529,0.363797,-0.213315,-0.025612,0.394476,-0.726459,0.595536,1.30668
F,0.001145,-1.30552,-1.39987,-0.531232,-0.567127,0.221683,-0.308762,0.19067,-0.005179,1.61455
F,-0.507101,-0.830158,-0.229063,0.357328,-0.556259,-0.208402,1.03369,0.844114,-2.46453,-0.09364
T,2.21181,0.056917,-0.118578,0.093008,0.347547,-0.340699,-1.12982,-0.626193,1.92063,0.305967
F,-0.212275,-1.61317,-1.33116,0.258445,-1.28944,1.20989,0.473929,1.41968,-0.558186,0.761279
T,0.365677,0.492348,0.696933,0.712104,0.694332,1.08054,0.545995,-0.100459,1.14638,-0.12444
