normal,gene377,gene765,gene14,gene1597,gene493,gene1671,gene1400,gene625,gene1892,gene1047,gene1917,gene1293,gene1884,gene1771,gene822,gene1758,gene1115,gene1416,gene419,gene99,gene1674,gene1423,gene1772,gene391,gene1679,gene1570,gene66,gene1873,gene1634,gene892,gene415,gene1168,gene581,gene1042,gene1640,gene1153,gene1401,gene648,gene1473,gene1635,gene249,gene1730,gene245,gene824,gene1946,gene1511,gene1472,gene67,gene267,gene513,gene1924,gene1256,gene622,gene187,gene1959,gene411,gene75,gene992,gene561,gene1672,gene1972,gene1534,gene1967,gene882,gene1346,gene779,gene1406,gene1494,gene1060,gene1381,gene1867,gene529,gene1231,gene495,gene1897,gene1651,gene1111,gene281,gene980,gene1843,gene1920,gene994,gene866,gene1058,gene111,gene1421,gene515,gene143,gene359,gene1334,gene679,gene652,gene806,gene1560,gene1573,gene1388,gene665,gene1983,gene137,gene1387
F,0.396329,0.349957,-1.53192,-0.208554,1.03187,-0.525082,-0.942793,0.332443,-0.378657,1.69032,0.53002,0.700039,-0.979565,-0.694222,0.095114,0.039088,0.432495,-1.53753,-0.961885,-1.70486,-0.061928,0.353318,0.234473,0.738424,0.559915,-0.699901,0.01698,-0.369497,0.591347,-1.37324,0.409291,0.478998,0.149302,-0.207158,0.576603,1.07461,-0.07693,1.57702,1.81534,-0.782026,-0.084774,-0.153933,0.053861,0.261337,0.360917,-0.157059,0.673796,0.116946,0.000689,0.338184,0.620955,0.808888,0.617176,-0.244483,0.692009,-0.083107,1.46226,0.254848,-3.04872,0.87534,0.856032,1.32067,0.040511,-0.397061,-0.345308,0.151945,0.933735,-0.652913,-0.262327,1.13987,0.700442,0.823814,-0.616197,-1.09345,-1.18659,1.98187,-0.424271,1.89978,0.864946,-1.41003,0.051585,0.18709,-0.492318,-1.09246,0.195088,-1.0764,-0.647495,-0.052391,-1.18033,-0.247243,0.991121,-0.160803,-0.547933,-0.253579,0.929709,-0.560586,0.597123,0.281659,1.30251,0.849493
T,1.68741,1.55094,0.404811,-0.745925,1.58552,-1.83078,-1.43354,-0.044018,1.1736,0.508408,1.13252,0.204408,0.661753,-1.01578,1.75134,0.710564,-0.048505,-0.204508,0.132091,0.763439,1.14939,1.54289,-1.29141,-0.263439,-0.354386,-0.02377,0.639241,1.71962,0.279767,1.32801,1.50406,-0.118437,-0.320751,-0.927375,0.19447,0.046023,-0.051972,0.468483,0.497104,1.07346,1.0784,-1.45746,1.22309,0.405049,0.199938,-0.239966,-0.71802,0.684171,1.24354,-0.864754,-0.445452,-1.04654,-0.566642,-1.27933,0.410797,-1.06075,0.273909,0.924034,-1.12694,1.07735,0.101899,-0.472861,1.49856,-0.449232,-1.12936,0.212044,0.013525,1.58848,-1.40416,0.553479,-1.60278,0.125908,-0.032051,-0.771483,0.754738,0.875995,0.241204,0.248899,0.490374,1.11515,-1.71671,-1.58125,0.350065,-0.128283,1.53404,1.02788,-0.888237,-0.804864,-0.715819,-0.675268,0.785612,-1.04402,0.903165,-0.061358,-0.069072,-1.15949,0.250354,0.244665,0.964317,1.46744
F,0.697607,-0.085503,-1.70035,-1.00352,0.695736,1.04685,-0.586686,-0.278723,-0.736563,0.176377,0.967687,-0.409541,-0.07141,-0.520239,0.184835,-0.41509,0.245188,0.509618,-0.218032,-1.44388,2.08388,0.749552,-1.1298,-1.99412,-0.857677,-0.905312,-0.913681,-1.53914,-0.81348,0.086015,1.03293,-1.53472,0.653475,-0.880517,1.56946,-0.625048,0.39633,-0.378901,0.742474,-0.558988,-1.06411,-0.741531,-0.474886,-0.104522,-0.713891,-0.898824,0.055553,-1.37279,-0.594958,-2.52545,0.03812,-1.31061,0.228817,-1.17883,-0.682391,-1.29284,0.367315,-1.01959,-0.620347,0.099298,0.269728,1.06427,0.915069,-2.23254,-0.613006,0.680832,-0.6635,-0.247368,-1.4108,0.915119,-1.98103,1.0896,-0.525941,-1.33435,-1.22744,0.050008,0.074055,0.07083,1.43271,-0.202171,-0.937671,-0.543793,1.99586,-1.5117,0.595206,-0.198284,-0.321339,1.89654,-1.63142,-1.47967,-1.2838,-2.90591,1.47842,1.15194,0.819544,-3.69987,1.84121,-0.29777,0.515681,-0.936728
T,0.868489,1.03575,-0.55931,-0.226896,1.17647,-0.961789,-1.16683,-0.029961,-0.400963,0.072867,1.56388,0.206564,-0.531569,-1.75265,0.940464,0.717587,-0.028642,-0.259375,-0.085119,-0.935601,1.94943,1.40453,-1.35392,-0.647155,0.643558,-0.263244,-1.26244,3.20929,0.086751,-0.772504,1.26225,-2.30458,0.334995,-1.60269,1.25289,0.30439,-0.118999,0.417871,0.633143,-0.231136,0.563893,-1.07194,0.388727,-0.976312,0.325624,-0.54901,-0.482723,-0.818342,0.394814,-1.32753,0.583746,-3.45447,-0.332424,-1.37408,-0.324593,-0.460608,0.645204,-0.203129,-0.098443,1.76371,0.560122,-0.012053,1.14069,-2.45048,-0.745445,0.716252,-0.61916,-0.174523,-1.31656,1.0435,-1.67146,1.30849,-0.224959,-1.50155,-0.417979,-0.176156,-0.401902,0.400919,1.02693,-0.06268,-0.01657,-0.691908,0.723665,0.854712,1.06286,-0.348931,-0.427738,0.064675,-0.756585,-1.59173,-0.605323,-1.17613,0.307053,-0.163218,0.050607,-0.907193,2.36977,0.344767,0.992413,0.535278
F,-1.19735,0.465046,0.486905,-0.25915,-0.63584,1.09874,-0.019951,-0.442686,0.096454,-0.679594,-0.422701,-0.769534,-0.045139,1.05626,-0.210693,-1.50137,0.642919,0.859295,0.858919,0.360763,-0.148625,-0.298782,1.29685,0.074774,-1.94542,-0.375952,0.012152,-1.44921,-0.691,0.230257,-0.183461,0.260467,-0.104955,1.45765,0.201883,0.413872,0.573074,-0.251714,0.199712,-0.423752,0.168165,0.341729,0.262511,-0.091543,-0.676969,-0.931567,-0.882707,0.259695,0.135833,1.48213,0.26429,0.687996,-0.047115,2.71405,0.155246,-0.076038,-0.475822,0.075031,0.130823,-1.07907,-1.3266,-0.005755,-0.443881,0.25656,0.805779,-0.472915,-0.69604,-0.066241,0.170895,0.977141,-0.663756,-0.413008,-1.58396,0.393006,0.099831,-1.12078,-0.208006,2.93216,1.09381,-0.061154,-0.576958,0.351548,0.394087,0.097545,0.285324,-0.735415,-0.410578,-0.538091,0.556399,0.702272,-0.531172,1.00142,-0.633712,-0.441923,-1.94241,1.05278,-0.503919,-0.322137,-0.352207,-0.642079
T,0.685269,2.0169,1.93079,0.460102,1.01743,-0.70534,0.028395,-0.816522,1.382,-2.27987,-0.349665,-1.74261,1.04794,-0.662504,0.335435,-0.956651,-0.462045,1.37814,1.22298,-0.17391,0.091651,0.830248,0.462199,-2.10086,-2.48127,1.39293,1.77681,0.784057,-2.16042,1.17087,0.216917,-1.23609,-1.53802,-0.548488,0.866142,-2.99346,0.869977,-1.77946,-0.466908,0.984955,1.67156,-1.22157,1.96491,1.52198,-1.77229,-1.89414,-1.02027,0.446307,1.96086,-0.759415,1.65094,-0.669356,-0.19894,-0.172866,-2.14889,2.19862,-1.66907,-1.80351,1.38573,-0.604908,-1.07108,0.524179,0.411737,-0.936904,0.521931,-1.10372,-1.26291,0.93623,-0.871677,0.993891,-0.389016,-1.5353,2.46805,-1.11521,1.60959,-1.0525,1.82085,-1.07469,1.29101,0.777884,-1.85091,-0.902641,1.08803,1.44799,1.14872,0.968413,0.373388,0.899993,0.016835,-0.575351,-1.60984,0.57285,0.259387,1.0564,-0.075595,1.40426,1.14506,-1.19573,0.934076,0.593923
F,-0.204359,-0.543412,-0.976049,-0.58874,-0.794348,2.4,-0.903596,0.748909,-0.619891,-0.161914,0.479983,-0.142769,-1.01048,0.024033,-1.16085,0.261807,1.19394,-0.963078,0.693757,-0.475102,-0.453917,-0.402997,0.170894,0.643544,0.770858,-1.20301,-0.339011,-0.184692,0.118634,-0.665131,-1.37817,-0.515561,-0.637474,-0.181919,1.34543,-0.744242,-0.22475,-0.220968,0.144962,-1.01707,-0.946359,-0.474359,-0.885041,-1.45998,0.53206,0.585476,-0.349072,-0.970359,-1.03347,0.534473,-2.17991,-0.170817,-0.637864,-0.474134,-0.226564,-0.929549,1.71127,-0.199972,-0.932672,0.333194,0.086029,1.4066,-2.34245,-0.792025,0.065712,0.530731,0.503355,-1.54675,-0.723846,0.563663,-0.623746,1.59923,-1.02632,0.175406,-1.14254,-0.060602,-1.40953,0.442926,0.548956,-1.19592,-0.0749,-0.400286,0.312845,-0.236377,-0.210795,-1.59799,-0.403777,-0.491007,0.886778,-0.291619,0.293963,-0.253267,-0.926663,0.326435,1.48888,0.058219,0.602162,0.148282,0.487948,-0.369533
T,1.20423,1.88703,1.15644,0.869148,1.05802,-0.623567,0.118521,-1.5901,-1.31616,-1.42771,1.39596,-2.01284,0.164915,-2.18015,0.906032,-0.354568,0.267354,1.10892,0.464584,0.141878,0.883036,0.921093,-0.604493,-0.744561,-0.783226,1.74145,0.249952,-0.226522,-1.36515,-0.314277,0.514073,-1.72518,-1.83617,-0.854182,0.842529,-2.18458,0.266773,-1.59268,-0.748767,0.216604,1.9131,-0.514109,1.79079,1.08091,-1.1043,-1.68008,-2.11648,0.890372,1.69289,-0.897567,1.61149,-1.74699,1.47902,-0.712988,-1.84592,-0.6283,-0.791384,-2.36148,1.17506,-0.220028,-1.65941,0.216448,0.554898,-1.26415,-0.927831,-1.16975,-1.1722,-0.01739,-1.26058,1.54623,0.390606,-0.67,-0.42603,-1.61244,-0.9521,-0.585746,0.244202,-1.83925,1.42185,0.060273,-2.65267,-0.560889,0.026327,2.26119,0.732065,-0.167998,-0.010998,2.42809,0.162224,-1.09117,-1.14925,-1.17712,0.43739,-0.358157,0.307381,1.401,0.854135,-3.24341,1.062,0.821171
F,-1.08521,0.006184,-0.588374,-1.26659,-0.953479,0.979544,0.752718,0.737611,-1.21942,1.5115,-1.13047,0.69997,-1.04205,1.96852,-0.506791,1.24217,0.663459,-0.52983,-1.54262,-2.3192,0.184215,-0.298926,1.0272,0.64727,0.348656,0.459145,-1.13522,-0.893906,1.84942,-1.03129,-0.76935,-0.94423,1.52378,2.41727,1.93038,0.667483,-4.90837,2.14388,1.20634,-1.61988,-0.754156,-0.798628,-0.328117,-0.358564,0.2438,0.748379,0.220407,-1.5389,-0.339901,1.22099,0.750454,-0.003531,-0.723593,0.573486,1.58141,-0.966676,0.570647,1.65167,-0.979262,-0.005845,0.226533,1.64366,-0.840167,-0.449611,1.51229,2.09836,1.22461,-1.23846,1.83516,0.355042,1.05164,0.227413,0.699473,-0.176035,-0.544753,-0.632356,0.087629,0.529996,0.392767,-2.12833,0.516741,0.00372,-1.03007,-0.276179,-0.466529,-1.49787,1.7073,-0.941886,1.75496,0.203385,0.042583,1.45502,-1.57126,-2.0617,1.73738,-0.002748,0.055667,2.50423,-0.935229,-2.28773
T,0.73714,1.86499,1.38068,0.4267,1.10446,-1.52505,-0.960517,-2.16295,1.46816,-1.13042,0.00593,-2.03385,1.66318,-1.18195,0.881497,-0.80766,-0.659941,0.581662,1.80047,1.62955,-0.299918,0.902517,-0.719822,-1.79619,-1.36596,1.03875,1.05099,-0.117372,-2.33238,2.26875,0.821226,-0.339885,-1.0017,-0.497923,-0.32751,-1.89596,1.23916,-1.02994,-0.428891,0.89085,1.67066,-0.996422,1.71781,1.07903,-1.80219,-2.10916,-2.2683,1.72534,1.715,-1.36961,1.23269,0.48916,0.8448,-0.837581,-1.29951,1.51251,-1.69664,-1.66894,0.773512,-0.055981,-2.45278,-0.638278,0.062145,-0.199566,-0.097736,-0.720386,-1.48259,1.30253,-1.22513,0.50106,-0.848025,-1.10737,0.322806,0.365641,1.00732,-1.888,-0.102478,-1.69667,0.248525,1.54049,-1.40665,-1.0527,0.529842,0.777029,0.886727,-0.160392,-0.401013,-0.337955,-0.070359,-0.443268,-1.58793,-0.362075,0.34443,1.03749,-0.793176,0.86971,0.307701,-1.66225,0.566094,1.23348
