normal,gene377,gene765,gene14,gene1597,gene493,gene1671,gene1400,gene625,gene1892,gene1047,gene1917,gene1293,gene1884,gene1771,gene822,gene1758,gene1115,gene1416,gene419,gene99
F,0.396329,0.349957,-1.53192,-0.208554,1.03187,-0.525082,-0.942793,0.332443,-0.378657,1.69032,0.53002,0.700039,-0.979565,-0.694222,0.095114,0.039088,0.432495,-1.53753,-0.961885,-1.70486
T,1.68741,1.55094,0.404811,-0.745925,1.58552,-1.83078,-1.43354,-0.044018,1.1736,0.508408,1.13252,0.204408,0.661753,-1.01578,1.75134,0.710564,-0.048505,-0.204508,0.132091,0.763439
F,0.697607,-0.085503,-1.70035,-1.00352,0.695736,1.04685,-0.586686,-0.278723,-0.736563,0.176377,0.967687,-0.409541,-0.07141,-0.520239,0.184835,-0.41509,0.245188,0.509618,-0.218032,-1.44388
T,0.868489,1.03575,-0.55931,-0.226896,1.17647,-0.961789,-1.16683,-0.029961,-0.400963,0.072867,1.56388,0.206564,-0.531569,-1.75265,0.940464,0.717587,-0.028642,-0.259375,-0.085119,-0.935601
F,-1.19735,0.465046,0.486905,-0.25915,-0.63584,1.09874,-0.019951,-0.442686,0.096454,-0.679594,-0.422701,-0.769534,-0.045139,1.05626,-0.210693,-1.50137,0.642919,0.859295,0.858919,0.360763
T,0.685269,2.0169,1.93079,0.460102,1.01743,-0.70534,0.028395,-0.816522,1.382,-2.27987,-0.349665,-1.74261,1.04794,-0.662504,0.335435,-0.956651,-0.462045,1.37814,1.22298,-0.17391
F,-0.204359,-0.543412,-0.976049,-0.58874,-0.794348,2.4,-0.903596,0.748909,-0.619891,-0.161914,0.479983,-0.142769,-1.01048,0.024033,-1.16085,0.261807,1.19394,-0.963078,0.693757,-0.475102
T,1.20423,1.88703,1.15644,0.869148,1.05802,-0.623567,0.118521,-1.5901,-1.31616,-1.42771,1.39596,-2.01284,0.164915,-2.18015,0.906032,-0.354568,0.267354,1.10892,0.464584,0.141878
F,-1.08521,0.006184,-0.588374,-1.26659,-0.953479,0.979544,0.752718,0.737611,-1.21942,1.5115,-1.13047,0.69997,-1.04205,1.96852,-0.506791,1.24217,0.663459,-0.52983,-1.54262,-2.3192
T,0.73714,1.86499,1.38068,0.4267,1.10446,-1.52505,-0.960517,-2.16295,1.46816,-1.13042,0.00593,-2.03385,1.66318,-1.18195,0.881497,-0.80766,-0.659941,0.581662,1.80047,1.62955
