normal,gene377,gene765,gene14,gene1597,gene493,gene1671,gene1400,gene625,gene1892,gene1047,gene1917,gene1293,gene1884,gene1771,gene822,gene1758,gene1115,gene1416,gene419,gene99,gene1674,gene1423,gene1772,gene391,gene1679,gene1570,gene66,gene1873,gene1634,gene892,gene415,gene1168,gene581,gene1042,gene1640,gene1153,gene1401,gene648,gene1473,gene1635,gene249,gene1730,gene245,gene824,gene1946,gene1511,gene1472,gene67,gene267,gene513,gene1924,gene1256,gene622,gene187,gene1959,gene411,gene75,gene992,gene561,gene1672,gene1972,gene1534,gene1967,gene882,gene1346,gene779,gene1406,gene1494,gene1060,gene1381,gene1867,gene529,gene1231,gene495,gene1897,gene1651,gene1111,gene281,gene980,gene1843,gene1920,gene994,gene866,gene1058,gene111,gene1421,gene515,gene143,gene359,gene1334,gene679,gene652,gene806,gene1560,gene1573,gene1388,gene665,gene1983,gene137,gene1387,gene102,gene1184,gene295,gene989,gene70,gene698,gene1328,gene1668,gene1900,gene837,gene792,gene1032,gene964,gene1582,gene1213,gene785,gene100,gene358,gene1187,gene1887,gene1939,gene49,gene1366,gene1546,gene694,gene1514,gene772,gene520,gene43,gene1394,gene365,gene190,gene32,gene207,gene447,gene136,gene732,gene739,gene830,gene639,gene119,gene1227,gene1380,gene1965,gene571,gene405,gene570,gene1982,gene440,gene1447,gene26,gene1386,gene1002,gene1504,gene1537,gene54,gene929,gene1799,gene1642,gene1004,gene1567,gene1258,gene23,gene1247,gene1998,gene1119,gene1067,gene662,gene1209,gene1245,gene360,gene859,gene1451,gene1599,gene241,gene279,gene453,gene959,gene1022,gene1489,gene1912,gene958,gene1233,gene105,gene920,gene564,gene1993,gene1194,gene766,gene1838,gene500,gene138,gene437,gene1583,gene395,gene1911,gene1526,gene1617,gene1742,gene422
F,0.396329,0.349957,-1.53192,-0.208554,1.03187,-0.525082,-0.942793,0.332443,-0.378657,1.69032,0.53002,0.700039,-0.979565,-0.694222,0.095114,0.039088,0.432495,-1.53753,-0.961885,-1.70486,-0.061928,0.353318,0.234473,0.738424,0.559915,-0.699901,0.01698,-0.369497,0.591347,-1.37324,0.409291,0.478998,0.149302,-0.207158,0.576603,1.07461,-0.07693,1.57702,1.81534,-0.782026,-0.084774,-0.153933,0.053861,0.261337,0.360917,-0.157059,0.673796,0.116946,0.000689,0.338184,0.620955,0.808888,0.617176,-0.244483,0.692009,-0.083107,1.46226,0.254848,-3.04872,0.87534,0.856032,1.32067,0.040511,-0.397061,-0.345308,0.151945,0.933735,-0.652913,-0.262327,1.13987,0.700442,0.823814,-0.616197,-1.09345,-1.18659,1.98187,-0.424271,1.89978,0.864946,-1.41003,0.051585,0.18709,-0.492318,-1.09246,0.195088,-1.0764,-0.647495,-0.052391,-1.18033,-0.247243,0.991121,-0.160803,-0.547933,-0.253579,0.929709,-0.560586,0.597123,0.281659,1.30251,0.849493,0.975753,-0.477816,0.864777,-1.11665,-0.361302,-0.789765,1.11088,0.939657,-0.645988,-0.366743,-0.213302,-0.924512,0.27838,0.826214,0.773152,-2.0021,0.264935,0.882357,-0.717488,0.105094,-0.700976,0.150824,0.284462,-0.243657,0.443077,0.169016,-0.565748,0.846186,0.584761,0.563152,0.70523,-0.350859,0.455312,-0.290877,1.53944,-0.829435,1.24654,-0.003091,1.79913,0.286705,0.330373,-0.957341,0.023025,0.201911,0.006291,-0.464192,-0.026506,0.973863,-0.62388,-0.494074,0.206106,0.831992,0.603452,-0.922235,1.76856,-0.631182,0.556833,0.079619,0.690345,-1.01275,0.927177,-1.12589,2.1155,-0.909369,-0.148522,-0.276293,-0.096176,-1.01677,-1.63596,0.416554,0.774111,1.03889,-0.24381,-0.28362,-1.0224,0.804711,1.128,-0.766226,0.497144,-0.576022,-0.152487,-1.41176,-0.407388,0.198114,-0.083783,1.14539,0.382957,-0.096172,-0.027315,1.1644,-1.13861,-1.25131,-1.4814,0.666929,0.344179,-0.174744,0.850662,-1.46858,0.264508,-0.129067
T,1.68741,1.55094,0.404811,-0.745925,1.58552,-1.83078,-1.43354,-0.044018,1.1736,0.508408,1.13252,0.204408,0.661753,-1.01578,1.75134,0.710564,-0.048505,-0.204508,0.132091,0.763439,1.14939,1.54289,-1.29141,-0.263439,-0.354386,-0.02377,0.639241,1.71962,0.279767,1.32801,1.50406,-0.118437,-0.320751,-0.927375,0.19447,0.046023,-0.051972,0.468483,0.497104,1.07346,1.0784,-1.45746,1.22309,0.405049,0.199938,-0.239966,-0.71802,0.684171,1.24354,-0.864754,-0.445452,-1.04654,-0.566642,-1.27933,0.410797,-1.06075,0.273909,0.924034,-1.12694,1.07735,0.101899,-0.472861,1.49856,-0.449232,-1.12936,0.212044,0.013525,1.58848,-1.40416,0.553479,-1.60278,0.125908,-0.032051,-0.771483,0.754738,0.875995,0.241204,0.248899,0.490374,1.11515,-1.71671,-1.58125,0.350065,-0.128283,1.53404,1.02788,-0.888237,-0.804864,-0.715819,-0.675268,0.785612,-1.04402,0.903165,-0.061358,-0.069072,-1.15949,0.250354,0.244665,0.964317,1.46744,0.608648,-1.12219,0.94546,-0.608501,1.72829,-1.21896,0.419754,0.675957,-0.988686,-0.431188,2.20339,0.278017,-0.235105,-0.616352,0.081657,-0.120365,-0.447643,0.598599,-1.50574,-0.858913,-0.493079,1.77726,-0.820324,-0.625212,-1.30208,-0.717135,-0.775275,0.226897,-1.22354,-0.990217,-2.09389,-0.358259,1.44856,-0.972572,0.738014,-0.278902,0.640032,1.76837,0.01797,0.37356,-0.665037,-1.65074,1.11883,0.082437,-1.34296,-2.12419,-0.280182,0.818379,-1.0075,-0.836475,-0.970803,-0.684225,0.560797,0.096949,0.759387,-0.678083,0.986443,0.245715,0.585785,-0.129122,0.696587,0.161096,0.614148,1.11567,1.09401,-0.368575,-1.07813,0.757628,-1.37302,-1.17376,-1.50358,0.671071,0.843614,-0.271342,-1.23495,0.555825,0.022656,-0.51452,0.723729,-1.31123,-1.17401,-1.38474,-1.41709,-0.049318,1.19192,0.786489,-1.81537,-0.191107,0.026901,-0.152596,-0.822413,-1.95795,0.357124,0.533486,1.60828,-1.60264,0.967224,-0.814972,0.305666,0.600058
F,0.697607,-0.085503,-1.70035,-1.00352,0.695736,1.04685,-0.586686,-0.278723,-0.736563,0.176377,0.967687,-0.409541,-0.07141,-0.520239,0.184835,-0.41509,0.245188,0.509618,-0.218032,-1.44388,2.08388,0.749552,-1.1298,-1.99412,-0.857677,-0.905312,-0.913681,-1.53914,-0.81348,0.086015,1.03293,-1.53472,0.653475,-0.880517,1.56946,-0.625048,0.39633,-0.378901,0.742474,-0.558988,-1.06411,-0.741531,-0.474886,-0.104522,-0.713891,-0.898824,0.055553,-1.37279,-0.594958,-2.52545,0.03812,-1.31061,0.228817,-1.17883,-0.682391,-1.29284,0.367315,-1.01959,-0.620347,0.099298,0.269728,1.06427,0.915069,-2.23254,-0.613006,0.680832,-0.6635,-0.247368,-1.4108,0.915119,-1.98103,1.0896,-0.525941,-1.33435,-1.22744,0.050008,0.074055,0.07083,1.43271,-0.202171,-0.937671,-0.543793,1.99586,-1.5117,0.595206,-0.198284,-0.321339,1.89654,-1.63142,-1.47967,-1.2838,-2.90591,1.47842,1.15194,0.819544,-3.69987,1.84121,-0.29777,0.515681,-0.936728,-0.257409,-2.28264,-0.145546,-1.18379,0.843135,-1.20098,0.984876,1.9964,-0.58582,-2.39892,-0.798065,-1.18503,-0.005774,1.04438,-2.12658,-1.01524,-1.73798,0.901649,-1.33683,-1.98869,-1.71925,1.04816,1.20344,0.21006,-2.05382,-0.011566,0.059353,0.313193,-1.7664,-0.405758,-0.86126,-2.59585,-0.669519,-2.65704,-1.01725,-2.05747,-0.147491,-0.815769,-0.742361,-0.639271,2.06027,-1.83763,-0.116507,-1.37138,-0.717165,-0.700919,-0.006876,2.026,-2.21017,-1.19168,-1.29992,-0.159514,-2.07705,0.074842,-0.372601,-1.36449,0.759048,-2.1898,1.97258,-0.975124,-1.13546,0.790959,-0.195161,-0.35342,-0.086285,1.60533,-2.64069,0.962391,-0.831061,-1.29231,-1.68902,-0.860676,-1.92743,-2.7507,-1.41466,0.231054,1.58587,-3.04216,1.68023,-2.54749,-3.01766,-1.28499,-0.237682,-1.05174,1.8941,1.53565,-2.039,-2.53142,-0.977672,1.00487,-1.03461,-1.0551,1.23817,-0.740108,0.436029,0.633602,-0.131624,1.78339,-0.961311,-0.089153
T,0.868489,1.03575,-0.55931,-0.226896,1.17647,-0.961789,-1.16683,-0.029961,-0.400963,0.072867,1.56388,0.206564,-0.531569,-1.75265,0.940464,0.717587,-0.028642,-0.259375,-0.085119,-0.935601,1.94943,1.40453,-1.35392,-0.647155,0.643558,-0.263244,-1.26244,3.20929,0.086751,-0.772504,1.26225,-2.30458,0.334995,-1.60269,1.25289,0.30439,-0.118999,0.417871,0.633143,-0.231136,0.563893,-1.07194,0.388727,-0.976312,0.325624,-0.54901,-0.482723,-0.818342,0.394814,-1.32753,0.583746,-3.45447,-0.332424,-1.37408,-0.324593,-0.460608,0.645204,-0.203129,-0.098443,1.76371,0.560122,-0.012053,1.14069,-2.45048,-0.745445,0.716252,-0.61916,-0.174523,-1.31656,1.0435,-1.67146,1.30849,-0.224959,-1.50155,-0.417979,-0.176156,-0.401902,0.400919,1.02693,-0.06268,-0.01657,-0.691908,0.723665,0.854712,1.06286,-0.348931,-0.427738,0.064675,-0.756585,-1.59173,-0.605323,-1.17613,0.307053,-0.163218,0.050607,-0.907193,2.36977,0.344767,0.992413,0.535278,0.709364,-0.790695,0.10767,-2.05652,1.8265,-1.10069,1.17503,1.29154,-0.82684,-2.14932,1.73503,-1.48919,-0.161465,-0.880243,-1.43679,-1.47986,-1.47202,1.74596,-1.09258,-0.718938,-0.976894,1.39601,-0.943025,-1.04329,-1.69449,0.872987,-0.250012,0.416346,-1.1907,-0.320061,-1.14678,-2.26128,2.01843,-1.18134,-0.350931,-1.09337,0.439398,0.541775,-0.758069,-1.12128,1.78669,-1.28189,1.68488,1.28406,-1.16308,-1.1175,-0.721884,1.66736,-1.8426,-0.881574,-0.657361,-0.07148,0.094358,-0.037289,-0.201323,-1.83383,1.04224,-1.57773,2.03521,-0.311544,-1.05041,0.13103,0.607006,-0.544951,-0.893938,1.13677,-1.21756,-0.133409,-1.77883,-1.64115,-0.64477,0.046851,-0.431397,-1.98976,-1.40042,1.15382,0.791478,-1.49859,2.50244,-2.02271,-1.08862,-1.59208,-2.34275,-1.49376,1.75009,1.86563,-4.44058,-1.42728,-0.487705,-0.12811,-1.14944,-0.976859,0.124644,-0.462534,1.28142,0.344129,0.244984,0.558098,-0.745787,-1.2933
F,-1.19735,0.465046,0.486905,-0.25915,-0.63584,1.09874,-0.019951,-0.442686,0.096454,-0.679594,-0.422701,-0.769534,-0.045139,1.05626,-0.210693,-1.50137,0.642919,0.859295,0.858919,0.360763,-0.148625,-0.298782,1.29685,0.074774,-1.94542,-0.375952,0.012152,-1.44921,-0.691,0.230257,-0.183461,0.260467,-0.104955,1.45765,0.201883,0.413872,0.573074,-0.251714,0.199712,-0.423752,0.168165,0.341729,0.262511,-0.091543,-0.676969,-0.931567,-0.882707,0.259695,0.135833,1.48213,0.26429,0.687996,-0.047115,2.71405,0.155246,-0.076038,-0.475822,0.075031,0.130823,-1.07907,-1.3266,-0.005755,-0.443881,0.25656,0.805779,-0.472915,-0.69604,-0.066241,0.170895,0.977141,-0.663756,-0.413008,-1.58396,0.393006,0.099831,-1.12078,-0.208006,2.93216,1.09381,-0.061154,-0.576958,0.351548,0.394087,0.097545,0.285324,-0.735415,-0.410578,-0.538091,0.556399,0.702272,-0.531172,1.00142,-0.633712,-0.441923,-1.94241,1.05278,-0.503919,-0.322137,-0.352207,-0.642079,-1.66135,-0.613044,0.056263,0.721203,0.06279,0.148086,0.988397,1.18501,0.133958,0.559383,-1.733,0.524665,-0.236764,0.355867,-0.461122,0.6304,0.244731,-0.405414,0.12673,0.019797,0.174443,0.854811,-0.223938,0.352238,0.772124,0.427963,0.450593,-0.773246,1.5421,-0.730999,0.318419,1.69733,-0.133293,-0.654692,-1.08365,-0.213359,-0.351125,-0.75444,-0.510709,0.478905,0.927566,0.475459,1.84118,-1.37993,0.692157,0.673079,-0.389761,-0.130431,-0.174468,-0.307677,0.716794,-1.08367,1.25847,-0.325319,-0.76594,1.66083,-0.276035,0.564674,0.453669,-0.394748,0.501701,-0.074648,-0.02423,0.475374,-0.283786,0.363325,0.711423,-0.005828,0.120791,0.259652,0.746676,-1.64131,-0.368065,-0.395533,0.456035,-0.392147,1.13544,0.115305,-0.363689,-0.203039,-0.213461,0.470613,0.79105,0.723657,1.54902,-0.58915,-0.083921,0.086488,-1.78997,1.25196,0.289932,0.500057,0.323895,-0.124133,-0.69405,-2.50867,-0.389726,1.31004,-0.70765,0.702099
T,0.685269,2.0169,1.93079,0.460102,1.01743,-0.70534,0.028395,-0.816522,1.382,-2.27987,-0.349665,-1.74261,1.04794,-0.662504,0.335435,-0.956651,-0.462045,1.37814,1.22298,-0.17391,0.091651,0.830248,0.462199,-2.10086,-2.48127,1.39293,1.77681,0.784057,-2.16042,1.17087,0.216917,-1.23609,-1.53802,-0.548488,0.866142,-2.99346,0.869977,-1.77946,-0.466908,0.984955,1.67156,-1.22157,1.96491,1.52198,-1.77229,-1.89414,-1.02027,0.446307,1.96086,-0.759415,1.65094,-0.669356,-0.19894,-0.172866,-2.14889,2.19862,-1.66907,-1.80351,1.38573,-0.604908,-1.07108,0.524179,0.411737,-0.936904,0.521931,-1.10372,-1.26291,0.93623,-0.871677,0.993891,-0.389016,-1.5353,2.46805,-1.11521,1.60959,-1.0525,1.82085,-1.07469,1.29101,0.777884,-1.85091,-0.902641,1.08803,1.44799,1.14872,0.968413,0.373388,0.899993,0.016835,-0.575351,-1.60984,0.57285,0.259387,1.0564,-0.075595,1.40426,1.14506,-1.19573,0.934076,0.593923,-2.04826,0.329907,-1.34212,-1.11416,0.043284,-0.423649,1.05232,1.20607,-3.13488,1.24929,0.113185,-0.971544,-2.03512,0.795269,-1.88616,-1.48256,-1.52119,-1.90416,0.019145,-1.0659,0.206814,0.857844,-0.749957,-1.01797,0.499785,1.63743,0.095824,-1.88884,0.04401,0.845652,0.244371,-1.39267,0.111948,-0.354091,-2.46093,0.1295,0.826835,0.953941,-1.56658,-0.651215,0.831449,-0.057515,-0.955168,-0.67696,0.051181,1.80823,-1.49546,0.350809,-0.957097,-0.639043,-0.292552,0.848599,-1.38251,1.49543,-1.7546,-0.899749,0.11574,-0.700146,1.09147,0.297525,-0.234405,0.86398,-1.57735,0.881852,-0.455263,1.64642,-0.045737,0.62261,-0.705414,1.23365,0.677644,-1.85069,1.07145,-0.754836,-0.377817,-0.856355,1.5397,0.154835,0.229671,-0.447729,0.423488,0.472524,1.24163,-1.16504,-0.393513,0.219211,0.302785,-1.23955,-0.015012,0.26056,0.410767,-0.686305,1.20945,-1.6788,-0.271033,-2.10847,-2.25998,-0.131374,0.921837,1.41062
F,-0.204359,-0.543412,-0.976049,-0.58874,-0.794348,2.4,-0.903596,0.748909,-0.619891,-0.161914,0.479983,-0.142769,-1.01048,0.024033,-1.16085,0.261807,1.19394,-0.963078,0.693757,-0.475102,-0.453917,-0.402997,0.170894,0.643544,0.770858,-1.20301,-0.339011,-0.184692,0.118634,-0.665131,-1.37817,-0.515561,-0.637474,-0.181919,1.34543,-0.744242,-0.22475,-0.220968,0.144962,-1.01707,-0.946359,-0.474359,-0.885041,-1.45998,0.53206,0.585476,-0.349072,-0.970359,-1.03347,0.534473,-2.17991,-0.170817,-0.637864,-0.474134,-0.226564,-0.929549,1.71127,-0.199972,-0.932672,0.333194,0.086029,1.4066,-2.34245,-0.792025,0.065712,0.530731,0.503355,-1.54675,-0.723846,0.563663,-0.623746,1.59923,-1.02632,0.175406,-1.14254,-0.060602,-1.40953,0.442926,0.548956,-1.19592,-0.0749,-0.400286,0.312845,-0.236377,-0.210795,-1.59799,-0.403777,-0.491007,0.886778,-0.291619,0.293963,-0.253267,-0.926663,0.326435,1.48888,0.058219,0.602162,0.148282,0.487948,-0.369533,1.08456,-0.690876,1.39473,-0.475243,0.322851,-0.580243,0.664298,0.747802,0.693294,-1.32618,-0.9252,-0.157996,1.15345,0.419353,-0.643497,0.225828,0.71119,0.981251,0.760515,-0.354126,-0.619312,0.424775,1.53235,-0.316075,-0.842913,-0.958742,-0.083466,1.1069,0.190985,-1.62868,0.046925,-0.114265,0.155519,-0.836679,0.604295,0.392649,0.086878,-0.681181,1.24279,0.181151,-0.172924,-0.372035,-1.05033,1.26661,0.200934,-0.165462,0.898008,0.734183,-0.864238,-0.190495,0.38318,-0.374622,0.111394,-0.807068,0.281245,0.556848,-1.76677,0.014568,-1.48658,-1.03374,0.368493,-1.05371,1.07231,-1.0888,-0.808293,0.125138,-0.267761,-1.47373,-0.904617,-0.950483,-1.05936,0.278788,0.368234,-1.46495,0.16056,0.260285,0.771174,-0.411217,-0.063926,-1.12616,-0.053761,0.089221,0.03095,-0.351751,0.060186,2.155,-1.4559,-0.617868,0.589377,1.79358,-0.248017,0.894259,-1.10959,0.760751,-1.91122,-0.319153,-0.222536,0.329794,-0.443824,0.552547
T,1.20423,1.88703,1.15644,0.869148,1.05802,-0.623567,0.118521,-1.5901,-1.31616,-1.42771,1.39596,-2.01284,0.164915,-2.18015,0.906032,-0.354568,0.267354,1.10892,0.464584,0.141878,0.883036,0.921093,-0.604493,-0.744561,-0.783226,1.74145,0.249952,-0.226522,-1.36515,-0.314277,0.514073,-1.72518,-1.83617,-0.854182,0.842529,-2.18458,0.266773,-1.59268,-0.748767,0.216604,1.9131,-0.514109,1.79079,1.08091,-1.1043,-1.68008,-2.11648,0.890372,1.69289,-0.897567,1.61149,-1.74699,1.47902,-0.712988,-1.84592,-0.6283,-0.791384,-2.36148,1.17506,-0.220028,-1.65941,0.216448,0.554898,-1.26415,-0.927831,-1.16975,-1.1722,-0.01739,-1.26058,1.54623,0.390606,-0.67,-0.42603,-1.61244,-0.9521,-0.585746,0.244202,-1.83925,1.42185,0.060273,-2.65267,-0.560889,0.026327,2.26119,0.732065,-0.167998,-0.010998,2.42809,0.162224,-1.09117,-1.14925,-1.17712,0.43739,-0.358157,0.307381,1.401,0.854135,-3.24341,1.062,0.821171,-1.97041,0.507097,-0.701338,-1.1821,0.170438,-0.098642,1.66737,0.846169,-0.937575,0.237833,-0.126955,-2.14203,-0.728518,-0.361613,-1.68329,-1.51948,-2.44875,-1.21453,0.032359,-0.692403,0.943851,0.135323,-0.058985,-0.136549,-1.31099,0.483835,0.926905,-1.35234,-1.21052,1.18172,-0.286118,-1.56647,-1.29491,-0.275288,-0.617198,-0.890805,0.033439,0.833676,-1.40938,-1.31814,-0.339229,-1.3066,-1.24822,-1.15665,-0.581948,-0.543585,-0.511877,1.03108,-0.721626,-0.581957,-1.26798,0.915547,-2.96749,0.283586,-1.43311,-1.82634,0.651012,-0.865362,0.564054,-0.242807,-0.187838,0.358218,-1.86267,0.650727,-1.73083,-0.107298,-0.750801,-0.590058,-0.11648,1.07564,-0.377281,-1.39394,1.1965,-0.733269,-1.28053,-1.39194,1.17298,0.248218,1.13527,-0.925689,-0.112128,0.176753,-0.404577,-1.60817,-0.047351,1.21639,-0.094577,-0.517596,1.56147,0.524759,-0.123751,-0.552072,1.50832,-1.29763,-0.75325,-1.22143,-1.23649,0.630252,0.299541,0.979401
F,-1.08521,0.006184,-0.588374,-1.26659,-0.953479,0.979544,0.752718,0.737611,-1.21942,1.5115,-1.13047,0.69997,-1.04205,1.96852,-0.506791,1.24217,0.663459,-0.52983,-1.54262,-2.3192,0.184215,-0.298926,1.0272,0.64727,0.348656,0.459145,-1.13522,-0.893906,1.84942,-1.03129,-0.76935,-0.94423,1.52378,2.41727,1.93038,0.667483,-4.90837,2.14388,1.20634,-1.61988,-0.754156,-0.798628,-0.328117,-0.358564,0.2438,0.748379,0.220407,-1.5389,-0.339901,1.22099,0.750454,-0.003531,-0.723593,0.573486,1.58141,-0.966676,0.570647,1.65167,-0.979262,-0.005845,0.226533,1.64366,-0.840167,-0.449611,1.51229,2.09836,1.22461,-1.23846,1.83516,0.355042,1.05164,0.227413,0.699473,-0.176035,-0.544753,-0.632356,0.087629,0.529996,0.392767,-2.12833,0.516741,0.00372,-1.03007,-0.276179,-0.466529,-1.49787,1.7073,-0.941886,1.75496,0.203385,0.042583,1.45502,-1.57126,-2.0617,1.73738,-0.002748,0.055667,2.50423,-0.935229,-2.28773,-0.000884,-0.535313,0.914473,-0.287992,1.19767,1.53978,0.528778,0.661823,-1.10588,0.601136,0.978377,-2.74605,2.00853,1.00419,-1.42003,-1.10798,-1.32122,1.50241,2.00004,-1.29045,-2.69058,1.31197,0.839591,0.55127,1.07297,-0.360555,-2.96517,0.838032,0.90229,-0.579811,1.00001,-0.493943,0.700272,1.90014,0.305696,-0.62406,0.89415,-1.38513,-0.016947,-0.692957,-0.741178,0.330782,-0.113889,1.02698,0.817445,0.663298,0.20428,0.94817,2.01235,2.05705,0.01943,-3.2942,1.78825,-0.519663,1.44719,-2.56087,-0.897858,0.147813,-0.337192,-2.20968,0.188318,0.095867,-0.313019,-1.85956,0.644346,-1.18894,1.2916,-1.01541,1.0111,-0.0564,1.71626,-0.43593,-0.858483,-2.80895,1.85119,0.488315,0.308406,2.0186,-0.428439,0.218311,1.1116,0.254138,0.858454,-2.20663,-0.268128,-0.371727,0.065197,0.927406,0.438608,1.19745,0.595581,1.27331,-0.698793,0.199216,-0.419689,-0.997484,0.804502,-0.253007,0.767922,-1.90073
T,0.73714,1.86499,1.38068,0.4267,1.10446,-1.52505,-0.960517,-2.16295,1.46816,-1.13042,0.00593,-2.03385,1.66318,-1.18195,0.881497,-0.80766,-0.659941,0.581662,1.80047,1.62955,-0.299918,0.902517,-0.719822,-1.79619,-1.36596,1.03875,1.05099,-0.117372,-2.33238,2.26875,0.821226,-0.339885,-1.0017,-0.497923,-0.32751,-1.89596,1.23916,-1.02994,-0.428891,0.89085,1.67066,-0.996422,1.71781,1.07903,-1.80219,-2.10916,-2.2683,1.72534,1.715,-1.36961,1.23269,0.48916,0.8448,-0.837581,-1.29951,1.51251,-1.69664,-1.66894,0.773512,-0.055981,-2.45278,-0.638278,0.062145,-0.199566,-0.097736,-0.720386,-1.48259,1.30253,-1.22513,0.50106,-0.848025,-1.10737,0.322806,0.365641,1.00732,-1.888,-0.102478,-1.69667,0.248525,1.54049,-1.40665,-1.0527,0.529842,0.777029,0.886727,-0.160392,-0.401013,-0.337955,-0.070359,-0.443268,-1.58793,-0.362075,0.34443,1.03749,-0.793176,0.86971,0.307701,-1.66225,0.566094,1.23348,-1.75111,-0.208042,-1.25691,0.201443,-0.13684,-0.11233,0.505341,0.989219,0.11758,0.57064,-0.631801,0.75958,-1.0569,-1.04964,-0.224131,0.364614,-0.017322,-1.43756,-0.939569,-0.199832,1.621,0.398339,-1.0779,-0.44262,-0.338298,0.793199,1.3486,-1.70081,-0.763297,0.40449,-0.881237,-0.078251,0.641033,-0.763524,-0.857183,-0.618222,0.369546,0.619186,-1.73661,0.214451,1.09513,-0.702968,0.25288,-1.18914,-0.941371,1.35995,-1.69792,0.639984,-0.750233,-0.474667,-2.07869,-0.278294,-1.28395,-0.207075,-1.47411,0.810614,-0.153845,0.033604,-0.516337,1.9843,0.436579,1.10476,-1.78237,1.51955,-0.886065,1.5331,-0.331951,1.77649,-0.589605,0.370453,-1.16539,-2.00396,0.49416,0.52135,-0.42147,-1.56822,0.511303,-0.108208,0.332959,-1.22594,-0.82092,0.128726,0.595756,0.775468,-0.856932,0.756049,-0.361595,-1.04166,-0.352419,-0.745262,0.267208,-0.736572,0.951626,-1.71152,0.534427,-1.22165,-1.55637,0.925036,-0.164694,1.97062
