normal,gene377,gene765,gene14,gene1597,gene493
F,0.396329,0.349957,-1.53192,-0.208554,1.03187
T,1.68741,1.55094,0.404811,-0.745925,1.58552
F,0.697607,-0.085503,-1.70035,-1.00352,0.695736
T,0.868489,1.03575,-0.55931,-0.226896,1.17647
F,-1.19735,0.465046,0.486905,-0.25915,-0.63584
T,0.685269,2.0169,1.93079,0.460102,1.01743
F,-0.204359,-0.543412,-0.976049,-0.58874,-0.794348
T,1.20423,1.88703,1.15644,0.869148,1.05802
F,-1.08521,0.006184,-0.588374,-1.26659,-0.953479
T,0.73714,1.86499,1.38068,0.4267,1.10446
F,0.043436,-0.58444,-1.3067,0.092227,-0.698936
T,0.424935,1.92245,1.02923,-0.498545,1.64426
F,0.265867,0.640185,0.684712,-0.039219,0.101192
T,1.04822,1.7931,1.01476,0.466268,2.02629
F,-0.720749,0.478516,-0.178935,0.818666,0.316226
T,0.435586,0.379343,-0.101042,0.64537,0.750946
F,0.608344,-0.311375,-0.633022,0.036234,0.189036
T,2.79307,0.505664,1.02874,0.671953,1.62459
F,-0.86651,-0.518572,0.255625,-0.210832,0.03872
T,1.24517,1.84852,2.08865,-0.528005,1.48417
F,0.206886,-0.654079,-1.84593,0.178398,0.37907
T,0.480019,1.27248,-0.660579,0.732518,1.46716
F,-1.06196,-0.554355,0.217414,0.831048,-0.943869
T,2.32254,0.65299,1.83464,2.28,1.40241
F,-0.922103,-0.69135,0.262912,0.067173,-0.412118
F,-0.668042,-0.896282,-1.41239,-1.06002,-1.24689
F,-0.708878,-0.066362,-1.1616,-1.31651,-0.82305
F,-0.951402,-0.816295,-0.399909,-0.446471,-0.884028
F,-0.788323,-0.783134,-1.74159,-2.53791,-1.04328
F,-0.407664,-0.369369,-1.20655,-3.66349,-1.18657
F,-1.05026,0.021763,-0.527436,-1.86149,-1.05708
F,-0.692001,0.16038,-0.140789,-0.208297,-0.549997
F,-0.612216,0.041811,0.468599,-1.01041,-0.728455
F,-0.967186,-1.0495,0.105281,-0.034325,-0.913241
F,-0.686497,0.081342,-0.750862,-0.952389,-0.338867
F,-1.65309,-0.819163,0.063377,-0.234576,-1.83724
F,-0.659746,-0.832429,-2.31952,-2.29605,-0.570915
F,-1.6452,-0.091932,0.071696,0.165164,-1.21756
T,1.39393,1.33909,0.760898,1.32172,0.547207
F,-0.347112,-2.1303,-0.142293,0.200959,-0.738518
F,-0.970712,-0.800751,-0.232203,-0.612437,-0.977785
T,1.48753,0.109645,1.31337,1.15909,0.366829
T,0.923745,0.953207,1.04868,0.805346,1.62195
F,-0.600602,-0.853935,0.08924,0.447727,-1.03132
F,-0.09786,-0.01211,0.026216,-0.204137,0.43863
F,-0.61041,-0.898644,0.660668,0.522716,-0.636079
F,-1.84239,-1.31511,-0.261051,0.568904,-1.81962
T,1.19715,-0.406948,0.731312,-0.038347,-0.045496
F,0.70518,0.135997,0.061964,0.646064,1.02057
T,-0.193367,0.939973,1.06366,1.35133,1.77076
T,-0.137593,-1.27574,-0.015205,1.30475,0.0915
F,-0.761555,-0.477421,0.954973,0.786019,-0.605867
F,-0.552491,-0.504203,0.156209,0.455232,-0.502564
T,0.114126,0.888538,1.39249,1.43728,0.448844
T,-0.164317,-1.92326,-0.769534,0.247832,-0.937252
F,0.749598,0.965813,1.12447,0.803454,0.314639
F,-0.75391,-0.842043,-0.324529,0.363797,-0.213315
F,0.001145,-1.30552,-1.39987,-0.531232,-0.567127
F,-0.507101,-0.830158,-0.229063,0.357328,-0.556259
T,2.21181,0.056917,-0.118578,0.093008,0.347547
F,-0.212275,-1.61317,-1.33116,0.258445,-1.28944
T,0.365677,0.492348,0.696933,0.712104,0.694332
