normal,gene377,gene765,gene14,gene1597,gene493,gene1671,gene1400,gene625,gene1892,gene1047,gene1917,gene1293,gene1884,gene1771,gene822,gene1758,gene1115,gene1416,gene419,gene99,gene1674,gene1423,gene1772,gene391,gene1679,gene1570,gene66,gene1873,gene1634,gene892,gene415,gene1168,gene581,gene1042,gene1640,gene1153,gene1401,gene648,gene1473,gene1635,gene249,gene1730,gene245,gene824,gene1946,gene1511,gene1472,gene67,gene267,gene513
F,0.396329,0.349957,-1.53192,-0.208554,1.03187,-0.525082,-0.942793,0.332443,-0.378657,1.69032,0.53002,0.700039,-0.979565,-0.694222,0.095114,0.039088,0.432495,-1.53753,-0.961885,-1.70486,-0.061928,0.353318,0.234473,0.738424,0.559915,-0.699901,0.01698,-0.369497,0.591347,-1.37324,0.409291,0.478998,0.149302,-0.207158,0.576603,1.07461,-0.07693,1.57702,1.81534,-0.782026,-0.084774,-0.153933,0.053861,0.261337,0.360917,-0.157059,0.673796,0.116946,0.000689,0.338184
T,1.68741,1.55094,0.404811,-0.745925,1.58552,-1.83078,-1.43354,-0.044018,1.1736,0.508408,1.13252,0.204408,0.661753,-1.01578,1.75134,0.710564,-0.048505,-0.204508,0.132091,0.763439,1.14939,1.54289,-1.29141,-0.263439,-0.354386,-0.02377,0.639241,1.71962,0.279767,1.32801,1.50406,-0.118437,-0.320751,-0.927375,0.19447,0.046023,-0.051972,0.468483,0.497104,1.07346,1.0784,-1.45746,1.22309,0.405049,0.199938,-0.239966,-0.71802,0.684171,1.24354,-0.864754
F,0.697607,-0.085503,-1.70035,-1.00352,0.695736,1.04685,-0.586686,-0.278723,-0.736563,0.176377,0.967687,-0.409541,-0.07141,-0.520239,0.184835,-0.41509,0.245188,0.509618,-0.218032,-1.44388,2.08388,0.749552,-1.1298,-1.99412,-0.857677,-0.905312,-0.913681,-1.53914,-0.81348,0.086015,1.03293,-1.53472,0.653475,-0.880517,1.56946,-0.625048,0.39633,-0.378901,0.742474,-0.558988,-1.06411,-0.741531,-0.474886,-0.104522,-0.713891,-0.898824,0.055553,-1.37279,-0.594958,-2.52545
T,0.868489,1.03575,-0.55931,-0.226896,1.17647,-0.961789,-1.16683,-0.029961,-0.400963,0.072867,1.56388,0.206564,-0.531569,-1.75265,0.940464,0.717587,-0.028642,-0.259375,-0.085119,-0.935601,1.94943,1.40453,-1.35392,-0.647155,0.643558,-0.263244,-1.26244,3.20929,0.086751,-0.772504,1.26225,-2.30458,0.334995,-1.60269,1.25289,0.30439,-0.118999,0.417871,0.633143,-0.231136,0.563893,-1.07194,0.388727,-0.976312,0.325624,-0.54901,-0.482723,-0.818342,0.394814,-1.32753
F,-1.19735,0.465046,0.486905,-0.25915,-0.63584,1.09874,-0.019951,-0.442686,0.096454,-0.679594,-0.422701,-0.769534,-0.045139,1.05626,-0.210693,-1.50137,0.642919,0.859295,0.858919,0.360763,-0.148625,-0.298782,1.29685,0.074774,-1.94542,-0.375952,0.012152,-1.44921,-0.691,0.230257,-0.183461,0.260467,-0.104955,1.45765,0.201883,0.413872,0.573074,-0.251714,0.199712,-0.423752,0.168165,0.341729,0.262511,-0.091543,-0.676969,-0.931567,-0.882707,0.259695,0.135833,1.48213
T,0.685269,2.0169,1.93079,0.460102,1.01743,-0.70534,0.028395,-0.816522,1.382,-2.27987,-0.349665,-1.74261,1.04794,-0.662504,0.335435,-0.956651,-0.462045,1.37814,1.22298,-0.17391,0.091651,0.830248,0.462199,-2.10086,-2.48127,1.39293,1.77681,0.784057,-2.16042,1.17087,0.216917,-1.23609,-1.53802,-0.548488,0.866142,-2.99346,0.869977,-1.77946,-0.466908,0.984955,1.67156,-1.22157,1.96491,1.52198,-1.77229,-1.89414,-1.02027,0.446307,1.96086,-0.759415
F,-0.204359,-0.543412,-0.976049,-0.58874,-0.794348,2.4,-0.903596,0.748909,-0.619891,-0.161914,0.479983,-0.142769,-1.01048,0.024033,-1.16085,0.261807,1.19394,-0.963078,0.693757,-0.475102,-0.453917,-0.402997,0.170894,0.643544,0.770858,-1.20301,-0.339011,-0.184692,0.118634,-0.665131,-1.37817,-0.515561,-0.637474,-0.181919,1.34543,-0.744242,-0.22475,-0.220968,0.144962,-1.01707,-0.946359,-0.474359,-0.885041,-1.45998,0.53206,0.585476,-0.349072,-0.970359,-1.03347,0.534473
T,1.20423,1.88703,1.15644,0.869148,1.05802,-0.623567,0.118521,-1.5901,-1.31616,-1.42771,1.39596,-2.01284,0.164915,-2.18015,0.906032,-0.354568,0.267354,1.10892,0.464584,0.141878,0.883036,0.921093,-0.604493,-0.744561,-0.783226,1.74145,0.249952,-0.226522,-1.36515,-0.314277,0.514073,-1.72518,-1.83617,-0.854182,0.842529,-2.18458,0.266773,-1.59268,-0.748767,0.216604,1.9131,-0.514109,1.79079,1.08091,-1.1043,-1.68008,-2.11648,0.890372,1.69289,-0.897567
F,-1.08521,0.006184,-0.588374,-1.26659,-0.953479,0.979544,0.752718,0.737611,-1.21942,1.5115,-1.13047,0.69997,-1.04205,1.96852,-0.506791,1.24217,0.663459,-0.52983,-1.54262,-2.3192,0.184215,-0.298926,1.0272,0.64727,0.348656,0.459145,-1.13522,-0.893906,1.84942,-1.03129,-0.76935,-0.94423,1.52378,2.41727,1.93038,0.667483,-4.90837,2.14388,1.20634,-1.61988,-0.754156,-0.798628,-0.328117,-0.358564,0.2438,0.748379,0.220407,-1.5389,-0.339901,1.22099
T,0.73714,1.86499,1.38068,0.4267,1.10446,-1.52505,-0.960517,-2.16295,1.46816,-1.13042,0.00593,-2.03385,1.66318,-1.18195,0.881497,-0.80766,-0.659941,0.581662,1.80047,1.62955,-0.299918,0.902517,-0.719822,-1.79619,-1.36596,1.03875,1.05099,-0.117372,-2.33238,2.26875,0.821226,-0.339885,-1.0017,-0.497923,-0.32751,-1.89596,1.23916,-1.02994,-0.428891,0.89085,1.67066,-0.996422,1.71781,1.07903,-1.80219,-2.10916,-2.2683,1.72534,1.715,-1.36961
