class,Attr1868,Attr7089,Attr7113,Attr7119,Attr3454,Attr4141,Attr3252,Attr7085,Attr7092,Attr7067
F,-0.365618,-0.1925,0.356807,1.08633,1.34647,-0.841912,-0.724608,-0.777168,-0.742505,0.019966
F,-0.354143,-0.69064,-0.840763,-0.593272,-1.54957,-0.429567,-0.589524,-0.384574,-0.880402,-1.05788
F,-0.342607,0.4944,1.01125,-0.407801,-1.38399,-0.79479,-0.640081,-0.823859,-0.759592,-1.05193
F,-0.360961,-0.626777,0.703125,-0.260879,-1.60527,-0.566107,-0.58836,-0.173264,0.499888,0.127407
F,-0.352601,-1.41039,-1.33238,-0.576936,0.734582,-0.638305,-0.657389,-0.305565,-0.204271,-1.06044
F,-0.341253,-0.916043,-0.363414,0.410213,-1.56832,-0.75221,-0.595599,0.658894,0.674997,1.75393
F,-0.351329,0.385526,0.598859,-0.542422,-1.53583,-0.443663,-0.521803,-0.744315,0.9559,1.49368
F,-0.353221,1.37154,1.64958,-0.490341,1.45104,-0.501616,-0.514842,-1.30472,0.056781,0.199027
F,-0.353709,-0.368904,-0.353136,0.960384,-0.290657,-0.757159,-0.731869,-0.851566,1.93656,-0.86584
F,-0.289179,0.355529,0.086463,-0.245852,-1.45407,-0.315198,-0.591766,1.32669,0.035097,-0.090108
F,-0.349451,-0.31206,-0.775934,1.62603,0.073409,0.107863,-0.601857,-1.90057,0.882694,-0.833308
F,-0.278911,-0.079553,-0.090435,-0.938268,-1.03393,-0.937938,-0.518583,1.44589,0.437808,0.56986
F,-0.348022,-0.197128,-0.903858,0.560658,0.008385,-1.14026,-0.720782,-1.541,-1.3865,-0.620226
F,-0.350486,-1.033,-0.925998,-0.358213,0.237161,0.086011,0.538875,0.095547,-0.184678,-0.054163
F,-0.357763,-0.461525,-1.89304,0.97745,0.415136,-0.954047,-0.757284,-1.16416,0.557073,-1.44127
F,-0.360182,-0.384268,-0.032189,1.87811,1.66399,-0.322741,-0.698955,0.38139,-0.547339,-0.046749
F,-0.342351,2.2085,1.80935,-0.304903,2.14855,-0.154167,2.91627,-1.27837,1.40385,-0.022218
F,-0.340132,-0.548653,0.170133,-0.663102,1.30208,-0.688005,-0.539429,0.648306,-0.773969,0.227473
