class,Attr1868,Attr7089,Attr7113,Attr7119,Attr3454,Attr4141,Attr3252,Attr7085,Attr7092,Attr7067,Attr7040,Attr2402,Attr6219,Attr4279,Attr7059,Attr7046,Attr7051,Attr7095,Attr7055,Attr7030,Attr7036,Attr7037,Attr7053,Attr7060,Attr7038,Attr7042,Attr7048,Attr7021,Attr7101,Attr7102,Attr7114,Attr7116,Attr7073,Attr7127,Attr7129,Attr7106,Attr7066,Attr7068,Attr7072,Attr7074,Attr7082,Attr7084,Attr7005,Attr7023,Attr7024,Attr7020,Attr4847,Attr7047,Attr7058,Attr7124,Attr7100,Attr7110,Attr7115,Attr7069,Attr7077,Attr7031,Attr7120,Attr7044,Attr7063,Attr7090,Attr7098,Attr7103,Attr7126,Attr7006,Attr7010,Attr7013,Attr7029,Attr7091,Attr7107,Attr7049,Attr6975,Attr7009,Attr6956,Attr6218,Attr6948,Attr6973,Attr6888,Attr6875,Attr6904,Attr2523,Attr3688,Attr5728,Attr5147,Attr6506,Attr6880,Attr6930,Attr6947,Attr6891,Attr6907,Attr6966,Attr6996,Attr6986,Attr6921,Attr6922,Attr6992,Attr6915,Attr3851,Attr1041,Attr761,Attr5970
F,-0.365618,-0.1925,0.356807,1.08633,1.34647,-0.841912,-0.724608,-0.777168,-0.742505,0.019966,-0.620174,-0.423939,-0.374589,-0.237851,0.722786,-0.029428,-0.253977,0.286777,1.13651,-0.390339,0.676428,0.626626,-1.0922,-0.852351,-0.50149,1.07921,0.05713,0.459736,1.04266,0.522007,-0.921719,0.215342,-0.038314,-0.596842,-0.959575,-1.6741,-0.179304,-0.743946,0.665237,-0.291972,-0.314562,0.14078,-0.808558,0.940388,-0.33422,-0.747324,-0.661837,-1.10344,-1.22771,-0.913618,0.275823,-1.64305,0.065524,0.314397,0.280059,-1.79655,-0.484449,-0.308227,0.752525,0.937337,-0.432457,1.1414,-0.101356,0.624303,-0.923391,0.884218,-0.303967,-0.639241,-0.149635,0.214242,-0.680163,-0.283349,-0.744174,-0.396513,-0.470356,0.245594,-0.311729,0.069996,-0.226012,0.094557,-0.295179,0.517727,-0.08529,-0.254215,-0.240853,-0.246615,-1.11649,-0.133774,0.477193,0.413334,-0.122743,0.309318,-0.104113,0.507921,-0.925523,0.229223,1.52406,-1.50727,-1.81951,-0.254501
F,-0.354143,-0.69064,-0.840763,-0.593272,-1.54957,-0.429567,-0.589524,-0.384574,-0.880402,-1.05788,-0.854892,-0.50399,-0.381945,-0.331925,-1.44055,-0.269806,0.090848,0.132219,-0.071554,1.15879,0.751693,0.362045,-1.36894,-1.44209,-0.2429,-0.68107,-0.932354,-0.677489,0.534218,0.505844,-1.54913,-0.825954,0.21039,-0.865241,-0.543433,-1.7321,-0.291631,-0.760725,-0.767104,-0.953656,-0.680512,-0.61157,0.600617,0.446939,-1.07635,-0.839241,-0.667077,-0.781541,-0.818736,-0.536629,-1.37301,-0.646845,-1.22777,-0.219627,-0.525214,-0.702394,-0.72219,-0.291298,-0.483343,-1.01409,-0.564208,-0.989966,-0.373182,-0.474033,-0.639565,-0.657576,0.424225,0.405398,-0.459227,-0.651817,-0.832221,0.275531,0.456539,-0.419577,0.177928,-0.687766,-0.977125,-0.59643,-1.02725,-0.599339,-0.498879,0.730291,-1.03289,0.899759,-0.793181,-1.12715,-0.674655,-0.961378,-1.01781,-0.179503,-0.670691,0.660616,-1.57609,-0.875206,-0.339603,1.28104,-0.371016,-0.041589,-0.042834,-0.205346
F,-0.342607,0.4944,1.01125,-0.407801,-1.38399,-0.79479,-0.640081,-0.823859,-0.759592,-1.05193,-1.26073,-0.354506,-0.363318,-0.283029,0.077688,-0.4469,-0.688019,0.420919,0.197341,-0.967904,-0.824843,-0.917849,1.25586,0.767393,0.720861,1.07826,0.793721,0.487456,-1.21223,-1.13896,2.37278,1.9767,-0.197926,-0.496304,-0.896774,-0.811351,-0.350933,-0.980363,-0.814623,-1.25371,-0.618705,-1.25618,-0.981269,-0.711606,-0.551252,-0.453557,-0.6691,-0.173748,0.404504,0.223522,0.524478,-0.212396,-0.427871,0.057151,0.219761,-0.1201,0.690042,0.44539,0.418481,0.61204,1.46147,1.26678,1.98086,1.13297,1.32567,1.24365,-1.16561,-0.2096,-0.755438,-1.06181,-0.77216,-0.967843,-0.536679,-0.37633,-0.475812,0.910165,0.437779,-0.532586,-0.66489,-0.760676,-0.475501,-0.583215,-0.964243,-0.967126,-0.060702,-0.33566,0.678655,-0.253441,-0.710595,1.07763,0.141303,0.072781,-0.227639,-0.444066,0.232118,-0.026428,0.273572,-0.018202,-0.710992,-0.220738
F,-0.360961,-0.626777,0.703125,-0.260879,-1.60527,-0.566107,-0.58836,-0.173264,0.499888,0.127407,0.62211,-0.399844,-0.350562,-0.299314,-0.007082,1.12917,0.263924,-0.172626,0.056777,-0.51368,-0.131011,-0.057462,1.06734,1.51294,2.08829,2.35323,0.291724,-1.06487,-0.483893,0.109505,0.168868,0.043093,-0.038649,-0.970937,-0.846979,0.153158,-0.039163,-0.426309,-0.326844,-0.53092,-0.507448,0.190519,-0.951324,-0.053498,-1.01256,-0.125782,-0.383181,0.103582,0.367791,-1.03546,1.99643,-0.094869,0.596904,0.78247,0.06248,0.685865,0.688649,-0.11444,1.68433,0.698142,-0.397981,0.162799,-0.668827,1.23326,-1.1595,0.480803,-2.8402,-0.003687,0.411155,0.230666,-0.041431,0.516585,0.133511,-0.34737,-0.08802,-0.428081,1.32941,0.816233,0.138718,-0.607129,0.803367,0.770746,-0.986964,-0.811158,0.052719,-0.869475,2.17986,1.80236,-1.37838,0.624902,-1.21993,-0.395675,0.526409,0.445599,-0.515041,-0.65354,-0.584751,1.41297,0.66861,-0.475928
F,-0.352601,-1.41039,-1.33238,-0.576936,0.734582,-0.638305,-0.657389,-0.305565,-0.204271,-1.06044,-0.756728,-0.402617,-0.367609,-0.267746,-1.36146,0.349295,0.304847,-0.034633,-0.53273,-0.094095,-0.933251,-0.735085,-0.449097,-1.01995,-1.06953,-0.640519,-1.33798,0.500395,-0.665659,-0.20977,-0.91837,-1.18679,-0.273599,-1.03739,-0.870765,-0.726142,-0.096261,-0.605259,-0.689291,-0.642797,-0.775538,-0.522243,-0.583147,-0.145389,0.649092,0.263123,-0.420005,-0.923474,-1.2971,-0.837807,-0.303437,-0.996872,-1.40205,-0.581076,-0.583175,0.13968,-0.950918,-0.147885,-1.53071,-1.44097,-1.40669,-0.684802,-0.296516,-1.5952,-0.045405,-0.796872,0.670316,0.258941,-1.01603,-0.479079,-1.4434,-0.579671,0.705518,-0.333945,-0.736043,-1.76051,-0.994055,0.162931,-0.181789,0.445713,1.28969,0.892344,-1.13321,-1.01597,-0.884956,-0.258278,-1.64846,-0.094919,0.009029,-1.39179,-0.339241,0.0289,-1.33075,-0.166535,-0.191578,-0.148591,-0.46815,-0.333718,-0.114627,-0.059565
F,-0.341253,-0.916043,-0.363414,0.410213,-1.56832,-0.75221,-0.595599,0.658894,0.674997,1.75393,1.00299,-0.392244,-0.344828,-0.286208,0.807483,1.43603,1.04778,-0.440131,-0.926519,-1.52807,-0.808634,-0.915665,1.61144,0.8682,0.59849,1.51339,0.637173,-0.709752,-1.89059,-1.30431,2.35227,0.808089,-0.491698,1.17596,0.548086,0.872627,0.19839,0.568419,1.2314,0.451501,0.919179,0.347261,-0.915296,-0.568539,0.275256,0.566963,-0.626451,0.432528,1.79445,0.336817,1.38573,0.876202,0.883346,0.338839,0.52857,1.62865,0.04252,-0.21461,0.125987,0.226534,0.353478,0.761012,0.490865,0.519589,0.621879,-0.170542,0.122096,0.046238,-0.307875,0.057856,0.083844,-0.658775,0.388065,-0.384718,-0.238614,-0.417676,0.060226,-0.258971,-0.191481,0.459996,-0.599686,0.788917,1.12209,-0.924698,-0.011372,0.425099,1.53694,1.02419,-0.655054,0.852941,-0.752344,-0.297698,1.12398,0.855925,0.577016,-0.663352,0.150964,-0.270823,-0.605034,-0.125152
F,-0.351329,0.385526,0.598859,-0.542422,-1.53583,-0.443663,-0.521803,-0.744315,0.9559,1.49368,0.813275,-0.408144,-0.349896,-0.299063,-0.894795,0.626282,0.54452,-0.447233,0.521407,-0.831379,-0.73331,-0.58561,0.973772,1.10324,1.33686,1.96588,0.808817,0.308861,-0.398259,-0.554761,1.15912,0.226141,-0.107142,0.413503,0.200454,-0.643581,-0.148079,-0.114042,0.016663,0.218684,-0.079734,-0.164992,-0.616937,-0.645927,0.370104,0.538618,-0.76256,0.287989,2.18067,0.520383,2.58811,0.653031,1.4932,0.531042,0.386415,0.595628,-1.18504,-0.697317,0.822224,1.34494,1.74199,1.74184,1.07101,1.34378,1.24695,0.550921,-0.522353,-0.286876,0.572639,1.78901,1.26298,0.910388,0.41082,-0.41914,-0.275659,1.00707,0.33642,1.06795,0.325507,-0.557897,0.789289,-1.11246,1.53614,-0.817634,0.479246,-0.499932,0.545924,0.305035,-0.758628,1.05424,1.00792,-0.370425,0.556945,2.0312,0.365943,-1.18442,-0.300848,-0.247679,-0.381694,-0.17909
F,-0.353221,1.37154,1.64958,-0.490341,1.45104,-0.501616,-0.514842,-1.30472,0.056781,0.199027,1.12994,-0.322111,-0.408323,-0.329357,0.733142,0.097399,-3.11185,-1.35549,2.09208,0.2971,0.099205,-0.091901,-1.06185,1.63112,1.62281,3.04249,1.11727,-0.208661,1.20322,0.549915,0.155331,1.08665,-0.393825,1.1966,1.00879,0.661834,-0.289762,0.744437,-0.808177,0.082059,-0.152193,-0.613314,-0.118283,-0.047186,-0.763421,-2.03493,-0.922927,1.13458,0.066352,1.07093,2.17611,1.22949,0.97475,-0.343746,0.446359,0.304333,1.57098,0.122153,-0.624137,0.253745,0.118517,3.34604,0.945261,0.999414,-1.05872,1.54325,-1.80303,-1.00144,0.113089,-0.947291,0.747132,2.59925,-0.908235,-0.392836,-0.31334,2.18478,0.961563,0.641007,-0.102573,0.529865,0.837821,-0.791304,2.01134,0.443989,1.24787,0.596784,2.48955,-0.809219,-0.770755,0.826901,-0.393466,0.025746,-0.271052,0.797683,-0.042406,0.0695,-0.401657,-0.670668,-0.718521,-0.060456
F,-0.353709,-0.368904,-0.353136,0.960384,-0.290657,-0.757159,-0.731869,-0.851566,1.93656,-0.86584,-1.00561,-0.361603,-0.384019,-0.332846,-0.65153,-1.587,-0.331021,-1.15137,-0.739882,-0.778447,-0.413348,-0.631313,-0.351561,-0.864419,1.19129,-0.498897,0.164833,-0.271119,-1.03362,-0.905974,0.761543,0.709278,-0.367106,-0.394862,-1.58639,-2.05557,-0.366754,-1.89039,-1.00602,-1.53112,-1.42111,-1.22344,-0.522705,-0.585206,0.260255,-1.38591,-1.01329,-1.36737,-0.373859,-1.23339,0.775567,-2.19997,-0.597045,-0.48518,-0.855643,-0.17809,0.345497,-0.952353,1.65281,-0.948412,-0.130224,-0.397798,-0.333414,-0.220694,-0.710587,0.111076,-0.918815,-0.650942,-0.756276,0.29922,-1.54194,0.629881,0.65184,-0.381282,-0.555436,0.298941,-0.553204,-1.16055,-0.188126,-1.29026,-0.883978,0.724829,-0.450641,-0.824756,-0.453625,-1.06776,0.610952,-1.40449,-1.34615,0.344189,-0.866339,2.16298,-1.00399,-1.28584,-0.903707,2.15563,1.85747,-0.051001,-0.347103,-0.219275
F,-0.289179,0.355529,0.086463,-0.245852,-1.45407,-0.315198,-0.591766,1.32669,0.035097,-0.090108,0.321219,-0.538567,-0.258533,-0.259667,-0.513296,-0.070188,-0.11023,-0.296368,0.989637,-1.24162,-1.15148,-1.13911,1.17856,-0.03741,-0.351126,-0.792676,-0.219669,-0.049155,-1.27927,-1.44168,0.037193,-0.190553,-0.127041,0.213104,0.633507,-0.330544,-0.113575,0.989632,1.18624,0.240894,0.105187,0.135792,-0.836725,-0.690491,0.012802,-0.06546,-0.505337,-0.158054,-1.2099,0.829371,0.442445,0.750974,0.848069,0.125294,0.127073,0.135596,-1.1966,0.493221,-0.381208,-0.544263,-0.404082,0.35033,0.372852,-1.03374,-0.396284,-0.179631,0.918764,1.74342,-0.091723,-0.894638,-0.33915,-0.042113,0.076819,-0.312732,-0.254349,-0.11682,0.383093,0.11644,0.055329,-0.092997,-0.363663,-0.0598,0.16606,-0.305936,-0.270556,1.03614,0.191211,-1.06755,-0.522894,-0.200154,0.766035,0.222959,0.067496,-0.320072,-0.082881,2.06822,-0.78913,0.182931,0.339845,-0.195853
