class,Attr1868,Attr7089,Attr7113,Attr7119,Attr3454,Attr4141,Attr3252,Attr7085,Attr7092,Attr7067,Attr7040,Attr2402,Attr6219,Attr4279,Attr7059,Attr7046,Attr7051,Attr7095,Attr7055,Attr7030,Attr7036,Attr7037,Attr7053,Attr7060,Attr7038,Attr7042,Attr7048,Attr7021,Attr7101,Attr7102,Attr7114,Attr7116,Attr7073,Attr7127,Attr7129,Attr7106,Attr7066,Attr7068,Attr7072,Attr7074,Attr7082,Attr7084,Attr7005,Attr7023,Attr7024,Attr7020,Attr4847,Attr7047,Attr7058,Attr7124,Attr7100,Attr7110,Attr7115,Attr7069,Attr7077,Attr7031,Attr7120,Attr7044,Attr7063,Attr7090,Attr7098,Attr7103,Attr7126,Attr7006,Attr7010,Attr7013,Attr7029,Attr7091,Attr7107,Attr7049,Attr6975,Attr7009,Attr6956,Attr6218,Attr6948,Attr6973,Attr6888,Attr6875,Attr6904,Attr2523,Attr3688,Attr5728,Attr5147,Attr6506,Attr6880,Attr6930,Attr6947,Attr6891,Attr6907,Attr6966,Attr6996,Attr6986,Attr6921,Attr6922,Attr6992,Attr6915,Attr3851,Attr1041,Attr761,Attr5970,Attr1950,Attr4788,Attr6588,Attr420,Attr4884,Attr4436,Attr1538,Attr3671,Attr1475,Attr4567,Attr3329,Attr6451,Attr4852,Attr6547,Attr6733,Attr5767,Attr1132,Attr3300,Attr2518,Attr5160,Attr5643,Attr5100,Attr87,Attr5211,Attr3156,Attr1768,Attr4530,Attr1899,Attr3352,Attr940,Attr5611,Attr6444,Attr1216,Attr5301,Attr1243,Attr5684,Attr5619,Attr5352,Attr2152,Attr4510,Attr5274,Attr6763,Attr995,Attr1959,Attr3993,Attr6132,Attr4334,Attr6482,Attr1518,Attr5017,Attr597,Attr3265,Attr5832,Attr6094,Attr2685,Attr3026,Attr1360,Attr1386,Attr1682,Attr1901,Attr1646,Attr6660,Attr4905,Attr1782,Attr3564,Attr2481,Attr1610,Attr1290,Attr539,Attr5000,Attr1972,Attr6798,Attr1890,Attr6901,Attr2282,Attr1858,Attr1479,Attr3940,Attr3554,Attr2799,Attr5769,Attr2868,Attr5106,Attr1235,Attr6201,Attr6659,Attr5637,Attr4746,Attr5037,Attr3646,Attr749,Attr1293,Attr5714,Attr394,Attr1253,Attr4065,Attr1874,Attr3852,Attr1116,Attr4026
F,-0.365618,-0.1925,0.356807,1.08633,1.34647,-0.841912,-0.724608,-0.777168,-0.742505,0.019966,-0.620174,-0.423939,-0.374589,-0.237851,0.722786,-0.029428,-0.253977,0.286777,1.13651,-0.390339,0.676428,0.626626,-1.0922,-0.852351,-0.50149,1.07921,0.05713,0.459736,1.04266,0.522007,-0.921719,0.215342,-0.038314,-0.596842,-0.959575,-1.6741,-0.179304,-0.743946,0.665237,-0.291972,-0.314562,0.14078,-0.808558,0.940388,-0.33422,-0.747324,-0.661837,-1.10344,-1.22771,-0.913618,0.275823,-1.64305,0.065524,0.314397,0.280059,-1.79655,-0.484449,-0.308227,0.752525,0.937337,-0.432457,1.1414,-0.101356,0.624303,-0.923391,0.884218,-0.303967,-0.639241,-0.149635,0.214242,-0.680163,-0.283349,-0.744174,-0.396513,-0.470356,0.245594,-0.311729,0.069996,-0.226012,0.094557,-0.295179,0.517727,-0.08529,-0.254215,-0.240853,-0.246615,-1.11649,-0.133774,0.477193,0.413334,-0.122743,0.309318,-0.104113,0.507921,-0.925523,0.229223,1.52406,-1.50727,-1.81951,-0.254501,-1.09406,-1.95446,-2.1096,-1.08223,-0.760997,1.36968,-1.14945,-1.73995,-1.52587,-0.97553,-0.53972,-1.22114,-0.848309,1.00688,-1.68276,-1.21437,-0.958086,-0.354398,1.15215,-0.847839,-0.624059,-0.751116,0.590785,-1.13853,-0.965756,-0.841614,-0.786822,-0.922361,-0.665676,-0.853363,-0.674447,-1.32776,-0.513803,1.28813,-0.515382,0.637069,0.593224,1.554,-1.07706,0.961633,-0.420603,1.89765,-1.13777,0.514536,1.08329,1.36609,-0.731195,-1.25366,-0.86789,-0.542051,-0.774236,-0.783998,1.14952,0.774059,-0.857628,1.26489,-0.931785,-0.566037,0.259069,-0.300568,0.233612,-0.092308,0.962115,0.174501,-0.220289,-0.611473,0.045628,-0.327749,0.08956,-0.113269,0.465485,0.004049,0.317295,-0.090028,-0.262035,0.434688,0.424742,-0.318204,-0.396848,-0.28968,-0.217074,-0.297335,-0.155961,-0.144822,-0.532485,-0.290719,-0.60562,-1.03872,-2.04324,-1.35333,-1.48225,-0.568253,-0.068691,-1.10217,-0.549343,0.35205,1.33095,1.03199,-1.43193,-0.755296
F,-0.354143,-0.69064,-0.840763,-0.593272,-1.54957,-0.429567,-0.589524,-0.384574,-0.880402,-1.05788,-0.854892,-0.50399,-0.381945,-0.331925,-1.44055,-0.269806,0.090848,0.132219,-0.071554,1.15879,0.751693,0.362045,-1.36894,-1.44209,-0.2429,-0.68107,-0.932354,-0.677489,0.534218,0.505844,-1.54913,-0.825954,0.21039,-0.865241,-0.543433,-1.7321,-0.291631,-0.760725,-0.767104,-0.953656,-0.680512,-0.61157,0.600617,0.446939,-1.07635,-0.839241,-0.667077,-0.781541,-0.818736,-0.536629,-1.37301,-0.646845,-1.22777,-0.219627,-0.525214,-0.702394,-0.72219,-0.291298,-0.483343,-1.01409,-0.564208,-0.989966,-0.373182,-0.474033,-0.639565,-0.657576,0.424225,0.405398,-0.459227,-0.651817,-0.832221,0.275531,0.456539,-0.419577,0.177928,-0.687766,-0.977125,-0.59643,-1.02725,-0.599339,-0.498879,0.730291,-1.03289,0.899759,-0.793181,-1.12715,-0.674655,-0.961378,-1.01781,-0.179503,-0.670691,0.660616,-1.57609,-0.875206,-0.339603,1.28104,-0.371016,-0.041589,-0.042834,-0.205346,-0.308714,-0.770701,-0.459527,0.220041,-0.067808,0.397961,0.334739,-0.811353,-0.62274,-0.482246,0.107371,0.087484,-0.239257,0.578234,0.249165,-0.008851,0.478828,-0.048176,-0.194377,0.319287,0.035665,-0.194891,0.183191,0.353315,-0.340548,-0.045045,-0.453587,-0.452897,0.029765,-0.312893,-0.517224,0.204677,-0.05415,-0.394661,-0.040784,0.434228,-0.070936,0.116359,-0.015488,0.491623,-0.139972,0.706729,-0.192124,-0.599216,0.611631,0.634053,-0.867804,-0.576794,-0.583034,-0.710737,-0.70792,-1.0646,-0.98025,-0.449087,-0.899967,-0.289627,-0.864655,-0.722578,-0.771914,-0.723733,-0.803109,-1.47619,-0.88237,-1.075,-0.734442,-0.855299,-0.795748,-0.963646,0.975124,-0.782923,-0.533089,-0.632578,-0.537766,-0.551343,0.807106,-1.18584,0.863727,-1.42092,-0.794642,0.676425,0.534043,-1.15478,0.722015,-0.926149,0.382085,0.399834,-0.255953,-0.239469,-0.887259,-0.091631,0.767403,0.36724,0.162809,-0.999713,0.306945,0.221207,0.574784,0.683867,-0.295639,-0.178223
F,-0.342607,0.4944,1.01125,-0.407801,-1.38399,-0.79479,-0.640081,-0.823859,-0.759592,-1.05193,-1.26073,-0.354506,-0.363318,-0.283029,0.077688,-0.4469,-0.688019,0.420919,0.197341,-0.967904,-0.824843,-0.917849,1.25586,0.767393,0.720861,1.07826,0.793721,0.487456,-1.21223,-1.13896,2.37278,1.9767,-0.197926,-0.496304,-0.896774,-0.811351,-0.350933,-0.980363,-0.814623,-1.25371,-0.618705,-1.25618,-0.981269,-0.711606,-0.551252,-0.453557,-0.6691,-0.173748,0.404504,0.223522,0.524478,-0.212396,-0.427871,0.057151,0.219761,-0.1201,0.690042,0.44539,0.418481,0.61204,1.46147,1.26678,1.98086,1.13297,1.32567,1.24365,-1.16561,-0.2096,-0.755438,-1.06181,-0.77216,-0.967843,-0.536679,-0.37633,-0.475812,0.910165,0.437779,-0.532586,-0.66489,-0.760676,-0.475501,-0.583215,-0.964243,-0.967126,-0.060702,-0.33566,0.678655,-0.253441,-0.710595,1.07763,0.141303,0.072781,-0.227639,-0.444066,0.232118,-0.026428,0.273572,-0.018202,-0.710992,-0.220738,0.201903,-0.802913,-1.02742,-0.474899,-0.050967,-0.107084,-0.399592,-0.614413,-1.20196,-0.451604,-0.366538,0.065514,-0.425538,-0.127429,-0.941102,-0.744628,0.086748,0.254613,-0.295499,-0.469562,-0.46535,0.1679,-0.670331,-0.37918,-0.465975,-0.501743,-0.588469,-0.159024,0.317534,0.201234,-0.545723,1.44865,1.41953,-0.491279,0.335304,0.640572,0.604167,1.41773,-0.874976,1.20206,0.741594,1.93054,-1.6582,0.199971,0.315351,-0.174465,0.008808,-0.345426,0.065054,-0.1844,-0.42462,-0.102703,0.556573,0.297362,0.089994,0.224217,-0.678754,-0.479779,0.521846,-0.769499,0.580195,1.12169,1.56392,1.20048,0.62414,-1.28775,-1.8485,-0.88443,0.833681,-1.31807,-1.02075,-0.687276,-0.584476,-0.88445,0.537853,-0.635982,0.874445,-1.13727,-1.42116,-0.827623,0.644763,0.9649,-0.655088,-0.850355,-0.543186,-0.440232,0.077281,0.180396,-0.288172,0.016318,0.013535,0.081258,0.072313,-0.720993,0.373658,-0.106494,-0.199584,0.492055,-0.533116,-0.236655
F,-0.360961,-0.626777,0.703125,-0.260879,-1.60527,-0.566107,-0.58836,-0.173264,0.499888,0.127407,0.62211,-0.399844,-0.350562,-0.299314,-0.007082,1.12917,0.263924,-0.172626,0.056777,-0.51368,-0.131011,-0.057462,1.06734,1.51294,2.08829,2.35323,0.291724,-1.06487,-0.483893,0.109505,0.168868,0.043093,-0.038649,-0.970937,-0.846979,0.153158,-0.039163,-0.426309,-0.326844,-0.53092,-0.507448,0.190519,-0.951324,-0.053498,-1.01256,-0.125782,-0.383181,0.103582,0.367791,-1.03546,1.99643,-0.094869,0.596904,0.78247,0.06248,0.685865,0.688649,-0.11444,1.68433,0.698142,-0.397981,0.162799,-0.668827,1.23326,-1.1595,0.480803,-2.8402,-0.003687,0.411155,0.230666,-0.041431,0.516585,0.133511,-0.34737,-0.08802,-0.428081,1.32941,0.816233,0.138718,-0.607129,0.803367,0.770746,-0.986964,-0.811158,0.052719,-0.869475,2.17986,1.80236,-1.37838,0.624902,-1.21993,-0.395675,0.526409,0.445599,-0.515041,-0.65354,-0.584751,1.41297,0.66861,-0.475928,-1.445,-0.990585,-1.39358,-1.52625,-1.08257,0.772033,0.438233,-1.39946,-2.33823,-1.50484,-0.677478,1.18026,0.347653,-0.600872,-1.90822,-1.08075,0.602094,0.662454,1.05192,-0.95713,-1.00719,-0.589119,-1.38674,-0.620996,-0.774346,-1.0587,-0.860272,-0.850013,-0.591374,0.957365,0.800811,-0.884517,1.48229,0.933732,-0.483634,-0.331419,-0.700674,-0.886052,-0.709307,-0.351644,0.734696,1.70017,-1.309,-0.88136,-0.333749,-0.822105,1.02515,0.955026,1.62256,0.537769,0.565313,0.693315,1.06893,0.412028,-1.30863,0.979266,-0.850769,-0.627419,-0.290725,0.122069,-0.244558,0.237892,0.345161,0.519246,-0.294675,0.034132,0.599237,-0.234625,0.163683,0.109981,0.097052,-0.02604,0.510342,-0.336441,-0.867706,0.480693,-0.885013,0.487569,0.918352,0.555457,-1.0499,-1.20226,-0.907292,-0.691622,-0.54047,-0.435807,0.40269,1.14519,-1.57798,0.832951,1.35981,1.11053,0.305607,0.689488,0.413909,-0.207095,-2.47982,-1.62346,0.840314,2.05294
F,-0.352601,-1.41039,-1.33238,-0.576936,0.734582,-0.638305,-0.657389,-0.305565,-0.204271,-1.06044,-0.756728,-0.402617,-0.367609,-0.267746,-1.36146,0.349295,0.304847,-0.034633,-0.53273,-0.094095,-0.933251,-0.735085,-0.449097,-1.01995,-1.06953,-0.640519,-1.33798,0.500395,-0.665659,-0.20977,-0.91837,-1.18679,-0.273599,-1.03739,-0.870765,-0.726142,-0.096261,-0.605259,-0.689291,-0.642797,-0.775538,-0.522243,-0.583147,-0.145389,0.649092,0.263123,-0.420005,-0.923474,-1.2971,-0.837807,-0.303437,-0.996872,-1.40205,-0.581076,-0.583175,0.13968,-0.950918,-0.147885,-1.53071,-1.44097,-1.40669,-0.684802,-0.296516,-1.5952,-0.045405,-0.796872,0.670316,0.258941,-1.01603,-0.479079,-1.4434,-0.579671,0.705518,-0.333945,-0.736043,-1.76051,-0.994055,0.162931,-0.181789,0.445713,1.28969,0.892344,-1.13321,-1.01597,-0.884956,-0.258278,-1.64846,-0.094919,0.009029,-1.39179,-0.339241,0.0289,-1.33075,-0.166535,-0.191578,-0.148591,-0.46815,-0.333718,-0.114627,-0.059565,-0.672665,-0.369371,-0.018681,-0.240247,0.019514,0.545093,-0.735108,1.17317,0.604566,0.697945,0.71226,-0.543225,-1.01553,-0.573612,0.289375,0.38951,1.48633,0.466796,-0.966114,-0.799884,-1.04893,-0.855396,-0.977408,-0.894675,-0.863566,-0.800794,-0.731485,-1.25973,-0.940029,1.77169,-0.974884,1.19832,-0.617816,1.47758,-0.316995,-0.351492,-0.628612,-1.10422,-0.684769,-0.321097,0.636449,-0.859706,0.452246,0.41301,-0.57954,-0.512741,-0.885169,-0.559788,-0.917689,-0.699813,-0.682617,-1.24558,-0.928954,-0.331899,-0.735617,-0.478137,-1.10578,-0.901785,-0.700044,-1.25149,-0.614991,-1.37772,-0.695122,-1.14276,-1.59593,-1.2949,-0.812887,-1.43217,1.51188,-0.642927,-0.826682,-0.936146,0.780954,-0.915457,0.56275,-0.594176,-1.24687,-1.1953,-1.35211,1.37685,0.711553,-0.853303,0.586069,-0.683798,-0.582557,-0.42624,-0.533116,-1.51733,1.2346,-1.04138,-0.703775,-0.834439,-0.07006,-1.44598,0.496036,-0.194409,-0.694701,-0.046764,-0.113161,-0.149396
F,-0.341253,-0.916043,-0.363414,0.410213,-1.56832,-0.75221,-0.595599,0.658894,0.674997,1.75393,1.00299,-0.392244,-0.344828,-0.286208,0.807483,1.43603,1.04778,-0.440131,-0.926519,-1.52807,-0.808634,-0.915665,1.61144,0.8682,0.59849,1.51339,0.637173,-0.709752,-1.89059,-1.30431,2.35227,0.808089,-0.491698,1.17596,0.548086,0.872627,0.19839,0.568419,1.2314,0.451501,0.919179,0.347261,-0.915296,-0.568539,0.275256,0.566963,-0.626451,0.432528,1.79445,0.336817,1.38573,0.876202,0.883346,0.338839,0.52857,1.62865,0.04252,-0.21461,0.125987,0.226534,0.353478,0.761012,0.490865,0.519589,0.621879,-0.170542,0.122096,0.046238,-0.307875,0.057856,0.083844,-0.658775,0.388065,-0.384718,-0.238614,-0.417676,0.060226,-0.258971,-0.191481,0.459996,-0.599686,0.788917,1.12209,-0.924698,-0.011372,0.425099,1.53694,1.02419,-0.655054,0.852941,-0.752344,-0.297698,1.12398,0.855925,0.577016,-0.663352,0.150964,-0.270823,-0.605034,-0.125152,-0.101798,0.230512,-0.712773,-0.333824,0.003838,0.376295,0.80475,0.708281,0.705451,0.457351,-0.637379,1.00267,0.433324,1.97155,-2.16706,-1.09831,-0.87255,-0.526962,1.45353,0.850079,0.599584,0.367403,1.06819,0.548509,1.36717,0.693556,1.00398,0.658941,0.872199,1.08028,1.1357,1.45562,2.01251,-0.606717,0.645648,-0.558674,0.460315,1.11252,1.01007,0.966431,1.14953,-0.89786,0.494863,-0.455468,-0.31781,-0.506297,1.12999,0.670811,0.823866,1.0701,0.807094,1.13789,0.972019,-0.358977,0.71657,0.765076,0.400174,0.495971,0.394342,0.850992,0.382395,0.880749,-1.15551,1.0664,0.837452,0.814923,0.990175,1.14681,-0.849924,1.24824,1.21478,0.988699,0.882103,0.941601,-1.11297,0.511382,1.41806,0.457088,1.58542,-0.731811,0.677288,0.784187,-0.920833,0.627261,-0.53431,-0.396029,0.477563,-1.44604,0.724885,0.914512,1.55281,-0.560972,0.297028,0.510064,-0.761817,0.34369,-0.024625,0.665118,-0.604547,0.524948
F,-0.351329,0.385526,0.598859,-0.542422,-1.53583,-0.443663,-0.521803,-0.744315,0.9559,1.49368,0.813275,-0.408144,-0.349896,-0.299063,-0.894795,0.626282,0.54452,-0.447233,0.521407,-0.831379,-0.73331,-0.58561,0.973772,1.10324,1.33686,1.96588,0.808817,0.308861,-0.398259,-0.554761,1.15912,0.226141,-0.107142,0.413503,0.200454,-0.643581,-0.148079,-0.114042,0.016663,0.218684,-0.079734,-0.164992,-0.616937,-0.645927,0.370104,0.538618,-0.76256,0.287989,2.18067,0.520383,2.58811,0.653031,1.4932,0.531042,0.386415,0.595628,-1.18504,-0.697317,0.822224,1.34494,1.74199,1.74184,1.07101,1.34378,1.24695,0.550921,-0.522353,-0.286876,0.572639,1.78901,1.26298,0.910388,0.41082,-0.41914,-0.275659,1.00707,0.33642,1.06795,0.325507,-0.557897,0.789289,-1.11246,1.53614,-0.817634,0.479246,-0.499932,0.545924,0.305035,-0.758628,1.05424,1.00792,-0.370425,0.556945,2.0312,0.365943,-1.18442,-0.300848,-0.247679,-0.381694,-0.17909,-0.158779,0.01814,-0.766556,0.092943,-0.370934,0.539736,0.375321,-0.031072,-0.51335,-0.716648,0.071312,0.011806,-0.27777,-0.005472,-0.97124,-0.010701,-0.457256,0.060144,-0.431515,-0.226542,0.047793,0.026517,-0.010696,0.210725,0.120876,0.155718,-0.665111,-0.269803,0.275287,0.202632,0.414522,-0.447062,1.22816,0.772748,-0.257552,-0.13811,-0.261235,-0.507455,0.147378,0.607542,-0.345273,0.038913,-1.02637,-0.287629,0.027725,-0.194196,-0.320562,0.372136,0.170591,0.232613,0.40721,0.222338,-0.418009,0.154961,0.388221,-0.018367,-0.609532,-0.223246,-0.803003,-0.764489,0.360223,0.815575,1.20976,1.01777,0.711049,0.633321,1.14091,0.766512,-0.610666,1.14576,1.1899,0.618163,1.17809,0.338416,-1.23443,0.558944,-1.0253,0.440741,0.861218,-0.813463,-0.710803,0.951205,-0.71279,1.27075,-0.550643,-0.444355,0.33642,1.38042,-1.49687,0.860261,1.27929,1.85346,0.514229,-1.09513,0.502011,0.483015,1.88542,1.24632,0.997391,2.50778
F,-0.353221,1.37154,1.64958,-0.490341,1.45104,-0.501616,-0.514842,-1.30472,0.056781,0.199027,1.12994,-0.322111,-0.408323,-0.329357,0.733142,0.097399,-3.11185,-1.35549,2.09208,0.2971,0.099205,-0.091901,-1.06185,1.63112,1.62281,3.04249,1.11727,-0.208661,1.20322,0.549915,0.155331,1.08665,-0.393825,1.1966,1.00879,0.661834,-0.289762,0.744437,-0.808177,0.082059,-0.152193,-0.613314,-0.118283,-0.047186,-0.763421,-2.03493,-0.922927,1.13458,0.066352,1.07093,2.17611,1.22949,0.97475,-0.343746,0.446359,0.304333,1.57098,0.122153,-0.624137,0.253745,0.118517,3.34604,0.945261,0.999414,-1.05872,1.54325,-1.80303,-1.00144,0.113089,-0.947291,0.747132,2.59925,-0.908235,-0.392836,-0.31334,2.18478,0.961563,0.641007,-0.102573,0.529865,0.837821,-0.791304,2.01134,0.443989,1.24787,0.596784,2.48955,-0.809219,-0.770755,0.826901,-0.393466,0.025746,-0.271052,0.797683,-0.042406,0.0695,-0.401657,-0.670668,-0.718521,-0.060456,0.106654,-0.018386,-1.079,-0.143657,-0.272305,0.082355,-0.932336,0.621891,-1.2364,-1.74176,0.756342,0.673397,0.636692,0.952507,-1.64081,-1.42652,-0.863661,-0.297843,1.75985,1.36224,0.703499,0.288793,-0.744253,0.695059,1.17994,0.824557,0.397936,0.571066,0.721916,-0.719711,0.945849,-0.956278,1.42994,-0.460132,0.278978,1.12037,0.419237,1.63757,0.789578,1.03777,-0.910296,1.55798,-1.61397,0.341474,0.809645,0.983451,1.46624,1.1312,1.50427,0.86877,1.05151,0.617992,1.30798,0.543104,0.550024,0.758526,0.945807,0.398117,0.674204,0.905255,-0.436689,1.01743,2.20037,0.916743,0.797665,0.7673,1.23196,0.655635,-1.20938,0.878996,0.726166,0.884015,0.895458,0.368253,-0.525456,0.270174,-0.630218,0.110708,0.749319,-0.063209,-0.214822,0.442461,-0.58977,0.494384,-0.493004,0.113179,-0.857923,-0.964676,-1.41803,0.991866,1.5789,0.874885,0.34321,-1.21325,-0.376697,0.366187,1.03374,0.157617,-0.088166,-0.094855
F,-0.353709,-0.368904,-0.353136,0.960384,-0.290657,-0.757159,-0.731869,-0.851566,1.93656,-0.86584,-1.00561,-0.361603,-0.384019,-0.332846,-0.65153,-1.587,-0.331021,-1.15137,-0.739882,-0.778447,-0.413348,-0.631313,-0.351561,-0.864419,1.19129,-0.498897,0.164833,-0.271119,-1.03362,-0.905974,0.761543,0.709278,-0.367106,-0.394862,-1.58639,-2.05557,-0.366754,-1.89039,-1.00602,-1.53112,-1.42111,-1.22344,-0.522705,-0.585206,0.260255,-1.38591,-1.01329,-1.36737,-0.373859,-1.23339,0.775567,-2.19997,-0.597045,-0.48518,-0.855643,-0.17809,0.345497,-0.952353,1.65281,-0.948412,-0.130224,-0.397798,-0.333414,-0.220694,-0.710587,0.111076,-0.918815,-0.650942,-0.756276,0.29922,-1.54194,0.629881,0.65184,-0.381282,-0.555436,0.298941,-0.553204,-1.16055,-0.188126,-1.29026,-0.883978,0.724829,-0.450641,-0.824756,-0.453625,-1.06776,0.610952,-1.40449,-1.34615,0.344189,-0.866339,2.16298,-1.00399,-1.28584,-0.903707,2.15563,1.85747,-0.051001,-0.347103,-0.219275,-0.47525,-0.727581,-1.17489,-0.862649,-2.35786,0.43709,-0.651024,1.23068,-1.40835,1.60635,-0.358675,-1.62602,-0.80958,2.00379,-1.90659,-1.82029,1.1624,-0.351403,0.034358,-1.69574,-0.730964,-1.13106,-0.868327,-0.415101,-1.2363,-1.4567,-1.40725,-0.420575,-0.416332,-0.532343,-1.09625,1.51183,1.13233,0.88751,-1.33312,-0.296035,0.034867,3.19469,-1.42323,1.55681,2.90868,1.71099,-0.243403,0.808991,-1.68598,-1.14729,-0.914932,-1.02325,-1.21276,-1.23645,-1.06996,-0.738537,-1.50777,1.53545,-1.39077,-0.737677,-1.10296,-0.863825,-0.787579,-1.44121,0.027411,-0.170665,-0.723344,-1.25337,-1.88034,-1.41296,-0.086983,-0.902866,1.03765,-1.41967,-0.145132,-1.19145,-0.977749,-1.13124,2.38087,-0.929638,-0.395702,-1.78627,-1.46497,0.927637,0.300451,-1.25863,0.986472,-1.29436,-0.531316,-0.411696,0.929859,-0.793995,-0.30291,-1.19861,-2.10784,-0.471111,-0.362737,-0.462209,1.0607,-0.613146,0.856494,-1.20978,0.769534,-0.987833
F,-0.289179,0.355529,0.086463,-0.245852,-1.45407,-0.315198,-0.591766,1.32669,0.035097,-0.090108,0.321219,-0.538567,-0.258533,-0.259667,-0.513296,-0.070188,-0.11023,-0.296368,0.989637,-1.24162,-1.15148,-1.13911,1.17856,-0.03741,-0.351126,-0.792676,-0.219669,-0.049155,-1.27927,-1.44168,0.037193,-0.190553,-0.127041,0.213104,0.633507,-0.330544,-0.113575,0.989632,1.18624,0.240894,0.105187,0.135792,-0.836725,-0.690491,0.012802,-0.06546,-0.505337,-0.158054,-1.2099,0.829371,0.442445,0.750974,0.848069,0.125294,0.127073,0.135596,-1.1966,0.493221,-0.381208,-0.544263,-0.404082,0.35033,0.372852,-1.03374,-0.396284,-0.179631,0.918764,1.74342,-0.091723,-0.894638,-0.33915,-0.042113,0.076819,-0.312732,-0.254349,-0.11682,0.383093,0.11644,0.055329,-0.092997,-0.363663,-0.0598,0.16606,-0.305936,-0.270556,1.03614,0.191211,-1.06755,-0.522894,-0.200154,0.766035,0.222959,0.067496,-0.320072,-0.082881,2.06822,-0.78913,0.182931,0.339845,-0.195853,0.186607,0.003167,-0.106206,0.196448,-0.561932,0.70436,0.399316,1.35182,0.226857,0.101162,-0.726064,-0.129541,0.187988,1.32448,1.00914,0.705543,1.46915,-1.31896,0.178344,0.444169,0.173929,0.075611,-0.247227,-0.209035,0.385452,-0.244236,0.40931,-0.745116,0.808966,0.385234,0.480203,0.689489,1.06029,-0.998923,0.400805,-0.467574,-0.14429,-0.328014,0.477234,1.2123,-0.370782,-0.65434,0.657093,-0.784717,-0.11411,-1.01125,0.75156,-0.180981,-0.265703,0.242113,-0.208026,1.02761,-0.145914,-0.219035,0.68251,-0.569258,-0.07511,-0.184414,0.951872,0.592219,-0.485668,0.016337,0.132304,-0.09391,-0.004935,0.365268,0.548861,0.177444,-0.637957,-0.571556,0.557228,-0.29091,-0.327803,-0.244697,1.28682,0.486087,-0.517923,-0.380794,0.189415,0.729054,0.109642,0.369322,-0.934957,-0.34195,-0.485352,-0.39751,0.323047,-0.624105,0.95508,-0.328119,-0.423856,-0.052635,0.102587,0.13195,-0.29993,0.175998,0.474035,0.210492,-1.03741,0.283763
