class,Attr1868,Attr7089,Attr7113,Attr7119,Attr3454,Attr4141,Attr3252,Attr7085,Attr7092,Attr7067,Attr7040,Attr2402,Attr6219,Attr4279,Attr7059,Attr7046,Attr7051,Attr7095,Attr7055,Attr7030,Attr7036,Attr7037,Attr7053,Attr7060,Attr7038,Attr7042,Attr7048,Attr7021,Attr7101,Attr7102
F,-0.365618,-0.1925,0.356807,1.08633,1.34647,-0.841912,-0.724608,-0.777168,-0.742505,0.019966,-0.620174,-0.423939,-0.374589,-0.237851,0.722786,-0.029428,-0.253977,0.286777,1.13651,-0.390339,0.676428,0.626626,-1.0922,-0.852351,-0.50149,1.07921,0.05713,0.459736,1.04266,0.522007
F,-0.354143,-0.69064,-0.840763,-0.593272,-1.54957,-0.429567,-0.589524,-0.384574,-0.880402,-1.05788,-0.854892,-0.50399,-0.381945,-0.331925,-1.44055,-0.269806,0.090848,0.132219,-0.071554,1.15879,0.751693,0.362045,-1.36894,-1.44209,-0.2429,-0.68107,-0.932354,-0.677489,0.534218,0.505844
F,-0.342607,0.4944,1.01125,-0.407801,-1.38399,-0.79479,-0.640081,-0.823859,-0.759592,-1.05193,-1.26073,-0.354506,-0.363318,-0.283029,0.077688,-0.4469,-0.688019,0.420919,0.197341,-0.967904,-0.824843,-0.917849,1.25586,0.767393,0.720861,1.07826,0.793721,0.487456,-1.21223,-1.13896
F,-0.360961,-0.626777,0.703125,-0.260879,-1.60527,-0.566107,-0.58836,-0.173264,0.499888,0.127407,0.62211,-0.399844,-0.350562,-0.299314,-0.007082,1.12917,0.263924,-0.172626,0.056777,-0.51368,-0.131011,-0.057462,1.06734,1.51294,2.08829,2.35323,0.291724,-1.06487,-0.483893,0.109505
F,-0.352601,-1.41039,-1.33238,-0.576936,0.734582,-0.638305,-0.657389,-0.305565,-0.204271,-1.06044,-0.756728,-0.402617,-0.367609,-0.267746,-1.36146,0.349295,0.304847,-0.034633,-0.53273,-0.094095,-0.933251,-0.735085,-0.449097,-1.01995,-1.06953,-0.640519,-1.33798,0.500395,-0.665659,-0.20977
F,-0.341253,-0.916043,-0.363414,0.410213,-1.56832,-0.75221,-0.595599,0.658894,0.674997,1.75393,1.00299,-0.392244,-0.344828,-0.286208,0.807483,1.43603,1.04778,-0.440131,-0.926519,-1.52807,-0.808634,-0.915665,1.61144,0.8682,0.59849,1.51339,0.637173,-0.709752,-1.89059,-1.30431
F,-0.351329,0.385526,0.598859,-0.542422,-1.53583,-0.443663,-0.521803,-0.744315,0.9559,1.49368,0.813275,-0.408144,-0.349896,-0.299063,-0.894795,0.626282,0.54452,-0.447233,0.521407,-0.831379,-0.73331,-0.58561,0.973772,1.10324,1.33686,1.96588,0.808817,0.308861,-0.398259,-0.554761
F,-0.353221,1.37154,1.64958,-0.490341,1.45104,-0.501616,-0.514842,-1.30472,0.056781,0.199027,1.12994,-0.322111,-0.408323,-0.329357,0.733142,0.097399,-3.11185,-1.35549,2.09208,0.2971,0.099205,-0.091901,-1.06185,1.63112,1.62281,3.04249,1.11727,-0.208661,1.20322,0.549915
F,-0.353709,-0.368904,-0.353136,0.960384,-0.290657,-0.757159,-0.731869,-0.851566,1.93656,-0.86584,-1.00561,-0.361603,-0.384019,-0.332846,-0.65153,-1.587,-0.331021,-1.15137,-0.739882,-0.778447,-0.413348,-0.631313,-0.351561,-0.864419,1.19129,-0.498897,0.164833,-0.271119,-1.03362,-0.905974
F,-0.289179,0.355529,0.086463,-0.245852,-1.45407,-0.315198,-0.591766,1.32669,0.035097,-0.090108,0.321219,-0.538567,-0.258533,-0.259667,-0.513296,-0.070188,-0.11023,-0.296368,0.989637,-1.24162,-1.15148,-1.13911,1.17856,-0.03741,-0.351126,-0.792676,-0.219669,-0.049155,-1.27927,-1.44168
F,-0.349451,-0.31206,-0.775934,1.62603,0.073409,0.107863,-0.601857,-1.90057,0.882694,-0.833308,0.076571,-0.431634,-0.358455,-0.311921,-0.506237,-0.590286,-0.456037,-0.749631,-0.423302,-0.941976,-0.809433,-0.847414,0.025064,-0.643186,1.52737,-0.646899,0.39144,-0.803663,-1.28402,-1.22196
F,-0.278911,-0.079553,-0.090435,-0.938268,-1.03393,-0.937938,-0.518583,1.44589,0.437808,0.56986,1.3988,-0.306158,-0.281537,-0.271361,0.425434,1.03423,0.663404,1.42402,0.234348,-0.335195,-0.197447,-0.400816,0.747536,0.327577,0.92558,0.334262,0.144063,0.395151,0.17627,0.327131
F,-0.348022,-0.197128,-0.903858,0.560658,0.008385,-1.14026,-0.720782,-1.541,-1.3865,-0.620226,-1.45252,-0.541266,-0.323695,-0.33524,-0.804402,0.304504,-1.63203,0.235281,-0.626277,1.5453,1.34467,1.67226,-0.33459,-1.03877,-0.381412,-1.09917,-1.69214,0.101894,1.07685,1.43873
F,-0.350486,-1.033,-0.925998,-0.358213,0.237161,0.086011,0.538875,0.095547,-0.184678,-0.054163,-0.648224,-0.416659,-0.365901,-0.31525,-0.434562,-0.093724,-0.477662,-0.876683,0.355447,0.907293,-0.099786,-0.188968,-1.04917,0.380948,0.191366,-1.02994,-0.154455,-0.348351,0.083992,0.596408
F,-0.357763,-0.461525,-1.89304,0.97745,0.415136,-0.954047,-0.757284,-1.16416,0.557073,-1.44127,-0.828856,-0.481846,-0.374898,-0.301394,-1.71378,0.850419,0.357898,-0.206072,0.587208,1.50584,1.88949,1.89559,-0.451773,-1.38242,-0.652433,-0.471837,-1.54535,-1.01291,0.877627,1.33404
F,-0.360182,-0.384268,-0.032189,1.87811,1.66399,-0.322741,-0.698955,0.38139,-0.547339,-0.046749,0.107502,-0.475932,-0.293697,-0.300302,0.011124,0.719879,-0.984231,0.309443,0.093551,-1.39548,-0.805462,-0.730443,0.694672,-0.862395,0.379734,-0.137701,-0.507532,-0.160382,-1.57667,-1.45047
F,-0.342351,2.2085,1.80935,-0.304903,2.14855,-0.154167,2.91627,-1.27837,1.40385,-0.022218,-2.19032,-0.577168,-0.465835,-0.437351,0.578417,-2.82994,1.21625,0.061888,-0.0528,0.654788,-0.503419,-0.274062,1.2072,-0.711498,-0.127367,-0.537169,1.55653,-2.83253,-0.236529,0.434009
F,-0.340132,-0.548653,0.170133,-0.663102,1.30208,-0.688005,-0.539429,0.648306,-0.773969,0.227473,-0.104717,-0.575827,-0.315479,-0.273205,-0.271649,0.302917,-0.786624,-0.737393,-0.181453,-0.166213,-0.110021,-0.341236,0.903919,-0.1242,-0.282888,-0.542327,-0.196816,0.838553,0.004813,-0.060219
F,-0.347869,0.117417,-0.53288,1.3423,-0.007329,-0.127817,-0.662931,-0.060525,-0.45466,0.12671,-0.441972,-0.543318,-0.294838,-0.285936,0.271725,0.849888,0.620498,-0.497914,-0.942495,-0.273061,-0.243898,-0.114655,-0.021609,0.012234,-1.00987,-0.529792,-0.862099,1.19348,-0.076618,-0.39519
F,-0.377646,-0.21765,-1.24926,1.23351,0.334345,0.531303,-0.91946,-2.39823,-2.30523,-2.99713,-2.98588,-0.730848,-0.42258,-0.345123,-2.04904,0.084628,1.45765,-0.435799,-0.49965,0.428123,1.65676,1.89023,-2.10273,-3.25335,-0.949601,-1.10047,-2.69864,-2.34242,0.174855,0.046568
F,-0.337536,-0.187717,-0.97233,4.26376,0.265737,-1.11196,-0.571671,1.29426,-1.54117,0.663869,-0.050071,-0.488763,-0.287966,-0.278062,-0.207206,0.700921,-0.365252,-0.45368,-0.511466,-1.29025,-1.69472,-1.71203,0.32151,1.92615,-2.9583,-1.0209,-0.54193,0.645393,-0.265391,-2.22153
F,-0.334577,-1.26428,-0.252172,-0.866527,1.39562,-1.14138,-0.655169,0.343324,-0.554943,1.30752,0.624269,-0.422369,-0.312771,-0.293248,0.40102,1.62622,0.308354,-0.639541,1.24104,1.81253,-0.459231,-0.61697,-1.8877,0.339368,-1.23988,1.0379,-0.179361,0.745076,1.44819,1.46306
F,-0.334156,0.844767,1.00232,0.846107,-1.07576,-0.824558,-0.525202,1.81393,1.1413,1.55866,1.52226,-0.338051,-0.314003,-0.204897,0.550211,0.940385,1.21933,-0.624254,1.02147,-1.70062,-1.32537,-1.4167,1.71658,1.7718,0.549497,1.44911,0.715569,1.07249,-2.22949,-1.8794
F,-0.338319,-0.264531,-0.548748,0.793424,1.11365,0.300493,-0.696862,-1.13237,1.42775,-2.20909,-0.154466,-0.437027,-0.328575,-0.282258,0.578252,-0.076574,-0.609498,0.481802,1.10361,-1.0124,-0.702394,-0.885005,-0.398951,-0.624125,-0.14894,0.512698,-0.143586,-1.45345,-0.065742,-0.895251
F,-0.349978,0.555903,-0.344208,-0.7994,0.988396,-0.791242,-0.573825,0.197951,-0.936817,0.333541,-0.267841,-0.466415,-0.39051,-0.285109,-0.132241,0.371559,0.402644,0.674753,0.879369,1.08117,0.309038,0.157398,-0.441281,0.294124,1.66284,-0.138761,-0.897785,-0.191418,0.443017,0.969792
F,-0.322425,-0.390093,0.251122,1.78965,1.2164,-1.39113,-0.626539,0.71451,-0.975619,-0.275976,0.108076,-0.553718,-0.348496,-0.277303,0.05563,-0.064071,0.284188,0.045036,-0.520626,1.20642,0.771503,0.55963,0.575413,-0.461727,0.35828,-0.625191,-0.359333,0.120727,1.1622,0.49264
F,-0.363709,4.03018,1.8289,0.225094,-0.093311,-0.976182,-0.411325,0.204424,0.081048,0.466082,2.0915,-0.506723,-0.372945,-0.327229,1.71578,-0.814688,1.98256,-0.798186,-1.67396,-0.861419,-1.28058,-1.06708,1.64699,2.10841,1.3829,-0.210459,3.50305,1.64217,-1.0707,-1.24057
T,-0.361923,-0.039729,-0.776739,-0.875812,1.52306,-1.13391,-0.503443,0.18882,0.086907,-1.29102,-0.710428,-0.471322,-0.374341,-0.281448,-0.438205,-0.993026,0.488949,-0.408146,0.20411,-0.123807,0.740535,0.625852,-1.14989,-0.871419,-0.88748,0.744867,-0.18451,-1.06953,-0.170389,0.187569
T,-0.216295,-0.63685,-0.864381,-0.878809,-0.824431,-0.096404,0.742518,0.766053,-0.004172,-0.047115,0.807401,2.88258,1.24781,0.192545,-0.756793,0.838404,0.967783,-0.500154,0.098961,0.559041,0.113274,-0.347194,-0.868009,0.038023,-0.30683,0.108239,-1.33645,0.793438,-0.404554,0.561087
T,-0.324336,0.63253,-1.5164,-1.25722,0.414588,3.3298,0.816265,-0.939984,3.86887,-1.31565,-1.81207,1.07148,-0.027705,-0.162729,-1.62852,-1.9829,-1.05432,1.54305,-0.645621,1.21525,1.28071,1.13188,-1.1045,-0.018445,0.011656,-0.594885,0.087693,-1.37569,0.41131,1.1357
T,-0.320814,-1.47355,0.598172,-0.828707,-1.26232,0.189101,2.02431,0.670614,0.633014,0.148249,0.525178,0.792867,-0.209383,0.010378,-0.428754,-0.315884,-0.308363,-0.218395,-0.602431,-0.16318,-0.733042,-0.777573,0.796885,0.188186,1.15307,-0.193291,0.586961,0.16227,-0.244384,0.117306
T,-0.349777,0.716235,0.555129,-0.474099,0.609063,0.925913,-0.554628,0.245845,2.30002,-0.687876,-0.626061,-0.398749,-0.337158,-0.279027,0.329872,-0.060477,0.829146,0.410621,0.412532,-0.453419,0.872074,0.670311,-0.11351,-0.466052,0.793223,2.41044,1.2043,-0.463115,-0.238233,-0.138426
