class,Attr1868,Attr7089,Attr7113,Attr7119,Attr3454
F,-0.365618,-0.1925,0.356807,1.08633,1.34647
F,-0.354143,-0.69064,-0.840763,-0.593272,-1.54957
F,-0.342607,0.4944,1.01125,-0.407801,-1.38399
F,-0.360961,-0.626777,0.703125,-0.260879,-1.60527
F,-0.352601,-1.41039,-1.33238,-0.576936,0.734582
F,-0.341253,-0.916043,-0.363414,0.410213,-1.56832
F,-0.351329,0.385526,0.598859,-0.542422,-1.53583
F,-0.353221,1.37154,1.64958,-0.490341,1.45104
F,-0.353709,-0.368904,-0.353136,0.960384,-0.290657
F,-0.289179,0.355529,0.086463,-0.245852,-1.45407
F,-0.349451,-0.31206,-0.775934,1.62603,0.073409
F,-0.278911,-0.079553,-0.090435,-0.938268,-1.03393
F,-0.348022,-0.197128,-0.903858,0.560658,0.008385
F,-0.350486,-1.033,-0.925998,-0.358213,0.237161
F,-0.357763,-0.461525,-1.89304,0.97745,0.415136
F,-0.360182,-0.384268,-0.032189,1.87811,1.66399
F,-0.342351,2.2085,1.80935,-0.304903,2.14855
F,-0.340132,-0.548653,0.170133,-0.663102,1.30208
F,-0.347869,0.117417,-0.53288,1.3423,-0.007329
F,-0.377646,-0.21765,-1.24926,1.23351,0.334345
F,-0.337536,-0.187717,-0.97233,4.26376,0.265737
F,-0.334577,-1.26428,-0.252172,-0.866527,1.39562
F,-0.334156,0.844767,1.00232,0.846107,-1.07576
F,-0.338319,-0.264531,-0.548748,0.793424,1.11365
F,-0.349978,0.555903,-0.344208,-0.7994,0.988396
F,-0.322425,-0.390093,0.251122,1.78965,1.2164
F,-0.363709,4.03018,1.8289,0.225094,-0.093311
T,-0.361923,-0.039729,-0.776739,-0.875812,1.52306
T,-0.216295,-0.63685,-0.864381,-0.878809,-0.824431
T,-0.324336,0.63253,-1.5164,-1.25722,0.414588
T,-0.320814,-1.47355,0.598172,-0.828707,-1.26232
T,-0.349777,0.716235,0.555129,-0.474099,0.609063
T,0.116612,0.742604,1.444,-1.21168,0.369124
T,-0.248247,0.653234,0.582694,-0.753319,1.17081
T,-0.336912,0.186508,0.246426,-0.683528,0.83684
T,-0.188527,-0.653273,-0.116885,-1.00662,0.368015
T,-0.342292,-0.009343,-0.749138,-0.9337,0.310478
T,-0.364516,0.387324,-0.861999,-1.01483,0.7905
F,-0.276489,1.70192,1.55017,1.85704,1.19019
F,-0.329069,1.02371,0.208366,0.818924,1.0065
F,0.267462,-1.04319,-1.05975,0.264066,-1.38502
F,0.351739,-0.082141,-0.131128,-0.136485,-0.562962
F,4.65603,-0.564599,0.207519,0.07104,-1.56907
F,-0.168527,0.720908,0.551361,1.39401,-1.43846
F,-0.29872,0.223553,-0.422448,-0.573439,0.167637
F,-0.183382,-0.096186,-0.971102,-0.667741,-0.82868
F,-0.318024,0.333957,0.361585,-0.433743,0.072164
F,-0.360527,-0.536798,-0.811485,0.635816,-0.006397
F,-0.379633,1.79545,3.17847,0.681935,-0.404488
T,-0.336816,0.132666,-0.633559,-1.19779,0.562532
T,-0.289939,-1.38701,-0.31844,-0.785634,-1.49903
T,-0.197796,-1.23292,-0.65649,-1.00756,0.239808
T,-0.279964,0.132555,-0.431934,-1.0384,0.467098
T,0.669752,-0.215599,-0.327072,-0.628873,0.384319
F,2.32653,0.486089,0.408019,-0.14933,0.357379
F,2.2924,0.816415,2.792,0.39862,-0.204634
T,-0.307321,0.071837,0.398438,-0.645985,-0.44649
T,-0.31629,2.5217,1.65695,-1.07192,-0.445021
F,4.71139,0.068737,0.530827,-0.055143,-1.53347
T,3.03934,-0.71361,-0.736642,-0.600282,-0.504106
T,-0.343667,1.60161,1.42676,-0.639117,-1.24789
T,-0.336533,-0.578099,-0.375226,-0.557278,0.535946
T,-0.378047,-0.333354,-0.980957,-0.464798,1.2922
T,-0.304057,0.532652,1.60161,-0.222865,0.340019
T,-0.323569,-0.642998,-0.584241,-0.439961,0.195231
T,-0.311924,-1.00783,-0.652861,-0.277806,-1.52274
F,-0.324531,-0.871145,-0.215041,1.18997,-0.061781
F,0.55881,-1.91473,-1.30059,0.059749,-1.86984
F,0.015466,-1.69402,-0.770783,0.210026,-0.427764
F,0.047071,-0.880787,-0.692998,0.283006,0.858918
F,-0.086963,0.215894,-0.032184,1.03621,0.352285
F,-0.249045,0.091625,0.634807,1.66694,0.532957
