class,Attr1868,Attr7089,Attr7113,Attr7119,Attr3454,Attr4141,Attr3252,Attr7085,Attr7092,Attr7067,Attr7040,Attr2402,Attr6219,Attr4279,Attr7059,Attr7046,Attr7051,Attr7095,Attr7055,Attr7030,Attr7036,Attr7037,Attr7053,Attr7060,Attr7038,Attr7042,Attr7048,Attr7021,Attr7101,Attr7102,Attr7114,Attr7116,Attr7073,Attr7127,Attr7129,Attr7106,Attr7066,Attr7068,Attr7072,Attr7074,Attr7082,Attr7084,Attr7005,Attr7023,Attr7024,Attr7020,Attr4847,Attr7047,Attr7058,Attr7124
F,-0.365618,-0.1925,0.356807,1.08633,1.34647,-0.841912,-0.724608,-0.777168,-0.742505,0.019966,-0.620174,-0.423939,-0.374589,-0.237851,0.722786,-0.029428,-0.253977,0.286777,1.13651,-0.390339,0.676428,0.626626,-1.0922,-0.852351,-0.50149,1.07921,0.05713,0.459736,1.04266,0.522007,-0.921719,0.215342,-0.038314,-0.596842,-0.959575,-1.6741,-0.179304,-0.743946,0.665237,-0.291972,-0.314562,0.14078,-0.808558,0.940388,-0.33422,-0.747324,-0.661837,-1.10344,-1.22771,-0.913618
F,-0.354143,-0.69064,-0.840763,-0.593272,-1.54957,-0.429567,-0.589524,-0.384574,-0.880402,-1.05788,-0.854892,-0.50399,-0.381945,-0.331925,-1.44055,-0.269806,0.090848,0.132219,-0.071554,1.15879,0.751693,0.362045,-1.36894,-1.44209,-0.2429,-0.68107,-0.932354,-0.677489,0.534218,0.505844,-1.54913,-0.825954,0.21039,-0.865241,-0.543433,-1.7321,-0.291631,-0.760725,-0.767104,-0.953656,-0.680512,-0.61157,0.600617,0.446939,-1.07635,-0.839241,-0.667077,-0.781541,-0.818736,-0.536629
F,-0.342607,0.4944,1.01125,-0.407801,-1.38399,-0.79479,-0.640081,-0.823859,-0.759592,-1.05193,-1.26073,-0.354506,-0.363318,-0.283029,0.077688,-0.4469,-0.688019,0.420919,0.197341,-0.967904,-0.824843,-0.917849,1.25586,0.767393,0.720861,1.07826,0.793721,0.487456,-1.21223,-1.13896,2.37278,1.9767,-0.197926,-0.496304,-0.896774,-0.811351,-0.350933,-0.980363,-0.814623,-1.25371,-0.618705,-1.25618,-0.981269,-0.711606,-0.551252,-0.453557,-0.6691,-0.173748,0.404504,0.223522
F,-0.360961,-0.626777,0.703125,-0.260879,-1.60527,-0.566107,-0.58836,-0.173264,0.499888,0.127407,0.62211,-0.399844,-0.350562,-0.299314,-0.007082,1.12917,0.263924,-0.172626,0.056777,-0.51368,-0.131011,-0.057462,1.06734,1.51294,2.08829,2.35323,0.291724,-1.06487,-0.483893,0.109505,0.168868,0.043093,-0.038649,-0.970937,-0.846979,0.153158,-0.039163,-0.426309,-0.326844,-0.53092,-0.507448,0.190519,-0.951324,-0.053498,-1.01256,-0.125782,-0.383181,0.103582,0.367791,-1.03546
F,-0.352601,-1.41039,-1.33238,-0.576936,0.734582,-0.638305,-0.657389,-0.305565,-0.204271,-1.06044,-0.756728,-0.402617,-0.367609,-0.267746,-1.36146,0.349295,0.304847,-0.034633,-0.53273,-0.094095,-0.933251,-0.735085,-0.449097,-1.01995,-1.06953,-0.640519,-1.33798,0.500395,-0.665659,-0.20977,-0.91837,-1.18679,-0.273599,-1.03739,-0.870765,-0.726142,-0.096261,-0.605259,-0.689291,-0.642797,-0.775538,-0.522243,-0.583147,-0.145389,0.649092,0.263123,-0.420005,-0.923474,-1.2971,-0.837807
F,-0.341253,-0.916043,-0.363414,0.410213,-1.56832,-0.75221,-0.595599,0.658894,0.674997,1.75393,1.00299,-0.392244,-0.344828,-0.286208,0.807483,1.43603,1.04778,-0.440131,-0.926519,-1.52807,-0.808634,-0.915665,1.61144,0.8682,0.59849,1.51339,0.637173,-0.709752,-1.89059,-1.30431,2.35227,0.808089,-0.491698,1.17596,0.548086,0.872627,0.19839,0.568419,1.2314,0.451501,0.919179,0.347261,-0.915296,-0.568539,0.275256,0.566963,-0.626451,0.432528,1.79445,0.336817
F,-0.351329,0.385526,0.598859,-0.542422,-1.53583,-0.443663,-0.521803,-0.744315,0.9559,1.49368,0.813275,-0.408144,-0.349896,-0.299063,-0.894795,0.626282,0.54452,-0.447233,0.521407,-0.831379,-0.73331,-0.58561,0.973772,1.10324,1.33686,1.96588,0.808817,0.308861,-0.398259,-0.554761,1.15912,0.226141,-0.107142,0.413503,0.200454,-0.643581,-0.148079,-0.114042,0.016663,0.218684,-0.079734,-0.164992,-0.616937,-0.645927,0.370104,0.538618,-0.76256,0.287989,2.18067,0.520383
F,-0.353221,1.37154,1.64958,-0.490341,1.45104,-0.501616,-0.514842,-1.30472,0.056781,0.199027,1.12994,-0.322111,-0.408323,-0.329357,0.733142,0.097399,-3.11185,-1.35549,2.09208,0.2971,0.099205,-0.091901,-1.06185,1.63112,1.62281,3.04249,1.11727,-0.208661,1.20322,0.549915,0.155331,1.08665,-0.393825,1.1966,1.00879,0.661834,-0.289762,0.744437,-0.808177,0.082059,-0.152193,-0.613314,-0.118283,-0.047186,-0.763421,-2.03493,-0.922927,1.13458,0.066352,1.07093
F,-0.353709,-0.368904,-0.353136,0.960384,-0.290657,-0.757159,-0.731869,-0.851566,1.93656,-0.86584,-1.00561,-0.361603,-0.384019,-0.332846,-0.65153,-1.587,-0.331021,-1.15137,-0.739882,-0.778447,-0.413348,-0.631313,-0.351561,-0.864419,1.19129,-0.498897,0.164833,-0.271119,-1.03362,-0.905974,0.761543,0.709278,-0.367106,-0.394862,-1.58639,-2.05557,-0.366754,-1.89039,-1.00602,-1.53112,-1.42111,-1.22344,-0.522705,-0.585206,0.260255,-1.38591,-1.01329,-1.36737,-0.373859,-1.23339
F,-0.289179,0.355529,0.086463,-0.245852,-1.45407,-0.315198,-0.591766,1.32669,0.035097,-0.090108,0.321219,-0.538567,-0.258533,-0.259667,-0.513296,-0.070188,-0.11023,-0.296368,0.989637,-1.24162,-1.15148,-1.13911,1.17856,-0.03741,-0.351126,-0.792676,-0.219669,-0.049155,-1.27927,-1.44168,0.037193,-0.190553,-0.127041,0.213104,0.633507,-0.330544,-0.113575,0.989632,1.18624,0.240894,0.105187,0.135792,-0.836725,-0.690491,0.012802,-0.06546,-0.505337,-0.158054,-1.2099,0.829371
F,-0.349451,-0.31206,-0.775934,1.62603,0.073409,0.107863,-0.601857,-1.90057,0.882694,-0.833308,0.076571,-0.431634,-0.358455,-0.311921,-0.506237,-0.590286,-0.456037,-0.749631,-0.423302,-0.941976,-0.809433,-0.847414,0.025064,-0.643186,1.52737,-0.646899,0.39144,-0.803663,-1.28402,-1.22196,0.425927,-0.899315,-0.362668,-0.091336,-0.649496,-0.719053,-0.184978,-0.183733,0.111253,-0.191724,-0.787591,-0.023024,-0.917284,-0.625491,0.088154,-1.13718,-0.839667,-0.165511,-0.24871,-0.833872
