gene249,gene493,gene245,gene267,gene1635,gene1423,gene897,gene377,gene765,gene1494,normal
-0.084774,1.03187,0.053861,0.000689,-0.782026,0.353318,-0.7566,0.396329,0.349957,-0.652913,T
1.0784,1.58552,1.22309,1.24354,1.07346,1.54289,0.97298,1.68741,1.55094,1.58848,F
-1.06411,0.695736,-0.474886,-0.594958,-0.558988,0.749552,-0.114554,0.697607,-0.085503,-0.247368,T
0.563893,1.17647,0.388727,0.394814,-0.231136,1.40453,1.15993,0.868489,1.03575,-0.174523,F
0.168165,-0.63584,0.262511,0.135833,-0.423752,-0.298782,-1.35887,-1.19735,0.465046,-0.066241,T
1.67156,1.01743,1.96491,1.96086,0.984955,0.830248,0.832953,0.685269,2.0169,0.93623,F
-0.946359,-0.794348,-0.885041,-1.03347,-1.01707,-0.402997,-0.58087,-0.204359,-0.543412,-1.54675,T
1.9131,1.05802,1.79079,1.69289,0.216604,0.921093,0.504347,1.20423,1.88703,-0.01739,F
-0.754156,-0.953479,-0.328117,-0.339901,-1.61988,-0.298926,-1.45536,-1.08521,0.006184,-1.23846,T
1.67066,1.10446,1.71781,1.715,0.89085,0.902517,-0.042601,0.73714,1.86499,1.30253,F
-1.197,-0.698936,-1.3525,-1.34788,0.084935,-1.58238,-0.683849,0.043436,-0.58444,-0.248891,T
1.27091,1.64426,1.53964,1.47589,0.40821,1.60756,0.868382,0.424935,1.92245,1.02885,F
0.116041,0.101192,0.252453,0.329651,0.276809,0.152458,-0.46494,0.265867,0.640185,0.032127,T
1.282,2.02629,1.57464,1.59977,0.926978,1.67565,0.866449,1.04822,1.7931,0.734016,F
-0.158787,0.316226,0.154942,0.169007,-0.360253,0.082363,0.770964,-0.720749,0.478516,-1.02121,T
-0.888453,0.750946,0.528892,0.382122,0.272481,0.49751,0.746343,0.435586,0.379343,-0.311702,F
-0.667622,0.189036,-0.410226,-0.426498,-0.827811,-0.665845,1.1788,0.608344,-0.311375,-0.460694,T
0.146856,1.62459,0.417741,0.396182,1.3869,-0.157766,1.09344,2.79307,0.505664,0.205022,F
-0.735197,0.03872,-0.851538,-1.07036,-1.99887,-0.947733,-1.41202,-0.86651,-0.518572,-1.63042,T
1.75219,1.48417,1.73081,1.63741,1.43855,0.511837,0.489776,1.24517,1.84852,1.17427,F
-1.44884,0.37907,-0.971218,-1.14465,-0.566447,-1.04373,-0.762678,0.206886,-0.654079,-1.85769,T
1.1062,1.46716,1.07399,1.25399,1.22132,1.25143,0.93295,0.480019,1.27248,1.40626,F
-0.802614,-0.943869,-1.08011,-1.00952,-0.310576,-1.51337,-1.3383,-1.06196,-0.554355,-0.827788,T
