gene249,gene493,gene245,gene267,gene1635,gene1423,gene897,gene377,gene765,gene1494,gene822,gene625,gene1884,gene513,gene1843,gene365,gene1897,gene1772,gene66,gene1771,normal
-0.084774,1.03187,0.053861,0.000689,-0.782026,0.353318,-0.7566,0.396329,0.349957,-0.652913,0.095114,0.332443,-0.979565,0.338184,-1.41003,0.70523,-1.18659,0.234473,0.01698,-0.694222,T
1.0784,1.58552,1.22309,1.24354,1.07346,1.54289,0.97298,1.68741,1.55094,1.58848,1.75134,-0.044018,0.661753,-0.864754,1.11515,-2.09389,0.754738,-1.29141,0.639241,-1.01578,F
-1.06411,0.695736,-0.474886,-0.594958,-0.558988,0.749552,-0.114554,0.697607,-0.085503,-0.247368,0.184835,-0.278723,-0.07141,-2.52545,-0.202171,-0.86126,-1.22744,-1.1298,-0.913681,-0.520239,T
0.563893,1.17647,0.388727,0.394814,-0.231136,1.40453,1.15993,0.868489,1.03575,-0.174523,0.940464,-0.029961,-0.531569,-1.32753,-0.06268,-1.14678,-0.417979,-1.35392,-1.26244,-1.75265,F
0.168165,-0.63584,0.262511,0.135833,-0.423752,-0.298782,-1.35887,-1.19735,0.465046,-0.066241,-0.210693,-0.442686,-0.045139,1.48213,-0.061154,0.318419,0.099831,1.29685,0.012152,1.05626,T
1.67156,1.01743,1.96491,1.96086,0.984955,0.830248,0.832953,0.685269,2.0169,0.93623,0.335435,-0.816522,1.04794,-0.759415,0.777884,0.244371,1.60959,0.462199,1.77681,-0.662504,F
-0.946359,-0.794348,-0.885041,-1.03347,-1.01707,-0.402997,-0.58087,-0.204359,-0.543412,-1.54675,-1.16085,0.748909,-1.01048,0.534473,-1.19592,0.046925,-1.14254,0.170894,-0.339011,0.024033,T
1.9131,1.05802,1.79079,1.69289,0.216604,0.921093,0.504347,1.20423,1.88703,-0.01739,0.906032,-1.5901,0.164915,-0.897567,0.060273,-0.286118,-0.9521,-0.604493,0.249952,-2.18015,F
-0.754156,-0.953479,-0.328117,-0.339901,-1.61988,-0.298926,-1.45536,-1.08521,0.006184,-1.23846,-0.506791,0.737611,-1.04205,1.22099,-2.12833,1.00001,-0.544753,1.0272,-1.13522,1.96852,T
1.67066,1.10446,1.71781,1.715,0.89085,0.902517,-0.042601,0.73714,1.86499,1.30253,0.881497,-2.16295,1.66318,-1.36961,1.54049,-0.881237,1.00732,-0.719822,1.05099,-1.18195,F
-1.197,-0.698936,-1.3525,-1.34788,0.084935,-1.58238,-0.683849,0.043436,-0.58444,-0.248891,-1.69609,0.79234,-0.829427,0.870428,-0.569371,0.505638,-0.559768,1.26543,-1.6917,0.697892,T
1.27091,1.64426,1.53964,1.47589,0.40821,1.60756,0.868382,0.424935,1.92245,1.02885,1.25693,0.682479,-0.07275,-1.15353,0.579175,-1.75685,0.819675,-1.02825,0.042012,-1.03423,F
0.116041,0.101192,0.252453,0.329651,0.276809,0.152458,-0.46494,0.265867,0.640185,0.032127,0.006657,0.306087,-1.17748,0.47261,-0.11851,0.176873,-0.180704,1.22342,0.549622,0.208339,T
1.282,2.02629,1.57464,1.59977,0.926978,1.67565,0.866449,1.04822,1.7931,0.734016,1.07628,-1.15048,0.324683,-0.797578,0.643315,-0.931899,0.879428,-0.919683,1.48493,-1.09438,F
-0.158787,0.316226,0.154942,0.169007,-0.360253,0.082363,0.770964,-0.720749,0.478516,-1.02121,-0.39052,-1.1886,-1.0611,0.269774,-2.14585,0.339165,-0.679754,0.887112,0.846316,-0.373964,T
-0.888453,0.750946,0.528892,0.382122,0.272481,0.49751,0.746343,0.435586,0.379343,-0.311702,-0.284693,-1.85838,0.611322,-0.05353,0.038381,-1.33863,-1.22902,0.599401,1.47056,-2.30359,F
-0.667622,0.189036,-0.410226,-0.426498,-0.827811,-0.665845,1.1788,0.608344,-0.311375,-0.460694,-1.79101,1.02459,-1.36905,0.649353,-0.416128,0.079016,0.166404,0.855435,-0.238193,1.2427,T
0.146856,1.62459,0.417741,0.396182,1.3869,-0.157766,1.09344,2.79307,0.505664,0.205022,-0.730527,-0.749753,1.45635,-0.787126,0.333228,-0.717468,0.536537,-1.71989,2.08643,-0.667981,F
-0.735197,0.03872,-0.851538,-1.07036,-1.99887,-0.947733,-1.41202,-0.86651,-0.518572,-1.63042,-1.63708,0.225784,-0.510507,1.20142,-2.18427,0.562542,-0.716694,1.54542,-0.888186,1.32619,T
1.75219,1.48417,1.73081,1.63741,1.43855,0.511837,0.489776,1.24517,1.84852,1.17427,0.226412,-1.24503,1.55311,-0.90588,0.976177,-0.032524,1.19415,-0.467391,1.81348,-0.567127,F
-1.44884,0.37907,-0.971218,-1.14465,-0.566447,-1.04373,-0.762678,0.206886,-0.654079,-1.85769,-1.71256,0.521564,-0.480594,0.601915,-1.73219,-0.102338,-1.3786,-0.089997,-1.27844,-0.545897,T
1.1062,1.46716,1.07399,1.25399,1.22132,1.25143,0.93295,0.480019,1.27248,1.40626,0.906518,-1.6444,1.06105,-1.93385,1.30776,-1.51542,0.255611,-0.939177,0.124991,-1.56834,F
-0.802614,-0.943869,-1.08011,-1.00952,-0.310576,-1.51337,-1.3383,-1.06196,-0.554355,-0.827788,-1.12073,0.020976,-0.649738,1.03955,-0.721315,1.50341,-0.09302,1.12967,-0.307131,0.711311,T
0.008308,1.40241,0.689297,0.634249,1.33085,0.215158,0.856003,2.32254,0.65299,0.239373,-0.224861,-1.20663,0.867343,-0.618502,-0.086656,-0.708552,-0.12574,-1.11412,2.0398,-1.03325,F
-0.951581,-0.412118,-0.769947,-0.880434,-0.859681,-0.862261,-0.744798,-0.922103,-0.69135,-1.27776,-1.37047,0.062029,-0.12781,0.533749,-0.555626,0.367485,-0.792908,0.673522,-1.14253,0.276397,T
-1.72487,-1.24689,-1.30416,-1.36005,-1.10989,-0.726423,-1.0324,-0.668042,-0.896282,-1.12987,0.303539,0.9294,-1.38098,0.250193,-0.672543,0.328298,-1.2062,0.056029,-1.94371,0.668502,T
-0.484483,-0.82305,-0.203472,-0.267343,-0.079029,-0.31353,0.008383,-0.708878,-0.066362,0.414182,-0.038461,1.40694,-0.223583,-0.854901,1.4735,-0.245591,-0.759789,-0.174413,-0.470044,0.279092,T
-1.19134,-0.884028,-1.26901,-1.22055,-1.60971,-0.633585,-1.63123,-0.951402,-0.816295,-1.06223,-0.731605,1.05687,-0.744131,0.937124,-0.727848,0.4319,-1.4547,0.935842,-1.14361,0.877498,T
-1.12494,-1.04328,-0.954554,-1.07711,-0.446248,-0.08839,-0.728327,-0.788323,-0.783134,-0.064423,-0.825781,1.01588,0.012271,-0.89083,0.392129,-1.15708,-0.77832,-0.055555,-1.3444,0.792066,T
