gene249,gene493,gene245,gene267,gene1635,gene1423,gene897,gene377,gene765,gene1494,gene822,gene625,gene1884,gene513,gene1843,gene365,gene1897,gene1772,gene66,gene1771,gene1060,gene111,gene824,gene1042,gene1582,gene812,gene26,gene391,gene1730,gene780,gene992,gene138,gene1247,gene892,gene1325,gene802,gene411,gene14,gene1634,gene1285,gene571,gene964,gene581,gene1421,gene739,gene241,gene1892,gene1293,gene609,gene1231,gene806,gene1411,gene187,gene662,gene1648,gene399,gene31,gene415,gene286,gene1671,gene62,gene1943,gene1111,gene1058,gene520,gene75,gene1581,gene1674,gene1873,gene67,gene1546,gene47,gene1002,gene1406,gene1387,gene1326,gene1153,gene1974,gene495,gene1256,gene737,gene1473,gene1451,gene43,gene1263,gene1334,gene181,gene548,gene49,gene619,gene1623,gene1679,gene1659,gene1668,gene100,gene1917,gene1836,gene1614,gene1900,gene141,gene451,gene137,gene1770,gene1286,gene190,gene1511,gene1260,gene143,gene559,gene1365,gene1967,gene918,gene601,gene1526,gene1887,gene549,gene1472,gene1549,gene882,gene201,gene1067,gene1346,gene1960,gene515,gene1924,gene652,gene830,gene1209,gene1004,gene661,gene72,gene199,gene698,gene1248,gene1867,gene561,gene453,gene1194,gene1583,gene994,gene1227,gene1466,gene127,gene1258,gene1047,gene83,gene980,gene866,gene1221,gene758,gene1489,gene993,gene1972,gene440,gene102,gene617,gene648,gene590,gene627,gene169,gene979,gene422,gene1799,gene1504,gene1115,gene1574,gene1886,gene1328,gene39,gene42,gene41,gene40,gene1501,gene1672,gene437,gene86,gene550,gene1808,gene1560,gene538,gene1187,gene1761,gene732,gene1381,gene147,gene1197,gene1894,gene1073,gene345,gene679,gene419,gene221,gene940,gene70,gene1196,gene1168,gene1983,gene639,gene834,gene517,normal
-0.084774,1.03187,0.053861,0.000689,-0.782026,0.353318,-0.7566,0.396329,0.349957,-0.652913,0.095114,0.332443,-0.979565,0.338184,-1.41003,0.70523,-1.18659,0.234473,0.01698,-0.694222,-0.262327,0.195088,0.261337,-0.207158,0.826214,0.353873,0.206106,0.738424,-0.153933,0.238763,0.254848,-1.25131,-0.909369,-1.37324,0.647325,1.601,-0.083107,-1.53192,0.591347,-0.24083,0.006291,0.27838,0.149302,-1.0764,-0.003091,-1.0224,-0.378657,0.700039,-0.447853,-0.616197,-0.547933,-0.441075,-0.244483,-1.01677,-0.773368,-0.676987,-0.227354,0.409291,-0.40861,-0.525082,-0.604689,-0.296832,-0.424271,-1.09246,0.846186,1.46226,0.525256,-0.061928,-0.369497,0.116946,-0.243657,-0.016243,0.603452,0.933735,0.849493,-0.946845,1.07461,0.424548,-1.09345,0.808888,0.187698,1.81534,-0.24381,0.584761,-1.80492,-0.247243,0.405522,-0.388024,0.150824,-1.65609,-0.397138,0.559915,-0.36888,0.939657,0.264935,0.53002,-0.325091,-0.256232,-0.645988,-1.31821,-1.19168,1.30251,-0.165703,-0.519281,-0.350859,-0.157059,0.354612,-0.052391,-0.748403,-0.480183,0.040511,-0.00388,0.938118,0.850662,0.105094,0.634247,0.673796,-1.59166,-0.397061,-0.130902,-0.096176,-0.345308,-0.215237,-0.647495,0.620955,-0.160803,1.79913,-1.63596,-1.01275,1.2397,-0.734161,-0.497069,-0.789765,0.574855,0.700442,-3.04872,1.128,-0.096172,0.666929,0.18709,-0.957341,0.533933,-0.349639,-1.12589,1.69032,-0.925094,0.864946,-0.492318,-0.453612,0.551379,-0.576022,-0.391989,0.856032,-0.62388,0.975753,1.16886,1.57702,0.816657,1.49384,-0.296046,1.65729,-0.129067,0.079619,-0.922235,0.432495,0.384189,-1.05639,1.11088,0.64042,0.64042,0.64042,0.64042,2.00632,0.87534,-1.4814,0.464163,-1.54937,0.324087,-0.253579,-1.08417,-0.717488,-1.2863,1.24654,1.13987,0.175478,0.110465,-0.765058,1.40933,1.24127,0.991121,-0.961885,0.728268,0.493603,-0.361302,0.745401,0.478998,0.281659,0.286705,-0.321928,-0.768501,T
1.0784,1.58552,1.22309,1.24354,1.07346,1.54289,0.97298,1.68741,1.55094,1.58848,1.75134,-0.044018,0.661753,-0.864754,1.11515,-2.09389,0.754738,-1.29141,0.639241,-1.01578,-1.40416,1.53404,0.405049,-0.927375,-0.616352,0.121743,-0.970803,-0.263439,-1.45746,-0.977451,0.924034,-1.95795,1.11567,1.32801,0.470352,0.256675,-1.06075,0.404811,0.279767,1.11275,-1.34296,-0.235105,-0.320751,1.02788,1.76837,-1.23495,1.1736,0.204408,-0.810844,-0.032051,0.903165,1.16647,-1.27933,0.757628,-1.16417,-1.13259,-1.4555,1.50406,0.691177,-1.83078,-0.912311,-0.257376,0.241204,-0.128283,0.226897,0.273909,2.21229,1.14939,1.71962,0.684171,-0.625212,-0.86387,0.560797,0.013525,1.46744,0.263051,0.046023,1.281,-0.771483,-1.04654,1.26323,0.497104,0.843614,-1.22354,-1.43172,-0.675268,1.4573,0.32371,1.77726,-2.0513,1.28284,-0.354386,-1.83375,0.675957,-0.447643,1.13252,0.994047,0.81842,-0.988686,-2.09711,1.5052,0.964317,-0.296271,0.018504,-0.358259,-0.239966,-1.04445,-0.804864,-1.48476,0.689461,1.49856,1.21985,0.674821,0.967224,-0.858913,0.464826,-0.71802,-1.01533,-0.449232,1.53326,-1.07813,-1.12936,-0.074728,-0.888237,-0.445452,-1.04402,0.01797,-1.37302,-0.129122,0.657424,-1.2903,-0.842187,-1.21896,0.352802,-1.60278,-1.12694,0.022656,-0.191107,0.533486,-1.58125,-1.65074,-1.21431,-1.27573,0.161096,0.508408,-0.39574,0.490374,0.350065,-1.357,0.85499,-1.31123,1.59977,0.101899,-1.0075,0.608648,-0.145391,0.468483,-0.155119,-0.543975,0.132956,0.194199,0.600058,0.245715,0.096949,-0.048505,-0.440966,-1.22906,0.419754,0.571525,0.571525,0.571525,0.571525,1.41489,1.07735,0.357124,-2.02387,-1.32112,-0.579837,-0.061358,-1.76005,-1.50574,0.115511,0.640032,0.553479,-2.10296,0.073204,0.659634,-1.16349,0.348185,0.785612,0.132091,0.648752,1.0961,1.72829,0.934171,-0.118437,0.244665,0.37356,-0.189188,1.46665,F
-1.06411,0.695736,-0.474886,-0.594958,-0.558988,0.749552,-0.114554,0.697607,-0.085503,-0.247368,0.184835,-0.278723,-0.07141,-2.52545,-0.202171,-0.86126,-1.22744,-1.1298,-0.913681,-0.520239,-1.4108,0.595206,-0.104522,-0.880517,1.04438,-0.149918,-1.29992,-1.99412,-0.741531,-0.585369,-1.01959,-1.0551,-0.35342,0.086015,-0.930519,-0.09217,-1.29284,-1.70035,-0.81348,1.60369,-0.717165,-0.005774,0.653475,-0.198284,-0.815769,-1.41466,-0.736563,-0.409541,0.864374,-0.525941,1.47842,-0.660073,-1.17883,0.962391,-1.02936,-1.1539,-1.87948,1.03293,-2.11734,1.04685,-2.04036,-0.609595,0.074055,-1.5117,0.313193,0.367315,0.744351,2.08388,-1.53914,-1.37279,0.21006,-1.29492,-2.07705,-0.6635,-0.936728,-0.539109,-0.625048,0.5065,-1.33435,-1.31061,-0.047785,0.742474,-1.92743,-1.7664,-2.34199,-1.47967,-0.215389,1.16182,1.04816,-2.11278,0.222241,-0.857677,-0.918661,1.9964,-1.73798,0.967687,-1.41742,-2.14965,-0.58582,-1.31011,-0.992713,0.515681,-1.49834,-2.21576,-2.59585,-0.898824,-1.20632,1.89654,2.36895,0.309903,0.915069,0.576417,0.266339,-0.131624,-1.98869,0.309659,0.055553,-1.41444,-2.23254,-0.733432,-2.64069,-0.613006,0.520742,-0.321339,0.03812,-2.90591,-0.742361,-0.831061,-0.975124,0.754888,-1.16541,-2.27819,-1.20098,-1.79622,-1.98103,-0.620347,1.58587,-2.53142,-0.740108,-0.543793,-1.83763,-0.417599,-1.30855,0.790959,0.176377,1.47046,1.43271,1.99586,3.57045,1.28699,-2.54749,1.06149,0.269728,-2.21017,-0.257409,1.30462,-0.378901,0.334478,0.219629,0.41544,0.95391,-0.089153,-2.1898,0.074842,0.245188,1.6574,-0.260333,0.984876,0.121324,0.121324,0.121324,0.121324,0.964316,0.099298,1.23817,-0.909533,-1.58496,-0.455509,1.15194,-2.43329,-1.33683,0.287031,-0.147491,0.915119,-1.34833,-0.559653,0.473796,-0.325518,-0.890495,-1.2838,-0.218032,-2.40274,0.12372,0.843135,0.724671,-1.53472,-0.29777,-0.639271,-2.59535,-0.973993,T
0.563893,1.17647,0.388727,0.394814,-0.231136,1.40453,1.15993,0.868489,1.03575,-0.174523,0.940464,-0.029961,-0.531569,-1.32753,-0.06268,-1.14678,-0.417979,-1.35392,-1.26244,-1.75265,-1.31656,1.06286,-0.976312,-1.60269,-0.880243,-1.19455,-0.657361,-0.647155,-1.07194,-0.662283,-0.203129,-0.976859,-0.544951,-0.772504,0.324394,-0.415899,-0.460608,-0.55931,0.086751,1.47379,-1.16308,-0.161465,0.334995,-0.348931,0.541775,-1.40042,-0.400963,0.206564,0.351439,-0.224959,0.307053,-2.41441,-1.37408,-0.133409,-0.929353,-0.9109,-0.6085,1.26225,0.623071,-0.961789,-1.09135,-0.352872,-0.401902,0.854712,0.416346,0.645204,0.071195,1.94943,3.20929,-0.818342,-1.04329,-0.377963,0.094358,-0.61916,0.535278,-0.966748,0.30439,0.540568,-1.50155,-3.45447,1.10042,0.633143,-0.431397,-1.1907,-1.57015,-1.59173,0.804075,-0.047929,1.39601,-1.45565,0.528338,0.643558,-1.72482,1.29154,-1.47202,1.56388,1.09681,-1.02446,-0.82684,-1.74376,-1.40228,0.992413,-2.47498,0.534459,-2.26128,-0.54901,0.726726,0.064675,-0.351602,-0.629118,1.14069,1.30146,0.331927,0.244984,-0.718938,1.05778,-0.482723,-1.38906,-2.45048,0.526552,-1.21756,-0.745445,-0.668532,-0.427738,0.583746,-1.17613,-0.758069,-1.77883,-0.311544,0.881281,-0.382386,-1.7036,-1.10069,0.042711,-1.67146,-0.098443,0.791478,-1.42728,-0.462534,-0.691908,-1.28189,-0.392672,-0.532565,0.13103,0.072867,1.42343,1.02693,0.723665,-0.81445,0.03982,-2.02271,0.282435,0.560122,-1.8426,0.709364,0.948399,0.417871,0.236805,-0.814855,-0.310385,0.208517,-1.2933,-1.57773,-0.037289,-0.028642,0.989533,-0.39263,1.17503,0.98788,0.98788,0.98788,0.98788,0.497379,1.76371,0.124644,-0.367562,-1.32855,-0.853037,-0.163218,-2.06216,-1.09258,0.351234,0.439398,1.0435,-1.65421,0.484192,0.284453,-0.232547,-0.493986,-0.605323,-0.085119,-1.50156,0.706587,1.8265,0.352827,-2.30458,0.344767,-1.12128,-0.528087,-0.325031,F
0.168165,-0.63584,0.262511,0.135833,-0.423752,-0.298782,-1.35887,-1.19735,0.465046,-0.066241,-0.210693,-0.442686,-0.045139,1.48213,-0.061154,0.318419,0.099831,1.29685,0.012152,1.05626,0.170895,0.285324,-0.091543,1.45765,0.355867,0.088991,0.716794,0.074774,0.341729,0.743216,0.075031,0.500057,0.475374,0.230257,0.239274,-1.30551,-0.076038,0.486905,-0.691,-0.984095,0.692157,-0.236764,-0.104955,-0.735415,-0.75444,0.456035,0.096454,-0.769534,0.330255,-1.58396,-0.633712,-0.621749,2.71405,-0.005828,0.447298,1.03495,1.24886,-0.183461,0.062782,1.09874,2.14123,-0.562985,-0.208006,0.097545,-0.773246,-0.475822,-0.566019,-0.148625,-1.44921,0.259695,0.352238,0.540824,1.25847,-0.69604,-0.642079,0.177275,0.413872,-0.618756,0.393006,0.687996,-1.47288,0.199712,-0.368065,1.5421,0.121864,0.702272,-0.203509,0.143788,0.854811,1.35277,-0.998334,-1.94542,0.450275,1.18501,0.244731,-0.422701,-0.118606,0.107297,0.133958,0.33344,0.969857,-0.352207,0.539116,1.38565,1.69733,-0.931567,-1.45296,-0.538091,-0.055547,-0.633609,-0.443881,-1.38669,-0.75119,-0.389726,0.019797,-0.352394,-0.882707,1.72876,0.25656,-0.604771,0.711423,0.805779,-2.11242,-0.410578,0.26429,1.00142,-0.510709,0.120791,-0.394748,-0.112336,0.276322,0.015794,0.148086,0.117666,-0.663756,0.130823,1.13544,0.086488,-0.124133,0.351548,0.475459,0.731902,1.03063,-0.074648,-0.679594,0.32326,1.09381,0.394087,0.538241,-1.48573,-0.203039,-0.149178,-1.3266,-0.174468,-1.66135,0.984451,-0.251714,0.731766,-0.031958,-0.208103,-0.594109,0.702099,0.564674,-0.325319,0.642919,0.492298,1.4699,0.988397,-0.86502,-0.86502,-0.86502,-0.86502,-1.06992,-1.07907,0.323895,0.28232,0.001135,1.07235,-0.441923,0.972047,0.12673,-0.176685,-0.351125,0.977141,-0.890225,-0.377264,-0.987066,-0.916802,0.364199,-0.531172,0.858919,0.515805,0.154275,0.06279,-0.018665,0.260467,-0.322137,0.478905,-0.895889,-0.493955,T
1.67156,1.01743,1.96491,1.96086,0.984955,0.830248,0.832953,0.685269,2.0169,0.93623,0.335435,-0.816522,1.04794,-0.759415,0.777884,0.244371,1.60959,0.462199,1.77681,-0.662504,-0.871677,1.14872,1.52198,-0.548488,0.795269,1.72631,-0.292552,-2.10086,-1.22157,-0.79432,-1.80351,-0.686305,0.881852,1.17087,-0.21729,-2.44979,2.19862,1.93079,-2.16042,0.114459,0.051181,-2.03512,-1.53802,0.968413,0.953941,-0.377817,1.382,-1.74261,1.66054,2.46805,0.259387,0.858528,-0.172866,0.62261,-0.95551,-0.60064,0.033362,0.216917,1.6449,-0.70534,-0.081096,1.83098,1.82085,1.44799,-1.88884,-1.66907,0.475897,0.091651,0.784057,0.446307,-1.01797,0.521439,-1.38251,-1.26291,0.593923,1.03701,-2.99346,0.493469,-1.11521,-0.669356,0.077922,-0.466908,1.07145,0.04401,-0.611391,-0.575351,0.357609,0.626516,0.857844,0.299856,0.662304,-2.48127,-0.079347,1.20607,-1.52119,-0.349665,0.329337,0.541485,-3.13488,-0.686635,0.463323,0.934076,-1.23351,1.19199,-1.39267,-1.89414,-1.78434,0.899993,0.894373,-0.171649,0.411737,0.296296,-1.38111,-2.25998,-1.0659,-1.47711,-1.02027,-1.40487,-0.936904,0.476641,-0.045737,0.521931,-0.308799,0.373388,1.65094,0.57285,-1.56658,-0.705414,0.297525,-0.172948,-0.132926,-0.189702,-0.423649,-1.77736,-0.389016,1.38573,1.5397,-1.23955,-1.6788,-0.902641,-0.057515,1.16684,-0.130865,0.86398,-2.27987,-0.181194,1.29101,1.08803,-0.068427,-0.009459,-0.447729,0.694429,-1.07108,-0.957097,-2.04826,1.44488,-1.77946,1.13546,-0.540542,0.710602,0.042282,1.41062,-0.700146,1.49543,-0.462045,1.38009,0.450766,1.05232,0.612646,0.612646,0.612646,0.612646,1.19298,-0.604908,1.20945,-0.278387,-0.267945,-0.004689,1.0564,0.861781,0.019145,1.16999,0.826835,0.993891,0.552606,-1.48012,0.283932,-0.899544,1.1599,-1.60984,1.22298,0.287797,-0.930207,0.043284,-1.40582,-1.23609,-1.19573,-0.651215,-2.29152,0.243733,F
-0.946359,-0.794348,-0.885041,-1.03347,-1.01707,-0.402997,-0.58087,-0.204359,-0.543412,-1.54675,-1.16085,0.748909,-1.01048,0.534473,-1.19592,0.046925,-1.14254,0.170894,-0.339011,0.024033,-0.723846,-0.210795,-1.45998,-0.181919,0.419353,-1.33441,0.38318,0.643544,-0.474359,0.225789,-0.199972,0.894259,-1.0888,-0.665131,1.29351,0.610963,-0.929549,-0.976049,0.118634,-1.11987,0.200934,1.15345,-0.637474,-1.59799,-0.681181,0.16056,-0.619891,-0.142769,0.208516,-1.02632,-0.926663,-0.438179,-0.474134,-1.47373,-0.445704,0.299623,0.663915,-1.37817,0.322116,2.4,0.633447,0.01752,-1.40953,-0.236377,1.1069,1.71127,-0.82531,-0.453917,-0.184692,-0.970359,-0.316075,0.274622,0.111394,0.503355,-0.369533,-2.18398,-0.744242,-0.860434,0.175406,-0.170817,-1.83932,0.144962,0.368234,0.190985,0.012854,-0.291619,-0.698297,-0.5243,0.424775,-0.412821,0.588056,0.770858,-0.391638,0.747802,0.71119,0.479983,-0.563064,-0.143333,0.693294,-0.842144,-1.19248,0.487948,-0.053613,-0.839575,-0.114265,0.585476,1.08818,-0.491007,-1.00838,-0.343888,-2.34245,0.184696,-0.095705,-0.222536,-0.354126,0.491366,-0.349072,-0.378772,-0.792025,-1.1109,-0.267761,0.065712,0.120353,-0.403777,-2.17991,-0.253267,1.24279,-0.904617,-1.03374,0.826137,1.18361,-0.341932,-0.580243,-0.661199,-0.623746,-0.932672,0.771174,-0.617868,0.760751,-0.400286,-0.372035,-0.13143,0.543624,-1.05371,-0.161914,1.67006,0.548956,0.312845,-0.787587,0.259559,-1.12616,-0.536997,0.086029,-0.864238,1.08456,0.593459,-0.220968,1.12005,1.47273,-0.552684,1.40559,0.552547,0.014568,-0.807068,1.19394,0.201973,0.789283,0.664298,-0.917741,-0.917741,-0.917741,-0.917741,1.21147,0.333194,-1.10959,0.495722,0.366451,0.681166,0.326435,-1.22949,0.760515,-1.85857,0.086878,0.563663,-0.635012,0.540538,-0.078211,-1.41974,-0.075421,0.293963,0.693757,-0.72348,0.004666,0.322851,-0.427197,-0.515561,0.148282,0.181151,0.275384,0.327025,T
1.9131,1.05802,1.79079,1.69289,0.216604,0.921093,0.504347,1.20423,1.88703,-0.01739,0.906032,-1.5901,0.164915,-0.897567,0.060273,-0.286118,-0.9521,-0.604493,0.249952,-2.18015,-1.26058,0.732065,1.08091,-0.854182,-0.361613,0.777985,-1.26798,-0.744561,-0.514109,-0.912838,-2.36148,-0.552072,0.650727,-0.314277,-1.49219,-1.4837,-0.6283,1.15644,-1.36515,0.409401,-0.581948,-0.728518,-1.83617,-0.167998,0.833676,-1.28053,-1.31616,-2.01284,1.82577,-0.42603,0.43739,0.021558,-0.712988,-0.590058,-0.842661,-0.477135,-1.26069,0.514073,0.171343,-0.623567,-0.47962,0.995784,0.244202,2.26119,-1.35234,-0.791384,-0.515371,0.883036,-0.226522,0.890372,-0.136549,-0.439932,-2.96749,-1.1722,0.821171,1.10953,-2.18458,0.611573,-1.61244,-1.74699,0.344315,-0.748767,1.1965,-1.21052,-1.1872,-1.09117,-2.30909,0.989187,0.135323,-0.940283,-0.033897,-0.783226,-1.11884,0.846169,-2.44875,1.39596,-0.726949,-0.25328,-0.937575,0.270173,0.34096,1.062,-1.9299,0.873245,-1.56647,-1.68008,-1.39643,2.42809,2.38834,-0.174635,0.554898,-0.399461,-0.367369,-1.23649,-0.692403,-1.25078,-2.11648,-2.04258,-1.26415,0.128451,-0.750801,-0.927831,-1.27005,-0.010998,1.61149,-1.17712,-1.40938,-0.11648,-0.242807,-0.212667,0.939709,-1.08615,-0.098642,-1.54528,0.390606,1.17506,1.17298,-0.517596,-1.29763,-0.560889,-1.3066,0.910499,-0.304654,0.358218,-1.42771,0.400711,1.42185,0.026327,-1.18483,0.625548,-0.925689,0.133797,-1.65941,-0.721626,-1.97041,1.37709,-1.59268,1.05628,0.379331,0.684094,-0.080531,0.979401,-0.865362,0.283586,0.267354,0.909819,0.077197,1.66737,0.879893,0.879893,0.879893,0.879893,1.06357,-0.220028,1.50832,-0.728714,-0.828488,0.251135,-0.358157,-0.274218,0.032359,1.93721,0.033439,1.54623,-0.24461,0.084158,0.741874,-1.22672,0.488291,-1.14925,0.464584,-0.946087,-0.848151,0.170438,-0.321082,-1.72518,-3.24341,-1.31814,-1.79499,-1.48775,F
-0.754156,-0.953479,-0.328117,-0.339901,-1.61988,-0.298926,-1.45536,-1.08521,0.006184,-1.23846,-0.506791,0.737611,-1.04205,1.22099,-2.12833,1.00001,-0.544753,1.0272,-1.13522,1.96852,1.83516,-0.466529,-0.358564,2.41727,1.00419,-0.560749,0.01943,0.64727,-0.798628,1.33394,1.65167,1.27331,-1.85956,-1.03129,0.885013,0.136205,-0.966676,-0.588374,1.84942,0.177924,0.817445,2.00853,1.52378,-1.49787,-1.38513,1.85119,-1.21942,0.69997,-1.02751,0.699473,-1.57126,-1.47942,0.573486,-1.01541,0.999917,2.15884,0.46338,-0.76935,-1.36673,0.979544,0.599484,-0.227382,0.087629,-0.276179,0.838032,0.570647,-0.146168,0.184215,-0.893906,-1.5389,0.55127,1.03461,1.78825,1.22461,-2.28773,-1.51225,0.667483,-1.49417,-0.176035,-0.003531,-0.148087,1.20634,-0.858483,0.90229,1.34753,0.203385,0.535457,-2.93016,1.31197,0.266474,0.65605,0.348656,0.41139,0.661823,-1.32122,-1.13047,-0.238596,-0.043669,-1.10588,1.02524,-2.03364,-0.935229,-0.254409,0.64534,-0.493943,0.748379,0.85955,-0.941886,-0.161432,-0.318854,-0.840167,-1.47372,0.391088,0.804502,-1.29045,2.0354,0.220407,-0.282995,-0.449611,-1.09339,1.2916,1.51229,0.318124,1.7073,0.750454,1.45502,-0.016947,1.0111,-2.20968,-0.063394,0.490768,1.56955,1.53978,1.61031,1.05164,-0.979262,0.308406,0.927406,0.199216,0.00372,0.330782,2.18245,0.729269,0.095867,1.5115,-0.750823,0.392767,-1.03007,0.941402,-1.10659,0.218311,-1.04779,0.226533,2.01235,-0.000884,-0.007577,2.14388,1.06216,2.11597,-2.73633,1.58195,-1.90073,0.147813,-0.519663,0.663459,-1.37914,0.721081,0.528778,-1.57582,-1.57582,-1.57582,-1.57582,0.197058,-0.005845,-0.698793,0.575995,0.389416,0.582824,-2.0617,1.0312,2.00004,-0.024686,0.89415,0.355042,0.914841,1.1941,-0.573854,0.139561,-0.96014,0.042583,-1.54262,-0.185071,0.051333,1.19767,2.20474,-0.94423,2.50423,-0.692957,0.265638,-0.82332,T
1.67066,1.10446,1.71781,1.715,0.89085,0.902517,-0.042601,0.73714,1.86499,1.30253,0.881497,-2.16295,1.66318,-1.36961,1.54049,-0.881237,1.00732,-0.719822,1.05099,-1.18195,-1.22513,0.886727,1.07903,-0.497923,-1.04964,0.954924,-2.07869,-1.79619,-0.996422,-0.822335,-1.66894,-0.736572,1.51955,2.26875,0.344333,-1.06929,1.51251,1.38068,-2.33238,0.199909,-0.941371,-1.0569,-1.0017,-0.160392,0.619186,-0.42147,1.46816,-2.03385,1.40024,0.322806,0.34443,1.19215,-0.837581,1.77649,-1.58051,-1.01563,-0.48561,0.821226,1.35842,-1.52505,-0.929516,0.958207,-0.102478,0.777029,-1.70081,-1.69664,0.561863,-0.299918,-0.117372,1.72534,-0.44262,-0.492031,-1.28395,-1.48259,1.23348,0.611396,-1.89596,-0.010905,0.365641,0.48916,-0.663637,-0.428891,0.49416,-0.763297,-0.676977,-0.443268,0.109995,1.40082,0.398339,-0.728042,0.284333,-1.36596,-0.945121,0.989219,-0.017322,0.00593,0.156679,-0.22798,0.11758,-0.809428,1.72209,0.566094,-0.532157,0.858691,-0.078251,-2.10916,-1.0498,-0.337955,-0.45684,0.098868,0.062145,0.465268,-1.15345,-1.55637,-0.199832,-1.05602,-2.2683,-0.163767,-0.199566,0.402056,-0.331951,-0.097736,-1.59147,-0.401013,1.23269,-0.362075,-1.73661,-0.589605,1.9843,-0.538435,-0.223558,-0.430509,-0.11233,-0.776414,-0.848025,0.773512,0.511303,-1.04166,-1.71152,-1.0527,-0.702968,-0.73865,-1.29082,1.10476,-1.13042,-0.524747,0.248525,0.529842,1.40235,-0.006929,-1.22594,0.045992,-2.45278,-0.750233,-1.75111,0.381159,-1.02994,0.382556,-1.07738,0.814647,-0.849387,1.97062,0.033604,-0.207075,-0.659941,1.35101,0.006944,0.505341,0.152985,0.152985,0.152985,0.152985,0.325639,-0.055981,0.951626,-1.26436,-0.784873,-0.515844,1.03749,-0.275764,-0.939569,0.355442,0.369546,0.50106,-1.25319,-2.80979,0.417085,-2.01277,1.64291,-1.58793,1.80047,1.53022,-0.746439,-0.13684,-1.67167,-0.339885,-1.66225,0.214451,-0.880831,0.208782,F
