gene249,gene493,gene245,gene267,gene1635,normal
-0.084774,1.03187,0.053861,0.000689,-0.782026,T
1.0784,1.58552,1.22309,1.24354,1.07346,F
-1.06411,0.695736,-0.474886,-0.594958,-0.558988,T
0.563893,1.17647,0.388727,0.394814,-0.231136,F
0.168165,-0.63584,0.262511,0.135833,-0.423752,T
1.67156,1.01743,1.96491,1.96086,0.984955,F
-0.946359,-0.794348,-0.885041,-1.03347,-1.01707,T
1.9131,1.05802,1.79079,1.69289,0.216604,F
-0.754156,-0.953479,-0.328117,-0.339901,-1.61988,T
1.67066,1.10446,1.71781,1.715,0.89085,F
-1.197,-0.698936,-1.3525,-1.34788,0.084935,T
1.27091,1.64426,1.53964,1.47589,0.40821,F
0.116041,0.101192,0.252453,0.329651,0.276809,T
1.282,2.02629,1.57464,1.59977,0.926978,F
-0.158787,0.316226,0.154942,0.169007,-0.360253,T
-0.888453,0.750946,0.528892,0.382122,0.272481,F
-0.667622,0.189036,-0.410226,-0.426498,-0.827811,T
0.146856,1.62459,0.417741,0.396182,1.3869,F
-0.735197,0.03872,-0.851538,-1.07036,-1.99887,T
1.75219,1.48417,1.73081,1.63741,1.43855,F
-1.44884,0.37907,-0.971218,-1.14465,-0.566447,T
1.1062,1.46716,1.07399,1.25399,1.22132,F
-0.802614,-0.943869,-1.08011,-1.00952,-0.310576,T
0.008308,1.40241,0.689297,0.634249,1.33085,F
-0.951581,-0.412118,-0.769947,-0.880434,-0.859681,T
-1.72487,-1.24689,-1.30416,-1.36005,-1.10989,T
-0.484483,-0.82305,-0.203472,-0.267343,-0.079029,T
-1.19134,-0.884028,-1.26901,-1.22055,-1.60971,T
-1.12494,-1.04328,-0.954554,-1.07711,-0.446248,T
-1.13318,-1.18657,-0.554129,-0.636327,-1.26036,T
-0.984725,-1.05708,-0.271837,-0.270868,-0.910873,T
0.33453,-0.549997,0.51071,0.268957,1.20411,T
-0.692988,-0.728455,0.010609,-0.012572,-0.102644,T
-0.220623,-0.913241,-0.585252,-0.135017,-0.87417,T
-0.137305,-0.338867,-0.235878,-0.233203,-0.726664,T
-0.96071,-1.83724,-0.493992,-0.427805,-1.17339,T
-1.32711,-0.570915,-0.824537,-0.907698,-0.315049,T
-0.874957,-1.21756,-0.4659,-0.418818,-0.97314,T
1.42795,0.547207,1.55867,1.63522,1.59878,F
-0.399723,-0.738518,-1.14452,-0.735687,-0.620758,T
-0.330386,-0.977785,-0.672152,-0.814496,-0.772532,T
0.864822,0.366829,0.939563,0.941415,1.10535,F
1.59623,1.62195,0.089644,0.317687,1.15657,F
-0.519955,-1.03132,-0.850672,-0.507966,-0.59211,T
0.599858,0.43863,0.611852,0.551036,1.08682,T
-0.555301,-0.636079,-1.16856,-0.844443,-0.50069,T
-0.812223,-1.81962,-0.69526,-0.887238,-0.473529,T
0.722843,-0.045496,-0.437148,-0.287848,2.03197,F
1.05895,1.02057,1.01145,1.12261,1.76835,T
1.57605,1.77076,1.5735,1.56643,1.15771,F
0.030126,0.0915,-1.1418,-1.29431,0.256466,F
-0.157616,-0.605867,-0.70697,-0.528896,-0.714096,T
-0.089325,-0.502564,-0.373917,-0.417712,-0.418085,T
1.40224,0.448844,1.64685,1.6256,0.74671,F
-1.13505,-0.937252,-1.92121,-2.04057,-0.444261,F
1.54202,0.314639,1.64203,1.71319,1.3945,T
-0.086391,-0.213315,-0.178922,-0.132138,-0.607764,T
-0.818061,-0.567127,-0.955906,-1.06668,-1.72704,T
0.099149,-0.556259,-0.607802,-0.46786,-0.132253,T
0.914962,0.347547,0.235323,0.122093,1.5602,F
-0.788498,-1.28944,-1.05757,-0.929471,-0.455051,T
1.33129,0.694332,1.00439,0.88419,1.0154,F
