gene249,gene493,gene245,gene267,gene1635,gene1423,gene897,gene377,gene765,gene1494,gene822,gene625,gene1884,gene513,gene1843,gene365,gene1897,gene1772,gene66,gene1771,gene1060,gene111,gene824,gene1042,gene1582,gene812,gene26,gene391,gene1730,gene780,gene992,gene138,gene1247,gene892,gene1325,gene802,gene411,gene14,gene1634,gene1285,gene571,gene964,gene581,gene1421,gene739,gene241,gene1892,gene1293,gene609,gene1231,normal
-0.084774,1.03187,0.053861,0.000689,-0.782026,0.353318,-0.7566,0.396329,0.349957,-0.652913,0.095114,0.332443,-0.979565,0.338184,-1.41003,0.70523,-1.18659,0.234473,0.01698,-0.694222,-0.262327,0.195088,0.261337,-0.207158,0.826214,0.353873,0.206106,0.738424,-0.153933,0.238763,0.254848,-1.25131,-0.909369,-1.37324,0.647325,1.601,-0.083107,-1.53192,0.591347,-0.24083,0.006291,0.27838,0.149302,-1.0764,-0.003091,-1.0224,-0.378657,0.700039,-0.447853,-0.616197,T
1.0784,1.58552,1.22309,1.24354,1.07346,1.54289,0.97298,1.68741,1.55094,1.58848,1.75134,-0.044018,0.661753,-0.864754,1.11515,-2.09389,0.754738,-1.29141,0.639241,-1.01578,-1.40416,1.53404,0.405049,-0.927375,-0.616352,0.121743,-0.970803,-0.263439,-1.45746,-0.977451,0.924034,-1.95795,1.11567,1.32801,0.470352,0.256675,-1.06075,0.404811,0.279767,1.11275,-1.34296,-0.235105,-0.320751,1.02788,1.76837,-1.23495,1.1736,0.204408,-0.810844,-0.032051,F
-1.06411,0.695736,-0.474886,-0.594958,-0.558988,0.749552,-0.114554,0.697607,-0.085503,-0.247368,0.184835,-0.278723,-0.07141,-2.52545,-0.202171,-0.86126,-1.22744,-1.1298,-0.913681,-0.520239,-1.4108,0.595206,-0.104522,-0.880517,1.04438,-0.149918,-1.29992,-1.99412,-0.741531,-0.585369,-1.01959,-1.0551,-0.35342,0.086015,-0.930519,-0.09217,-1.29284,-1.70035,-0.81348,1.60369,-0.717165,-0.005774,0.653475,-0.198284,-0.815769,-1.41466,-0.736563,-0.409541,0.864374,-0.525941,T
0.563893,1.17647,0.388727,0.394814,-0.231136,1.40453,1.15993,0.868489,1.03575,-0.174523,0.940464,-0.029961,-0.531569,-1.32753,-0.06268,-1.14678,-0.417979,-1.35392,-1.26244,-1.75265,-1.31656,1.06286,-0.976312,-1.60269,-0.880243,-1.19455,-0.657361,-0.647155,-1.07194,-0.662283,-0.203129,-0.976859,-0.544951,-0.772504,0.324394,-0.415899,-0.460608,-0.55931,0.086751,1.47379,-1.16308,-0.161465,0.334995,-0.348931,0.541775,-1.40042,-0.400963,0.206564,0.351439,-0.224959,F
0.168165,-0.63584,0.262511,0.135833,-0.423752,-0.298782,-1.35887,-1.19735,0.465046,-0.066241,-0.210693,-0.442686,-0.045139,1.48213,-0.061154,0.318419,0.099831,1.29685,0.012152,1.05626,0.170895,0.285324,-0.091543,1.45765,0.355867,0.088991,0.716794,0.074774,0.341729,0.743216,0.075031,0.500057,0.475374,0.230257,0.239274,-1.30551,-0.076038,0.486905,-0.691,-0.984095,0.692157,-0.236764,-0.104955,-0.735415,-0.75444,0.456035,0.096454,-0.769534,0.330255,-1.58396,T
1.67156,1.01743,1.96491,1.96086,0.984955,0.830248,0.832953,0.685269,2.0169,0.93623,0.335435,-0.816522,1.04794,-0.759415,0.777884,0.244371,1.60959,0.462199,1.77681,-0.662504,-0.871677,1.14872,1.52198,-0.548488,0.795269,1.72631,-0.292552,-2.10086,-1.22157,-0.79432,-1.80351,-0.686305,0.881852,1.17087,-0.21729,-2.44979,2.19862,1.93079,-2.16042,0.114459,0.051181,-2.03512,-1.53802,0.968413,0.953941,-0.377817,1.382,-1.74261,1.66054,2.46805,F
-0.946359,-0.794348,-0.885041,-1.03347,-1.01707,-0.402997,-0.58087,-0.204359,-0.543412,-1.54675,-1.16085,0.748909,-1.01048,0.534473,-1.19592,0.046925,-1.14254,0.170894,-0.339011,0.024033,-0.723846,-0.210795,-1.45998,-0.181919,0.419353,-1.33441,0.38318,0.643544,-0.474359,0.225789,-0.199972,0.894259,-1.0888,-0.665131,1.29351,0.610963,-0.929549,-0.976049,0.118634,-1.11987,0.200934,1.15345,-0.637474,-1.59799,-0.681181,0.16056,-0.619891,-0.142769,0.208516,-1.02632,T
1.9131,1.05802,1.79079,1.69289,0.216604,0.921093,0.504347,1.20423,1.88703,-0.01739,0.906032,-1.5901,0.164915,-0.897567,0.060273,-0.286118,-0.9521,-0.604493,0.249952,-2.18015,-1.26058,0.732065,1.08091,-0.854182,-0.361613,0.777985,-1.26798,-0.744561,-0.514109,-0.912838,-2.36148,-0.552072,0.650727,-0.314277,-1.49219,-1.4837,-0.6283,1.15644,-1.36515,0.409401,-0.581948,-0.728518,-1.83617,-0.167998,0.833676,-1.28053,-1.31616,-2.01284,1.82577,-0.42603,F
-0.754156,-0.953479,-0.328117,-0.339901,-1.61988,-0.298926,-1.45536,-1.08521,0.006184,-1.23846,-0.506791,0.737611,-1.04205,1.22099,-2.12833,1.00001,-0.544753,1.0272,-1.13522,1.96852,1.83516,-0.466529,-0.358564,2.41727,1.00419,-0.560749,0.01943,0.64727,-0.798628,1.33394,1.65167,1.27331,-1.85956,-1.03129,0.885013,0.136205,-0.966676,-0.588374,1.84942,0.177924,0.817445,2.00853,1.52378,-1.49787,-1.38513,1.85119,-1.21942,0.69997,-1.02751,0.699473,T
1.67066,1.10446,1.71781,1.715,0.89085,0.902517,-0.042601,0.73714,1.86499,1.30253,0.881497,-2.16295,1.66318,-1.36961,1.54049,-0.881237,1.00732,-0.719822,1.05099,-1.18195,-1.22513,0.886727,1.07903,-0.497923,-1.04964,0.954924,-2.07869,-1.79619,-0.996422,-0.822335,-1.66894,-0.736572,1.51955,2.26875,0.344333,-1.06929,1.51251,1.38068,-2.33238,0.199909,-0.941371,-1.0569,-1.0017,-0.160392,0.619186,-0.42147,1.46816,-2.03385,1.40024,0.322806,F
-1.197,-0.698936,-1.3525,-1.34788,0.084935,-1.58238,-0.683849,0.043436,-0.58444,-0.248891,-1.69609,0.79234,-0.829427,0.870428,-0.569371,0.505638,-0.559768,1.26543,-1.6917,0.697892,1.59207,-2.10292,-0.506473,1.97977,1.69528,-0.702757,0.012676,1.10004,0.220576,1.03214,-0.905692,0.784406,-0.299342,0.665496,1.11335,0.799044,-0.747616,-1.3067,-2.31805,-1.5672,0.827881,1.64326,-1.13281,0.158754,-0.966462,0.474158,0.370383,-1.51794,1.15313,-0.037277,T
1.27091,1.64426,1.53964,1.47589,0.40821,1.60756,0.868382,0.424935,1.92245,1.02885,1.25693,0.682479,-0.07275,-1.15353,0.579175,-1.75685,0.819675,-1.02825,0.042012,-1.03423,-1.46967,1.61048,0.795527,-0.703214,-0.694662,0.724238,-0.982297,0.178549,-2.23499,-0.849319,-0.06949,-0.465803,0.763143,1.61748,0.51504,-0.928357,0.886521,1.02923,-0.795439,1.61677,-1.26579,-0.514883,-0.800439,-0.465831,1.96574,-1.13217,1.45326,-1.25106,-0.156521,0.138319,F
