Attr3252,Attr4847,Attr4196,Attr1882,Attr6041,Attr1834,Attr1745,Attr2111,Attr1779,Attr1829,class
-0.724608,-0.661837,-1.05983,-0.504374,0.036936,-0.457315,-0.590146,-0.997159,-0.527772,-0.714318,T
-0.589524,-0.667077,0.008703,-0.327348,-0.577946,-0.851959,-0.280799,1.10518,-0.540885,-0.192467,T
-0.640081,-0.6691,-0.986148,-0.516731,-0.80118,-0.393879,-0.96515,-1.28755,-0.554255,-0.877052,T
-0.58836,-0.383181,-0.966607,-0.604415,-0.328328,-0.266203,0.184016,-0.860332,-0.537684,-0.349703,T
-0.657389,-0.420005,1.57688,-0.577211,-0.252778,-0.188082,-0.184782,-0.20985,-0.380975,0.069398,T
-0.595599,-0.626451,-0.884298,-0.339436,-0.610114,-0.653673,-0.535866,-1.26471,-0.500839,-0.732004,T
-0.521803,-0.76256,-0.955245,-0.584201,-0.647152,-0.677404,-0.542944,-1.02369,-0.534178,-0.24752,T
-0.514842,-0.922927,-1.04071,-0.586408,-1.04486,-0.27135,-0.640702,-0.446094,-0.563624,-1.2218,T
-0.731869,-1.01329,-0.876502,-0.515508,-0.801062,-0.892837,-0.844228,-0.320043,-0.552197,0.089708,T
-0.591766,-0.505337,-0.730224,-0.459045,-0.719518,-0.516725,-0.804795,-0.620419,-0.458701,-0.906874,T
-0.601857,-0.839667,-0.656524,-0.618261,-0.782856,-0.663117,-1.00243,0.029994,-0.526945,-0.874858,T
-0.518583,-0.493653,0.753624,-0.511291,-0.735316,-0.013173,-0.324408,-0.648971,-0.259542,-0.385489,T
-0.720782,-0.409749,-0.297429,-0.580581,-0.354607,-0.768085,-0.740875,-0.375565,-0.536069,-0.902743,T
0.538875,-0.617624,-0.259428,-0.410996,-0.571094,-0.701584,-0.275049,-0.956952,-0.517813,0.338396,T
-0.757284,-0.299676,-0.416874,-0.55176,-0.666509,-0.969667,0.006577,-0.604931,-0.486394,-0.378008,T
-0.698955,-0.300419,-0.68444,-0.548036,-0.876255,-0.533595,-0.662256,-1.2341,0.080182,-0.725963,T
2.91627,-0.363784,-0.781816,-0.509996,1.59733,-0.622442,-0.520509,0.279492,-0.322968,-0.013585,T
-0.539429,-0.546299,-0.659833,-0.539016,-0.766067,-0.52521,-0.218304,-1.21773,-0.489017,-0.608499,T
-0.662931,-0.404501,-0.555679,-0.577883,-0.699016,-0.507337,-0.926554,-0.939195,-0.438579,-0.735121,T
-0.91946,-0.509802,-1.12692,-0.559032,-0.507527,-1.12954,-0.603061,0.152384,-0.510095,0.213297,T
-0.571671,-0.738108,-0.464792,-0.559726,-0.63401,-0.499303,-0.363448,-0.305829,-0.527055,-0.473473,T
-0.655169,-0.693239,-0.953811,-0.554978,-0.673985,-0.481429,-0.592765,0.291351,-0.505859,-0.804491,T
-0.525202,-0.83004,-1.01361,-0.460224,-0.633928,-0.506903,-0.902299,-1.06233,-0.519131,-0.797645,T
-0.696862,-0.714273,-0.543013,-0.597168,-0.521962,-0.852195,-0.397372,-0.617924,-0.527181,-0.482278,T
-0.573825,-0.378206,0.154108,-0.587216,-0.837986,-0.441783,-0.938278,-0.866369,-0.501847,-0.712194,T
-0.626539,-0.548824,-0.49244,-0.540056,-0.362371,-0.675491,-0.668186,-0.669669,-0.495368,-0.693172,T
-0.411325,-1.16331,-0.966071,-0.524403,-0.857564,-0.501368,-0.218739,-1.7159,-0.524553,-0.624706,T
-0.503443,0.497135,1.50277,-0.371543,0.0346,-0.346055,-0.185924,0.808576,-0.464909,-0.105826,F
0.742518,1.27334,1.91828,0.694847,0.77855,0.47705,0.82956,-0.014928,-0.147408,0.301377,F
0.816265,2.72645,2.37374,1.86081,2.26823,1.38622,2.33883,1.47299,-0.482174,3.38292,F
2.02431,0.135378,0.86303,0.722325,-0.159089,2.19653,0.386286,1.43911,1.33788,1.50985,F
-0.554628,1.12828,-0.041503,1.57609,0.654375,0.702878,2.47668,2.30327,-0.50119,0.697623,F
1.29628,1.16473,1.7167,0.051335,2.00265,-0.144185,3.0448,-0.107399,0.746826,-0.353458,F
2.07794,0.98079,1.76655,-0.27943,-0.041588,2.4218,1.24055,1.41661,0.635857,1.87495,F
0.95268,-0.120407,0.132511,-0.274433,0.063101,1.09006,0.099875,-0.603539,2.07699,1.24246,F
1.57582,1.78795,2.06189,2.24999,2.88898,0.886895,2.17538,2.2572,-0.240822,2.96686,F
0.175134,0.662496,1.57141,1.64813,1.10223,-0.136808,1.99015,1.73025,-0.375154,1.02071,F
0.034248,0.175474,-0.680418,-0.265099,-0.15696,-0.313818,0.012757,1.66705,0.395664,-0.522802,F
-0.521302,-0.678959,-1.07345,-0.55166,-0.884147,-0.454162,-0.742778,-0.08454,-0.439346,-1.18953,T
-0.521593,-0.70825,-0.635742,-0.525482,-0.599274,-0.206977,0.185797,-1.01471,-0.524474,-0.934008,T
-0.591709,-0.634837,-0.683167,-0.565077,-0.469493,-0.687658,-0.296047,-0.568437,-0.517424,-0.291481,T
-0.6624,-0.754648,-0.745284,-0.504106,-0.238905,-0.575608,-0.656541,0.477933,-0.359711,-0.796541,T
-0.395312,-0.796828,1.18128,-0.551662,-0.715326,-0.572572,-0.632491,-0.834268,-0.321522,-0.235699,T
-0.727484,-0.867476,-1.02445,-0.446681,-0.654509,-0.48364,-0.582219,-0.319647,-0.525639,-0.128534,T
-0.581599,-0.804721,-0.623842,-0.521849,-0.032737,-0.493263,-0.801422,-0.664843,-0.538533,-0.245714,T
-0.645466,-0.761855,-0.984981,-0.530449,-0.66336,-0.727455,-0.70933,-1.16272,-0.522275,-0.058432,T
-0.55863,-0.546563,-0.275451,-0.522517,-0.448167,-0.181655,-0.544284,0.026849,-0.403136,-0.5695,T
-0.773564,-0.408515,-0.635221,-0.601937,-0.346045,-0.732001,-0.957845,-0.029976,-0.515024,-0.777745,T
-0.555319,-1.05815,-0.865401,-0.47734,-0.956005,-0.004959,-0.476121,-1.38302,-0.310841,-0.727007,T
1.31224,2.6848,1.31896,1.48623,1.43839,1.14739,2.62432,1.55733,0.981413,1.1996,F
0.965867,0.591543,1.17044,-0.07373,0.206763,0.521266,1.78309,0.283055,1.11667,0.842926,F
0.453253,0.360593,0.917357,2.39323,1.21183,2.51398,1.25696,1.28479,-0.401339,2.76261,F
0.707383,1.35608,1.10399,2.97982,1.23127,0.557456,0.81159,1.35475,0.8735,0.025726,F
0.065116,1.73465,1.22019,1.25302,3.1165,0.392011,0.047978,0.89,3.01414,0.471043,F
-0.548593,-0.233028,-0.390233,-0.471283,-0.385648,-0.374164,-0.613581,-0.574789,-0.13928,-0.510732,T
-0.390714,-0.672062,-0.71419,-0.441129,-0.567147,-0.200596,-0.678611,-0.525418,-0.466049,-0.685716,T
1.08111,0.631347,1.90354,0.020751,0.966319,1.23616,-0.264555,-0.058506,1.132,1.25933,F
1.16061,0.812712,0.031138,1.69614,0.301723,0.654991,0.35987,-0.377115,1.60741,-0.683367,F
-0.505623,-0.536367,0.323504,-0.500107,-0.61034,-0.420843,-0.68714,-0.084687,-0.09866,-0.54523,T
1.29628,0.430382,2.14976,-0.135265,0.850531,0.000193,-0.412256,0.052749,3.65932,0.191866,F
3.35959,1.09979,-0.76613,-0.519619,0.343178,0.356048,-0.31475,0.754681,4.07927,1.1101,F
0.623781,3.10425,0.510817,3.28424,1.619,2.4404,1.23026,2.10181,-0.133746,1.91201,F
2.6497,2.62133,0.545483,2.76957,3.31633,3.07267,2.36322,2.43686,0.405491,1.6015,F
