Attr3252,Attr4847,Attr4196,Attr1882,Attr6041,Attr1834,Attr1745,Attr2111,Attr1779,Attr1829,Attr3320,Attr2288,Attr6201,Attr1674,Attr2121,Attr2402,Attr6919,Attr4366,Attr6005,Attr6806,Attr2363,Attr4951,Attr6281,Attr2020,Attr235,Attr6803,Attr1260,Attr760,Attr2546,Attr2642,Attr4973,Attr6225,Attr4052,Attr6797,Attr6855,Attr4328,Attr2354,Attr1249,Attr4653,Attr4229,Attr6967,Attr3183,Attr3847,Attr6373,Attr1291,Attr4936,Attr6185,Attr804,Attr2739,Attr1239,Attr5833,Attr4377,Attr2441,Attr2063,Attr6200,Attr2335,Attr6184,Attr3258,Attr6561,Attr461,Attr922,Attr5683,Attr3714,Attr4291,Attr6376,Attr5637,Attr4107,Attr2186,Attr1598,Attr1400,Attr4373,Attr1615,Attr4167,Attr6539,Attr1369,Attr157,Attr6584,Attr1394,Attr1928,Attr4389,Attr490,Attr1144,Attr2242,Attr6405,Attr6347,Attr5772,Attr3469,Attr5280,Attr173,Attr6847,Attr5501,Attr1685,Attr88,Attr5552,Attr1157,Attr343,Attr6761,Attr283,Attr2043,Attr4188,class
-0.724608,-0.661837,-1.05983,-0.504374,0.036936,-0.457315,-0.590146,-0.997159,-0.527772,-0.714318,-0.220595,-0.587803,-0.532485,-0.831279,-0.604218,-0.423939,-0.729239,-0.631178,-0.914758,-0.748313,-0.944004,-0.936091,0.749782,-0.71722,-1.07082,-0.848447,-1.58663,-0.452677,-0.502294,2.29205,1.1624,1.78781,-0.5894,-0.680772,0.392286,0.014207,0.756351,-0.878335,0.182606,-0.738373,-0.828451,-0.194411,0.016964,-0.094701,-0.399007,-0.412967,-0.740211,0.541643,0.079026,0.321755,-1.28953,-0.49319,0.118397,-0.38816,-0.409105,0.911073,0.408718,-0.575296,0.049609,-1.03009,-0.490516,0.351367,-0.543627,0.650962,-0.639621,-0.60562,-0.549095,-0.794096,-1.14667,-0.249485,-0.522085,-1.2884,1.61509,-0.809134,-1.23982,-0.004245,0.561964,-0.544772,0.84065,1.35418,1.33268,-0.000996,-1.3708,-0.678444,2.41914,0.282473,-0.290697,-0.914786,-1.01935,0.046669,2.75874,0.254709,-0.861864,1.28494,-0.570021,-0.92918,2.58992,0.051897,-0.631272,-0.850796,T
-0.589524,-0.667077,0.008703,-0.327348,-0.577946,-0.851959,-0.280799,1.10518,-0.540885,-0.192467,-0.408508,-0.514951,0.382085,1.04445,-0.293615,-0.50399,-0.484845,-0.221208,-0.049944,-0.151483,-0.086804,0.514732,-0.099772,0.322441,-0.687197,0.056059,-0.572685,-0.249236,-0.617485,-0.678366,-0.208466,-0.859096,-0.465831,0.245112,-0.251822,0.075228,-0.210373,0.554962,-0.193466,-0.039015,0.033647,-0.093982,-0.869876,0.018324,-0.10279,-0.140462,0.24075,-0.079822,-1.2978,0.952236,0.179843,-0.441591,0.416925,-0.643596,0.055985,-0.905884,-0.163314,-0.587984,-0.838236,-0.567175,0.412081,1.751,-0.557562,0.789463,-0.197157,-0.255953,-0.493797,0.134148,-1.09971,0.112272,-0.305015,0.086099,-0.284158,-0.807527,0.651247,-0.410461,-0.625366,0.483084,0.069,-1.02625,2.3862,0.534197,-0.375421,-0.319136,-0.835864,-0.812226,0.27248,-0.490993,-0.066287,-0.951474,-0.578533,-0.353399,0.510149,-0.136673,0.218466,-0.432573,1.36566,0.50112,0.422411,-0.122138,T
-0.640081,-0.6691,-0.986148,-0.516731,-0.80118,-0.393879,-0.96515,-1.28755,-0.554255,-0.877052,-0.015344,-0.610309,-0.543186,-0.796445,-0.121384,-0.354506,-0.652163,-0.474006,-0.070474,-0.437522,-0.971744,-0.261234,0.322379,0.306202,-1.26812,-0.122842,-1.55987,-0.43541,-0.746725,-0.766407,-1.16287,-0.5315,-0.751157,-0.149671,-0.625058,1.86589,0.636029,-0.941097,1.03128,-1.45801,-0.744678,-0.177073,0.722164,-0.001,-1.7503,-1.46233,-0.35483,1.49521,0.766965,1.17105,-0.974438,-0.988918,2.55084,-0.942728,-0.49866,-1.24427,0.845823,-0.539666,0.030975,-1.29619,-0.587689,-0.996192,-0.538032,1.78329,-0.762253,0.077281,-0.718251,-0.659566,-0.645477,-0.37343,-0.557673,-1.00029,1.4705,-1.02298,-0.3672,0.129627,0.317595,-0.418671,2.88487,-0.509649,2.27833,2.02583,-1.14275,-0.511454,0.253612,0.831413,1.61841,-1.04312,-1.27169,0.259483,-0.040387,0.001566,-0.36956,-0.360165,-0.438973,-0.608717,1.11437,1.00915,-0.583152,0.450212,T
-0.58836,-0.383181,-0.966607,-0.604415,-0.328328,-0.266203,0.184016,-0.860332,-0.537684,-0.349703,-0.423074,-0.591665,-0.54047,-0.56639,-0.712532,-0.399844,-0.662902,-0.933657,-0.133764,-0.561231,-0.449502,-0.640638,0.379488,-0.147056,-0.155497,-0.550678,-1.2317,-0.464159,-0.52584,0.850271,0.875066,0.808159,-0.265795,-0.593958,0.828586,0.355135,0.971302,-0.725997,0.074797,-0.387676,-0.748538,-0.517994,0.220859,-0.202895,-0.37199,-0.048122,-0.722768,-0.012533,0.527872,0.068475,-1.27459,-0.709168,1.30552,-0.649528,-0.476836,0.550132,0.509054,-0.515515,0.518655,0.725774,-0.741784,-0.864513,1.0743,-0.155342,-0.464914,0.40269,-0.344317,-0.640495,-0.696667,-0.467532,-0.571177,-1.13551,0.045091,-0.697492,0.131387,0.296629,-0.395721,-0.834004,0.75934,0.622075,-0.408326,-0.30018,-1.16576,-0.404489,0.396707,1.46889,-0.425122,-1.04332,0.114897,-0.216052,0.628256,-0.335193,-0.275172,0.100043,-0.365621,-0.374186,0.344782,-0.031972,-0.533538,-0.772216,T
-0.657389,-0.420005,1.57688,-0.577211,-0.252778,-0.188082,-0.184782,-0.20985,-0.380975,0.069398,-0.546663,-0.413875,-0.582557,-0.265192,-0.692148,-0.402617,0.226273,0.04837,-1.32989,-0.067157,0.426057,-0.673621,0.849345,-0.644055,-0.489387,-0.066341,-1.14576,-0.371676,-0.02645,0.813373,1.4909,0.524012,-0.138044,0.024584,0.304736,0.910636,0.121598,0.291625,-0.211152,0.025053,-0.252114,0.275484,-0.899909,-0.937002,0.138579,0.08732,-0.426334,-0.395435,-0.633602,0.870425,-0.148384,0.72038,1.04754,-0.356452,-0.457344,1.39083,0.337293,-0.320473,-1.29311,-0.818553,-0.364942,-0.937344,-0.39823,1.8694,-0.348136,-0.533116,-0.272866,-0.896591,-0.242067,0.282486,-0.219875,0.069189,1.14466,-0.623797,-0.130113,-0.608296,-1.26499,-0.710571,0.517995,2.38832,-0.119112,-0.242407,-0.284379,-0.746973,0.413373,0.385429,-0.95078,0.219896,0.057636,-1.19025,0.165758,-0.250934,-0.829459,0.744408,-0.301396,0.689937,-0.606726,0.69981,-0.461198,-0.484763,T
-0.595599,-0.626451,-0.884298,-0.339436,-0.610114,-0.653673,-0.535866,-1.26471,-0.500839,-0.732004,-0.527014,-0.469759,-0.53431,-0.767445,-0.43353,-0.392244,-0.157987,-0.438063,-0.341953,0.040487,-0.896146,-0.091873,0.020094,-0.517678,-0.08669,-0.128933,-0.458886,-0.374136,-0.748703,-0.833752,-0.221841,-0.671317,-0.8255,-0.01604,-0.237115,0.437184,0.012864,-0.926682,0.138656,-1.03305,-0.221612,-0.616846,-0.402788,0.059294,-1.31175,-1.56562,0.227832,0.476815,-0.848471,0.023369,-0.344894,-0.949259,0.600479,-0.659072,-0.450308,-0.816196,1.61161,-0.926414,0.530822,-0.279721,-0.153247,0.308549,-0.542465,0.019048,-0.035539,0.477563,-0.677361,-0.791146,0.228618,-0.762411,-0.395929,-1.18145,0.458709,-0.719085,-1.09456,-0.17449,0.588205,-0.500506,1.38447,0.084975,0.902521,2.25046,-0.060008,-0.222011,-0.214945,0.296857,0.626106,-0.753094,-0.074282,0.095976,-0.586428,-0.086735,-0.333963,-0.640661,0.032685,-0.609024,-0.015682,-0.407096,-0.460973,-0.602966,T
-0.521803,-0.76256,-0.955245,-0.584201,-0.647152,-0.677404,-0.542944,-1.02369,-0.534178,-0.24752,-0.261331,-0.577604,-0.550643,-0.9869,-0.07306,-0.408144,-0.675489,-1.01676,-0.279364,-0.651577,-0.423158,-1.19795,-0.206691,-0.248509,-0.14576,-0.590074,-0.839258,-0.461351,-0.4709,0.752503,-0.600293,1.11965,1.97658,-0.628738,-0.055506,1.05595,0.355072,-0.582824,0.499559,-0.545367,-0.763879,-0.49719,1.26688,-0.251129,-0.547112,-0.025511,-0.681968,0.440547,1.42163,-0.460853,-0.764888,-0.781879,0.222504,-0.77027,-0.437657,0.261995,1.92858,-0.35427,0.715366,0.09838,-0.530793,-0.742128,2.0269,-0.509378,-0.207828,0.33642,-0.529302,-0.501198,1.39324,0.120645,-0.369464,-0.828438,0.23464,-0.45636,-1.15779,0.120366,-0.131675,-0.773549,0.391863,0.083379,0.150246,-0.334498,-0.819822,-0.501853,0.070197,0.642716,-0.450356,-0.925785,0.18139,0.259018,0.371007,-0.63752,-0.261406,0.776581,-0.569521,-0.429703,-0.303408,-0.202013,-0.548713,-0.196328,T
-0.514842,-0.922927,-1.04071,-0.586408,-1.04486,-0.27135,-0.640702,-0.446094,-0.563624,-1.2218,0.523796,-0.664502,-0.493004,-0.441669,-0.368266,-0.322111,-0.646943,-1.00981,1.24468,-0.397245,-1.07833,0.084071,-0.360325,0.500426,0.023765,-0.36474,0.499784,-0.42548,-0.4335,0.412889,1.12953,0.147174,-0.708179,-0.406691,1.18704,-0.420616,0.104674,-0.918197,1.50699,-0.601558,-0.853087,0.339516,-0.173667,1.11639,-0.614343,-0.809659,-0.726111,0.657472,-0.008484,-0.67875,-0.115038,-0.742385,0.76367,-1.02776,-0.47061,0.67312,1.35509,-0.452848,1.04194,-0.555058,-0.606329,-1.14343,1.5362,-0.03371,-0.561982,-0.857923,-0.556014,-0.650297,0.037152,-0.734989,-0.55601,-0.688359,0.530129,-0.217515,-0.920887,-1.13439,0.086731,-0.680237,1.04644,0.241375,-0.231168,0.184719,-1.46307,-0.461255,0.633071,1.08006,-0.373672,-0.97397,-0.835434,0.369998,1.51397,0.488812,0.430419,2.21734,-0.240342,-1.09438,2.58426,0.583286,-0.205669,-0.976082,T
-0.731869,-1.01329,-0.876502,-0.515508,-0.801062,-0.892837,-0.844228,-0.320043,-0.552197,0.089708,-0.655545,-0.578807,-0.531316,-0.329927,-0.143726,-0.361603,-1.11035,-0.292032,0.235613,-0.405459,0.117503,1.01872,1.65138,-0.686479,-1.51679,-0.270796,-1.31274,-0.505942,-0.601477,-0.856522,0.292861,-0.883807,-0.885639,-0.328597,0.249824,1.74458,1.42984,-0.817843,-0.692213,-1.01919,0.45333,0.887558,-0.683127,-0.273866,-0.882109,-0.929476,-0.041007,2.0613,-0.420048,0.507785,-1.22212,-0.622175,1.37169,-0.924945,-0.482132,-0.985417,-0.585031,-0.903485,0.010913,-2.0953,-0.53266,0.044383,-1.06202,3.06478,-0.129091,0.929859,-0.741275,-0.375512,-1.55033,-0.836267,-0.381637,-1.23604,0.436035,-1.0817,0.520578,-0.26254,1.17427,-0.022168,2.65415,-0.120144,2.54297,3.79036,-0.768199,-0.631812,-0.240493,0.506947,1.01262,1.77464,-1.24958,-0.315278,-0.039684,-0.466548,-0.587163,-0.551829,-0.236865,0.870029,0.850364,2.06456,-0.554669,0.150498,T
-0.591766,-0.505337,-0.730224,-0.459045,-0.719518,-0.516725,-0.804795,-0.620419,-0.458701,-0.906874,-0.146853,-0.484019,-0.485352,-0.934018,-0.431831,-0.538567,-0.375318,-0.481535,0.55054,-0.382855,-0.682096,0.372122,1.55228,-0.219165,-0.698552,-0.321957,-0.41124,-0.361058,-0.167609,-0.748752,-1.2572,-0.99297,-0.880344,-0.497318,-0.697631,0.902733,-0.16876,-0.392778,-0.311098,-0.774157,-0.338532,-0.956744,0.242223,-0.356672,-1.39689,-1.33663,-0.588377,0.987127,-0.837245,0.658408,-1.07079,-0.674885,-0.115316,-0.328097,-0.479704,-0.867781,0.465251,-0.271975,-0.571525,-0.525834,-0.255067,0.138508,-1.05728,0.89052,-0.647488,0.323047,-0.573591,-0.694954,-0.058843,-0.659621,-0.419566,-0.940772,0.562529,-0.706229,-0.821737,-0.640786,-0.574951,-0.657551,1.55967,-1.19432,0.70502,2.32742,-0.301704,-0.433134,-0.525513,-0.496381,0.66546,-0.427131,-0.431444,-1.1721,-0.801339,-0.52775,-0.128967,-0.618306,-0.394601,-0.695125,-0.526256,1.54858,-0.416296,0.085769,T
