Attr3252,Attr4847,Attr4196,Attr1882,Attr6041,Attr1834,Attr1745,Attr2111,Attr1779,Attr1829,Attr3320,Attr2288,Attr6201,Attr1674,Attr2121,Attr2402,Attr6919,Attr4366,Attr6005,Attr6806,class
-0.724608,-0.661837,-1.05983,-0.504374,0.036936,-0.457315,-0.590146,-0.997159,-0.527772,-0.714318,-0.220595,-0.587803,-0.532485,-0.831279,-0.604218,-0.423939,-0.729239,-0.631178,-0.914758,-0.748313,T
-0.589524,-0.667077,0.008703,-0.327348,-0.577946,-0.851959,-0.280799,1.10518,-0.540885,-0.192467,-0.408508,-0.514951,0.382085,1.04445,-0.293615,-0.50399,-0.484845,-0.221208,-0.049944,-0.151483,T
-0.640081,-0.6691,-0.986148,-0.516731,-0.80118,-0.393879,-0.96515,-1.28755,-0.554255,-0.877052,-0.015344,-0.610309,-0.543186,-0.796445,-0.121384,-0.354506,-0.652163,-0.474006,-0.070474,-0.437522,T
-0.58836,-0.383181,-0.966607,-0.604415,-0.328328,-0.266203,0.184016,-0.860332,-0.537684,-0.349703,-0.423074,-0.591665,-0.54047,-0.56639,-0.712532,-0.399844,-0.662902,-0.933657,-0.133764,-0.561231,T
-0.657389,-0.420005,1.57688,-0.577211,-0.252778,-0.188082,-0.184782,-0.20985,-0.380975,0.069398,-0.546663,-0.413875,-0.582557,-0.265192,-0.692148,-0.402617,0.226273,0.04837,-1.32989,-0.067157,T
-0.595599,-0.626451,-0.884298,-0.339436,-0.610114,-0.653673,-0.535866,-1.26471,-0.500839,-0.732004,-0.527014,-0.469759,-0.53431,-0.767445,-0.43353,-0.392244,-0.157987,-0.438063,-0.341953,0.040487,T
-0.521803,-0.76256,-0.955245,-0.584201,-0.647152,-0.677404,-0.542944,-1.02369,-0.534178,-0.24752,-0.261331,-0.577604,-0.550643,-0.9869,-0.07306,-0.408144,-0.675489,-1.01676,-0.279364,-0.651577,T
-0.514842,-0.922927,-1.04071,-0.586408,-1.04486,-0.27135,-0.640702,-0.446094,-0.563624,-1.2218,0.523796,-0.664502,-0.493004,-0.441669,-0.368266,-0.322111,-0.646943,-1.00981,1.24468,-0.397245,T
-0.731869,-1.01329,-0.876502,-0.515508,-0.801062,-0.892837,-0.844228,-0.320043,-0.552197,0.089708,-0.655545,-0.578807,-0.531316,-0.329927,-0.143726,-0.361603,-1.11035,-0.292032,0.235613,-0.405459,T
-0.591766,-0.505337,-0.730224,-0.459045,-0.719518,-0.516725,-0.804795,-0.620419,-0.458701,-0.906874,-0.146853,-0.484019,-0.485352,-0.934018,-0.431831,-0.538567,-0.375318,-0.481535,0.55054,-0.382855,T
-0.601857,-0.839667,-0.656524,-0.618261,-0.782856,-0.663117,-1.00243,0.029994,-0.526945,-0.874858,-0.868556,-0.52951,-0.349304,-0.776495,-0.594995,-0.431634,-0.575177,-0.701095,-0.471483,-0.664264,T
-0.518583,-0.493653,0.753624,-0.511291,-0.735316,-0.013173,-0.324408,-0.648971,-0.259542,-0.385489,-0.532135,-0.435433,0.150087,0.887808,-0.405045,-0.306158,-0.481914,0.209987,0.313724,0.329881,T
-0.720782,-0.409749,-0.297429,-0.580581,-0.354607,-0.768085,-0.740875,-0.375565,-0.536069,-0.902743,-0.820459,-0.534376,-0.579023,-0.731158,-0.885089,-0.541266,-0.892798,-0.696828,-0.060869,-0.895565,T
0.538875,-0.617624,-0.259428,-0.410996,-0.571094,-0.701584,-0.275049,-0.956952,-0.517813,0.338396,-0.588769,-0.533214,-0.576365,0.428941,-0.247696,-0.416659,-0.574429,0.108935,-0.803224,0.133964,T
-0.757284,-0.299676,-0.416874,-0.55176,-0.666509,-0.969667,0.006577,-0.604931,-0.486394,-0.378008,-1.09896,-0.564679,-0.59817,-0.372833,-0.399029,-0.481846,-0.82761,-0.502092,-0.356659,-0.742285,T
-0.698955,-0.300419,-0.68444,-0.548036,-0.876255,-0.533595,-0.662256,-1.2341,0.080182,-0.725963,-0.602,-0.519515,-0.584944,-1.14633,-0.399118,-0.475932,-0.45318,-0.872116,-1.26154,-0.719272,T
2.91627,-0.363784,-0.781816,-0.509996,1.59733,-0.622442,-0.520509,0.279492,-0.322968,-0.013585,0.36678,-0.561379,-0.560959,0.194485,0.357167,-0.577168,0.277198,1.0839,-0.335061,-0.715427,T
-0.539429,-0.546299,-0.659833,-0.539016,-0.766067,-0.52521,-0.218304,-1.21773,-0.489017,-0.608499,-0.438071,-0.492221,-0.55335,-0.07089,-0.867082,-0.575827,-0.640338,-0.298506,-1.39263,-0.399403,T
-0.662931,-0.404501,-0.555679,-0.577883,-0.699016,-0.507337,-0.926554,-0.939195,-0.438579,-0.735121,0.12718,-0.505214,-0.592175,-0.994,-0.598722,-0.543318,-0.642248,-0.824183,-0.514596,-0.634738,T
-0.91946,-0.509802,-1.12692,-0.559032,-0.507527,-1.12954,-0.603061,0.152384,-0.510095,0.213297,-1.01444,-0.565584,-0.611622,0.278615,-0.458318,-0.730848,-1.0902,-1.12297,-1.14815,-0.740895,T
-0.571671,-0.738108,-0.464792,-0.559726,-0.63401,-0.499303,-0.363448,-0.305829,-0.527055,-0.473473,-1.09464,-0.504714,-0.554074,-1.30868,-0.943521,-0.488763,-0.78147,-0.951287,0.101955,-0.727302,T
-0.655169,-0.693239,-0.953811,-0.554978,-0.673985,-0.481429,-0.592765,0.291351,-0.505859,-0.804491,-0.473055,-0.532166,-0.532875,-0.719519,-0.755386,-0.422369,-0.538584,-0.860831,-0.028861,-0.614326,T
-0.525202,-0.83004,-1.01361,-0.460224,-0.633928,-0.506903,-0.902299,-1.06233,-0.519131,-0.797645,-0.6119,-0.536753,-0.543722,-1.14548,-0.624085,-0.338051,-0.758917,-0.750107,-0.773698,-0.434432,T
-0.696862,-0.714273,-0.543013,-0.597168,-0.521962,-0.852195,-0.397372,-0.617924,-0.527181,-0.482278,-0.557627,-0.577855,-0.562868,-0.760499,-0.651686,-0.437027,-0.500471,-0.425336,-0.345895,-0.886703,T
-0.573825,-0.378206,0.154108,-0.587216,-0.837986,-0.441783,-0.938278,-0.866369,-0.501847,-0.712194,-0.140593,-0.535705,1.17053,0.461165,-0.619613,-0.466415,-0.675172,-0.668463,-1.04228,-0.747383,T
-0.626539,-0.548824,-0.49244,-0.540056,-0.362371,-0.675491,-0.668186,-0.669669,-0.495368,-0.693172,-0.596864,-0.500713,-0.553711,-0.959499,-0.626244,-0.553718,-0.550049,-0.301115,-1.06608,-0.771587,T
-0.411325,-1.16331,-0.966071,-0.524403,-0.857564,-0.501368,-0.218739,-1.7159,-0.524553,-0.624706,0.132343,-0.566986,-0.537857,-1.06942,-0.271557,-0.506723,-0.603527,-1.35948,-0.650847,-0.290006,T
-0.503443,0.497135,1.50277,-0.371543,0.0346,-0.346055,-0.185924,0.808576,-0.464909,-0.105826,0.34363,-0.501987,2.25285,1.00248,0.481295,-0.471322,-0.630242,-0.342864,-0.526339,-0.353414,F
0.742518,1.27334,1.91828,0.694847,0.77855,0.47705,0.82956,-0.014928,-0.147408,0.301377,1.65205,1.50405,0.014045,0.094781,-0.12037,2.88258,2.22832,1.42557,-0.141229,0.304145,F
0.816265,2.72645,2.37374,1.86081,2.26823,1.38622,2.33883,1.47299,-0.482174,3.38292,2.8127,1.57243,0.562428,1.13347,2.13626,1.07148,0.742311,1.27604,2.57974,0.895899,F
2.02431,0.135378,0.86303,0.722325,-0.159089,2.19653,0.386286,1.43911,1.33788,1.50985,2.06646,0.956275,-0.189243,0.279085,0.682255,0.792867,1.0335,0.220833,1.4663,1.36682,F
-0.554628,1.12828,-0.041503,1.57609,0.654375,0.702878,2.47668,2.30327,-0.50119,0.697623,1.42912,-0.453719,1.76387,1.38522,1.71373,-0.398749,-0.188887,-0.326981,0.519746,0.734005,F
1.29628,1.16473,1.7167,0.051335,2.00265,-0.144185,3.0448,-0.107399,0.746826,-0.353458,-0.082864,0.06531,3.21405,1.66652,-0.145003,0.111165,0.682635,1.23703,1.51926,2.70527,F
2.07794,0.98079,1.76655,-0.27943,-0.041588,2.4218,1.24055,1.41661,0.635857,1.87495,1.37983,0.957302,0.936433,0.310104,1.06972,1.78356,0.428326,0.308542,0.483193,0.31776,F
0.95268,-0.120407,0.132511,-0.274433,0.063101,1.09006,0.099875,-0.603539,2.07699,1.24246,1.13572,-0.538242,-0.526202,-0.468096,0.40768,-0.327416,0.064933,-0.089933,0.634923,-0.205703,F
1.57582,1.78795,2.06189,2.24999,2.88898,0.886895,2.17538,2.2572,-0.240822,2.96686,2.71834,0.71308,2.27509,1.90358,3.23413,0.664935,3.75562,1.66038,3.05543,3.17302,F
0.175134,0.662496,1.57141,1.64813,1.10223,-0.136808,1.99015,1.73025,-0.375154,1.02071,1.32334,1.4019,2.85011,1.5892,1.50441,1.06047,2.47359,-0.079584,0.571064,2.66895,F
0.034248,0.175474,-0.680418,-0.265099,-0.15696,-0.313818,0.012757,1.66705,0.395664,-0.522802,1.15398,-0.025924,1.25153,1.50397,-0.289541,-0.105446,-0.64256,-0.069896,1.81203,-0.430903,F
-0.521302,-0.678959,-1.07345,-0.55166,-0.884147,-0.454162,-0.742778,-0.08454,-0.439346,-1.18953,-0.20545,-0.557649,-0.441835,-0.751694,-0.787464,-0.442222,-0.325499,-0.714395,-0.436526,-0.660291,T
-0.521593,-0.70825,-0.635742,-0.525482,-0.599274,-0.206977,0.185797,-1.01471,-0.524474,-0.934008,-0.224616,-0.622066,-0.53522,-1.17837,-0.73042,-0.395806,-0.452005,-0.469568,0.899021,-0.736824,T
-0.591709,-0.634837,-0.683167,-0.565077,-0.469493,-0.687658,-0.296047,-0.568437,-0.517424,-0.291481,-1.03587,-0.501822,-0.579,-0.983958,-0.667881,-0.4261,-0.65463,-0.562598,-0.808322,-0.544353,T
-0.6624,-0.754648,-0.745284,-0.504106,-0.238905,-0.575608,-0.656541,0.477933,-0.359711,-0.796541,-1.54256,-0.515076,-0.393213,-0.044556,-0.727262,-0.495155,-0.236948,-0.305294,-0.47286,-0.128035,T
-0.395312,-0.796828,1.18128,-0.551662,-0.715326,-0.572572,-0.632491,-0.834268,-0.321522,-0.235699,-0.76261,-0.49018,-0.555313,-0.364919,-0.572736,-0.174286,0.458195,-0.466497,-0.198943,0.350316,T
