Attr3252,Attr4847,Attr4196,Attr1882,Attr6041,Attr1834,Attr1745,Attr2111,Attr1779,Attr1829,Attr3320,Attr2288,Attr6201,Attr1674,Attr2121,Attr2402,Attr6919,Attr4366,Attr6005,Attr6806,Attr2363,Attr4951,Attr6281,Attr2020,Attr235,Attr6803,Attr1260,Attr760,Attr2546,Attr2642,Attr4973,Attr6225,Attr4052,Attr6797,Attr6855,Attr4328,Attr2354,Attr1249,Attr4653,Attr4229,Attr6967,Attr3183,Attr3847,Attr6373,Attr1291,Attr4936,Attr6185,Attr804,Attr2739,Attr1239,Attr5833,Attr4377,Attr2441,Attr2063,Attr6200,Attr2335,Attr6184,Attr3258,Attr6561,Attr461,Attr922,Attr5683,Attr3714,Attr4291,Attr6376,Attr5637,Attr4107,Attr2186,Attr1598,Attr1400,Attr4373,Attr1615,Attr4167,Attr6539,Attr1369,Attr157,Attr6584,Attr1394,Attr1928,Attr4389,Attr490,Attr1144,Attr2242,Attr6405,Attr6347,Attr5772,Attr3469,Attr5280,Attr173,Attr6847,Attr5501,Attr1685,Attr88,Attr5552,Attr1157,Attr343,Attr6761,Attr283,Attr2043,Attr4188,Attr3605,Attr6169,Attr6362,Attr6283,Attr758,Attr2439,Attr5231,Attr3631,Attr4006,Attr900,Attr6516,Attr2141,Attr3012,Attr1962,Attr2001,Attr1376,Attr2475,Attr1241,Attr3722,Attr3674,Attr450,Attr6209,Attr2084,Attr6271,Attr5794,Attr4535,Attr4499,Attr400,Attr4823,Attr3984,Attr2655,Attr6179,Attr6215,Attr6378,Attr878,Attr4723,Attr2250,Attr3338,Attr4137,Attr532,Attr4141,Attr3004,Attr3189,Attr4644,Attr350,Attr5808,Attr1630,Attr4932,Attr6644,Attr3932,Attr4116,Attr6974,Attr1953,Attr4069,Attr1725,Attr6922,Attr6515,Attr4582,Attr7119,Attr4697,Attr6314,Attr6677,Attr3975,Attr7001,Attr3507,Attr4461,Attr1078,Attr4801,Attr770,Attr4438,Attr2422,Attr5955,Attr3784,Attr2348,Attr4748,Attr2349,Attr1976,Attr1380,Attr1092,Attr4091,Attr6702,Attr2659,Attr2855,Attr6990,Attr2909,Attr1081,Attr2181,Attr4318,Attr5373,Attr98,Attr6613,Attr5122,Attr3030,Attr5560,Attr4480,Attr6388,Attr1334,Attr5171,Attr3359,Attr5087,class
-0.724608,-0.661837,-1.05983,-0.504374,0.036936,-0.457315,-0.590146,-0.997159,-0.527772,-0.714318,-0.220595,-0.587803,-0.532485,-0.831279,-0.604218,-0.423939,-0.729239,-0.631178,-0.914758,-0.748313,-0.944004,-0.936091,0.749782,-0.71722,-1.07082,-0.848447,-1.58663,-0.452677,-0.502294,2.29205,1.1624,1.78781,-0.5894,-0.680772,0.392286,0.014207,0.756351,-0.878335,0.182606,-0.738373,-0.828451,-0.194411,0.016964,-0.094701,-0.399007,-0.412967,-0.740211,0.541643,0.079026,0.321755,-1.28953,-0.49319,0.118397,-0.38816,-0.409105,0.911073,0.408718,-0.575296,0.049609,-1.03009,-0.490516,0.351367,-0.543627,0.650962,-0.639621,-0.60562,-0.549095,-0.794096,-1.14667,-0.249485,-0.522085,-1.2884,1.61509,-0.809134,-1.23982,-0.004245,0.561964,-0.544772,0.84065,1.35418,1.33268,-0.000996,-1.3708,-0.678444,2.41914,0.282473,-0.290697,-0.914786,-1.01935,0.046669,2.75874,0.254709,-0.861864,1.28494,-0.570021,-0.92918,2.58992,0.051897,-0.631272,-0.850796,-0.470329,-0.234736,-0.616367,1.82346,-0.033707,1.20838,0.464352,-1.0887,-0.395939,-0.229619,0.373159,-0.836825,-0.887425,0.257098,-0.717085,-0.251957,0.942682,0.171554,0.395646,-1.04416,-0.059039,0.147258,0.468976,-0.336874,-0.39416,0.69701,-0.175085,0.282783,1.39516,0.604838,-0.644698,-1.45622,-0.389158,-0.538991,-0.211529,-1.18984,-0.809527,-0.309946,-0.937112,-0.686294,-0.841912,-0.985834,-0.904732,-0.256592,-0.353199,-0.616433,-0.296631,-0.80581,-0.651179,-0.386352,-1.47009,1.11147,-0.448956,0.733655,-1.22358,0.507921,-0.16439,1.50972,1.08633,-2.91053,-0.626842,-0.378033,0.338385,0.382195,-0.173663,-0.351598,1.10637,0.397016,-1.49076,0.850178,-0.182159,-0.974979,-0.557205,0.381856,-1.35459,-0.429964,-0.466944,0.87092,-0.464824,-1.81396,0.301054,-0.100537,1.32114,-0.123128,0.74152,-0.047672,-0.358844,0.44315,-0.161752,-0.897582,0.118533,0.219849,-0.227019,-0.461414,0.73463,0.739625,0.259039,3.52169,0.059467,1.76245,T
-0.589524,-0.667077,0.008703,-0.327348,-0.577946,-0.851959,-0.280799,1.10518,-0.540885,-0.192467,-0.408508,-0.514951,0.382085,1.04445,-0.293615,-0.50399,-0.484845,-0.221208,-0.049944,-0.151483,-0.086804,0.514732,-0.099772,0.322441,-0.687197,0.056059,-0.572685,-0.249236,-0.617485,-0.678366,-0.208466,-0.859096,-0.465831,0.245112,-0.251822,0.075228,-0.210373,0.554962,-0.193466,-0.039015,0.033647,-0.093982,-0.869876,0.018324,-0.10279,-0.140462,0.24075,-0.079822,-1.2978,0.952236,0.179843,-0.441591,0.416925,-0.643596,0.055985,-0.905884,-0.163314,-0.587984,-0.838236,-0.567175,0.412081,1.751,-0.557562,0.789463,-0.197157,-0.255953,-0.493797,0.134148,-1.09971,0.112272,-0.305015,0.086099,-0.284158,-0.807527,0.651247,-0.410461,-0.625366,0.483084,0.069,-1.02625,2.3862,0.534197,-0.375421,-0.319136,-0.835864,-0.812226,0.27248,-0.490993,-0.066287,-0.951474,-0.578533,-0.353399,0.510149,-0.136673,0.218466,-0.432573,1.36566,0.50112,0.422411,-0.122138,0.579766,-0.448775,-0.396038,-0.160631,-0.720623,-0.676527,0.699335,-0.28155,-0.585031,-0.881214,0.374021,0.057659,-0.886608,0.030359,-0.951796,-0.328061,2.32907,-0.605296,0.458706,-0.23032,-0.407313,-0.276671,-0.95917,-0.558735,-0.573817,0.291513,-0.554135,-0.90254,0.825447,0.382418,-0.715908,-0.477633,-0.408356,-0.219075,0.078485,0.538251,0.9536,-0.583607,-0.837737,1.47356,-0.429567,-0.233726,-0.675434,-0.665799,-0.058317,-0.652477,3.03609,0.378065,-0.333976,1.00094,-0.560274,-1.12097,-0.04748,0.189955,-0.677257,-0.875206,-0.228593,-1.02484,-0.593272,0.013953,-0.283347,-0.672324,2.96672,-0.291502,0.760261,-0.183603,-0.75546,0.28115,0.343471,-0.133839,-1.04771,0.482482,-0.566469,0.353587,-0.130204,-0.275462,-1.14054,0.23518,0.316874,-0.504741,-0.427206,-0.196209,-0.625718,0.773466,0.374149,-0.675919,-0.732482,-0.747864,-0.712451,0.660157,0.724959,-0.064697,0.042083,-0.581993,-0.799731,1.08419,-1.50017,-0.740634,0.564431,0.025594,T
-0.640081,-0.6691,-0.986148,-0.516731,-0.80118,-0.393879,-0.96515,-1.28755,-0.554255,-0.877052,-0.015344,-0.610309,-0.543186,-0.796445,-0.121384,-0.354506,-0.652163,-0.474006,-0.070474,-0.437522,-0.971744,-0.261234,0.322379,0.306202,-1.26812,-0.122842,-1.55987,-0.43541,-0.746725,-0.766407,-1.16287,-0.5315,-0.751157,-0.149671,-0.625058,1.86589,0.636029,-0.941097,1.03128,-1.45801,-0.744678,-0.177073,0.722164,-0.001,-1.7503,-1.46233,-0.35483,1.49521,0.766965,1.17105,-0.974438,-0.988918,2.55084,-0.942728,-0.49866,-1.24427,0.845823,-0.539666,0.030975,-1.29619,-0.587689,-0.996192,-0.538032,1.78329,-0.762253,0.077281,-0.718251,-0.659566,-0.645477,-0.37343,-0.557673,-1.00029,1.4705,-1.02298,-0.3672,0.129627,0.317595,-0.418671,2.88487,-0.509649,2.27833,2.02583,-1.14275,-0.511454,0.253612,0.831413,1.61841,-1.04312,-1.27169,0.259483,-0.040387,0.001566,-0.36956,-0.360165,-0.438973,-0.608717,1.11437,1.00915,-0.583152,0.450212,0.238888,-1.08872,-0.555932,0.769729,-0.587974,-0.161472,2.13364,-0.594334,-0.035261,0.105417,1.31714,-0.712104,-1.15558,-0.813048,-0.610179,-0.715139,1.77538,1.31467,0.316182,0.776907,1.04978,0.522554,0.138684,-0.292241,-0.062773,1.65528,-0.307837,-0.898393,3.01559,-1.25366,0.484663,-0.400372,0.014497,-0.644008,-0.012351,2.58716,-0.741618,1.38122,-1.50725,1.62173,-0.79479,-0.188677,-0.850655,-0.571144,0.651179,-0.368873,2.7557,-0.638613,-0.558953,0.035238,-1.14739,-0.072153,-0.382233,-0.835358,-1.53185,-0.444066,0.314287,1.00479,-0.407801,-1.38727,-1.17614,0.50425,-0.162819,-0.744033,-0.257373,-0.882064,-0.857191,1.03794,-1.66695,0.05545,-0.590587,1.13176,0.49627,1.89068,-0.56326,-0.485869,-0.718835,0.137396,-0.545354,-1.42776,-0.015297,0.939429,-0.127922,-1.45256,1.76511,-0.32847,0.06022,-0.937627,0.366143,-0.068936,0.244734,0.629318,-0.231608,0.589836,-0.521614,2.18138,1.08477,-0.938148,0.713179,1.27892,T
-0.58836,-0.383181,-0.966607,-0.604415,-0.328328,-0.266203,0.184016,-0.860332,-0.537684,-0.349703,-0.423074,-0.591665,-0.54047,-0.56639,-0.712532,-0.399844,-0.662902,-0.933657,-0.133764,-0.561231,-0.449502,-0.640638,0.379488,-0.147056,-0.155497,-0.550678,-1.2317,-0.464159,-0.52584,0.850271,0.875066,0.808159,-0.265795,-0.593958,0.828586,0.355135,0.971302,-0.725997,0.074797,-0.387676,-0.748538,-0.517994,0.220859,-0.202895,-0.37199,-0.048122,-0.722768,-0.012533,0.527872,0.068475,-1.27459,-0.709168,1.30552,-0.649528,-0.476836,0.550132,0.509054,-0.515515,0.518655,0.725774,-0.741784,-0.864513,1.0743,-0.155342,-0.464914,0.40269,-0.344317,-0.640495,-0.696667,-0.467532,-0.571177,-1.13551,0.045091,-0.697492,0.131387,0.296629,-0.395721,-0.834004,0.75934,0.622075,-0.408326,-0.30018,-1.16576,-0.404489,0.396707,1.46889,-0.425122,-1.04332,0.114897,-0.216052,0.628256,-0.335193,-0.275172,0.100043,-0.365621,-0.374186,0.344782,-0.031972,-0.533538,-0.772216,-0.858813,-0.30556,-0.89614,1.39987,1.05672,0.78401,0.235219,-0.182883,-1.18173,-0.493209,0.257927,-0.676671,-0.311491,2.195,-0.702768,-0.55241,0.566363,1.50795,1.61742,-0.646509,-0.539514,0.323251,0.127417,-0.246288,-0.541892,0.266107,0.430651,-0.076736,0.337265,-0.324012,0.59427,-0.467183,-0.195863,-0.536925,1.22264,0.074108,-0.917657,-0.324348,-0.123958,0.690527,-0.566107,0.40164,1.01028,0.320734,0.266541,-0.181905,0.016091,-0.736352,-0.463893,0.289477,-0.924522,1.18555,-0.408272,-0.56632,-0.286191,0.445599,0.537927,0.747843,-0.260879,-0.832636,0.296508,0.207107,-1.05453,0.056792,-0.121629,-0.219574,1.44707,1.53233,-0.396908,-0.139817,0.801602,0.201546,-0.226615,0.607746,-0.472886,-0.360819,-0.348116,-0.71293,-0.42298,-0.757252,1.26201,-0.346025,0.372525,-0.417897,0.401016,-0.133029,-0.270584,0.813771,-0.14688,0.145099,0.872042,-0.123328,0.573303,-0.257398,-0.516345,0.134133,-0.669738,-0.171251,0.277404,0.622835,T
-0.657389,-0.420005,1.57688,-0.577211,-0.252778,-0.188082,-0.184782,-0.20985,-0.380975,0.069398,-0.546663,-0.413875,-0.582557,-0.265192,-0.692148,-0.402617,0.226273,0.04837,-1.32989,-0.067157,0.426057,-0.673621,0.849345,-0.644055,-0.489387,-0.066341,-1.14576,-0.371676,-0.02645,0.813373,1.4909,0.524012,-0.138044,0.024584,0.304736,0.910636,0.121598,0.291625,-0.211152,0.025053,-0.252114,0.275484,-0.899909,-0.937002,0.138579,0.08732,-0.426334,-0.395435,-0.633602,0.870425,-0.148384,0.72038,1.04754,-0.356452,-0.457344,1.39083,0.337293,-0.320473,-1.29311,-0.818553,-0.364942,-0.937344,-0.39823,1.8694,-0.348136,-0.533116,-0.272866,-0.896591,-0.242067,0.282486,-0.219875,0.069189,1.14466,-0.623797,-0.130113,-0.608296,-1.26499,-0.710571,0.517995,2.38832,-0.119112,-0.242407,-0.284379,-0.746973,0.413373,0.385429,-0.95078,0.219896,0.057636,-1.19025,0.165758,-0.250934,-0.829459,0.744408,-0.301396,0.689937,-0.606726,0.69981,-0.461198,-0.484763,-0.470116,-1.19203,-0.564096,-0.015983,0.451111,0.551514,0.593027,-0.005622,0.30215,-0.71482,1.19612,0.104038,0.453441,1.67664,-1.07185,-0.568239,0.690569,1.85895,1.05542,2.33849,1.1192,0.605936,1.55948,-0.266892,-0.443774,0.591033,-0.690236,0.983463,0.328111,1.15504,-0.811272,0.438288,-0.520301,-0.232275,1.78795,1.90565,0.039369,0.447949,0.736004,0.975054,-0.638305,-0.232172,-0.727661,0.109289,-0.768588,-0.622937,-0.230844,0.203227,0.504105,1.08298,0.130424,0.248738,-0.276362,0.141512,-0.231066,-0.166535,0.035921,1.08073,-0.576936,-1.28273,-0.132798,-1.38768,0.082963,-0.923089,2.31603,-0.226418,1.94988,1.75346,0.026507,-0.099972,0.044563,-0.417815,1.87241,1.74022,0.883365,-0.43415,-0.717959,-0.146209,0.023592,-0.203912,0.818949,-1.11338,0.596842,0.713022,1.31618,1.10535,-0.416919,0.295554,-0.742377,-0.341082,0.252335,-0.664488,-1.17659,-0.858834,-0.653463,0.739882,-1.17152,0.238464,0.630409,1.56086,T
-0.595599,-0.626451,-0.884298,-0.339436,-0.610114,-0.653673,-0.535866,-1.26471,-0.500839,-0.732004,-0.527014,-0.469759,-0.53431,-0.767445,-0.43353,-0.392244,-0.157987,-0.438063,-0.341953,0.040487,-0.896146,-0.091873,0.020094,-0.517678,-0.08669,-0.128933,-0.458886,-0.374136,-0.748703,-0.833752,-0.221841,-0.671317,-0.8255,-0.01604,-0.237115,0.437184,0.012864,-0.926682,0.138656,-1.03305,-0.221612,-0.616846,-0.402788,0.059294,-1.31175,-1.56562,0.227832,0.476815,-0.848471,0.023369,-0.344894,-0.949259,0.600479,-0.659072,-0.450308,-0.816196,1.61161,-0.926414,0.530822,-0.279721,-0.153247,0.308549,-0.542465,0.019048,-0.035539,0.477563,-0.677361,-0.791146,0.228618,-0.762411,-0.395929,-1.18145,0.458709,-0.719085,-1.09456,-0.17449,0.588205,-0.500506,1.38447,0.084975,0.902521,2.25046,-0.060008,-0.222011,-0.214945,0.296857,0.626106,-0.753094,-0.074282,0.095976,-0.586428,-0.086735,-0.333963,-0.640661,0.032685,-0.609024,-0.015682,-0.407096,-0.460973,-0.602966,-0.899105,-0.076605,-0.832288,0.540009,-0.743246,-0.572504,0.945904,-0.142361,1.95455,-0.495792,0.772368,-0.602293,-0.44109,-0.755564,1.79058,-0.919852,-0.277381,0.200839,-0.363514,0.030798,0.046867,-0.134254,-0.046285,-0.246214,-0.032531,0.612547,-0.632782,-0.333241,-0.096856,-0.59709,-0.036213,-0.820671,-0.299403,-0.329173,-0.657761,0.879278,0.180751,-0.341125,-0.314411,-0.419777,-0.75221,-0.419163,-0.327596,-0.777911,-0.222051,-0.239276,1.68673,-1.03441,-1.32643,-0.358628,-0.908584,0.053709,-0.28555,-0.519602,-0.349379,0.855925,0.340386,-0.428725,0.410213,-0.57444,-0.253512,0.481847,0.906835,0.524505,0.262622,-0.848329,-0.897885,0.225317,-1.74348,0.062253,-0.471928,1.25168,0.023979,-0.196026,-0.94092,-0.430412,-0.732789,0.306086,-0.035474,-0.5799,-0.095517,-0.939827,-1.33334,0.157599,-0.198631,-0.186979,0.490283,-0.867598,-0.290975,-0.956331,0.939493,-0.109668,0.407391,0.129541,-0.470946,0.541118,1.32461,-0.43997,0.429398,-0.202484,T
-0.521803,-0.76256,-0.955245,-0.584201,-0.647152,-0.677404,-0.542944,-1.02369,-0.534178,-0.24752,-0.261331,-0.577604,-0.550643,-0.9869,-0.07306,-0.408144,-0.675489,-1.01676,-0.279364,-0.651577,-0.423158,-1.19795,-0.206691,-0.248509,-0.14576,-0.590074,-0.839258,-0.461351,-0.4709,0.752503,-0.600293,1.11965,1.97658,-0.628738,-0.055506,1.05595,0.355072,-0.582824,0.499559,-0.545367,-0.763879,-0.49719,1.26688,-0.251129,-0.547112,-0.025511,-0.681968,0.440547,1.42163,-0.460853,-0.764888,-0.781879,0.222504,-0.77027,-0.437657,0.261995,1.92858,-0.35427,0.715366,0.09838,-0.530793,-0.742128,2.0269,-0.509378,-0.207828,0.33642,-0.529302,-0.501198,1.39324,0.120645,-0.369464,-0.828438,0.23464,-0.45636,-1.15779,0.120366,-0.131675,-0.773549,0.391863,0.083379,0.150246,-0.334498,-0.819822,-0.501853,0.070197,0.642716,-0.450356,-0.925785,0.18139,0.259018,0.371007,-0.63752,-0.261406,0.776581,-0.569521,-0.429703,-0.303408,-0.202013,-0.548713,-0.196328,-0.432142,0.452702,-0.746048,1.09988,-0.210885,-0.084384,0.748911,-0.316653,-0.020824,-0.310891,-1.11291,-0.608965,-0.904241,1.38389,0.779168,-0.313593,-0.704082,0.045152,0.773524,-0.680825,-0.788345,-0.901928,-0.524144,-0.404575,-0.196283,0.664141,-0.044964,0.339004,0.582959,-0.495225,0.733088,-1.00254,-0.163119,-0.454112,-0.200755,-0.818369,-0.534829,-0.482407,-0.327028,-0.076945,-0.443663,0.304795,2.1489,0.277546,-0.139729,-0.319353,-0.639893,-0.868864,-2.4711,0.110695,-0.483188,0.894093,-0.4492,-0.83058,-0.383307,2.0312,0.461691,0.398788,-0.542422,0.233943,-0.306099,0.445676,-0.761985,1.67231,-0.283962,-0.468789,0.83151,1.94165,-0.598853,-0.301676,0.777425,-0.199374,0.159106,0.481772,-0.798621,0.152837,-0.143082,0.665654,-0.389169,-0.968392,-0.213797,0.648195,-0.470464,-0.170974,-0.348778,-0.155799,0.027427,0.579766,0.569577,0.699662,0.02308,0.41103,1.57782,-0.196496,-0.604828,-0.53949,1.94996,-0.525956,-0.453594,-0.165485,T
-0.514842,-0.922927,-1.04071,-0.586408,-1.04486,-0.27135,-0.640702,-0.446094,-0.563624,-1.2218,0.523796,-0.664502,-0.493004,-0.441669,-0.368266,-0.322111,-0.646943,-1.00981,1.24468,-0.397245,-1.07833,0.084071,-0.360325,0.500426,0.023765,-0.36474,0.499784,-0.42548,-0.4335,0.412889,1.12953,0.147174,-0.708179,-0.406691,1.18704,-0.420616,0.104674,-0.918197,1.50699,-0.601558,-0.853087,0.339516,-0.173667,1.11639,-0.614343,-0.809659,-0.726111,0.657472,-0.008484,-0.67875,-0.115038,-0.742385,0.76367,-1.02776,-0.47061,0.67312,1.35509,-0.452848,1.04194,-0.555058,-0.606329,-1.14343,1.5362,-0.03371,-0.561982,-0.857923,-0.556014,-0.650297,0.037152,-0.734989,-0.55601,-0.688359,0.530129,-0.217515,-0.920887,-1.13439,0.086731,-0.680237,1.04644,0.241375,-0.231168,0.184719,-1.46307,-0.461255,0.633071,1.08006,-0.373672,-0.97397,-0.835434,0.369998,1.51397,0.488812,0.430419,2.21734,-0.240342,-1.09438,2.58426,0.583286,-0.205669,-0.976082,-0.448447,1.24546,-0.666708,1.8159,-0.296677,0.427001,0.682832,0.082541,-0.461806,0.351101,-0.544395,-0.509134,-0.784698,-0.06126,-0.112252,-0.868378,-0.104776,0.407154,1.35847,1.25164,-0.492155,0.512147,-0.192143,0.033328,-0.289667,-0.253323,0.711857,-1.08704,0.745416,-0.507879,0.875494,-1.29471,-0.243281,-0.524685,-0.809771,-0.872672,-2.43034,-1.27701,-0.899663,-0.590285,-0.501616,-0.148718,-0.759792,0.20153,1.02493,-0.256286,1.55241,-1.20315,-0.21282,0.249322,-1.66339,0.712789,-0.546489,-1.04367,-0.648075,0.797683,-0.711335,0.839545,-0.490341,0.756778,-1.28661,0.503363,-0.5452,0.448302,-0.030426,-0.817985,1.70741,1.04626,-0.85931,0.121873,0.04035,-0.27977,0.672451,0.489782,-1.74271,-0.404409,-1.25612,-0.744193,-0.688596,-0.299258,0.228739,1.2902,0.388956,-0.4879,0.547004,-1.17709,0.162654,0.565534,0.801988,0.924287,-0.299318,0.675444,0.662349,0.045014,0.321827,-0.444448,0.542967,0.795561,0.469426,0.621654,T
-0.731869,-1.01329,-0.876502,-0.515508,-0.801062,-0.892837,-0.844228,-0.320043,-0.552197,0.089708,-0.655545,-0.578807,-0.531316,-0.329927,-0.143726,-0.361603,-1.11035,-0.292032,0.235613,-0.405459,0.117503,1.01872,1.65138,-0.686479,-1.51679,-0.270796,-1.31274,-0.505942,-0.601477,-0.856522,0.292861,-0.883807,-0.885639,-0.328597,0.249824,1.74458,1.42984,-0.817843,-0.692213,-1.01919,0.45333,0.887558,-0.683127,-0.273866,-0.882109,-0.929476,-0.041007,2.0613,-0.420048,0.507785,-1.22212,-0.622175,1.37169,-0.924945,-0.482132,-0.985417,-0.585031,-0.903485,0.010913,-2.0953,-0.53266,0.044383,-1.06202,3.06478,-0.129091,0.929859,-0.741275,-0.375512,-1.55033,-0.836267,-0.381637,-1.23604,0.436035,-1.0817,0.520578,-0.26254,1.17427,-0.022168,2.65415,-0.120144,2.54297,3.79036,-0.768199,-0.631812,-0.240493,0.506947,1.01262,1.77464,-1.24958,-0.315278,-0.039684,-0.466548,-0.587163,-0.551829,-0.236865,0.870029,0.850364,2.06456,-0.554669,0.150498,-0.767937,-2.33137,-1.10871,-0.45467,-0.80018,-0.74091,2.56273,-1.15094,-1.50744,-1.036,1.88602,-0.160385,0.14657,-0.000159,-1.54875,-0.85971,2.34545,1.45713,0.093724,0.783377,0.127135,0.646504,0.175726,-0.555242,-0.092763,3.22164,-0.537843,0.612662,1.60646,0.978876,-0.349417,0.817557,-0.509949,-0.461614,1.25153,2.49164,0.466203,1.39024,-1.24193,0.860772,-0.757159,0.752709,-0.885521,-1.1783,-0.255941,-0.445821,2.05148,1.55746,-1.68309,2.59784,0.464489,-1.13749,-0.36968,-0.084909,-1.48604,-1.28584,1.47185,0.176066,0.960384,-1.0088,-0.388836,0.223085,2.42132,-1.12385,0.009323,-0.292241,-0.227973,1.64616,-0.092147,-0.795143,-1.14822,0.683017,0.544727,2.10812,0.468023,-0.493817,-0.406597,2.57624,-0.363211,-0.692611,0.688049,-0.193913,-0.599084,-0.240064,1.06646,1.00983,-0.718671,-0.892308,-1.30365,-1.19069,0.631116,0.043792,-0.338211,-0.21609,-0.499624,2.0505,-1.45518,-0.880348,-0.230406,2.15338,T
-0.591766,-0.505337,-0.730224,-0.459045,-0.719518,-0.516725,-0.804795,-0.620419,-0.458701,-0.906874,-0.146853,-0.484019,-0.485352,-0.934018,-0.431831,-0.538567,-0.375318,-0.481535,0.55054,-0.382855,-0.682096,0.372122,1.55228,-0.219165,-0.698552,-0.321957,-0.41124,-0.361058,-0.167609,-0.748752,-1.2572,-0.99297,-0.880344,-0.497318,-0.697631,0.902733,-0.16876,-0.392778,-0.311098,-0.774157,-0.338532,-0.956744,0.242223,-0.356672,-1.39689,-1.33663,-0.588377,0.987127,-0.837245,0.658408,-1.07079,-0.674885,-0.115316,-0.328097,-0.479704,-0.867781,0.465251,-0.271975,-0.571525,-0.525834,-0.255067,0.138508,-1.05728,0.89052,-0.647488,0.323047,-0.573591,-0.694954,-0.058843,-0.659621,-0.419566,-0.940772,0.562529,-0.706229,-0.821737,-0.640786,-0.574951,-0.657551,1.55967,-1.19432,0.70502,2.32742,-0.301704,-0.433134,-0.525513,-0.496381,0.66546,-0.427131,-0.431444,-1.1721,-0.801339,-0.52775,-0.128967,-0.618306,-0.394601,-0.695125,-0.526256,1.54858,-0.416296,0.085769,-0.236723,-0.74084,-0.596829,0.376796,-0.630777,-0.708906,1.04403,-0.654389,0.188313,-0.39551,0.958138,-0.844339,-0.291167,-0.608021,0.159884,-0.105865,-0.097911,0.212567,-0.997923,-0.77708,-0.367189,1.13427,-0.26208,-0.200924,0.222845,0.25642,-0.227529,0.536188,0.877996,-0.400126,0.224742,0.269463,-0.337565,-0.341825,1.83067,1.6548,-0.438549,0.211806,-0.183065,0.201513,-0.315198,-0.123421,-0.50517,-0.320398,-0.903707,-0.365513,0.282944,-0.721876,0.00946,2.07222,0.823395,-0.817558,-0.387043,-0.58696,-0.460394,-0.320072,0.489464,-0.659444,-0.245852,0.374761,0.059671,-0.335993,1.31505,0.031556,-0.079502,-0.483641,-1.04618,0.538592,-1.38832,-0.239055,-0.337743,-0.312206,-0.902844,-0.288983,-0.414792,-0.48109,-1.08914,-0.070134,-0.386549,0.022563,-0.666116,-0.815017,-0.170634,1.26913,-0.393849,-0.36013,-0.515941,-0.87373,-0.691033,-0.374891,-0.195544,-0.33219,-0.920564,-0.283874,1.76689,0.551495,0.111654,-0.593287,-0.067104,-0.342527,T
