Attr3252,Attr4847,Attr4196,Attr1882,Attr6041,Attr1834,Attr1745,Attr2111,Attr1779,Attr1829,Attr3320,Attr2288,Attr6201,Attr1674,Attr2121,Attr2402,Attr6919,Attr4366,Attr6005,Attr6806,Attr2363,Attr4951,Attr6281,Attr2020,Attr235,Attr6803,Attr1260,Attr760,Attr2546,Attr2642,class
-0.724608,-0.661837,-1.05983,-0.504374,0.036936,-0.457315,-0.590146,-0.997159,-0.527772,-0.714318,-0.220595,-0.587803,-0.532485,-0.831279,-0.604218,-0.423939,-0.729239,-0.631178,-0.914758,-0.748313,-0.944004,-0.936091,0.749782,-0.71722,-1.07082,-0.848447,-1.58663,-0.452677,-0.502294,2.29205,T
-0.589524,-0.667077,0.008703,-0.327348,-0.577946,-0.851959,-0.280799,1.10518,-0.540885,-0.192467,-0.408508,-0.514951,0.382085,1.04445,-0.293615,-0.50399,-0.484845,-0.221208,-0.049944,-0.151483,-0.086804,0.514732,-0.099772,0.322441,-0.687197,0.056059,-0.572685,-0.249236,-0.617485,-0.678366,T
-0.640081,-0.6691,-0.986148,-0.516731,-0.80118,-0.393879,-0.96515,-1.28755,-0.554255,-0.877052,-0.015344,-0.610309,-0.543186,-0.796445,-0.121384,-0.354506,-0.652163,-0.474006,-0.070474,-0.437522,-0.971744,-0.261234,0.322379,0.306202,-1.26812,-0.122842,-1.55987,-0.43541,-0.746725,-0.766407,T
-0.58836,-0.383181,-0.966607,-0.604415,-0.328328,-0.266203,0.184016,-0.860332,-0.537684,-0.349703,-0.423074,-0.591665,-0.54047,-0.56639,-0.712532,-0.399844,-0.662902,-0.933657,-0.133764,-0.561231,-0.449502,-0.640638,0.379488,-0.147056,-0.155497,-0.550678,-1.2317,-0.464159,-0.52584,0.850271,T
-0.657389,-0.420005,1.57688,-0.577211,-0.252778,-0.188082,-0.184782,-0.20985,-0.380975,0.069398,-0.546663,-0.413875,-0.582557,-0.265192,-0.692148,-0.402617,0.226273,0.04837,-1.32989,-0.067157,0.426057,-0.673621,0.849345,-0.644055,-0.489387,-0.066341,-1.14576,-0.371676,-0.02645,0.813373,T
-0.595599,-0.626451,-0.884298,-0.339436,-0.610114,-0.653673,-0.535866,-1.26471,-0.500839,-0.732004,-0.527014,-0.469759,-0.53431,-0.767445,-0.43353,-0.392244,-0.157987,-0.438063,-0.341953,0.040487,-0.896146,-0.091873,0.020094,-0.517678,-0.08669,-0.128933,-0.458886,-0.374136,-0.748703,-0.833752,T
-0.521803,-0.76256,-0.955245,-0.584201,-0.647152,-0.677404,-0.542944,-1.02369,-0.534178,-0.24752,-0.261331,-0.577604,-0.550643,-0.9869,-0.07306,-0.408144,-0.675489,-1.01676,-0.279364,-0.651577,-0.423158,-1.19795,-0.206691,-0.248509,-0.14576,-0.590074,-0.839258,-0.461351,-0.4709,0.752503,T
-0.514842,-0.922927,-1.04071,-0.586408,-1.04486,-0.27135,-0.640702,-0.446094,-0.563624,-1.2218,0.523796,-0.664502,-0.493004,-0.441669,-0.368266,-0.322111,-0.646943,-1.00981,1.24468,-0.397245,-1.07833,0.084071,-0.360325,0.500426,0.023765,-0.36474,0.499784,-0.42548,-0.4335,0.412889,T
-0.731869,-1.01329,-0.876502,-0.515508,-0.801062,-0.892837,-0.844228,-0.320043,-0.552197,0.089708,-0.655545,-0.578807,-0.531316,-0.329927,-0.143726,-0.361603,-1.11035,-0.292032,0.235613,-0.405459,0.117503,1.01872,1.65138,-0.686479,-1.51679,-0.270796,-1.31274,-0.505942,-0.601477,-0.856522,T
-0.591766,-0.505337,-0.730224,-0.459045,-0.719518,-0.516725,-0.804795,-0.620419,-0.458701,-0.906874,-0.146853,-0.484019,-0.485352,-0.934018,-0.431831,-0.538567,-0.375318,-0.481535,0.55054,-0.382855,-0.682096,0.372122,1.55228,-0.219165,-0.698552,-0.321957,-0.41124,-0.361058,-0.167609,-0.748752,T
