Attr3252,Attr4847,Attr4196,Attr1882,Attr6041,class
-0.724608,-0.661837,-1.05983,-0.504374,0.036936,T
-0.589524,-0.667077,0.008703,-0.327348,-0.577946,T
-0.640081,-0.6691,-0.986148,-0.516731,-0.80118,T
-0.58836,-0.383181,-0.966607,-0.604415,-0.328328,T
-0.657389,-0.420005,1.57688,-0.577211,-0.252778,T
-0.595599,-0.626451,-0.884298,-0.339436,-0.610114,T
-0.521803,-0.76256,-0.955245,-0.584201,-0.647152,T
-0.514842,-0.922927,-1.04071,-0.586408,-1.04486,T
-0.731869,-1.01329,-0.876502,-0.515508,-0.801062,T
-0.591766,-0.505337,-0.730224,-0.459045,-0.719518,T
-0.601857,-0.839667,-0.656524,-0.618261,-0.782856,T
-0.518583,-0.493653,0.753624,-0.511291,-0.735316,T
-0.720782,-0.409749,-0.297429,-0.580581,-0.354607,T
0.538875,-0.617624,-0.259428,-0.410996,-0.571094,T
-0.757284,-0.299676,-0.416874,-0.55176,-0.666509,T
-0.698955,-0.300419,-0.68444,-0.548036,-0.876255,T
2.91627,-0.363784,-0.781816,-0.509996,1.59733,T
-0.539429,-0.546299,-0.659833,-0.539016,-0.766067,T
-0.662931,-0.404501,-0.555679,-0.577883,-0.699016,T
-0.91946,-0.509802,-1.12692,-0.559032,-0.507527,T
-0.571671,-0.738108,-0.464792,-0.559726,-0.63401,T
-0.655169,-0.693239,-0.953811,-0.554978,-0.673985,T
-0.525202,-0.83004,-1.01361,-0.460224,-0.633928,T
-0.696862,-0.714273,-0.543013,-0.597168,-0.521962,T
-0.573825,-0.378206,0.154108,-0.587216,-0.837986,T
-0.626539,-0.548824,-0.49244,-0.540056,-0.362371,T
-0.411325,-1.16331,-0.966071,-0.524403,-0.857564,T
-0.503443,0.497135,1.50277,-0.371543,0.0346,F
0.742518,1.27334,1.91828,0.694847,0.77855,F
0.816265,2.72645,2.37374,1.86081,2.26823,F
2.02431,0.135378,0.86303,0.722325,-0.159089,F
-0.554628,1.12828,-0.041503,1.57609,0.654375,F
1.29628,1.16473,1.7167,0.051335,2.00265,F
2.07794,0.98079,1.76655,-0.27943,-0.041588,F
0.95268,-0.120407,0.132511,-0.274433,0.063101,F
1.57582,1.78795,2.06189,2.24999,2.88898,F
0.175134,0.662496,1.57141,1.64813,1.10223,F
0.034248,0.175474,-0.680418,-0.265099,-0.15696,F
-0.521302,-0.678959,-1.07345,-0.55166,-0.884147,T
-0.521593,-0.70825,-0.635742,-0.525482,-0.599274,T
-0.591709,-0.634837,-0.683167,-0.565077,-0.469493,T
-0.6624,-0.754648,-0.745284,-0.504106,-0.238905,T
-0.395312,-0.796828,1.18128,-0.551662,-0.715326,T
-0.727484,-0.867476,-1.02445,-0.446681,-0.654509,T
-0.581599,-0.804721,-0.623842,-0.521849,-0.032737,T
-0.645466,-0.761855,-0.984981,-0.530449,-0.66336,T
-0.55863,-0.546563,-0.275451,-0.522517,-0.448167,T
-0.773564,-0.408515,-0.635221,-0.601937,-0.346045,T
-0.555319,-1.05815,-0.865401,-0.47734,-0.956005,T
1.31224,2.6848,1.31896,1.48623,1.43839,F
0.965867,0.591543,1.17044,-0.07373,0.206763,F
0.453253,0.360593,0.917357,2.39323,1.21183,F
0.707383,1.35608,1.10399,2.97982,1.23127,F
0.065116,1.73465,1.22019,1.25302,3.1165,F
-0.548593,-0.233028,-0.390233,-0.471283,-0.385648,T
-0.390714,-0.672062,-0.71419,-0.441129,-0.567147,T
1.08111,0.631347,1.90354,0.020751,0.966319,F
1.16061,0.812712,0.031138,1.69614,0.301723,F
-0.505623,-0.536367,0.323504,-0.500107,-0.61034,T
1.29628,0.430382,2.14976,-0.135265,0.850531,F
3.35959,1.09979,-0.76613,-0.519619,0.343178,F
0.623781,3.10425,0.510817,3.28424,1.619,F
2.6497,2.62133,0.545483,2.76957,3.31633,F
0.935854,1.44144,0.780321,-0.035012,0.277637,F
1.40867,0.572083,0.650785,1.73399,0.408119,F
-0.367617,-0.433151,0.023792,-0.172229,-0.060519,F
-0.636863,0.687255,0.383979,-0.179145,0.286854,T
-0.842437,0.276769,-0.382675,-0.540475,-0.236162,T
-0.826115,-0.653284,-0.429812,-0.601517,-0.428725,T
-0.531951,-0.735262,-0.953381,-0.491548,-0.70359,T
-0.681127,-0.482294,-0.701902,-0.553464,-0.769129,T
-0.610598,-0.567446,-0.636032,-0.471444,-0.610563,T
