Attr3252,Attr4847,Attr4196,Attr1882,Attr6041,Attr1834,Attr1745,Attr2111,Attr1779,Attr1829,Attr3320,Attr2288,Attr6201,Attr1674,Attr2121,Attr2402,Attr6919,Attr4366,Attr6005,Attr6806,Attr2363,Attr4951,Attr6281,Attr2020,Attr235,Attr6803,Attr1260,Attr760,Attr2546,Attr2642,Attr4973,Attr6225,Attr4052,Attr6797,Attr6855,Attr4328,Attr2354,Attr1249,Attr4653,Attr4229,Attr6967,Attr3183,Attr3847,Attr6373,Attr1291,Attr4936,Attr6185,Attr804,Attr2739,Attr1239,class
-0.724608,-0.661837,-1.05983,-0.504374,0.036936,-0.457315,-0.590146,-0.997159,-0.527772,-0.714318,-0.220595,-0.587803,-0.532485,-0.831279,-0.604218,-0.423939,-0.729239,-0.631178,-0.914758,-0.748313,-0.944004,-0.936091,0.749782,-0.71722,-1.07082,-0.848447,-1.58663,-0.452677,-0.502294,2.29205,1.1624,1.78781,-0.5894,-0.680772,0.392286,0.014207,0.756351,-0.878335,0.182606,-0.738373,-0.828451,-0.194411,0.016964,-0.094701,-0.399007,-0.412967,-0.740211,0.541643,0.079026,0.321755,T
-0.589524,-0.667077,0.008703,-0.327348,-0.577946,-0.851959,-0.280799,1.10518,-0.540885,-0.192467,-0.408508,-0.514951,0.382085,1.04445,-0.293615,-0.50399,-0.484845,-0.221208,-0.049944,-0.151483,-0.086804,0.514732,-0.099772,0.322441,-0.687197,0.056059,-0.572685,-0.249236,-0.617485,-0.678366,-0.208466,-0.859096,-0.465831,0.245112,-0.251822,0.075228,-0.210373,0.554962,-0.193466,-0.039015,0.033647,-0.093982,-0.869876,0.018324,-0.10279,-0.140462,0.24075,-0.079822,-1.2978,0.952236,T
-0.640081,-0.6691,-0.986148,-0.516731,-0.80118,-0.393879,-0.96515,-1.28755,-0.554255,-0.877052,-0.015344,-0.610309,-0.543186,-0.796445,-0.121384,-0.354506,-0.652163,-0.474006,-0.070474,-0.437522,-0.971744,-0.261234,0.322379,0.306202,-1.26812,-0.122842,-1.55987,-0.43541,-0.746725,-0.766407,-1.16287,-0.5315,-0.751157,-0.149671,-0.625058,1.86589,0.636029,-0.941097,1.03128,-1.45801,-0.744678,-0.177073,0.722164,-0.001,-1.7503,-1.46233,-0.35483,1.49521,0.766965,1.17105,T
-0.58836,-0.383181,-0.966607,-0.604415,-0.328328,-0.266203,0.184016,-0.860332,-0.537684,-0.349703,-0.423074,-0.591665,-0.54047,-0.56639,-0.712532,-0.399844,-0.662902,-0.933657,-0.133764,-0.561231,-0.449502,-0.640638,0.379488,-0.147056,-0.155497,-0.550678,-1.2317,-0.464159,-0.52584,0.850271,0.875066,0.808159,-0.265795,-0.593958,0.828586,0.355135,0.971302,-0.725997,0.074797,-0.387676,-0.748538,-0.517994,0.220859,-0.202895,-0.37199,-0.048122,-0.722768,-0.012533,0.527872,0.068475,T
-0.657389,-0.420005,1.57688,-0.577211,-0.252778,-0.188082,-0.184782,-0.20985,-0.380975,0.069398,-0.546663,-0.413875,-0.582557,-0.265192,-0.692148,-0.402617,0.226273,0.04837,-1.32989,-0.067157,0.426057,-0.673621,0.849345,-0.644055,-0.489387,-0.066341,-1.14576,-0.371676,-0.02645,0.813373,1.4909,0.524012,-0.138044,0.024584,0.304736,0.910636,0.121598,0.291625,-0.211152,0.025053,-0.252114,0.275484,-0.899909,-0.937002,0.138579,0.08732,-0.426334,-0.395435,-0.633602,0.870425,T
-0.595599,-0.626451,-0.884298,-0.339436,-0.610114,-0.653673,-0.535866,-1.26471,-0.500839,-0.732004,-0.527014,-0.469759,-0.53431,-0.767445,-0.43353,-0.392244,-0.157987,-0.438063,-0.341953,0.040487,-0.896146,-0.091873,0.020094,-0.517678,-0.08669,-0.128933,-0.458886,-0.374136,-0.748703,-0.833752,-0.221841,-0.671317,-0.8255,-0.01604,-0.237115,0.437184,0.012864,-0.926682,0.138656,-1.03305,-0.221612,-0.616846,-0.402788,0.059294,-1.31175,-1.56562,0.227832,0.476815,-0.848471,0.023369,T
-0.521803,-0.76256,-0.955245,-0.584201,-0.647152,-0.677404,-0.542944,-1.02369,-0.534178,-0.24752,-0.261331,-0.577604,-0.550643,-0.9869,-0.07306,-0.408144,-0.675489,-1.01676,-0.279364,-0.651577,-0.423158,-1.19795,-0.206691,-0.248509,-0.14576,-0.590074,-0.839258,-0.461351,-0.4709,0.752503,-0.600293,1.11965,1.97658,-0.628738,-0.055506,1.05595,0.355072,-0.582824,0.499559,-0.545367,-0.763879,-0.49719,1.26688,-0.251129,-0.547112,-0.025511,-0.681968,0.440547,1.42163,-0.460853,T
-0.514842,-0.922927,-1.04071,-0.586408,-1.04486,-0.27135,-0.640702,-0.446094,-0.563624,-1.2218,0.523796,-0.664502,-0.493004,-0.441669,-0.368266,-0.322111,-0.646943,-1.00981,1.24468,-0.397245,-1.07833,0.084071,-0.360325,0.500426,0.023765,-0.36474,0.499784,-0.42548,-0.4335,0.412889,1.12953,0.147174,-0.708179,-0.406691,1.18704,-0.420616,0.104674,-0.918197,1.50699,-0.601558,-0.853087,0.339516,-0.173667,1.11639,-0.614343,-0.809659,-0.726111,0.657472,-0.008484,-0.67875,T
-0.731869,-1.01329,-0.876502,-0.515508,-0.801062,-0.892837,-0.844228,-0.320043,-0.552197,0.089708,-0.655545,-0.578807,-0.531316,-0.329927,-0.143726,-0.361603,-1.11035,-0.292032,0.235613,-0.405459,0.117503,1.01872,1.65138,-0.686479,-1.51679,-0.270796,-1.31274,-0.505942,-0.601477,-0.856522,0.292861,-0.883807,-0.885639,-0.328597,0.249824,1.74458,1.42984,-0.817843,-0.692213,-1.01919,0.45333,0.887558,-0.683127,-0.273866,-0.882109,-0.929476,-0.041007,2.0613,-0.420048,0.507785,T
-0.591766,-0.505337,-0.730224,-0.459045,-0.719518,-0.516725,-0.804795,-0.620419,-0.458701,-0.906874,-0.146853,-0.484019,-0.485352,-0.934018,-0.431831,-0.538567,-0.375318,-0.481535,0.55054,-0.382855,-0.682096,0.372122,1.55228,-0.219165,-0.698552,-0.321957,-0.41124,-0.361058,-0.167609,-0.748752,-1.2572,-0.99297,-0.880344,-0.497318,-0.697631,0.902733,-0.16876,-0.392778,-0.311098,-0.774157,-0.338532,-0.956744,0.242223,-0.356672,-1.39689,-1.33663,-0.588377,0.987127,-0.837245,0.658408,T
-0.601857,-0.839667,-0.656524,-0.618261,-0.782856,-0.663117,-1.00243,0.029994,-0.526945,-0.874858,-0.868556,-0.52951,-0.349304,-0.776495,-0.594995,-0.431634,-0.575177,-0.701095,-0.471483,-0.664264,-0.092948,0.188745,2.02074,-0.653869,-0.925571,-0.670641,-0.504708,-0.495054,-0.606376,-0.903864,1.10521,-0.880179,-0.814134,-0.670057,-0.522241,1.48301,1.19792,-0.75189,-0.58817,-0.909979,-0.77563,-0.27152,-0.172464,-0.513427,-0.888318,-1.594,-0.68107,0.782958,-1.12293,0.070697,T
-0.518583,-0.493653,0.753624,-0.511291,-0.735316,-0.013173,-0.324408,-0.648971,-0.259542,-0.385489,-0.532135,-0.435433,0.150087,0.887808,-0.405045,-0.306158,-0.481914,0.209987,0.313724,0.329881,-0.084548,-1.10119,0.249493,-0.895633,0.384006,0.266369,0.649602,-0.295517,-0.19476,-0.059232,-0.595198,-0.061543,-0.915565,-0.104907,-0.527177,-0.919815,-0.345572,0.206813,-0.044336,-0.44887,-0.801858,-1.35447,-0.678294,-0.196499,0.040647,-0.368088,-0.813234,-0.727189,-0.52307,-0.789076,T
-0.720782,-0.409749,-0.297429,-0.580581,-0.354607,-0.768085,-0.740875,-0.375565,-0.536069,-0.902743,-0.820459,-0.534376,-0.579023,-0.731158,-0.885089,-0.541266,-0.892798,-0.696828,-0.060869,-0.895565,-0.608957,-1.00712,0.898514,-0.982224,-1.09098,-0.907291,-0.687702,-0.521452,-0.420534,0.746494,0.072196,0.120659,-0.529012,-0.945397,1.15173,2.07228,3.09462,-0.351085,-0.766659,0.038032,-0.500226,-0.555163,-1.01279,-0.877834,-0.342305,0.985624,-0.49944,2.20634,1.23237,1.61986,T
0.538875,-0.617624,-0.259428,-0.410996,-0.571094,-0.701584,-0.275049,-0.956952,-0.517813,0.338396,-0.588769,-0.533214,-0.576365,0.428941,-0.247696,-0.416659,-0.574429,0.108935,-0.803224,0.133964,-0.91655,-1.58213,-0.674661,0.205633,-0.638291,0.107533,-1.32936,-0.360509,-0.96996,-0.908296,0.449862,-0.996564,-0.805162,0.03763,-0.456301,-0.593177,-0.480368,-0.755831,-0.758251,-0.730773,0.716782,-0.422266,-0.592937,0.507969,-0.4494,-1.30716,0.400751,-0.459888,-0.628466,0.235555,T
-0.757284,-0.299676,-0.416874,-0.55176,-0.666509,-0.969667,0.006577,-0.604931,-0.486394,-0.378008,-1.09896,-0.564679,-0.59817,-0.372833,-0.399029,-0.481846,-0.82761,-0.502092,-0.356659,-0.742285,-0.235191,-0.134072,1.72033,-1.32951,-1.07546,-0.759995,-1.32812,-0.486126,-0.486221,0.921673,1.6967,0.867103,-0.164533,-0.854824,1.8152,1.77231,2.38779,-0.190643,-0.688844,0.333794,0.189086,-0.56759,-1.01867,-0.882623,0.145692,0.556357,-0.345775,0.363221,-0.821055,2.8204,T
