@relation pca_all-weka.filters.unsupervised.attribute.Remove-R59-72-weka.filters.unsupervised.attribute.Remove-R49-58-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R33-40-weka.filters.unsupervised.attribute.Remove-R27-32-weka.filters.unsupervised.attribute.Remove-R21-26-weka.filters.unsupervised.attribute.Remove-R17-20-weka.filters.unsupervised.attribute.Remove-R13-16-weka.filters.unsupervised.attribute.Remove-R10-12-weka.filters.unsupervised.attribute.Remove-R8-9

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute class {T,F}

@data
-33.30583,26.372818,-18.830972,7.276723,-3.660223,1.713287,-23.728676,T
-36.71265,-5.432942,11.140345,12.404345,-6.469099,-2.866943,8.673841,T
-32.501835,42.547994,-22.254824,27.354188,-26.370108,-6.220165,-19.361815,T
-6.330735,23.171516,-18.659416,6.541263,-22.825935,-4.665192,4.380016,T
-37.864091,-37.377065,-10.426493,-3.399389,-9.397176,-1.259536,-1.704267,T
33.717265,5.050499,-8.447265,15.976328,-31.45198,-8.903028,-0.387753,T
14.677493,32.309872,-17.817699,5.322196,-16.01464,-5.187355,0.891312,T
15.913313,63.015999,-26.193417,20.248106,-2.77439,15.252595,8.850854,T
-69.50877,2.985152,-6.219056,23.296812,-38.202423,-16.603478,-8.080739,T
8.401248,-9.300744,1.341819,9.74014,-10.187627,-6.426831,-4.000181,T
-16.103262,-11.587596,0.921908,26.219872,-17.60669,6.3885,0.5591,T
49.285642,-14.32605,9.000534,5.614296,-10.342733,-1.800876,4.380691,T
-46.530343,-32.624416,-19.006949,-5.281121,11.347907,6.198598,-10.523685,T
-20.87769,-5.661686,-8.727679,1.818918,-23.845759,1.024205,5.522646,T
-52.024658,-37.923493,-14.242696,0.331399,-13.897522,-1.325841,-2.759652,T
-16.353107,-6.846774,-16.119321,-1.801819,4.603239,0.205135,-11.311467,T
-77.575593,34.441319,-36.143252,-17.341274,19.842083,-44.763029,58.002127,T
22.598739,-12.354476,-2.643486,-0.516779,8.06632,-7.774851,-12.737842,T
9.922181,-18.577167,-4.520975,0.712305,8.908771,10.024264,-1.263845,T
-137.129052,-37.191305,-32.369561,0.807861,25.219469,17.711336,7.256569,T
29.254453,-43.512419,-16.173872,2.47426,-3.901441,26.352409,18.081659,T
35.18108,5.223449,0.596516,16.885594,4.515005,14.65184,-7.183475,T
42.242749,7.905758,-11.855416,18.220853,-23.09841,0.581021,2.498872,T
-33.589391,-8.113655,-24.490896,-4.84506,-11.824835,12.635774,-2.868273,T
7.625015,-6.953993,8.958807,9.670916,8.978893,4.648603,-4.963106,T
-9.541998,-10.690132,-6.293362,-5.69639,15.225129,3.32044,-21.72624,T
55.189376,56.607336,-34.527849,9.808,15.910255,-23.578895,17.006961,T
-28.404006,18.713923,24.256059,14.948987,4.790732,2.866682,-3.969611,F
23.958551,-34.483931,24.954998,5.71045,0.382368,6.896133,18.743283,F
-42.583007,8.121033,47.650302,-17.211537,-4.124317,-15.642857,14.275622,F
1.822974,17.379247,14.585715,-1.586306,-20.888238,-10.778375,0.303221,F
-27.486447,32.451663,16.137615,3.683066,-3.30994,-7.420239,-4.146506,F
-38.009775,64.934248,39.425706,20.923642,24.446055,7.595489,-3.702436,F
-8.130109,26.828994,8.858601,-14.705546,-6.014544,14.045444,-5.084441,F
53.75313,23.137533,-7.728318,-8.551957,-8.457117,16.039751,9.340912,F
-47.064656,18.50657,50.905084,-13.135989,-1.091596,-10.640497,-20.975507,F
-21.124642,18.62561,47.76573,17.939398,1.626628,8.417602,20.251085,F
5.90799,22.337015,21.133901,27.598427,15.826615,25.507679,23.649172,F
29.300846,13.955967,-10.6763,8.881501,18.279737,1.149033,-31.016045,T
34.906318,23.414346,-21.718633,-20.709105,-24.022083,24.063331,11.828233,T
16.877311,-41.349489,-12.17767,-2.247148,-9.899826,-3.143198,3.435378,T
-2.759627,-10.719815,8.153464,17.753399,28.680462,8.999987,21.386688,T
