@relation pca_all-weka.filters.unsupervised.attribute.Remove-R59-72-weka.filters.unsupervised.attribute.Remove-R49-58-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R33-40-weka.filters.unsupervised.attribute.Remove-R27-32-weka.filters.unsupervised.attribute.Remove-R21-26-weka.filters.unsupervised.attribute.Remove-R17-20-weka.filters.unsupervised.attribute.Remove-R13-16-weka.filters.unsupervised.attribute.Remove-R10-12

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute class {T,F}

@data
-33.30583,26.372818,-18.830972,7.276723,-3.660223,1.713287,-23.728676,11.605409,-2.298575,T
-36.71265,-5.432942,11.140345,12.404345,-6.469099,-2.866943,8.673841,-18.81193,1.813683,T
-32.501835,42.547994,-22.254824,27.354188,-26.370108,-6.220165,-19.361815,-21.307772,-5.802893,T
-6.330735,23.171516,-18.659416,6.541263,-22.825935,-4.665192,4.380016,26.045808,8.980975,T
-37.864091,-37.377065,-10.426493,-3.399389,-9.397176,-1.259536,-1.704267,1.679931,1.001269,T
33.717265,5.050499,-8.447265,15.976328,-31.45198,-8.903028,-0.387753,-3.182548,-4.758421,T
14.677493,32.309872,-17.817699,5.322196,-16.01464,-5.187355,0.891312,21.628662,6.654697,T
15.913313,63.015999,-26.193417,20.248106,-2.77439,15.252595,8.850854,27.130632,1.048355,T
-69.50877,2.985152,-6.219056,23.296812,-38.202423,-16.603478,-8.080739,-18.71518,-8.917695,T
8.401248,-9.300744,1.341819,9.74014,-10.187627,-6.426831,-4.000181,-19.111149,-0.979384,T
-16.103262,-11.587596,0.921908,26.219872,-17.60669,6.3885,0.5591,-27.614464,-7.633432,T
49.285642,-14.32605,9.000534,5.614296,-10.342733,-1.800876,4.380691,6.535437,5.345097,T
-46.530343,-32.624416,-19.006949,-5.281121,11.347907,6.198598,-10.523685,3.114585,-3.81201,T
-20.87769,-5.661686,-8.727679,1.818918,-23.845759,1.024205,5.522646,-10.625692,-3.422427,T
-52.024658,-37.923493,-14.242696,0.331399,-13.897522,-1.325841,-2.759652,12.037436,0.078484,T
-16.353107,-6.846774,-16.119321,-1.801819,4.603239,0.205135,-11.311467,-3.028824,3.825301,T
-77.575593,34.441319,-36.143252,-17.341274,19.842083,-44.763029,58.002127,-19.274671,-38.960234,T
22.598739,-12.354476,-2.643486,-0.516779,8.06632,-7.774851,-12.737842,-11.637573,3.051526,T
9.922181,-18.577167,-4.520975,0.712305,8.908771,10.024264,-1.263845,4.257466,1.343612,T
-137.129052,-37.191305,-32.369561,0.807861,25.219469,17.711336,7.256569,6.491804,25.405618,T
29.254453,-43.512419,-16.173872,2.47426,-3.901441,26.352409,18.081659,-24.619769,30.100546,T
35.18108,5.223449,0.596516,16.885594,4.515005,14.65184,-7.183475,-1.176913,4.328262,T
42.242749,7.905758,-11.855416,18.220853,-23.09841,0.581021,2.498872,-9.568478,-0.490708,T
-33.589391,-8.113655,-24.490896,-4.84506,-11.824835,12.635774,-2.868273,3.554403,-5.862957,T
7.625015,-6.953993,8.958807,9.670916,8.978893,4.648603,-4.963106,3.974012,-0.638972,T
-9.541998,-10.690132,-6.293362,-5.69639,15.225129,3.32044,-21.72624,-5.58934,3.111653,T
55.189376,56.607336,-34.527849,9.808,15.910255,-23.578895,17.006961,-4.52264,37.734937,T
-28.404006,18.713923,24.256059,14.948987,4.790732,2.866682,-3.969611,-3.199566,-7.640492,F
23.958551,-34.483931,24.954998,5.71045,0.382368,6.896133,18.743283,-3.623217,0.299999,F
-42.583007,8.121033,47.650302,-17.211537,-4.124317,-15.642857,14.275622,-1.942565,16.251949,F
