@relation pca_all-weka.filters.unsupervised.attribute.Remove-R59-72-weka.filters.unsupervised.attribute.Remove-R49-58-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R33-40-weka.filters.unsupervised.attribute.Remove-R27-32-weka.filters.unsupervised.attribute.Remove-R21-26-weka.filters.unsupervised.attribute.Remove-R17-20-weka.filters.unsupervised.attribute.Remove-R13-16

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute class {T,F}

@data
-33.30583,26.372818,-18.830972,7.276723,-3.660223,1.713287,-23.728676,11.605409,-2.298575,1.431265,-8.417402,2.213869,T
-36.71265,-5.432942,11.140345,12.404345,-6.469099,-2.866943,8.673841,-18.81193,1.813683,-15.882727,2.154113,-8.598241,T
-32.501835,42.547994,-22.254824,27.354188,-26.370108,-6.220165,-19.361815,-21.307772,-5.802893,9.392636,1.944456,-19.553526,T
-6.330735,23.171516,-18.659416,6.541263,-22.825935,-4.665192,4.380016,26.045808,8.980975,1.225641,8.16104,15.776483,T
-37.864091,-37.377065,-10.426493,-3.399389,-9.397176,-1.259536,-1.704267,1.679931,1.001269,6.083968,10.825643,10.972211,T
33.717265,5.050499,-8.447265,15.976328,-31.45198,-8.903028,-0.387753,-3.182548,-4.758421,3.14464,7.503207,-8.324131,T
14.677493,32.309872,-17.817699,5.322196,-16.01464,-5.187355,0.891312,21.628662,6.654697,6.948639,16.243561,15.192556,T
15.913313,63.015999,-26.193417,20.248106,-2.77439,15.252595,8.850854,27.130632,1.048355,12.509792,-17.411293,5.889023,T
-69.50877,2.985152,-6.219056,23.296812,-38.202423,-16.603478,-8.080739,-18.71518,-8.917695,9.821258,-8.015089,-22.801235,T
8.401248,-9.300744,1.341819,9.74014,-10.187627,-6.426831,-4.000181,-19.111149,-0.979384,-6.170021,3.300953,-12.903424,T
-16.103262,-11.587596,0.921908,26.219872,-17.60669,6.3885,0.5591,-27.614464,-7.633432,-4.93356,-1.653423,-2.105441,T
49.285642,-14.32605,9.000534,5.614296,-10.342733,-1.800876,4.380691,6.535437,5.345097,-7.930895,0.72287,2.982565,T
-46.530343,-32.624416,-19.006949,-5.281121,11.347907,6.198598,-10.523685,3.114585,-3.81201,-0.04467,6.304027,-5.141015,T
-20.87769,-5.661686,-8.727679,1.818918,-23.845759,1.024205,5.522646,-10.625692,-3.422427,10.236342,1.697532,-5.189451,T
-52.024658,-37.923493,-14.242696,0.331399,-13.897522,-1.325841,-2.759652,12.037436,0.078484,4.72611,11.959425,10.925733,T
-16.353107,-6.846774,-16.119321,-1.801819,4.603239,0.205135,-11.311467,-3.028824,3.825301,1.925168,-1.893176,6.446227,T
-77.575593,34.441319,-36.143252,-17.341274,19.842083,-44.763029,58.002127,-19.274671,-38.960234,-1.320821,-17.179728,14.469222,T
22.598739,-12.354476,-2.643486,-0.516779,8.06632,-7.774851,-12.737842,-11.637573,3.051526,7.69178,-2.660707,4.077142,T
9.922181,-18.577167,-4.520975,0.712305,8.908771,10.024264,-1.263845,4.257466,1.343612,3.916514,-1.019519,-4.020143,T
-137.129052,-37.191305,-32.369561,0.807861,25.219469,17.711336,7.256569,6.491804,25.405618,13.950392,-11.375296,-0.59508,T
29.254453,-43.512419,-16.173872,2.47426,-3.901441,26.352409,18.081659,-24.619769,30.100546,-6.01815,-34.511612,16.079181,T
35.18108,5.223449,0.596516,16.885594,4.515005,14.65184,-7.183475,-1.176913,4.328262,-7.879389,-4.50993,14.088835,T
42.242749,7.905758,-11.855416,18.220853,-23.09841,0.581021,2.498872,-9.568478,-0.490708,-0.773169,1.838303,-2.208364,T
-33.589391,-8.113655,-24.490896,-4.84506,-11.824835,12.635774,-2.868273,3.554403,-5.862957,4.517058,5.613551,23.759028,T
7.625015,-6.953993,8.958807,9.670916,8.978893,4.648603,-4.963106,3.974012,-0.638972,-2.520668,-6.606909,-2.069636,T
-9.541998,-10.690132,-6.293362,-5.69639,15.225129,3.32044,-21.72624,-5.58934,3.111653,-3.117421,-5.003984,-1.237168,T
55.189376,56.607336,-34.527849,9.808,15.910255,-23.578895,17.006961,-4.52264,37.734937,-13.949456,8.369243,-1.918784,T
-28.404006,18.713923,24.256059,14.948987,4.790732,2.866682,-3.969611,-3.199566,-7.640492,-2.986842,-2.789911,7.318043,F
23.958551,-34.483931,24.954998,5.71045,0.382368,6.896133,18.743283,-3.623217,0.299999,2.937963,1.355507,2.801632,F
-42.583007,8.121033,47.650302,-17.211537,-4.124317,-15.642857,14.275622,-1.942565,16.251949,-21.686828,6.520042,-9.68897,F
1.822974,17.379247,14.585715,-1.586306,-20.888238,-10.778375,0.303221,9.605113,4.642756,-5.007377,2.802521,5.824049,F
-27.486447,32.451663,16.137615,3.683066,-3.30994,-7.420239,-4.146506,7.53764,-6.388894,-12.385344,8.988808,10.030195,F
-38.009775,64.934248,39.425706,20.923642,24.446055,7.595489,-3.702436,13.783021,-5.309488,16.682872,-9.869498,3.325047,F
-8.130109,26.828994,8.858601,-14.705546,-6.014544,14.045444,-5.084441,-7.996076,-10.047792,-8.669471,-8.000385,9.267064,F
53.75313,23.137533,-7.728318,-8.551957,-8.457117,16.039751,9.340912,-0.06525,-7.032837,4.8772,-7.095098,-3.073367,F
-47.064656,18.50657,50.905084,-13.135989,-1.091596,-10.640497,-20.975507,0.370827,-0.471043,4.523443,-3.309154,0.739749,F
-21.124642,18.62561,47.76573,17.939398,1.626628,8.417602,20.251085,18.050484,7.223371,15.831189,2.286917,-12.974742,F
5.90799,22.337015,21.133901,27.598427,15.826615,25.507679,23.649172,-0.965022,-7.946313,15.846565,0.869013,-7.24637,F
29.300846,13.955967,-10.6763,8.881501,18.279737,1.149033,-31.016045,-0.828927,-13.468048,-10.959049,-5.214095,3.282638,T
34.906318,23.414346,-21.718633,-20.709105,-24.022083,24.063331,11.828233,14.102176,5.827598,-11.072408,-22.951108,-8.687701,T
16.877311,-41.349489,-12.17767,-2.247148,-9.899826,-3.143198,3.435378,5.808486,-0.573176,5.345125,9.537314,6.715916,T
-2.759627,-10.719815,8.153464,17.753399,28.680462,8.999987,21.386688,7.119139,-0.24323,-3.501983,8.370939,-34.028674,T
41.091132,-24.401458,-0.603342,8.243334,10.445154,7.773102,13.92143,15.140695,-5.556131,17.643896,3.884699,-18.123103,T
17.631412,-35.00963,-8.376996,5.821209,-0.909286,-12.066553,-12.267737,23.813006,-22.550871,-18.149808,-17.95076,-12.047583,T
17.460853,-32.260551,-3.23005,1.502741,5.076762,-17.839926,-0.605245,34.918179,-22.021078,-37.149096,-25.551979,-10.410463,T
32.949954,-35.364266,1.575836,1.274533,3.893487,-2.231754,-8.428932,12.631449,-5.328757,-5.26582,10.619584,-2.596162,T
25.735075,-28.245296,-5.893429,-7.648239,8.809214,6.968251,0.23478,-3.609915,-4.787608,12.117945,-6.496662,2.252155,T
-70.494323,-25.898389,-24.663867,-7.764515,4.581894,10.596172,-0.811789,8.955184,4.656591,3.718829,2.635999,-11.513645,T
7.093361,67.824329,-31.866844,5.859334,21.147766,-24.45465,-16.089754,-3.781979,32.902743,-7.487798,3.591544,-11.071391,T
-12.331787,19.799794,34.793547,0.688731,-12.221501,-8.211558,7.116527,10.450527,3.059965,-7.298766,7.90369,15.498927,F
29.780833,13.451666,20.854337,4.898795,-3.638796,2.515051,14.030385,3.841767,0.493573,-6.423409,7.168437,12.338583,F
20.670826,-25.366837,28.235682,-26.948645,-13.877052,-12.823467,-1.588696,-2.400608,16.407342,3.729131,-16.407273,-4.843928,F
-38.087079,28.280029,26.275763,4.5787,3.622596,24.842884,-3.796028,-11.242473,-9.235993,-4.859631,5.609626,23.443457,F
-7.901117,-16.460405,8.047542,-23.391861,-0.379069,-17.5541,-9.223987,-4.293076,-7.829296,26.885261,-4.163277,6.643886,F
47.586553,-11.384305,-5.761676,-2.889886,3.96489,-12.860675,-4.407401,-2.36388,-1.796074,10.07874,10.245248,3.679035,T
44.503476,10.876756,-18.343513,-2.61397,16.737789,-3.359047,-13.452763,-1.303591,-11.575577,12.512623,-2.853387,4.128734,T
62.946047,-15.450215,4.777344,-9.40248,3.499585,-10.163268,0.64497,-5.920035,-8.465331,7.645077,-0.357706,9.365641,F
62.293043,22.525775,0.194228,-12.973092,27.992483,-12.085045,-12.29562,-9.092062,-4.617137,22.379067,1.74217,-2.04819,F
58.161959,-23.188565,-6.851167,-6.412953,8.071614,-7.814978,-0.937195,5.286159,-6.130481,8.108885,16.473326,-6.367371,T
53.536066,-21.306333,5.309716,-13.950961,3.539037,-11.501539,7.590857,-5.390141,-1.004365,16.24609,6.860989,2.454357,F
22.828832,19.70869,0.61473,-5.614947,26.46764,-15.915239,2.298328,-16.419083,1.420108,-12.155968,10.049366,1.909291,F
6.054805,2.439191,14.771581,-45.749137,-8.623817,4.176311,-4.726431,-0.8708,11.134036,5.813119,-6.573576,-9.701497,F
-48.1194,26.292108,23.05554,-41.308622,-6.08111,-14.281462,-12.137101,4.634076,13.659738,13.13688,-18.258785,-9.61491,F
6.445228,66.285901,-24.64423,-63.022244,-6.824021,50.533087,5.790223,-7.044035,-19.99172,-15.498597,26.720052,-19.365935,F
23.116252,0.240538,11.894948,-8.837924,-5.061726,-2.569143,-0.646115,-5.472383,7.954619,-9.087476,-11.047226,4.773437,F
45.96434,-42.777536,7.157666,4.62046,-5.151576,3.003561,14.129195,-8.77089,2.365886,7.403883,0.949934,-5.082114,F
2.071095,-23.951027,14.390259,3.397307,5.40826,12.207933,1.221305,-15.837997,-0.046895,-9.511885,5.544905,7.044762,T
-65.438101,-37.628583,-12.128694,-8.110328,0.485723,-13.17629,15.553818,11.337318,11.779522,-9.791707,24.529977,1.244646,T
-70.598431,-33.387549,0.75502,2.289291,15.016045,2.448117,-12.743471,7.574802,-3.210585,-7.034659,11.419438,-0.899349,T
