@relation pca_all-weka.filters.unsupervised.attribute.Remove-R59-72-weka.filters.unsupervised.attribute.Remove-R49-58-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R33-40-weka.filters.unsupervised.attribute.Remove-R27-32-weka.filters.unsupervised.attribute.Remove-R21-26-weka.filters.unsupervised.attribute.Remove-R17-20

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute class {T,F}

@data
-33.30583,26.372818,-18.830972,7.276723,-3.660223,1.713287,-23.728676,11.605409,-2.298575,1.431265,-8.417402,2.213869,-19.590902,7.056323,-6.340508,4.827464,T
-36.71265,-5.432942,11.140345,12.404345,-6.469099,-2.866943,8.673841,-18.81193,1.813683,-15.882727,2.154113,-8.598241,-10.671434,-10.240839,2.381111,0.561391,T
-32.501835,42.547994,-22.254824,27.354188,-26.370108,-6.220165,-19.361815,-21.307772,-5.802893,9.392636,1.944456,-19.553526,2.81872,2.827079,4.479522,4.978349,T
-6.330735,23.171516,-18.659416,6.541263,-22.825935,-4.665192,4.380016,26.045808,8.980975,1.225641,8.16104,15.776483,-1.887766,1.999308,-9.491874,3.610712,T
-37.864091,-37.377065,-10.426493,-3.399389,-9.397176,-1.259536,-1.704267,1.679931,1.001269,6.083968,10.825643,10.972211,4.819137,10.404963,3.517982,-10.382742,T
33.717265,5.050499,-8.447265,15.976328,-31.45198,-8.903028,-0.387753,-3.182548,-4.758421,3.14464,7.503207,-8.324131,-3.104874,-9.746284,0.008515,10.159319,T
14.677493,32.309872,-17.817699,5.322196,-16.01464,-5.187355,0.891312,21.628662,6.654697,6.948639,16.243561,15.192556,2.065339,0.075397,-3.737199,3.776205,T
15.913313,63.015999,-26.193417,20.248106,-2.77439,15.252595,8.850854,27.130632,1.048355,12.509792,-17.411293,5.889023,-21.617893,-17.539923,31.876066,2.894123,T
-69.50877,2.985152,-6.219056,23.296812,-38.202423,-16.603478,-8.080739,-18.71518,-8.917695,9.821258,-8.015089,-22.801235,10.350838,-1.527808,4.73496,-7.472094,T
8.401248,-9.300744,1.341819,9.74014,-10.187627,-6.426831,-4.000181,-19.111149,-0.979384,-6.170021,3.300953,-12.903424,6.09066,-1.067405,-7.453446,-3.593688,T
-16.103262,-11.587596,0.921908,26.219872,-17.60669,6.3885,0.5591,-27.614464,-7.633432,-4.93356,-1.653423,-2.105441,4.213477,0.819632,4.341796,4.338813,T
49.285642,-14.32605,9.000534,5.614296,-10.342733,-1.800876,4.380691,6.535437,5.345097,-7.930895,0.72287,2.982565,-8.119196,-0.530373,-4.96347,-1.55743,T
-46.530343,-32.624416,-19.006949,-5.281121,11.347907,6.198598,-10.523685,3.114585,-3.81201,-0.04467,6.304027,-5.141015,-8.747808,21.136541,-2.709597,7.689403,T
-20.87769,-5.661686,-8.727679,1.818918,-23.845759,1.024205,5.522646,-10.625692,-3.422427,10.236342,1.697532,-5.189451,-9.21353,-3.496458,-4.57221,-5.177992,T
-52.024658,-37.923493,-14.242696,0.331399,-13.897522,-1.325841,-2.759652,12.037436,0.078484,4.72611,11.959425,10.925733,-3.227662,2.728531,-2.955256,2.336943,T
-16.353107,-6.846774,-16.119321,-1.801819,4.603239,0.205135,-11.311467,-3.028824,3.825301,1.925168,-1.893176,6.446227,0.817696,-3.66445,-13.912475,-2.300846,T
-77.575593,34.441319,-36.143252,-17.341274,19.842083,-44.763029,58.002127,-19.274671,-38.960234,-1.320821,-17.179728,14.469222,-18.411588,1.533259,-9.371391,6.165509,T
22.598739,-12.354476,-2.643486,-0.516779,8.06632,-7.774851,-12.737842,-11.637573,3.051526,7.69178,-2.660707,4.077142,0.882464,9.909092,-4.776887,-3.511752,T
9.922181,-18.577167,-4.520975,0.712305,8.908771,10.024264,-1.263845,4.257466,1.343612,3.916514,-1.019519,-4.020143,-1.953428,-0.96413,-12.18258,-6.684478,T
-137.129052,-37.191305,-32.369561,0.807861,25.219469,17.711336,7.256569,6.491804,25.405618,13.950392,-11.375296,-0.59508,22.246684,-46.788871,4.934348,0.5701,T
29.254453,-43.512419,-16.173872,2.47426,-3.901441,26.352409,18.081659,-24.619769,30.100546,-6.01815,-34.511612,16.079181,8.779656,18.312319,-4.023688,22.469917,T
35.18108,5.223449,0.596516,16.885594,4.515005,14.65184,-7.183475,-1.176913,4.328262,-7.879389,-4.50993,14.088835,-9.521272,-0.039236,3.289792,9.869353,T
42.242749,7.905758,-11.855416,18.220853,-23.09841,0.581021,2.498872,-9.568478,-0.490708,-0.773169,1.838303,-2.208364,-1.933912,-6.241119,-4.81664,8.624844,T
-33.589391,-8.113655,-24.490896,-4.84506,-11.824835,12.635774,-2.868273,3.554403,-5.862957,4.517058,5.613551,23.759028,3.948871,12.626556,13.904877,-5.968389,T
7.625015,-6.953993,8.958807,9.670916,8.978893,4.648603,-4.963106,3.974012,-0.638972,-2.520668,-6.606909,-2.069636,-7.932191,0.160023,-9.142566,-10.49727,T
-9.541998,-10.690132,-6.293362,-5.69639,15.225129,3.32044,-21.72624,-5.58934,3.111653,-3.117421,-5.003984,-1.237168,-7.402747,-1.814775,-7.326266,-11.189195,T
55.189376,56.607336,-34.527849,9.808,15.910255,-23.578895,17.006961,-4.52264,37.734937,-13.949456,8.369243,-1.918784,6.691677,10.763448,0.163613,3.929968,T
-28.404006,18.713923,24.256059,14.948987,4.790732,2.866682,-3.969611,-3.199566,-7.640492,-2.986842,-2.789911,7.318043,7.900624,6.222585,-11.318073,-18.760394,F
23.958551,-34.483931,24.954998,5.71045,0.382368,6.896133,18.743283,-3.623217,0.299999,2.937963,1.355507,2.801632,3.825382,-0.198691,-4.116535,-3.757378,F
-42.583007,8.121033,47.650302,-17.211537,-4.124317,-15.642857,14.275622,-1.942565,16.251949,-21.686828,6.520042,-9.68897,-0.607985,12.126895,29.929638,1.454307,F
1.822974,17.379247,14.585715,-1.586306,-20.888238,-10.778375,0.303221,9.605113,4.642756,-5.007377,2.802521,5.824049,7.312787,-8.805186,0.218036,-7.061106,F
-27.486447,32.451663,16.137615,3.683066,-3.30994,-7.420239,-4.146506,7.53764,-6.388894,-12.385344,8.988808,10.030195,-9.915384,-18.029915,-16.940603,-5.996541,F
