@relation pca_all-weka.filters.unsupervised.attribute.Remove-R59-72-weka.filters.unsupervised.attribute.Remove-R49-58-weka.filters.unsupervised.attribute.Remove-R41-48-weka.filters.unsupervised.attribute.Remove-R33-40-weka.filters.unsupervised.attribute.Remove-R27-32

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute class {T,F}

@data
-33.30583,26.372818,-18.830972,7.276723,-3.660223,1.713287,-23.728676,11.605409,-2.298575,1.431265,-8.417402,2.213869,-19.590902,7.056323,-6.340508,4.827464,-12.686732,6.372794,-1.946317,8.017384,-7.984741,-0.023373,-4.806497,-2.675211,19.842165,-20.245758,T
-36.71265,-5.432942,11.140345,12.404345,-6.469099,-2.866943,8.673841,-18.81193,1.813683,-15.882727,2.154113,-8.598241,-10.671434,-10.240839,2.381111,0.561391,-4.470557,-6.265174,11.126561,-1.331045,-11.571098,-9.971046,13.939426,-7.782246,-3.041886,9.13983,T
-32.501835,42.547994,-22.254824,27.354188,-26.370108,-6.220165,-19.361815,-21.307772,-5.802893,9.392636,1.944456,-19.553526,2.81872,2.827079,4.479522,4.978349,12.559075,-8.880287,-2.558483,1.976964,1.864197,-0.349914,1.354665,18.973897,6.375408,3.060313,T
-6.330735,23.171516,-18.659416,6.541263,-22.825935,-4.665192,4.380016,26.045808,8.980975,1.225641,8.16104,15.776483,-1.887766,1.999308,-9.491874,3.610712,-2.113163,-0.885114,-1.375271,4.54618,1.772415,2.996063,-0.796114,10.313711,6.572921,2.698293,T
-37.864091,-37.377065,-10.426493,-3.399389,-9.397176,-1.259536,-1.704267,1.679931,1.001269,6.083968,10.825643,10.972211,4.819137,10.404963,3.517982,-10.382742,-10.848169,-12.159222,4.607453,-3.409372,3.892824,-0.066253,0.85049,8.444699,6.644904,0.814526,T
33.717265,5.050499,-8.447265,15.976328,-31.45198,-8.903028,-0.387753,-3.182548,-4.758421,3.14464,7.503207,-8.324131,-3.104874,-9.746284,0.008515,10.159319,5.43635,4.163971,6.753184,3.452588,-3.005542,3.404274,2.769654,-2.908122,-1.188763,7.368563,T
14.677493,32.309872,-17.817699,5.322196,-16.01464,-5.187355,0.891312,21.628662,6.654697,6.948639,16.243561,15.192556,2.065339,0.075397,-3.737199,3.776205,6.372997,-2.165115,0.542525,5.601073,6.394646,8.667842,0.81218,-13.718119,-1.581897,-9.48717,T
15.913313,63.015999,-26.193417,20.248106,-2.77439,15.252595,8.850854,27.130632,1.048355,12.509792,-17.411293,5.889023,-21.617893,-17.539923,31.876066,2.894123,-2.323802,1.495583,-14.406568,-24.164372,15.453798,-20.41883,-14.120319,-3.882413,-10.575526,2.883338,T
-69.50877,2.985152,-6.219056,23.296812,-38.202423,-16.603478,-8.080739,-18.71518,-8.917695,9.821258,-8.015089,-22.801235,10.350838,-1.527808,4.73496,-7.472094,5.953146,2.631062,-4.407271,4.398219,8.532218,4.691931,-7.089901,-12.263503,-3.391922,-13.015034,T
8.401248,-9.300744,1.341819,9.74014,-10.187627,-6.426831,-4.000181,-19.111149,-0.979384,-6.170021,3.300953,-12.903424,6.09066,-1.067405,-7.453446,-3.593688,2.530554,8.919419,0.751969,-6.706705,7.220714,-1.303501,-0.776783,1.159281,3.533573,0.083955,T
