@relation pca_all-weka.filters.unsupervised.attribute.Remove-R59-72

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute PC50 numeric
@attribute PC51 numeric
@attribute PC52 numeric
@attribute PC53 numeric
@attribute PC54 numeric
@attribute PC55 numeric
@attribute PC56 numeric
@attribute PC57 numeric
@attribute PC58 numeric
@attribute class {T,F}

@data
-33.30583,26.372818,-18.830972,7.276723,-3.660223,1.713287,-23.728676,11.605409,-2.298575,1.431265,-8.417402,2.213869,-19.590902,7.056323,-6.340508,4.827464,-12.686732,6.372794,-1.946317,8.017384,-7.984741,-0.023373,-4.806497,-2.675211,19.842165,-20.245758,3.456874,2.664473,0.438022,9.811367,-15.590982,-18.338713,-1.632247,10.939517,0.63907,16.629996,6.731211,-8.757281,-0.675908,-0.819957,-3.73062,-8.714032,-9.747399,0.596431,9.491726,1.829491,-6.581016,-1.390358,-3.095399,-0.014489,-4.261008,-4.663932,4.06623,1.19101,3.810429,4.836247,7.29824,-6.410768,T
-36.71265,-5.432942,11.140345,12.404345,-6.469099,-2.866943,8.673841,-18.81193,1.813683,-15.882727,2.154113,-8.598241,-10.671434,-10.240839,2.381111,0.561391,-4.470557,-6.265174,11.126561,-1.331045,-11.571098,-9.971046,13.939426,-7.782246,-3.041886,9.13983,4.110853,3.936274,-11.078966,-3.24859,3.75644,2.127226,-0.13557,-1.060119,-0.528615,12.805469,-0.186862,1.233309,6.240395,19.636147,22.903933,-3.845091,-6.168244,-7.778385,-0.07007,11.986998,-0.991309,-4.661653,8.422434,-7.499315,-3.751811,-5.698622,-4.526941,-4.811926,13.170255,1.698888,4.899887,-1.797234,T
-32.501835,42.547994,-22.254824,27.354188,-26.370108,-6.220165,-19.361815,-21.307772,-5.802893,9.392636,1.944456,-19.553526,2.81872,2.827079,4.479522,4.978349,12.559075,-8.880287,-2.558483,1.976964,1.864197,-0.349914,1.354665,18.973897,6.375408,3.060313,11.033823,-12.599002,2.116713,22.174029,-7.528571,11.771641,-6.734412,-11.290668,8.014583,1.68903,-0.783216,-12.19562,-7.903394,5.863787,5.659036,10.327878,11.508301,0.611822,1.6516,-8.004787,0.404619,0.182121,-0.404048,-3.633041,-0.523259,-1.120016,-0.249551,-0.059093,-0.788398,-3.076917,-0.779108,2.393996,T
-6.330735,23.171516,-18.659416,6.541263,-22.825935,-4.665192,4.380016,26.045808,8.980975,1.225641,8.16104,15.776483,-1.887766,1.999308,-9.491874,3.610712,-2.113163,-0.885114,-1.375271,4.54618,1.772415,2.996063,-0.796114,10.313711,6.572921,2.698293,5.423164,4.868043,-11.814094,-7.059288,-2.075184,-2.851126,-4.280635,3.909994,2.171441,-7.699527,-2.109718,3.529453,4.734398,-11.102535,8.315931,11.523001,-9.418497,0.406112,3.244106,-2.294475,26.396652,-5.632303,-1.765839,-12.563052,-11.396362,5.014146,-6.994916,4.926268,2.5854,-9.222573,5.079086,4.738421,T
-37.864091,-37.377065,-10.426493,-3.399389,-9.397176,-1.259536,-1.704267,1.679931,1.001269,6.083968,10.825643,10.972211,4.819137,10.404963,3.517982,-10.382742,-10.848169,-12.159222,4.607453,-3.409372,3.892824,-0.066253,0.85049,8.444699,6.644904,0.814526,1.324343,0.004207,0.21857,-2.315958,0.332591,-0.405621,-6.488566,0.052678,4.270385,0.287628,-0.285255,2.691531,-4.21559,-4.555663,-4.543837,1.746957,3.197021,4.612144,8.545302,3.001828,1.055466,2.246131,11.683736,-0.138667,5.657078,-2.867898,-1.34287,-4.70874,3.616234,6.672939,3.070134,2.720063,T
33.717265,5.050499,-8.447265,15.976328,-31.45198,-8.903028,-0.387753,-3.182548,-4.758421,3.14464,7.503207,-8.324131,-3.104874,-9.746284,0.008515,10.159319,5.43635,4.163971,6.753184,3.452588,-3.005542,3.404274,2.769654,-2.908122,-1.188763,7.368563,0.206278,0.708723,0.604899,-0.416873,-3.380738,0.871182,-2.221013,4.525855,5.428409,-8.30961,6.310077,1.623824,1.3933,-0.838679,-1.770228,-6.885708,-2.650496,5.893663,-1.353163,-8.850831,-3.991914,6.739325,-0.478667,-3.214655,-0.804144,-0.873387,1.319691,8.886864,-7.345063,4.514306,-6.529794,-16.652061,T
14.677493,32.309872,-17.817699,5.322196,-16.01464,-5.187355,0.891312,21.628662,6.654697,6.948639,16.243561,15.192556,2.065339,0.075397,-3.737199,3.776205,6.372997,-2.165115,0.542525,5.601073,6.394646,8.667842,0.81218,-13.718119,-1.581897,-9.48717,9.957334,15.183154,-5.678653,-6.086028,-5.658557,9.479067,-9.497912,-0.071794,-16.668634,-8.38906,-3.240992,2.522609,-5.600269,9.632119,9.805421,5.487898,2.223681,-9.137316,7.890509,2.552848,-15.734308,-8.217797,-9.14866,2.930999,10.024073,-4.271502,0.217291,-4.466033,-12.631784,4.374124,-1.499398,4.354842,T
15.913313,63.015999,-26.193417,20.248106,-2.77439,15.252595,8.850854,27.130632,1.048355,12.509792,-17.411293,5.889023,-21.617893,-17.539923,31.876066,2.894123,-2.323802,1.495583,-14.406568,-24.164372,15.453798,-20.41883,-14.120319,-3.882413,-10.575526,2.883338,-7.232933,-3.777504,-2.901505,0.266508,8.579363,-0.292381,-4.453575,-4.328208,6.054527,0.426841,1.06087,-0.369723,-2.461494,1.633043,-0.677563,-3.944883,-0.935439,0.032697,3.230192,2.581335,-2.100634,0.540713,0.901711,-3.59056,0.838142,0.791171,-0.355897,-0.185474,0.307088,1.670412,2.031257,0.714845,T
-69.50877,2.985152,-6.219056,23.296812,-38.202423,-16.603478,-8.080739,-18.71518,-8.917695,9.821258,-8.015089,-22.801235,10.350838,-1.527808,4.73496,-7.472094,5.953146,2.631062,-4.407271,4.398219,8.532218,4.691931,-7.089901,-12.263503,-3.391922,-13.015034,-7.911211,-2.666833,2.785878,-1.691236,7.353246,-8.452149,7.003129,0.955771,-7.647497,-1.453077,-16.394764,9.829019,5.199251,-10.851747,-0.180232,3.025495,-12.080825,-5.610887,1.003962,5.0385,-0.162717,3.104527,0.677623,9.173331,8.999226,-2.833181,-8.30959,-1.455919,2.877994,-11.618486,4.339875,-0.686141,T
8.401248,-9.300744,1.341819,9.74014,-10.187627,-6.426831,-4.000181,-19.111149,-0.979384,-6.170021,3.300953,-12.903424,6.09066,-1.067405,-7.453446,-3.593688,2.530554,8.919419,0.751969,-6.706705,7.220714,-1.303501,-0.776783,1.159281,3.533573,0.083955,-0.296055,0.051434,-4.461702,-6.055508,9.173896,9.336456,-3.097567,2.247471,1.386232,-4.645962,7.080181,-2.029219,-2.03513,1.818114,-0.479063,3.141551,0.306769,-2.509481,1.526744,4.831817,-5.253994,3.477572,1.82882,-1.638038,-2.231331,0.429531,3.280942,8.614116,0.801835,9.913399,8.412812,1.466979,T
