normal,gene14,gene377,gene493,gene1917,gene765,gene249,gene625,gene1771,gene1671,gene841
1,-1.53192,0.396329,1.03187,0.53002,0.349957,-0.084774,0.332443,-0.694222,-0.525082,0.117787
-1,0.404811,1.68741,1.58552,1.13252,1.55094,1.0784,-0.044018,-1.01578,-1.83078,-0.304669
1,-1.70035,0.697607,0.695736,0.967687,-0.085503,-1.06411,-0.278723,-0.520239,1.04685,-0.317325
-1,-0.55931,0.868489,1.17647,1.56388,1.03575,0.563893,-0.029961,-1.75265,-0.961789,-1.38112
1,0.486905,-1.19735,-0.63584,-0.422701,0.465046,0.168165,-0.442686,1.05626,1.09874,0.101216
-1,1.93079,0.685269,1.01743,-0.349665,2.0169,1.67156,-0.816522,-0.662504,-0.70534,-0.405644
1,-0.976049,-0.204359,-0.794348,0.479983,-0.543412,-0.946359,0.748909,0.024033,2.4,-0.692239
-1,1.15644,1.20423,1.05802,1.39596,1.88703,1.9131,-1.5901,-2.18015,-0.623567,-1.76412
1,-0.588374,-1.08521,-0.953479,-1.13047,0.006184,-0.754156,0.737611,1.96852,0.979544,-2.15251
-1,1.38068,0.73714,1.10446,0.00593,1.86499,1.67066,-2.16295,-1.18195,-1.52505,0.944801
1,-1.3067,0.043436,-0.698936,-1.18073,-0.58444,-1.197,0.79234,0.697892,-0.369044,1.44681
-1,1.02923,0.424935,1.64426,1.16443,1.92245,1.27091,0.682479,-1.03423,-1.36135,-1.04612
1,0.684712,0.265867,0.101192,0.039428,0.640185,0.116041,0.306087,0.208339,-0.122111,-0.840731
-1,1.01476,1.04822,2.02629,0.049608,1.7931,1.282,-1.15048,-1.09438,-1.78412,-1.4068
1,-0.178935,-0.720749,0.316226,0.043344,0.478516,-0.158787,-1.1886,-0.373964,-0.517352,-0.58465
-1,-0.101042,0.435586,0.750946,-0.129948,0.379343,-0.888453,-1.85838,-2.30359,-0.78385,-1.58673
1,-0.633022,0.608344,0.189036,0.383361,-0.311375,-0.667622,1.02459,1.2427,0.587315,-0.239024
