normal,gene14,gene377,gene493,gene1917,gene765,gene249,gene625,gene1771,gene1671,gene841,gene1423,gene1047,gene1892,gene419,gene1293,gene822,gene1674,gene267,gene1400,gene892,gene66,gene1884,gene581,gene1597,gene245,gene513,gene1153,gene67,gene1494,gene415,gene1416,gene1635,gene391,gene1873,gene824,gene1772,gene1534,gene1946,gene1472,gene1388,gene1511,gene1058,gene1758,gene111,gene1115,gene1231,gene1730,gene561,gene1168,gene1924,gene1634,gene1838,gene75,gene1346,gene1111,gene1256,gene882,gene622,gene1959,gene1972,gene1372,gene411,gene187,gene772,gene1672,gene1982,gene992,gene779,gene639,gene834,gene1867,gene1406,gene1060,gene1184,gene1897,gene136,gene1967,gene1042,gene1651,gene1451,gene758,gene1560,gene1679,gene143,gene529,gene648,gene281,gene1048,gene837,gene970,gene624,gene1334,gene1473,gene119,gene1570,gene852,gene399,gene1920,gene1599,gene1381
1,-1.53192,0.396329,1.03187,0.53002,0.349957,-0.084774,0.332443,-0.694222,-0.525082,0.117787,0.353318,1.69032,-0.378657,-0.961885,0.700039,0.095114,-0.061928,0.000689,-0.942793,-1.37324,0.01698,-0.979565,0.149302,-0.208554,0.053861,0.338184,1.07461,0.116946,-0.652913,0.409291,-1.53753,-0.782026,0.738424,-0.369497,0.261337,0.234473,1.32067,0.360917,0.673796,-0.560586,-0.157059,-1.09246,0.039088,0.195088,0.432495,-0.616197,-0.153933,-3.04872,0.478998,0.620955,0.591347,1.1644,1.46226,-0.345308,-0.424271,0.808888,-0.397061,0.617176,0.692009,0.856032,1.32168,-0.083107,-0.244483,-0.565748,0.87534,0.973863,0.254848,0.151945,0.286705,-0.321928,0.700442,0.933735,-0.262327,-0.477816,-1.18659,-0.829435,0.040511,-0.207158,1.98187,-0.24381,0.551379,-0.253579,0.559915,-0.052391,0.823814,1.57702,1.89978,-1.97717,-0.366743,0.247125,-0.743964,-0.247243,1.81534,0.330373,-0.699901,-0.014707,-0.676987,0.051585,-0.28362,1.13987
-1,0.404811,1.68741,1.58552,1.13252,1.55094,1.0784,-0.044018,-1.01578,-1.83078,-0.304669,1.54289,0.508408,1.1736,0.132091,0.204408,1.75134,1.14939,1.24354,-1.43354,1.32801,0.639241,0.661753,-0.320751,-0.745925,1.22309,-0.864754,0.046023,0.684171,1.58848,1.50406,-0.204508,1.07346,-0.263439,1.71962,0.405049,-1.29141,-0.472861,0.199938,-0.71802,-1.15949,-0.239966,-0.128283,0.710564,1.53404,-0.048505,-0.032051,-1.45746,-1.12694,-0.118437,-0.445452,0.279767,-0.152596,0.273909,-1.12936,0.241204,-1.04654,-0.449232,-0.566642,0.410797,0.101899,-0.595039,-1.06075,-1.27933,-0.775275,1.07735,0.818379,0.924034,0.212044,0.37356,-0.189188,-1.60278,0.013525,-1.40416,-1.12219,0.754738,-0.278902,1.49856,-0.927375,0.875995,0.843614,0.85499,-0.061358,-0.354386,-0.804864,0.125908,0.468483,0.248899,-0.489413,-0.431188,0.449087,-0.189559,-0.675268,0.497104,-0.665037,-0.02377,0.215354,-1.13259,-1.71671,-0.271342,0.553479
1,-1.70035,0.697607,0.695736,0.967687,-0.085503,-1.06411,-0.278723,-0.520239,1.04685,-0.317325,0.749552,0.176377,-0.736563,-0.218032,-0.409541,0.184835,2.08388,-0.594958,-0.586686,0.086015,-0.913681,-0.07141,0.653475,-1.00352,-0.474886,-2.52545,-0.625048,-1.37279,-0.247368,1.03293,0.509618,-0.558988,-1.99412,-1.53914,-0.104522,-1.1298,1.06427,-0.713891,0.055553,-3.69987,-0.898824,-1.5117,-0.41509,0.595206,0.245188,-0.525941,-0.741531,-0.620347,-1.53472,0.03812,-0.81348,1.00487,0.367315,-0.613006,0.074055,-1.31061,-2.23254,0.228817,-0.682391,0.269728,-0.951838,-1.29284,-1.17883,0.059353,0.099298,2.026,-1.01959,0.680832,-0.639271,-2.59535,-1.98103,-0.6635,-1.4108,-2.28264,-1.22744,-2.05747,0.915069,-0.880517,0.050008,-1.92743,1.28699,1.15194,-0.857677,1.89654,1.0896,-0.378901,0.07083,-1.28127,-2.39892,1.20345,-3.77658,-1.47967,0.742474,2.06027,-0.905312,1.10884,-1.1539,-0.937671,-2.7507,0.915119
-1,-0.55931,0.868489,1.17647,1.56388,1.03575,0.563893,-0.029961,-1.75265,-0.961789,-1.38112,1.40453,0.072867,-0.400963,-0.085119,0.206564,0.940464,1.94943,0.394814,-1.16683,-0.772504,-1.26244,-0.531569,0.334995,-0.226896,0.388727,-1.32753,0.30439,-0.818342,-0.174523,1.26225,-0.259375,-0.231136,-0.647155,3.20929,-0.976312,-1.35392,-0.012053,0.325624,-0.482723,-0.907193,-0.54901,0.854712,0.717587,1.06286,-0.028642,-0.224959,-1.07194,-0.098443,-2.30458,0.583746,0.086751,-0.12811,0.645204,-0.745445,-0.401902,-3.45447,-2.45048,-0.332424,-0.324593,0.560122,-0.798595,-0.460608,-1.37408,-0.250012,1.76371,1.66736,-0.203129,0.716252,-1.12128,-0.528087,-1.67146,-0.61916,-1.31656,-0.790695,-0.417979,-1.09337,1.14069,-1.60269,-0.176156,-0.431397,0.03982,-0.163218,0.643558,0.064675,1.30849,0.417871,0.400919,-2.14352,-2.14932,1.54539,-0.696614,-1.59173,0.633143,1.78669,-0.263244,1.22596,-0.9109,-0.01657,-1.98976,1.0435
1,0.486905,-1.19735,-0.63584,-0.422701,0.465046,0.168165,-0.442686,1.05626,1.09874,0.101216,-0.298782,-0.679594,0.096454,0.858919,-0.769534,-0.210693,-0.148625,0.135833,-0.019951,0.230257,0.012152,-0.045139,-0.104955,-0.25915,0.262511,1.48213,0.413872,0.259695,-0.066241,-0.183461,0.859295,-0.423752,0.074774,-1.44921,-0.091543,1.29685,-0.005755,-0.676969,-0.882707,1.05278,-0.931567,0.097545,-1.50137,0.285324,0.642919,-1.58396,0.341729,0.130823,0.260467,0.26429,-0.691,1.25196,-0.475822,0.805779,-0.208006,0.687996,0.25656,-0.047115,0.155246,-1.3266,-2.81002,-0.076038,2.71405,0.450593,-1.07907,-0.130431,0.075031,-0.472915,0.478905,-0.895889,-0.663756,-0.69604,0.170895,-0.613044,0.099831,-0.213359,-0.443881,1.45765,-1.12078,-0.368065,-1.48573,-0.441923,-1.94542,-0.538091,-0.413008,-0.251714,2.93216,-0.543413,0.559383,-0.124402,0.264052,0.702272,0.199712,0.927566,-0.375952,0.282601,1.03495,-0.576958,-0.395533,0.977141
-1,1.93079,0.685269,1.01743,-0.349665,2.0169,1.67156,-0.816522,-0.662504,-0.70534,-0.405644,0.830248,-2.27987,1.382,1.22298,-1.74261,0.335435,0.091651,1.96086,0.028395,1.17087,1.77681,1.04794,-1.53802,0.460102,1.96491,-0.759415,-2.99346,0.446307,0.93623,0.216917,1.37814,0.984955,-2.10086,0.784057,1.52198,0.462199,0.524179,-1.77229,-1.02027,1.40426,-1.89414,1.44799,-0.956651,1.14872,-0.462045,2.46805,-1.22157,1.38573,-1.23609,1.65094,-2.16042,0.26056,-1.66907,0.521931,1.82085,-0.669356,-0.936904,-0.19894,-2.14889,-1.07108,-1.38818,2.19862,-0.172866,0.095824,-0.604908,0.350809,-1.80351,-1.10372,-0.651215,-2.29152,-0.389016,-1.26291,-0.871677,0.329907,1.60959,0.1295,0.411737,-0.548488,-1.0525,1.07145,-0.009459,1.0564,-2.48127,0.899993,-1.5353,-1.77946,-1.07469,-1.79702,1.24929,-1.16189,1.17434,-0.575351,-0.466908,0.831449,1.39293,0.028891,-0.60064,-1.85091,-0.754836,0.993891
1,-0.976049,-0.204359,-0.794348,0.479983,-0.543412,-0.946359,0.748909,0.024033,2.4,-0.692239,-0.402997,-0.161914,-0.619891,0.693757,-0.142769,-1.16085,-0.453917,-1.03347,-0.903596,-0.665131,-0.339011,-1.01048,-0.637474,-0.58874,-0.885041,0.534473,-0.744242,-0.970359,-1.54675,-1.37817,-0.963078,-1.01707,0.643544,-0.184692,-1.45998,0.170894,1.4066,0.53206,-0.349072,0.058219,0.585476,-0.236377,0.261807,-0.210795,1.19394,-1.02632,-0.474359,-0.932672,-0.515561,-2.17991,0.118634,1.79358,1.71127,0.065712,-1.40953,-0.170817,-0.792025,-0.637864,-0.226564,0.086029,0.70428,-0.929549,-0.474134,-0.083466,0.333194,0.734183,-0.199972,0.530731,0.181151,0.275384,-0.623746,0.503355,-0.723846,-0.690876,-1.14254,0.392649,-2.34245,-0.181919,-0.060602,0.368234,0.259559,0.326435,0.770858,-0.491007,1.59923,-0.220968,0.442926,0.152155,-1.32618,0.827856,-0.345411,-0.291619,0.144962,-0.172924,-1.20301,0.005807,0.299623,-0.0749,-1.46495,0.563663
-1,1.15644,1.20423,1.05802,1.39596,1.88703,1.9131,-1.5901,-2.18015,-0.623567,-1.76412,0.921093,-1.42771,-1.31616,0.464584,-2.01284,0.906032,0.883036,1.69289,0.118521,-0.314277,0.249952,0.164915,-1.83617,0.869148,1.79079,-0.897567,-2.18458,0.890372,-0.01739,0.514073,1.10892,0.216604,-0.744561,-0.226522,1.08091,-0.604493,0.216448,-1.1043,-2.11648,1.401,-1.68008,2.26119,-0.354568,0.732065,0.267354,-0.42603,-0.514109,1.17506,-1.72518,1.61149,-1.36515,0.524759,-0.791384,-0.927831,0.244202,-1.74699,-1.26415,1.47902,-1.84592,-1.65941,-0.965853,-0.6283,-0.712988,0.926905,-0.220028,1.03108,-2.36148,-1.16975,-1.31814,-1.79499,0.390606,-1.1722,-1.26058,0.507097,-0.9521,-0.890805,0.554898,-0.854182,-0.585746,1.1965,0.625548,-0.358157,-0.783226,2.42809,-0.67,-1.59268,-1.83925,-2.12205,0.237833,2.31334,0.625243,-1.09117,-0.748767,-0.339229,1.74145,-0.841535,-0.477135,-2.65267,-0.733269,1.54623
1,-0.588374,-1.08521,-0.953479,-1.13047,0.006184,-0.754156,0.737611,1.96852,0.979544,-2.15251,-0.298926,1.5115,-1.21942,-1.54262,0.69997,-0.506791,0.184215,-0.339901,0.752718,-1.03129,-1.13522,-1.04205,1.52378,-1.26659,-0.328117,1.22099,0.667483,-1.5389,-1.23846,-0.76935,-0.52983,-1.61988,0.64727,-0.893906,-0.358564,1.0272,1.64366,0.2438,0.220407,-0.002748,0.748379,-0.276179,1.24217,-0.466529,0.663459,0.699473,-0.798628,-0.979262,-0.94423,0.750454,1.84942,1.19745,0.570647,1.51229,0.087629,-0.003531,-0.449611,-0.723593,1.58141,0.226533,-0.261883,-0.966676,0.573486,-2.96517,-0.005845,0.94817,1.65167,2.09836,-0.692957,0.265638,1.05164,1.22461,1.83516,-0.535313,-0.544753,-0.62406,-0.840167,2.41727,-0.632356,-0.858483,-1.10659,-2.0617,0.348656,-0.941886,0.227413,2.14388,0.529996,-1.59887,0.601136,0.480728,0.785531,0.203385,1.20634,-0.741178,0.459145,0.96537,2.15884,0.516741,-2.80895,0.355042
-1,1.38068,0.73714,1.10446,0.00593,1.86499,1.67066,-2.16295,-1.18195,-1.52505,0.944801,0.902517,-1.13042,1.46816,1.80047,-2.03385,0.881497,-0.299918,1.715,-0.960517,2.26875,1.05099,1.66318,-1.0017,0.4267,1.71781,-1.36961,-1.89596,1.72534,1.30253,0.821226,0.581662,0.89085,-1.79619,-0.117372,1.07903,-0.719822,-0.638278,-1.80219,-2.2683,0.86971,-2.10916,0.777029,-0.80766,0.886727,-0.659941,0.322806,-0.996422,0.773512,-0.339885,1.23269,-2.33238,-0.745262,-1.69664,-0.097736,-0.102478,0.48916,-0.199566,0.8448,-1.29951,-2.45278,-1.01638,1.51251,-0.837581,1.3486,-0.055981,0.639984,-1.66894,-0.720386,0.214451,-0.880831,-0.848025,-1.48259,-1.22513,-0.208042,1.00732,-0.618222,0.062145,-0.497923,-1.888,0.49416,-0.006929,1.03749,-1.36596,-0.337955,-1.10737,-1.02994,-1.69667,0.143258,0.57064,-1.17844,0.3878,-0.443268,-0.428891,1.09513,1.03875,-0.159962,-1.01563,-1.40665,0.52135,0.50106
