normal,gene14,gene377,gene493,gene1917,gene765,gene249,gene625,gene1771,gene1671,gene841,gene1423,gene1047,gene1892,gene419,gene1293,gene822,gene1674,gene267,gene1400,gene892,gene66,gene1884,gene581,gene1597,gene245,gene513,gene1153,gene67,gene1494,gene415,gene1416,gene1635,gene391,gene1873,gene824,gene1772,gene1534,gene1946,gene1472,gene1388,gene1511,gene1058,gene1758,gene111,gene1115,gene1231,gene1730,gene561,gene1168,gene1924,gene1634,gene1838,gene75,gene1346,gene1111,gene1256,gene882,gene622,gene1959,gene1972,gene1372,gene411,gene187,gene772,gene1672,gene1982,gene992,gene779,gene639,gene834,gene1867,gene1406,gene1060,gene1184,gene1897,gene136,gene1967,gene1042,gene1651,gene1451,gene758,gene1560,gene1679,gene143,gene529,gene648,gene281,gene1048,gene837,gene970,gene624,gene1334,gene1473,gene119,gene1570,gene852,gene399,gene1920,gene1599,gene1381,gene785,gene515,gene99,gene1247,gene994,gene694,gene1900,gene1983,gene1387,gene1843,gene1288,gene1640,gene1452,gene1812,gene43,gene866,gene1968,gene1002,gene732,gene1032,gene1802,gene1993,gene665,gene405,gene1537,gene279,gene1421,gene295,gene555,gene1567,gene806,gene1447,gene1186,gene359,gene1582,gene792,gene980,gene941,gene657,gene679,gene1366,gene440,gene1546,gene1187,gene1380,gene190,gene100,gene1411,gene778,gene32,gene1004,gene1113,gene1702,gene564,gene1401,gene495,gene989,gene1504,gene26,gene1370,gene70,gene365,gene1808,gene698,gene358,gene964,gene1285,gene1227,gene137,gene447,gene181,gene275,gene652,gene859,gene1668,gene1353,gene1110,gene910,gene1010,gene188,gene1213,gene1514,gene23,gene220,gene1394,gene734,gene1515,gene1313,gene830,gene739,gene912,gene520,gene376,gene1642,gene570,gene1386,gene1414,gene1887,gene1939,gene49
1,-1.53192,0.396329,1.03187,0.53002,0.349957,-0.084774,0.332443,-0.694222,-0.525082,0.117787,0.353318,1.69032,-0.378657,-0.961885,0.700039,0.095114,-0.061928,0.000689,-0.942793,-1.37324,0.01698,-0.979565,0.149302,-0.208554,0.053861,0.338184,1.07461,0.116946,-0.652913,0.409291,-1.53753,-0.782026,0.738424,-0.369497,0.261337,0.234473,1.32067,0.360917,0.673796,-0.560586,-0.157059,-1.09246,0.039088,0.195088,0.432495,-0.616197,-0.153933,-3.04872,0.478998,0.620955,0.591347,1.1644,1.46226,-0.345308,-0.424271,0.808888,-0.397061,0.617176,0.692009,0.856032,1.32168,-0.083107,-0.244483,-0.565748,0.87534,0.973863,0.254848,0.151945,0.286705,-0.321928,0.700442,0.933735,-0.262327,-0.477816,-1.18659,-0.829435,0.040511,-0.207158,1.98187,-0.24381,0.551379,-0.253579,0.559915,-0.052391,0.823814,1.57702,1.89978,-1.97717,-0.366743,0.247125,-0.743964,-0.247243,1.81534,0.330373,-0.699901,-0.014707,-0.676987,0.051585,-0.28362,1.13987,-2.0021,-0.647495,-1.70486,-0.909369,0.18709,0.443077,-0.645988,0.281659,0.849493,-1.41003,0.290082,0.576603,-0.131382,0.624351,0.584761,-0.492318,0.492108,0.603452,1.24654,-0.924512,-0.56101,0.382957,0.597123,-0.464192,1.76856,0.804711,-1.0764,0.864777,0.170738,0.927177,-0.547933,-0.494074,1.73078,-1.18033,0.826214,-0.213302,0.864946,-1.42909,-0.805889,0.991121,0.284462,-0.62388,-0.243657,-0.717488,0.023025,-0.350859,0.264935,-0.441075,1.22432,0.455312,-1.01275,0.157441,0.614769,1.14539,-0.07693,-1.09345,-1.11665,-0.922235,0.206106,-0.145897,-0.361302,0.70523,0.324087,-0.789765,0.882357,0.27838,-0.24083,-0.957341,1.30251,1.53944,0.405522,-0.130597,-0.160803,1.03889,0.939657,0.255458,0.119317,-0.998041,0.118457,0.14712,0.773152,0.169016,2.1155,0.511828,0.563152,0.654866,0.85446,-1.25903,1.79913,-0.003091,-1.67576,0.846186,1.00214,0.690345,-0.026506,0.831992,1.91332,0.105094,-0.700976,0.150824
-1,0.404811,1.68741,1.58552,1.13252,1.55094,1.0784,-0.044018,-1.01578,-1.83078,-0.304669,1.54289,0.508408,1.1736,0.132091,0.204408,1.75134,1.14939,1.24354,-1.43354,1.32801,0.639241,0.661753,-0.320751,-0.745925,1.22309,-0.864754,0.046023,0.684171,1.58848,1.50406,-0.204508,1.07346,-0.263439,1.71962,0.405049,-1.29141,-0.472861,0.199938,-0.71802,-1.15949,-0.239966,-0.128283,0.710564,1.53404,-0.048505,-0.032051,-1.45746,-1.12694,-0.118437,-0.445452,0.279767,-0.152596,0.273909,-1.12936,0.241204,-1.04654,-0.449232,-0.566642,0.410797,0.101899,-0.595039,-1.06075,-1.27933,-0.775275,1.07735,0.818379,0.924034,0.212044,0.37356,-0.189188,-1.60278,0.013525,-1.40416,-1.12219,0.754738,-0.278902,1.49856,-0.927375,0.875995,0.843614,0.85499,-0.061358,-0.354386,-0.804864,0.125908,0.468483,0.248899,-0.489413,-0.431188,0.449087,-0.189559,-0.675268,0.497104,-0.665037,-0.02377,0.215354,-1.13259,-1.71671,-0.271342,0.553479,-0.120365,-0.888237,0.763439,1.11567,-1.58125,-1.30208,-0.988686,0.244665,1.46744,1.11515,-0.480641,0.19447,-0.179743,0.190759,-1.22354,0.350065,0.243092,0.560797,0.640032,0.278017,-0.729229,-1.81537,0.250354,-2.12419,0.759387,0.555825,1.02788,0.94546,1.32224,0.696587,0.903165,-0.836475,0.683374,-0.715819,-0.616352,2.20339,0.490374,0.250505,-1.48493,0.785612,-0.820324,-1.0075,-0.625212,-1.50574,1.11883,-0.358259,-0.447643,1.16647,0.431779,1.44856,-0.129122,0.853092,-0.310653,0.786489,-0.051972,-0.771483,-0.608501,0.096949,-0.970803,-0.004435,1.72829,-2.09389,-0.579837,-1.21896,0.598599,-0.235105,1.11275,-1.65074,0.964317,0.738014,1.4573,-1.09777,-1.04402,0.671071,0.675957,-0.328731,-0.868457,0.575502,0.604569,0.068761,0.081657,-0.717135,0.614148,-1.13208,-0.990217,-0.185047,-0.083477,-1.46937,0.01797,1.76837,-0.530677,0.226897,0.715216,0.585785,-0.280182,-0.684225,0.059041,-0.858913,-0.493079,1.77726
1,-1.70035,0.697607,0.695736,0.967687,-0.085503,-1.06411,-0.278723,-0.520239,1.04685,-0.317325,0.749552,0.176377,-0.736563,-0.218032,-0.409541,0.184835,2.08388,-0.594958,-0.586686,0.086015,-0.913681,-0.07141,0.653475,-1.00352,-0.474886,-2.52545,-0.625048,-1.37279,-0.247368,1.03293,0.509618,-0.558988,-1.99412,-1.53914,-0.104522,-1.1298,1.06427,-0.713891,0.055553,-3.69987,-0.898824,-1.5117,-0.41509,0.595206,0.245188,-0.525941,-0.741531,-0.620347,-1.53472,0.03812,-0.81348,1.00487,0.367315,-0.613006,0.074055,-1.31061,-2.23254,0.228817,-0.682391,0.269728,-0.951838,-1.29284,-1.17883,0.059353,0.099298,2.026,-1.01959,0.680832,-0.639271,-2.59535,-1.98103,-0.6635,-1.4108,-2.28264,-1.22744,-2.05747,0.915069,-0.880517,0.050008,-1.92743,1.28699,1.15194,-0.857677,1.89654,1.0896,-0.378901,0.07083,-1.28127,-2.39892,1.20345,-3.77658,-1.47967,0.742474,2.06027,-0.905312,1.10884,-1.1539,-0.937671,-2.7507,0.915119,-1.01524,-0.321339,-1.44388,-0.35342,-0.543793,-2.05382,-0.58582,-0.29777,-0.936728,-0.202171,2.46885,1.56946,-1.0992,0.664871,-1.7664,1.99586,1.52835,-2.07705,-0.147491,-1.18503,-1.17337,-2.039,1.84121,-0.700919,-0.372601,0.231054,-0.198284,-0.145546,-0.497912,-1.13546,1.47842,-1.19168,-0.312532,-1.63142,1.04438,-0.798065,1.43271,-2.60187,2.82293,-1.2838,1.20344,-2.21017,0.21006,-1.33683,-0.116507,-2.59585,-1.73798,-0.660073,1.55834,-0.669519,-0.975124,2.13023,1.15503,1.53565,0.39633,-1.33435,-1.18379,0.074842,-1.29992,1.593,0.843135,-0.86126,-0.455509,-1.20098,0.901649,-0.005774,1.60369,-1.83763,0.515681,-1.01725,-0.215389,-0.492203,-2.90591,-0.860676,1.9964,0.660811,-1.92145,2.09871,0.39296,1.18443,-2.12658,-0.011566,-0.195161,-0.31971,-0.405758,0.524784,-1.44359,-1.83416,-0.742361,-0.815769,0.292693,0.313193,1.06485,1.97258,-0.006876,-0.159514,-1.11734,-1.98869,-1.71925,1.04816
-1,-0.55931,0.868489,1.17647,1.56388,1.03575,0.563893,-0.029961,-1.75265,-0.961789,-1.38112,1.40453,0.072867,-0.400963,-0.085119,0.206564,0.940464,1.94943,0.394814,-1.16683,-0.772504,-1.26244,-0.531569,0.334995,-0.226896,0.388727,-1.32753,0.30439,-0.818342,-0.174523,1.26225,-0.259375,-0.231136,-0.647155,3.20929,-0.976312,-1.35392,-0.012053,0.325624,-0.482723,-0.907193,-0.54901,0.854712,0.717587,1.06286,-0.028642,-0.224959,-1.07194,-0.098443,-2.30458,0.583746,0.086751,-0.12811,0.645204,-0.745445,-0.401902,-3.45447,-2.45048,-0.332424,-0.324593,0.560122,-0.798595,-0.460608,-1.37408,-0.250012,1.76371,1.66736,-0.203129,0.716252,-1.12128,-0.528087,-1.67146,-0.61916,-1.31656,-0.790695,-0.417979,-1.09337,1.14069,-1.60269,-0.176156,-0.431397,0.03982,-0.163218,0.643558,0.064675,1.30849,0.417871,0.400919,-2.14352,-2.14932,1.54539,-0.696614,-1.59173,0.633143,1.78669,-0.263244,1.22596,-0.9109,-0.01657,-1.98976,1.0435,-1.47986,-0.427738,-0.935601,-0.544951,-0.691908,-1.69449,-0.82684,0.344767,0.535278,-0.06268,-0.461759,1.25289,-0.413742,-0.522818,-1.1907,0.723665,0.850161,0.094358,0.439398,-1.48919,-0.260261,-4.44058,2.36977,-1.1175,-0.201323,1.15382,-0.348931,0.10767,-0.707735,-1.05041,0.307053,-0.881574,0.384819,-0.756585,-0.880243,1.73503,1.02693,-1.67613,1.63773,-0.605323,-0.943025,-1.8426,-1.04329,-1.09258,1.68488,-2.26128,-1.47202,-2.41441,0.621264,2.01843,-0.311544,1.43123,0.076316,1.86563,-0.118999,-1.50155,-2.05652,-0.037289,-0.657361,-0.096133,1.8265,-1.14678,-0.853037,-1.10069,1.74596,-0.161465,1.47379,-1.28189,0.992413,-0.350931,0.804075,0.160348,-1.17613,0.046851,1.29154,-0.157012,-1.21161,1.22518,1.85127,0.917493,-1.43679,0.872987,0.607006,-0.337109,-0.320061,-0.283472,0.26675,-1.63564,-0.758069,0.541775,-0.966992,0.416346,0.365421,2.03521,-0.721884,-0.07148,-1.15807,-0.718938,-0.976894,1.39601
1,0.486905,-1.19735,-0.63584,-0.422701,0.465046,0.168165,-0.442686,1.05626,1.09874,0.101216,-0.298782,-0.679594,0.096454,0.858919,-0.769534,-0.210693,-0.148625,0.135833,-0.019951,0.230257,0.012152,-0.045139,-0.104955,-0.25915,0.262511,1.48213,0.413872,0.259695,-0.066241,-0.183461,0.859295,-0.423752,0.074774,-1.44921,-0.091543,1.29685,-0.005755,-0.676969,-0.882707,1.05278,-0.931567,0.097545,-1.50137,0.285324,0.642919,-1.58396,0.341729,0.130823,0.260467,0.26429,-0.691,1.25196,-0.475822,0.805779,-0.208006,0.687996,0.25656,-0.047115,0.155246,-1.3266,-2.81002,-0.076038,2.71405,0.450593,-1.07907,-0.130431,0.075031,-0.472915,0.478905,-0.895889,-0.663756,-0.69604,0.170895,-0.613044,0.099831,-0.213359,-0.443881,1.45765,-1.12078,-0.368065,-1.48573,-0.441923,-1.94542,-0.538091,-0.413008,-0.251714,2.93216,-0.543413,0.559383,-0.124402,0.264052,0.702272,0.199712,0.927566,-0.375952,0.282601,1.03495,-0.576958,-0.395533,0.977141,0.6304,-0.410578,0.360763,0.475374,0.351548,0.772124,0.133958,-0.322137,-0.642079,-0.061154,-0.82329,0.201883,-0.369625,-0.593751,1.5421,0.394087,-1.64516,1.25847,-0.351125,0.524665,0.024797,-0.083921,-0.503919,0.673079,-0.76594,-0.392147,-0.735415,0.056263,-0.167649,0.501701,-0.633712,-0.307677,-0.211984,0.556399,0.355867,-1.733,1.09381,-0.487528,0.961706,-0.531172,-0.223938,-0.174468,0.352238,0.12673,1.84118,1.69733,0.244731,-0.621749,0.047996,-0.133293,-0.394748,-0.805214,1.12444,-0.58915,0.573074,0.393006,0.721203,-0.325319,0.716794,-0.568841,0.06279,0.318419,1.07235,0.148086,-0.405414,-0.236764,-0.984095,0.475459,-0.352207,-1.08365,-0.203509,0.258408,1.00142,-1.64131,1.18501,-1.76962,1.11183,0.010581,0.699346,-0.882696,-0.461122,0.427963,-0.02423,1.19401,-0.730999,-1.19482,-1.73782,0.279987,-0.510709,-0.75444,-0.28414,-0.773246,0.306543,0.453669,-0.389761,-1.08367,0.448843,0.019797,0.174443,0.854811
-1,1.93079,0.685269,1.01743,-0.349665,2.0169,1.67156,-0.816522,-0.662504,-0.70534,-0.405644,0.830248,-2.27987,1.382,1.22298,-1.74261,0.335435,0.091651,1.96086,0.028395,1.17087,1.77681,1.04794,-1.53802,0.460102,1.96491,-0.759415,-2.99346,0.446307,0.93623,0.216917,1.37814,0.984955,-2.10086,0.784057,1.52198,0.462199,0.524179,-1.77229,-1.02027,1.40426,-1.89414,1.44799,-0.956651,1.14872,-0.462045,2.46805,-1.22157,1.38573,-1.23609,1.65094,-2.16042,0.26056,-1.66907,0.521931,1.82085,-0.669356,-0.936904,-0.19894,-2.14889,-1.07108,-1.38818,2.19862,-0.172866,0.095824,-0.604908,0.350809,-1.80351,-1.10372,-0.651215,-2.29152,-0.389016,-1.26291,-0.871677,0.329907,1.60959,0.1295,0.411737,-0.548488,-1.0525,1.07145,-0.009459,1.0564,-2.48127,0.899993,-1.5353,-1.77946,-1.07469,-1.79702,1.24929,-1.16189,1.17434,-0.575351,-0.466908,0.831449,1.39293,0.028891,-0.60064,-1.85091,-0.754836,0.993891,-1.48256,0.373388,-0.17391,0.881852,-0.902641,0.499785,-3.13488,-1.19573,0.593923,0.777884,-1.92102,0.866142,-3.32011,1.0411,0.04401,1.08803,0.151907,-1.38251,0.826835,-0.971544,0.17042,0.302785,1.14506,1.80823,-1.7546,-0.856355,0.968413,-1.34212,0.005386,-0.234405,0.259387,-0.639043,-0.232254,0.016835,0.795269,0.113185,1.29101,0.442473,1.46543,-1.60984,-0.749957,-0.957097,-1.01797,0.019145,-0.955168,-1.39267,-1.52119,0.858528,0.893828,0.111948,0.297525,-1.24434,2.11614,0.219211,0.869977,-1.11521,-1.11416,1.49543,-0.292552,-3.08844,0.043284,0.244371,-0.004689,-0.423649,-1.90416,-2.03512,0.114459,-0.057515,0.934076,-2.46093,0.357609,0.154502,0.57285,-1.85069,1.20607,-1.36703,-0.445781,0.20469,0.529071,-1.76024,-1.88616,1.63743,-1.57735,2.52178,0.845652,-1.77968,-1.51064,0.471903,-1.56658,0.953941,1.40056,-1.88884,0.356923,1.09147,-1.49546,0.848599,-0.313775,-1.0659,0.206814,0.857844
1,-0.976049,-0.204359,-0.794348,0.479983,-0.543412,-0.946359,0.748909,0.024033,2.4,-0.692239,-0.402997,-0.161914,-0.619891,0.693757,-0.142769,-1.16085,-0.453917,-1.03347,-0.903596,-0.665131,-0.339011,-1.01048,-0.637474,-0.58874,-0.885041,0.534473,-0.744242,-0.970359,-1.54675,-1.37817,-0.963078,-1.01707,0.643544,-0.184692,-1.45998,0.170894,1.4066,0.53206,-0.349072,0.058219,0.585476,-0.236377,0.261807,-0.210795,1.19394,-1.02632,-0.474359,-0.932672,-0.515561,-2.17991,0.118634,1.79358,1.71127,0.065712,-1.40953,-0.170817,-0.792025,-0.637864,-0.226564,0.086029,0.70428,-0.929549,-0.474134,-0.083466,0.333194,0.734183,-0.199972,0.530731,0.181151,0.275384,-0.623746,0.503355,-0.723846,-0.690876,-1.14254,0.392649,-2.34245,-0.181919,-0.060602,0.368234,0.259559,0.326435,0.770858,-0.491007,1.59923,-0.220968,0.442926,0.152155,-1.32618,0.827856,-0.345411,-0.291619,0.144962,-0.172924,-1.20301,0.005807,0.299623,-0.0749,-1.46495,0.563663,0.225828,-0.403777,-0.475102,-1.0888,-0.400286,-0.842913,0.693294,0.148282,-0.369533,-1.19592,1.15764,1.34543,1.30011,-1.38567,0.190985,0.312845,0.932961,0.111394,0.086878,-0.157996,-1.43477,-1.4559,0.602162,-0.165462,0.281245,0.260285,-1.59799,1.39473,-1.19596,0.368493,-0.926663,-0.190495,1.46385,0.886778,0.419353,-0.9252,0.548956,-0.871666,-0.472886,0.293963,1.53235,-0.864238,-0.316075,0.760515,-1.05033,-0.114265,0.71119,-0.438179,2.1187,0.155519,-1.03374,-0.188393,0.940769,2.155,-0.22475,0.175406,-0.475243,-0.807068,0.38318,0.821238,0.322851,0.046925,0.681166,-0.580243,0.981251,1.15345,-1.11987,-0.372035,0.487948,0.604295,-0.698297,0.942191,-0.253267,0.278788,0.747802,1.23659,-0.167049,-0.253997,0.839071,0.783104,-0.643497,-0.958742,1.07231,-1.74892,-1.62868,1.8319,-0.960215,-0.206588,1.24279,-0.681181,-0.695991,1.1069,0.696527,-1.48658,0.898008,-0.374622,0.624761,-0.354126,-0.619312,0.424775
-1,1.15644,1.20423,1.05802,1.39596,1.88703,1.9131,-1.5901,-2.18015,-0.623567,-1.76412,0.921093,-1.42771,-1.31616,0.464584,-2.01284,0.906032,0.883036,1.69289,0.118521,-0.314277,0.249952,0.164915,-1.83617,0.869148,1.79079,-0.897567,-2.18458,0.890372,-0.01739,0.514073,1.10892,0.216604,-0.744561,-0.226522,1.08091,-0.604493,0.216448,-1.1043,-2.11648,1.401,-1.68008,2.26119,-0.354568,0.732065,0.267354,-0.42603,-0.514109,1.17506,-1.72518,1.61149,-1.36515,0.524759,-0.791384,-0.927831,0.244202,-1.74699,-1.26415,1.47902,-1.84592,-1.65941,-0.965853,-0.6283,-0.712988,0.926905,-0.220028,1.03108,-2.36148,-1.16975,-1.31814,-1.79499,0.390606,-1.1722,-1.26058,0.507097,-0.9521,-0.890805,0.554898,-0.854182,-0.585746,1.1965,0.625548,-0.358157,-0.783226,2.42809,-0.67,-1.59268,-1.83925,-2.12205,0.237833,2.31334,0.625243,-1.09117,-0.748767,-0.339229,1.74145,-0.841535,-0.477135,-2.65267,-0.733269,1.54623,-1.51948,-0.010998,0.141878,0.650727,-0.560889,-1.31099,-0.937575,-3.24341,0.821171,0.060273,0.172119,0.842529,-0.026092,0.268374,-1.21052,0.026327,0.694321,-2.96749,0.033439,-2.14203,0.410237,-0.094577,0.854135,-0.543585,-1.43311,-1.39194,-0.167998,-0.701338,-1.01115,-0.187838,0.43739,-0.581957,0.366887,0.162224,-0.361613,-0.126955,1.42185,-1.89424,0.118757,-1.14925,-0.058985,-0.721626,-0.136549,0.032359,-1.24822,-1.56647,-2.44875,0.021558,0.821053,-1.29491,-0.242807,0.816647,0.205332,1.21639,0.266773,-1.61244,-1.1821,0.283586,-1.26798,0.353389,0.170438,-0.286118,0.251135,-0.098642,-1.21453,-0.728518,0.409401,-1.3066,1.062,-0.617198,-2.30909,0.274243,-1.17712,-1.39394,0.846169,-0.249265,-0.446217,0.101744,1.34424,-0.839501,-1.68329,0.483835,-1.86267,0.331819,1.18172,0.219526,-2.20761,0.105948,-1.40938,0.833676,-0.002561,-1.35234,0.338096,0.564054,-0.511877,0.915547,-0.375009,-0.692403,0.943851,0.135323
1,-0.588374,-1.08521,-0.953479,-1.13047,0.006184,-0.754156,0.737611,1.96852,0.979544,-2.15251,-0.298926,1.5115,-1.21942,-1.54262,0.69997,-0.506791,0.184215,-0.339901,0.752718,-1.03129,-1.13522,-1.04205,1.52378,-1.26659,-0.328117,1.22099,0.667483,-1.5389,-1.23846,-0.76935,-0.52983,-1.61988,0.64727,-0.893906,-0.358564,1.0272,1.64366,0.2438,0.220407,-0.002748,0.748379,-0.276179,1.24217,-0.466529,0.663459,0.699473,-0.798628,-0.979262,-0.94423,0.750454,1.84942,1.19745,0.570647,1.51229,0.087629,-0.003531,-0.449611,-0.723593,1.58141,0.226533,-0.261883,-0.966676,0.573486,-2.96517,-0.005845,0.94817,1.65167,2.09836,-0.692957,0.265638,1.05164,1.22461,1.83516,-0.535313,-0.544753,-0.62406,-0.840167,2.41727,-0.632356,-0.858483,-1.10659,-2.0617,0.348656,-0.941886,0.227413,2.14388,0.529996,-1.59887,0.601136,0.480728,0.785531,0.203385,1.20634,-0.741178,0.459145,0.96537,2.15884,0.516741,-2.80895,0.355042,-1.10798,1.7073,-2.3192,-1.85956,0.00372,1.07297,-1.10588,2.50423,-2.28773,-2.12833,0.212496,1.93038,-0.760747,-1.43027,0.90229,-1.03007,-0.03801,1.78825,0.89415,-2.74605,1.19343,0.065197,0.055667,0.663298,1.44719,0.488315,-1.49787,0.914473,-0.50231,0.188318,-1.57126,2.05705,1.49557,1.75496,1.00419,0.978377,0.392767,-1.84553,-0.682842,0.042583,0.839591,2.01235,0.55127,2.00004,-0.113889,-0.493943,-1.32122,-1.47942,1.58704,0.700272,-2.20968,0.237128,1.96654,-0.371727,-4.90837,-0.176035,-0.287992,-0.519663,0.01943,-0.136556,1.19767,1.00001,0.582824,1.53978,1.50241,2.00853,0.177924,0.330782,-0.935229,0.305696,0.535457,-0.11929,1.45502,-0.43593,0.661823,1.2233,1.32628,-1.16828,-0.619094,1.44604,-1.42003,-0.360555,-0.313019,1.07007,-0.579811,-0.976826,1.5541,3.25509,-0.016947,-1.38513,0.571631,0.838032,-0.734124,-0.337192,0.20428,-3.2942,0.689448,-1.29045,-2.69058,1.31197
-1,1.38068,0.73714,1.10446,0.00593,1.86499,1.67066,-2.16295,-1.18195,-1.52505,0.944801,0.902517,-1.13042,1.46816,1.80047,-2.03385,0.881497,-0.299918,1.715,-0.960517,2.26875,1.05099,1.66318,-1.0017,0.4267,1.71781,-1.36961,-1.89596,1.72534,1.30253,0.821226,0.581662,0.89085,-1.79619,-0.117372,1.07903,-0.719822,-0.638278,-1.80219,-2.2683,0.86971,-2.10916,0.777029,-0.80766,0.886727,-0.659941,0.322806,-0.996422,0.773512,-0.339885,1.23269,-2.33238,-0.745262,-1.69664,-0.097736,-0.102478,0.48916,-0.199566,0.8448,-1.29951,-2.45278,-1.01638,1.51251,-0.837581,1.3486,-0.055981,0.639984,-1.66894,-0.720386,0.214451,-0.880831,-0.848025,-1.48259,-1.22513,-0.208042,1.00732,-0.618222,0.062145,-0.497923,-1.888,0.49416,-0.006929,1.03749,-1.36596,-0.337955,-1.10737,-1.02994,-1.69667,0.143258,0.57064,-1.17844,0.3878,-0.443268,-0.428891,1.09513,1.03875,-0.159962,-1.01563,-1.40665,0.52135,0.50106,0.364614,-0.401013,1.62955,1.51955,-1.0527,-0.338298,0.11758,-1.66225,1.23348,1.54049,-1.77488,-0.32751,-1.55139,0.142235,-0.763297,0.529842,-0.92817,-1.28395,0.369546,0.75958,-0.656272,-0.361595,0.307701,1.35995,-1.47411,-1.56822,-0.160392,-1.25691,-0.350037,0.436579,0.34443,-0.474667,-0.527016,-0.070359,-1.04964,-0.631801,0.248525,0.639823,0.809126,-1.58793,-1.0779,-0.750233,-0.44262,-0.939569,0.25288,-0.078251,-0.017322,1.19215,0.458958,0.641033,1.9843,-0.279612,0.690725,0.756049,1.23916,0.365641,0.201443,-0.207075,-2.07869,0.229699,-0.13684,-0.881237,-0.515844,-0.11233,-1.43756,-1.0569,0.199909,-0.702968,0.566094,-0.857183,0.109995,-1.24762,-0.362075,-2.00396,0.989219,-0.540482,-0.155974,0.155173,0.890543,-1.79126,-0.224131,0.793199,-1.78237,1.01425,0.40449,-1.7316,-2.07486,0.033269,-1.73661,0.619186,1.1973,-1.70081,-0.65989,-0.516337,-1.69792,-0.278294,-1.20253,-0.199832,1.621,0.398339
