normal,gene1635,gene377,gene493,gene249,gene1843,gene765,gene1042,gene1423,gene391,gene739
1,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
-1,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0
1,-1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0
-1,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0
1,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
-1,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0
-1,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,-1.0
-1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0
1,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0
-1,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
-1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0
1,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0
-1,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0
1,-1.0,1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,0.0
-1,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0
1,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0
-1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0
1,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0
-1,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0
1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0
-1,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
1,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0
1,0.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0
1,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0
1,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0
1,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0
1,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0
1,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0
1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,0.0
-1,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
1,-1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0
1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
-1,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0
-1,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0
1,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,0.0
1,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0
1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0
-1,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,-1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0
-1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0
