normal,gene1635,gene377,gene493,gene249,gene1843,gene765,gene1042,gene1423,gene391,gene739,gene1772,gene625,gene1892,gene812,gene979,gene245,gene267,gene1582,gene1494,gene1771,gene897,gene964,gene513,gene1387,gene1256,gene1196,gene1247,gene1897,gene1004,gene1884,gene138,gene14,gene780,gene1014,gene453,gene1406,gene1411,gene639,gene561,gene286,gene824,gene1967,gene1334,gene137,gene1473,gene1614,gene187,gene1546,gene1674,gene992,gene411,gene1730,gene822,gene698,gene1511,gene1263,gene581,gene66,gene1959,gene1648,gene365,gene40,gene41,gene42,gene39,gene1668,gene111,gene548,gene1353,gene419,gene571,gene1421,gene1770,gene1111,gene1451,gene1974,gene1153,gene415,gene1244,gene1060,gene802,gene1839,gene1285,gene26,gene1912,gene1194,gene892,gene1325,gene67,gene994,gene62,gene772,gene1943,gene1414,gene359,gene1873,gene1209,gene1574,gene1887,gene1549
1,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0
-1,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0
1,-1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
-1,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
1,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0
-1,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0
1,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0
-1,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0
-1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0
