normal,gene1635,gene377,gene493,gene249,gene1843
1,-1.0,0.0,1.0,0.0,-1.0
-1,1.0,1.0,1.0,1.0,1.0
1,-1.0,1.0,1.0,-1.0,0.0
-1,0.0,1.0,1.0,1.0,0.0
1,0.0,-1.0,-1.0,0.0,0.0
-1,1.0,1.0,1.0,1.0,1.0
1,-1.0,0.0,-1.0,-1.0,-1.0
-1,0.0,1.0,1.0,1.0,0.0
1,-1.0,-1.0,-1.0,-1.0,-1.0
-1,1.0,1.0,1.0,1.0,1.0
1,0.0,0.0,-1.0,-1.0,-1.0
-1,0.0,0.0,1.0,1.0,1.0
1,0.0,0.0,0.0,0.0,0.0
-1,1.0,1.0,1.0,1.0,1.0
1,0.0,-1.0,0.0,0.0,-1.0
-1,0.0,0.0,1.0,-1.0,0.0
1,-1.0,1.0,0.0,-1.0,0.0
-1,1.0,1.0,1.0,0.0,0.0
1,-1.0,-1.0,0.0,-1.0,-1.0
-1,1.0,1.0,1.0,1.0,1.0
1,-1.0,0.0,0.0,-1.0,-1.0
-1,1.0,0.0,1.0,1.0,1.0
1,0.0,-1.0,-1.0,-1.0,-1.0
-1,1.0,1.0,1.0,0.0,0.0
1,-1.0,-1.0,0.0,-1.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0
1,0.0,-1.0,-1.0,0.0,1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0
1,0.0,-1.0,-1.0,-1.0,0.0
1,-1.0,0.0,-1.0,-1.0,0.0
1,-1.0,-1.0,-1.0,-1.0,0.0
1,1.0,-1.0,-1.0,0.0,1.0
1,0.0,-1.0,-1.0,-1.0,0.0
1,-1.0,-1.0,-1.0,0.0,0.0
1,-1.0,-1.0,0.0,0.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,0.0
1,0.0,-1.0,-1.0,-1.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0
-1,1.0,1.0,1.0,1.0,1.0
1,-1.0,0.0,-1.0,0.0,0.0
1,-1.0,-1.0,-1.0,0.0,-1.0
-1,1.0,1.0,0.0,1.0,1.0
-1,1.0,1.0,1.0,1.0,1.0
1,-1.0,-1.0,-1.0,-1.0,0.0
1,1.0,0.0,0.0,1.0,1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0
1,0.0,-1.0,-1.0,-1.0,-1.0
-1,1.0,1.0,0.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
-1,1.0,0.0,1.0,1.0,1.0
-1,0.0,0.0,0.0,0.0,0.0
1,-1.0,-1.0,-1.0,0.0,-1.0
1,0.0,-1.0,-1.0,0.0,-1.0
-1,1.0,0.0,0.0,1.0,1.0
-1,0.0,0.0,-1.0,-1.0,1.0
1,1.0,1.0,0.0,1.0,1.0
1,-1.0,-1.0,0.0,0.0,0.0
1,-1.0,0.0,-1.0,-1.0,-1.0
1,0.0,-1.0,-1.0,0.0,0.0
-1,1.0,1.0,0.0,1.0,1.0
1,0.0,0.0,-1.0,-1.0,-1.0
-1,1.0,0.0,1.0,1.0,1.0
