class,Attr3320,Attr6281,Attr804,Attr6184,Attr1962,Attr1829,Attr2121,Attr1674,Attr6677,Attr2363,Attr4847,Attr2439,Attr1087,Attr5984,Attr1882,Attr2111,Attr6347,Attr770,Attr5772,Attr3012,Attr1745,Attr3784,Attr3341,Attr6797,Attr6803,Attr3647,Attr1144,Attr7119,Attr4973,Attr4196,Attr6005,Attr3507,Attr6855,Attr490,Attr6919,Attr1834,Attr3729,Attr1135,Attr2020,Attr173,Attr4229,Attr4609,Attr2402,Attr2288,Attr6806,Attr3258,Attr5833,Attr5087,Attr590,Attr2084,Attr6021,Attr3252,Attr2626,Attr1081,Attr4167,Attr3336,Attr5723,Attr3342,Attr2137,Attr3004,Attr1827,Attr400,Attr4328,Attr4366,Attr235,Attr5823,Attr5062,Attr1802,Attr6162,Attr2276,Attr695,Attr1779,Attr4764,Attr3561,Attr774,Attr2641,Attr3904,Attr321,Attr1260,Attr1630,Attr3778,Attr4504,Attr833,Attr1147,Attr396,Attr4291,Attr4582,Attr878,Attr2441,Attr88,Attr1615,Attr5373,Attr585,Attr4535,Attr3939,Attr120,Attr3847,Attr7044,Attr3631,Attr2181,Attr4499,Attr6041,Attr1380,Attr1764,Attr6563,Attr3722,Attr3622,Attr1291,Attr1817,Attr1928,Attr1649,Attr4141,Attr3348,Attr6201,Attr2356,Attr5932,Attr727,Attr2546,Attr2597,Attr2655,Attr4898,Attr6284,Attr6283,Attr2788,Attr3807,Attr350,Attr6477,Attr2945,Attr668,Attr412,Attr6257,Attr6515,Attr6169,Attr4006,Attr2729,Attr4616,Attr5377,Attr196,Attr1120,Attr3714,Attr3605,Attr1400,Attr6967,Attr6200,Attr760,Attr6215,Attr1092,Attr1208,Attr332,Attr1598,Attr6471,Attr6094,Attr1725,Attr4608,Attr2485,Attr1247,Attr4903,Attr467,Attr3130,Attr6373,Attr3135,Attr1933,Attr275,Attr2804,Attr2043,Attr2659,Attr4204,Attr5593,Attr4951,Attr2254,Attr2098,Attr6801,Attr6761,Attr5274,Attr2632,Attr3932,Attr2123,Attr2475,Attr697,Attr4447,Attr2291,Attr4461,Attr2912,Attr1369,Attr2793,Attr3861,Attr1221,Attr6522,Attr3574,Attr3611,Attr5614,Attr4914,Attr6645,Attr4569,Attr3935,Attr4697,Attr6688,Attr1095,Attr1926,Attr3361
1,-0.220595,0.749782,0.541643,0.408718,0.257098,-0.714318,-0.604218,-0.831279,-0.378033,-0.944004,-0.661837,1.20838,-0.428808,0.154594,-0.504374,-0.997159,2.41914,-1.49076,0.282473,-0.887425,-0.590146,-0.557205,-0.171669,-0.680772,-0.848447,-2.30751,-0.000996,1.08633,1.1624,-1.05983,-0.914758,-0.173663,0.392286,1.33268,-0.729239,-0.457315,-0.390271,-0.9265,-0.71722,-1.01935,-0.738373,1.53349,-0.423939,-0.587803,-0.748313,-0.575296,-1.28953,1.76245,-0.16021,0.468976,0.582311,-0.724608,-0.813903,-0.047672,1.61509,-0.149107,-0.56837,-0.813328,-0.661439,-0.985834,-0.155211,0.282783,0.014207,-0.631178,-1.07082,0.306318,1.46734,-0.167875,-0.228219,-0.582104,-0.541619,-0.527772,0.444846,0.167678,-1.07897,0.749669,2.96255,-0.677593,-1.58663,-0.296631,0.576407,-0.823608,-0.301116,0.942965,-0.775541,0.650962,1.50972,-0.211529,0.118397,-0.861864,-1.2884,-0.161752,-0.475067,0.69701,-0.198623,-0.01497,0.016964,-0.308227,-1.0887,-0.358844,-0.175085,0.036936,0.87092,0.599547,-0.025427,0.395646,1.96912,-0.399007,-0.22819,0.84065,0.844468,-0.841912,1.25179,-0.532485,-0.318646,0.077479,-0.108479,-0.502294,1.18122,-0.644698,-0.526516,-0.935941,1.82346,0.458402,0.446839,-0.353199,1.75939,-0.640471,2.39355,0.821105,2.1884,-0.16439,-0.234736,-0.395939,0.599428,0.386918,-1.30301,0.390456,0.783676,-0.543627,-0.470329,-0.249485,-0.828451,-0.409105,-0.452677,-0.389158,-0.464824,-0.775757,0.117076,-1.14667,2.20772,0.774059,-1.22358,1.27681,-0.367618,-1.5162,-0.533238,0.26815,0.398007,-0.094701,-0.706748,1.11619,0.383204,-0.633961,-0.631272,-0.100537,-1.34984,0.9213,-0.936091,-1.16773,-0.763917,1.2243,2.58992,-0.420603,0.049558,-0.386352,-0.005274,0.942682,0.37556,1.26488,-0.447045,-0.351598,0.279452,-1.23982,0.815952,-0.13278,-0.960339,-0.169322,-0.280961,0.405312,-0.403986,0.449087,0.126408,0.167832,-0.11007,-2.91053,-0.23013,-0.555353,-0.661135,0.711965
1,-0.408508,-0.099772,-0.079822,-0.163314,0.030359,-0.192467,-0.293615,1.04445,-0.672324,-0.086804,-0.667077,-0.676527,-0.310982,0.007397,-0.327348,1.10518,-0.835864,0.343471,-0.812226,-0.886608,-0.280799,-0.566469,-0.286596,0.245112,0.056059,-0.846367,0.534197,-0.593272,-0.208466,0.008703,-0.049944,0.760261,-0.251822,2.3862,-0.484845,-0.851959,0.801949,-0.269497,0.322441,-0.066287,-0.039015,0.333407,-0.50399,-0.514951,-0.151483,-0.587984,0.179843,0.025594,1.01,-0.95917,0.544498,-0.589524,-0.628767,-0.675919,-0.284158,0.093272,0.37862,0.190796,-0.424181,-0.233726,-0.677788,-0.90254,0.075228,-0.221208,-0.687197,1.16338,0.453798,-0.757566,-1.42105,-0.093882,-0.658561,-0.540885,-0.883343,-0.433051,1.40707,0.653056,-0.784382,-0.020872,-0.572685,3.03609,-0.464205,1.14268,0.729944,-0.629479,0.574644,0.789463,-1.02484,0.078485,0.416925,0.510149,0.086099,-0.712451,-0.935979,0.291513,0.316636,0.47323,-0.869876,-0.291298,-0.28155,-0.732482,-0.554135,-0.577946,0.23518,-0.816541,-0.899044,0.458706,1.02352,-0.10279,-0.189473,0.069,1.32407,-0.429567,-0.767114,0.382085,0.033891,0.486299,-0.961001,-0.617485,0.37339,-0.715908,-0.106601,-1.32772,-0.160631,-0.118496,1.42648,-0.058317,-0.205162,-0.802565,0.620433,1.05748,-0.344555,-0.228593,-0.448775,-0.585031,0.869256,-0.510585,0.101105,-0.227301,2.31495,-0.557562,0.579766,0.112272,0.033647,0.055985,-0.249236,-0.408356,0.316874,-0.123576,0.560854,-1.09971,-1.04661,-0.449087,-0.677257,0.189286,-0.990296,-0.301423,0.231699,0.148342,-0.284807,0.018324,-1.38289,2.47367,0.989221,-0.095933,0.422411,-0.196209,-1.11995,-0.5017,0.514732,-0.346697,0.849921,-0.385751,1.36566,-0.139972,-1.27813,1.00094,0.358021,2.32907,-0.504109,-1.26588,2.0018,-0.183603,0.050857,0.651247,-0.490574,-0.287695,-2.08132,-0.506828,1.33661,1.36741,-1.25859,0.407993,-0.567059,0.136002,-1.83711,0.013953,-0.551067,0.307217,-0.445841,-0.092145
1,-0.015344,0.322379,1.49521,0.845823,-0.813048,-0.877052,-0.121384,-0.796445,0.50425,-0.971744,-0.6691,-0.161472,0.475936,0.186647,-0.516731,-1.28755,0.253612,-1.66695,0.831413,-1.15558,-0.96515,0.49627,0.673574,-0.149671,-0.122842,-2.0317,2.02583,-0.407801,-1.16287,-0.986148,-0.070474,-0.257373,-0.625058,2.27833,-0.652163,-0.393879,-0.316171,0.762637,0.306202,-1.27169,-1.45801,-0.216496,-0.354506,-0.610309,-0.437522,-0.539666,-0.974438,1.27892,-0.329882,0.138684,-0.438776,-0.640081,-0.010583,-0.32847,1.4705,0.903001,-1.53737,-0.86153,-0.70103,-0.188677,0.261284,-0.898393,1.86589,-0.474006,-1.26812,0.254231,-0.533837,-1.5301,-0.22949,0.431903,0.489827,-0.554255,0.918393,-0.096668,-0.694601,0.924689,0.139214,-0.720945,-1.55987,2.7557,-0.99089,0.53143,0.176438,-0.472983,-0.62577,1.78329,1.00479,-0.012351,2.55084,-0.36956,-1.00029,0.366143,-0.617515,1.65528,-0.322498,-0.637911,0.722164,0.44539,-0.594334,0.06022,-0.307837,-0.80118,0.137396,-0.394581,0.388101,0.316182,1.54781,-1.7503,-0.317318,2.88487,0.683903,-0.79479,0.363544,-0.543186,-0.38237,-0.651571,-0.192043,-0.746725,1.7637,0.484663,-0.89902,1.87779,0.769729,-0.260854,0.415684,0.651179,1.50227,-0.212784,0.037763,-0.45216,-0.48764,0.314287,-1.08872,-0.035261,1.71318,-1.29408,0.181277,0.780034,1.99346,-0.538032,0.238888,-0.37343,-0.744678,-0.49866,-0.43541,0.014497,-0.545354,-1.29726,1.83137,-0.645477,0.865945,0.297362,-1.53185,0.660794,-0.129496,-2.05374,-0.667713,-1.37441,2.67163,-0.001,-1.04608,-1.17025,1.92356,0.11847,-0.583152,0.939429,0.105919,0.464971,-0.261234,0.677083,-1.1056,2.38339,1.11437,0.741594,0.108467,0.035238,-0.043217,1.77538,0.55334,0.823479,0.056646,-0.882064,-0.766243,-0.3672,0.805449,1.09356,-0.800788,-0.516331,0.504544,-0.082501,-0.546714,1.51498,0.92329,0.371492,-0.720137,-1.38727,0.810323,-0.530978,-0.60385,0.349162
1,-0.423074,0.379488,-0.012533,0.509054,2.195,-0.349703,-0.712532,-0.56639,0.207107,-0.449502,-0.383181,0.78401,0.294984,0.029181,-0.604415,-0.860332,0.396707,-0.396908,1.46889,-0.311491,0.184016,-0.226615,-0.327019,-0.593958,-0.550678,-0.618918,-0.30018,-0.260879,0.875066,-0.966607,-0.133764,-0.121629,0.828586,-0.408326,-0.662902,-0.266203,-0.110619,1.07527,-0.147056,0.114897,-0.387676,0.545551,-0.399844,-0.591665,-0.561231,-0.515515,-1.27459,0.622835,0.251095,0.127417,2.19836,-0.58836,-0.873552,-0.133029,0.045091,-0.245708,-0.322718,-0.07254,-0.288994,0.40164,0.449108,-0.076736,0.355135,-0.933657,-0.155497,-0.158238,0.077282,0.162475,-1.31906,1.29376,0.612138,-0.537684,-0.795009,0.381427,0.089576,0.029239,0.284293,-1.01382,-1.2317,0.016091,1.05035,-0.315521,-0.883627,1.46714,-0.224611,-0.155342,0.747843,1.22264,1.30552,-0.275172,-1.13551,-0.14688,0.058058,0.266107,0.519597,-0.168975,0.220859,-0.11444,-0.182883,-0.270584,0.430651,-0.328328,-0.71293,0.886597,-1.1374,1.61742,0.419361,-0.37199,-0.570951,0.75934,0.260174,-0.566107,0.720718,-0.54047,-0.293819,-0.592054,-0.05831,-0.52584,0.362417,0.59427,-0.45541,0.185423,1.39987,0.628051,-0.214036,0.266541,1.09311,-0.783745,-0.631159,0.484019,1.08295,0.537927,-0.30556,-1.18173,0.450271,-0.190685,0.015393,1.24443,-0.103572,1.0743,-0.858813,-0.467532,-0.748538,-0.476836,-0.464159,-0.195863,-0.42298,-1.13616,0.04549,-0.696667,1.17365,0.412028,-0.286191,-0.366772,0.721785,-0.753097,-0.378177,-0.798163,-0.300068,-0.202895,1.45113,0.299374,0.025597,0.798333,-0.533538,-0.346025,0.853162,-0.620525,-0.640638,-0.169809,-0.243174,2.23701,0.344782,0.734696,0.421568,0.289477,-0.528697,0.566363,1.00426,1.19701,-0.669887,-0.219574,-0.176841,0.131387,-0.568746,0.582608,0.251172,-1.03576,-1.30981,-0.328922,0.084951,0.395961,0.992159,0.029043,0.67656,-0.832636,-0.52855,-0.476129,-0.214392,-0.415399
1,-0.546663,0.849345,-0.395435,0.337293,1.67664,0.069398,-0.692148,-0.265192,-1.38768,0.426057,-0.420005,0.551514,1.52768,0.359131,-0.577211,-0.20985,0.413373,0.026507,0.385429,0.453441,-0.184782,1.87241,-1.07085,0.024584,-0.066341,-0.23188,-0.242407,-0.576936,1.4909,1.57688,-1.32989,2.31603,0.304736,-0.119112,0.226273,-0.188082,0.26121,1.14792,-0.644055,0.057636,0.025053,0.799446,-0.402617,-0.413875,-0.067157,-0.320473,-0.148384,1.56086,1.16607,1.55948,1.70314,-0.657389,1.42206,1.10535,1.14466,0.475315,-0.042602,1.78614,0.343921,-0.232172,1.03236,0.983463,0.910636,0.04837,-0.489387,1.59744,1.63298,0.875358,-1.16529,0.606141,-0.212575,-0.380975,-0.210914,2.59833,0.847969,0.473491,0.362237,-0.788129,-1.14576,-0.230844,0.772635,-0.076413,1.9646,-0.426358,0.052793,1.8694,1.08073,1.78795,1.04754,-0.829459,0.069189,-0.742377,0.174004,0.591033,0.661569,-0.202982,-0.899909,-0.147885,-0.005622,-0.416919,-0.690236,-0.252778,-0.146209,-0.616163,-0.630797,1.05542,0.143053,0.138579,-0.33977,0.517995,0.905388,-0.638305,-0.712237,-0.582557,-0.898887,-0.42078,0.454152,-0.02645,0.497317,-0.811272,0.823537,-0.904101,-0.015983,-0.771923,1.0806,-0.768588,-0.529796,-0.997173,-0.611098,0.130242,0.630167,0.035921,-1.19203,0.30215,0.382058,-0.425252,-0.437026,1.92039,-0.132359,-0.39823,-0.470116,0.282486,-0.252114,-0.457344,-0.371676,-0.520301,0.023592,-0.013724,2.45074,-0.242067,-0.009127,-0.331899,-0.231066,1.78641,0.869328,-0.323648,0.266322,0.28932,0.183953,-0.937002,0.26392,0.857307,-0.205282,1.74174,-0.461198,-1.11338,-0.755624,-0.168403,-0.673621,0.160696,-0.368198,1.17895,-0.606726,0.636449,-1.32769,1.08298,-1.1964,0.690569,0.657931,1.39427,-0.621323,-0.226418,1.91747,-0.130113,-1.39907,3.04023,1.2197,0.027224,-0.006127,1.41232,-0.549502,1.27907,-0.306927,0.531766,0.19136,-1.28273,-1.39659,0.204955,-0.766255,-0.119854
1,-0.527014,0.020094,0.476815,1.61161,-0.755564,-0.732004,-0.43353,-0.767445,0.481847,-0.896146,-0.626451,-0.572504,-0.411732,0.667296,-0.339436,-1.26471,-0.214945,-1.74348,0.296857,-0.44109,-0.535866,0.023979,0.134634,-0.01604,-0.128933,-0.600914,2.25046,0.410213,-0.221841,-0.884298,-0.341953,0.262622,-0.237115,0.902521,-0.157987,-0.653673,-0.884727,-0.626581,-0.517678,-0.074282,-1.03305,-0.420447,-0.392244,-0.469759,0.040487,-0.926414,-0.344894,-0.202484,-0.260405,-0.046285,0.130667,-0.595599,0.405705,-0.186979,0.458709,0.158135,-0.76184,0.302552,0.240318,-0.419163,-0.303556,-0.333241,0.437184,-0.438063,-0.08669,-0.615553,-0.103007,-1.43406,-0.282012,0.406409,0.6939,-0.500839,0.660656,-0.371324,-1.08058,0.654171,-0.182515,-0.623372,-0.458886,1.68673,0.349287,0.23175,0.197085,-0.410583,-0.570672,0.019048,-0.428725,-0.657761,0.600479,-0.333963,-1.18145,-0.290975,-0.934112,0.612547,0.129711,0.540299,-0.402788,-0.21461,-0.142361,0.490283,-0.632782,-0.610114,0.306086,0.407689,-0.652447,-0.363514,0.902082,-1.31175,-1.8372,1.38447,-0.204458,-0.75221,-0.681682,-0.53431,-0.054872,-0.532523,-0.117822,-0.748703,0.506837,-0.036213,-0.331874,-0.115975,0.540009,-0.257999,0.160276,-0.222051,-0.215299,-0.203065,-0.399141,-0.997399,0.264531,0.340386,-0.076605,1.95455,0.359733,-1.16599,1.11536,-0.164144,0.789222,-0.542465,-0.899105,-0.762411,-0.221612,-0.450308,-0.374136,-0.299403,-0.035474,0.493187,0.349044,0.228618,1.73844,-0.358977,-0.349379,-0.655807,-0.49614,0.23407,0.994615,0.250641,-0.962576,0.059294,-0.08268,-1.16322,0.565763,0.040057,-0.460973,-0.939827,0.489196,0.872557,-0.091873,1.32135,-0.391975,1.90772,-0.015682,1.14953,0.504042,-0.358628,0.352094,-0.277381,-0.259422,0.350621,0.205624,-0.848329,1.21739,-1.09456,-1.13986,0.309614,0.490681,0.809374,0.903845,-0.41154,0.063329,1.37236,0.24116,-0.013577,0.161381,-0.57444,0.237552,-0.323249,-0.088874,-0.838437
1,-0.261331,-0.206691,0.440547,1.92858,1.38389,-0.24752,-0.07306,-0.9869,0.445676,-0.423158,-0.76256,-0.084384,0.84937,-0.193151,-0.584201,-1.02369,0.070197,-0.598853,0.642716,-0.904241,-0.542944,0.159106,-0.307096,-0.628738,-0.590074,0.159941,-0.334498,-0.542422,-0.600293,-0.955245,-0.279364,-0.283962,-0.055506,0.150246,-0.675489,-0.677404,0.022755,-0.253921,-0.248509,0.18139,-0.545367,0.089417,-0.408144,-0.577604,-0.651577,-0.35427,-0.764888,-0.165485,-0.715792,-0.524144,1.11915,-0.521803,0.288556,-0.155799,0.23464,-0.022093,0.040206,-0.318331,-0.272551,0.304795,0.307082,0.339004,1.05595,-1.01676,-0.14576,-0.037688,-0.519744,-0.174481,-0.07793,1.29577,0.500892,-0.534178,-0.569243,-0.200157,-1.27425,0.384151,-0.321429,-0.70627,-0.839258,-0.639893,0.835853,-0.848588,-0.589578,1.6742,-0.554207,-0.509378,0.398788,-0.200755,0.222504,-0.261406,-0.828438,0.569577,0.076713,0.664141,-0.599643,-0.834918,1.26688,-0.697317,-0.316653,0.027427,-0.044964,-0.647152,0.665654,0.332694,0.272461,0.773524,-0.901636,-0.547112,-0.803724,0.391863,-0.472776,-0.443663,0.579228,-0.550643,-0.014395,-0.382556,0.384795,-0.4709,0.487049,0.733088,-0.73066,1.09122,1.09988,0.236713,-0.307574,-0.139729,1.59294,-0.06808,-0.657949,0.361164,0.574997,0.461691,0.452702,-0.020824,0.429663,1.12441,0.354065,-0.460658,-1.11426,2.0269,-0.432142,0.120645,-0.763879,-0.437657,-0.461351,-0.163119,-0.389169,-0.96221,0.001167,1.39324,0.666935,0.154961,-0.383307,-0.459632,-0.339908,-0.381255,-0.338268,-0.505166,0.49631,-0.251129,0.783397,-0.560113,0.157001,-0.654758,-0.548713,0.648195,-0.003331,-0.718502,-1.19795,0.9329,-0.39092,1.90456,-0.303408,-0.345273,0.851687,0.110695,0.732543,-0.704082,0.824471,0.983838,-0.455018,-0.468789,-0.694513,-1.15779,-0.302315,0.337107,-0.537366,-0.249948,0.281992,-0.253123,-1.71674,-0.225925,0.713695,0.735157,-0.132069,0.233943,0.579478,-0.820085,-0.171291,-0.814813
1,0.523796,-0.360325,0.657472,1.35509,-0.06126,-1.2218,-0.368266,-0.441669,0.503363,-1.07833,-0.922927,0.427001,0.726167,-0.68408,-0.586408,-0.446094,0.633071,-0.85931,1.08006,-0.784698,-0.640702,0.672451,-0.911094,-0.406691,-0.36474,-2.45075,0.184719,-0.490341,1.12953,-1.04071,1.24468,-0.030426,1.18704,-0.231168,-0.646943,-0.27135,-0.275387,-0.476176,0.500426,-0.835434,-0.601558,1.1102,-0.322111,-0.664502,-0.397245,-0.452848,-0.115038,0.621654,0.04113,-0.192143,-0.387048,-0.514842,-0.945884,-1.17709,0.530129,-0.477567,0.243528,-0.574976,-0.684868,-0.148718,-0.658255,-1.08704,-0.420616,-1.00981,0.023765,0.903931,-0.563562,-1.2769,0.335224,0.834694,1.94489,-0.563624,-0.737754,0.172428,-0.624853,0.661688,1.46002,-0.424042,0.499784,1.55241,0.584866,0.625722,-0.829217,0.502545,-0.280432,-0.03371,0.839545,-0.809771,0.76367,0.430419,-0.688359,0.801988,-0.544053,-0.253323,-1.1012,-1.73494,-0.173667,0.122153,0.082541,0.162654,0.711857,-1.04486,-0.744193,1.3817,0.809873,1.35847,1.85518,-0.614343,0.895794,1.04644,0.776958,-0.501616,-0.100292,-0.493004,-0.131006,-0.417462,-0.66251,-0.4335,0.386513,0.875494,-3.24806,-0.365283,1.8159,0.589775,-0.671292,1.02493,2.38988,0.036471,0.409685,-0.545849,2.28645,-0.711335,1.24546,-0.461806,1.40246,-0.426639,0.058944,-0.425213,0.206647,1.5362,-0.448447,-0.734989,-0.853087,-0.47061,-0.42548,-0.243281,-0.688596,-1.96419,-0.475549,0.037152,1.00398,0.543104,-0.648075,0.653952,-0.06998,-0.143846,-3.09739,-0.630062,-0.072946,1.11639,0.50731,0.030984,-0.720797,-1.12011,-0.205669,1.2902,1.45394,0.028028,0.084071,0.413621,-0.558965,1.08025,2.58426,-0.910296,-0.26622,0.249322,-1.2625,-0.104776,0.892803,0.968147,-1.09944,-0.817985,-1.33459,-0.920887,0.374049,-0.254135,-3.19012,-0.227556,-0.305543,-0.200725,-1.40326,0.164223,1.06395,0.5796,0.406087,0.756778,0.397265,-0.866806,-0.452439,-0.165837
1,-0.655545,1.65138,2.0613,-0.585031,-0.000159,0.089708,-0.143726,-0.329927,0.223085,0.117503,-1.01329,-0.74091,0.307497,1.71586,-0.515508,-0.320043,-0.240493,-0.092147,0.506947,0.14657,-0.844228,0.544727,-1.49922,-0.328597,-0.270796,-0.933878,3.79036,0.960384,0.292861,-0.876502,0.235613,0.009323,0.249824,2.54297,-1.11035,-0.892837,-0.171251,0.057251,-0.686479,-1.24958,-1.01919,-0.18642,-0.361603,-0.578807,-0.405459,-0.903485,-1.22212,2.15338,-0.005979,0.175726,0.157371,-0.731869,1.23378,1.00983,0.436035,1.20933,-1.21037,-0.267174,-0.895416,0.752709,0.351447,0.612662,1.74458,-0.292032,-1.51679,1.69886,-0.788102,-1.2741,-1.11305,1.9307,-0.203135,-0.552197,1.92582,1.14358,0.632934,0.502206,0.104938,-0.613402,-1.31274,2.05148,-0.236105,0.168716,1.4205,-0.834371,-0.582336,3.06478,0.176066,1.25153,1.37169,-0.587163,-1.23604,-1.30365,-0.894778,3.22164,-0.907175,0.017394,-0.683127,-0.952353,-1.15094,-0.718671,-0.537843,-0.801062,2.57624,-0.172945,-0.173306,0.093724,0.733697,-0.882109,-0.820882,2.65415,0.559226,-0.757159,0.611459,-0.531316,-0.585328,-0.724626,-0.724574,-0.601477,3.14348,-0.349417,-1.21721,-0.806862,-0.45467,-0.631995,2.09538,-0.255941,1.0208,-1.24233,0.860225,-0.632995,-0.408987,1.47185,-2.33137,-1.50744,2.77113,-1.98137,2.31367,1.28218,2.08245,-1.06202,-0.767937,-0.836267,0.45333,-0.482132,-0.505942,-0.509949,-0.363211,-1.37175,2.30009,-1.55033,1.35645,1.53545,-1.48604,0.354417,0.414498,-1.86837,-1.07165,-0.836734,-0.881346,-0.273866,-0.803775,-0.547024,1.76837,2.59051,-0.554669,-0.193913,-1.60484,0.052511,1.01872,-0.612195,-0.473237,2.07195,0.850364,2.90868,-1.10742,2.59784,-0.479584,2.34545,0.392983,-1.07058,0.669325,-0.292241,1.61788,0.520578,0.031342,1.45498,-0.636945,-1.35362,-0.157557,0.705328,-1.81353,1.40717,-0.306716,-0.968856,-1.07048,-1.0088,-0.449108,-0.348636,-0.959387,1.6576
1,-0.146853,1.55228,0.987127,0.465251,-0.608021,-0.906874,-0.431831,-0.934018,-0.335993,-0.682096,-0.505337,-0.708906,0.779772,0.107546,-0.459045,-0.620419,-0.525513,-1.38832,-0.496381,-0.291167,-0.804795,-0.902844,-0.114091,-0.497318,-0.321957,0.118936,2.32742,-0.245852,-1.2572,-0.730224,0.55054,-0.079502,-0.697631,0.70502,-0.375318,-0.516725,-0.062976,-0.081227,-0.219165,-0.431444,-0.774157,0.035406,-0.538567,-0.484019,-0.382855,-0.271975,-1.07079,-0.342527,-0.778401,-0.26208,-0.953828,-0.591766,0.369095,-0.36013,0.562529,0.019724,-0.147274,-0.012047,-0.160806,-0.123421,0.743025,0.536188,0.902733,-0.481535,-0.698552,-0.956274,-0.397978,-1.15152,-0.608369,-0.670059,-0.937352,-0.458701,-0.456117,-0.366835,-0.570599,-0.885289,-0.717249,-0.593752,-0.41124,0.282944,-1.14516,2.03575,1.16578,-0.896159,-0.821117,0.89052,-0.659444,1.83067,-0.115316,-0.128967,-0.940772,-0.691033,-0.623391,0.25642,-1.37263,0.788749,0.242223,0.493221,-0.654389,-0.515941,-0.227529,-0.719518,-0.070134,-0.095788,0.255744,-0.997923,-0.597332,-1.39689,-1.13967,1.55967,-1.02521,-0.315198,-0.614624,-0.485352,-0.16074,-0.544749,-1.11139,-0.167609,0.425789,0.224742,1.04792,0.205629,0.376796,-0.641664,0.549179,-0.903707,-0.73484,-0.440841,0.363414,-0.8321,-0.480976,0.489464,-0.74084,0.188313,0.899371,-0.195494,0.281332,-0.591922,0.623688,-1.05728,-0.236723,-0.659621,-0.338532,-0.479704,-0.361058,-0.337565,-0.386549,-0.306589,0.635476,-0.058843,0.539179,-0.219035,-0.460394,-0.324768,0.315866,-0.311653,0.182224,-0.842969,0.806283,-0.356672,-0.657674,-0.874585,1.52707,0.597011,-0.416296,-0.815017,-0.12148,-0.114494,0.372122,0.585846,0.380887,-0.617027,-0.526256,-0.370782,0.310358,2.07222,0.426047,-0.097911,-0.541968,-0.668913,-0.687476,-0.483641,1.23115,-0.821737,-0.011668,1.5014,0.407578,-0.458852,-0.869605,-0.133845,0.388565,0.9778,-0.866466,-1.14345,-0.104148,0.374761,-0.681293,0.026267,-0.240641,0.207816
