class,Attr3320,Attr6281,Attr804,Attr6184,Attr1962
1,-0.220595,0.749782,0.541643,0.408718,0.257098
1,-0.408508,-0.099772,-0.079822,-0.163314,0.030359
1,-0.015344,0.322379,1.49521,0.845823,-0.813048
1,-0.423074,0.379488,-0.012533,0.509054,2.195
1,-0.546663,0.849345,-0.395435,0.337293,1.67664
1,-0.527014,0.020094,0.476815,1.61161,-0.755564
1,-0.261331,-0.206691,0.440547,1.92858,1.38389
1,0.523796,-0.360325,0.657472,1.35509,-0.06126
1,-0.655545,1.65138,2.0613,-0.585031,-0.000159
1,-0.146853,1.55228,0.987127,0.465251,-0.608021
1,-0.868556,2.02074,0.782958,-0.12586,-0.26614
1,-0.532135,0.249493,-0.727189,-0.596227,-0.213425
1,-0.820459,0.898514,2.20634,0.217274,0.900986
1,-0.588769,-0.674661,-0.459888,-0.198025,-0.615057
1,-1.09896,1.72033,0.363221,-0.390629,1.72721
1,-0.602,1.10359,0.072262,0.529741,0.599497
1,0.36678,-0.693301,-0.02461,-0.375286,-0.32882
1,-0.438071,0.748316,-0.304393,0.477259,-0.264498
1,0.12718,0.554059,-0.086024,0.398602,-0.062929
1,-1.01444,2.8961,3.47173,-0.823475,1.93289
1,-1.09464,1.36519,-0.724897,0.510279,1.8256
1,-0.473055,-0.702947,1.02681,-0.015499,1.01353
1,-0.6119,0.280002,0.471007,2.12329,-0.194179
1,-0.557627,0.371777,1.17895,1.16981,3.12941
1,-0.140593,0.441323,-0.305916,0.292154,-0.553149
1,-0.596864,1.11577,-0.380005,0.514541,0.317772
1,0.132343,-0.564275,0.290142,1.06681,0.81412
-1,0.34363,-0.609118,-0.411054,-0.343729,-0.417131
-1,1.65205,-0.407852,-1.26286,-1.23827,-1.26225
-1,2.8127,-1.49876,-0.632391,-0.826278,-0.235821
-1,2.06646,-0.751904,-1.12243,-1.15464,-0.762566
-1,1.42912,-0.450042,-0.075807,-0.444363,0.39294
-1,-0.082864,-1.70488,-0.461026,-0.780438,-0.640843
-1,1.37983,-1.00851,-1.20858,0.059586,-1.11824
-1,1.13572,-1.08897,-1.12521,-0.62997,-1.03822
-1,2.71834,-1.62221,-1.08993,-0.045784,-1.02928
-1,1.32334,-1.22122,-0.713176,-1.12797,-0.747331
-1,1.15398,-1.2889,-0.831293,-0.338494,-0.481185
1,-0.20545,0.496574,0.572294,2.30572,-0.646247
1,-0.224616,-0.265763,-0.628834,-0.575484,-0.614744
1,-1.03587,1.14145,0.301434,0.002724,2.27599
1,-1.54256,-0.082984,0.388849,1.33793,0.154358
1,-0.76261,0.00289,-0.351402,0.63416,-0.271495
1,-1.30226,1.68599,1.26318,0.352097,-0.184148
1,-0.937053,0.661919,-0.090504,-0.942416,0.366441
1,-0.805493,0.621353,-0.22091,-0.181368,0.227369
1,-0.164445,0.588492,-0.247778,0.741392,-0.557061
1,-0.839137,1.73951,2.18688,-0.39083,0.250459
1,0.112773,-0.075401,-0.070358,1.65068,1.10825
-1,1.38008,-1.41331,-1.11901,-1.35273,-0.560015
-1,1.26351,-1.11138,-1.23827,-1.92894,-1.00097
-1,-0.928236,-0.430521,-1.18639,-2.27321,-0.567191
-1,2.48096,-1.31816,0.475891,0.344356,-0.380147
-1,-0.364046,0.555396,-1.20052,0.499883,-0.222911
1,-0.454576,0.548627,-0.118986,0.503498,-0.120994
1,-0.345304,-0.535277,0.173339,1.25056,0.789918
-1,-0.584872,-1.01383,-1.26354,-0.3039,-1.22675
-1,1.18361,-0.509781,-0.675648,-1.03958,-1.55569
1,-0.830983,1.10476,-0.205684,1.1924,0.029033
-1,-0.674715,-0.682969,-1.06128,-1.14079,-1.19108
-1,-0.322829,-0.602208,-0.11883,0.729587,-0.355793
-1,-0.455592,-1.22768,-0.757855,-2.38457,-0.452197
-1,1.28085,-1.68125,-0.854383,-1.54097,-0.791579
-1,1.91972,-1.40832,-1.21453,-1.20997,-1.36572
-1,1.42068,-0.579499,-0.715276,0.323774,-1.49183
-1,-0.562615,-0.300681,-1.06257,-1.17741,-1.17456
1,-0.369677,-0.740699,2.40122,1.04572,-0.293635
1,-0.473066,0.294512,0.903603,-0.817929,1.84781
1,0.081127,0.216737,1.308,-0.771467,1.59438
1,-0.655105,0.203122,-0.540711,-0.793103,0.432009
1,-0.397873,-0.608285,-0.374471,0.127738,-0.346398
1,-0.323774,0.391059,1.25399,1.165,0.567305
