class,Attr3320,Attr6281,Attr804,Attr6184,Attr1962,Attr1829,Attr2121,Attr1674,Attr6677,Attr2363,Attr4847,Attr2439,Attr1087,Attr5984,Attr1882,Attr2111,Attr6347,Attr770,Attr5772,Attr3012,Attr1745,Attr3784,Attr3341,Attr6797,Attr6803,Attr3647,Attr1144,Attr7119,Attr4973,Attr4196,Attr6005,Attr3507,Attr6855,Attr490,Attr6919,Attr1834,Attr3729,Attr1135,Attr2020,Attr173,Attr4229,Attr4609,Attr2402,Attr2288,Attr6806,Attr3258,Attr5833,Attr5087,Attr590,Attr2084
1,-0.220595,0.749782,0.541643,0.408718,0.257098,-0.714318,-0.604218,-0.831279,-0.378033,-0.944004,-0.661837,1.20838,-0.428808,0.154594,-0.504374,-0.997159,2.41914,-1.49076,0.282473,-0.887425,-0.590146,-0.557205,-0.171669,-0.680772,-0.848447,-2.30751,-0.000996,1.08633,1.1624,-1.05983,-0.914758,-0.173663,0.392286,1.33268,-0.729239,-0.457315,-0.390271,-0.9265,-0.71722,-1.01935,-0.738373,1.53349,-0.423939,-0.587803,-0.748313,-0.575296,-1.28953,1.76245,-0.16021,0.468976
1,-0.408508,-0.099772,-0.079822,-0.163314,0.030359,-0.192467,-0.293615,1.04445,-0.672324,-0.086804,-0.667077,-0.676527,-0.310982,0.007397,-0.327348,1.10518,-0.835864,0.343471,-0.812226,-0.886608,-0.280799,-0.566469,-0.286596,0.245112,0.056059,-0.846367,0.534197,-0.593272,-0.208466,0.008703,-0.049944,0.760261,-0.251822,2.3862,-0.484845,-0.851959,0.801949,-0.269497,0.322441,-0.066287,-0.039015,0.333407,-0.50399,-0.514951,-0.151483,-0.587984,0.179843,0.025594,1.01,-0.95917
1,-0.015344,0.322379,1.49521,0.845823,-0.813048,-0.877052,-0.121384,-0.796445,0.50425,-0.971744,-0.6691,-0.161472,0.475936,0.186647,-0.516731,-1.28755,0.253612,-1.66695,0.831413,-1.15558,-0.96515,0.49627,0.673574,-0.149671,-0.122842,-2.0317,2.02583,-0.407801,-1.16287,-0.986148,-0.070474,-0.257373,-0.625058,2.27833,-0.652163,-0.393879,-0.316171,0.762637,0.306202,-1.27169,-1.45801,-0.216496,-0.354506,-0.610309,-0.437522,-0.539666,-0.974438,1.27892,-0.329882,0.138684
1,-0.423074,0.379488,-0.012533,0.509054,2.195,-0.349703,-0.712532,-0.56639,0.207107,-0.449502,-0.383181,0.78401,0.294984,0.029181,-0.604415,-0.860332,0.396707,-0.396908,1.46889,-0.311491,0.184016,-0.226615,-0.327019,-0.593958,-0.550678,-0.618918,-0.30018,-0.260879,0.875066,-0.966607,-0.133764,-0.121629,0.828586,-0.408326,-0.662902,-0.266203,-0.110619,1.07527,-0.147056,0.114897,-0.387676,0.545551,-0.399844,-0.591665,-0.561231,-0.515515,-1.27459,0.622835,0.251095,0.127417
1,-0.546663,0.849345,-0.395435,0.337293,1.67664,0.069398,-0.692148,-0.265192,-1.38768,0.426057,-0.420005,0.551514,1.52768,0.359131,-0.577211,-0.20985,0.413373,0.026507,0.385429,0.453441,-0.184782,1.87241,-1.07085,0.024584,-0.066341,-0.23188,-0.242407,-0.576936,1.4909,1.57688,-1.32989,2.31603,0.304736,-0.119112,0.226273,-0.188082,0.26121,1.14792,-0.644055,0.057636,0.025053,0.799446,-0.402617,-0.413875,-0.067157,-0.320473,-0.148384,1.56086,1.16607,1.55948
1,-0.527014,0.020094,0.476815,1.61161,-0.755564,-0.732004,-0.43353,-0.767445,0.481847,-0.896146,-0.626451,-0.572504,-0.411732,0.667296,-0.339436,-1.26471,-0.214945,-1.74348,0.296857,-0.44109,-0.535866,0.023979,0.134634,-0.01604,-0.128933,-0.600914,2.25046,0.410213,-0.221841,-0.884298,-0.341953,0.262622,-0.237115,0.902521,-0.157987,-0.653673,-0.884727,-0.626581,-0.517678,-0.074282,-1.03305,-0.420447,-0.392244,-0.469759,0.040487,-0.926414,-0.344894,-0.202484,-0.260405,-0.046285
1,-0.261331,-0.206691,0.440547,1.92858,1.38389,-0.24752,-0.07306,-0.9869,0.445676,-0.423158,-0.76256,-0.084384,0.84937,-0.193151,-0.584201,-1.02369,0.070197,-0.598853,0.642716,-0.904241,-0.542944,0.159106,-0.307096,-0.628738,-0.590074,0.159941,-0.334498,-0.542422,-0.600293,-0.955245,-0.279364,-0.283962,-0.055506,0.150246,-0.675489,-0.677404,0.022755,-0.253921,-0.248509,0.18139,-0.545367,0.089417,-0.408144,-0.577604,-0.651577,-0.35427,-0.764888,-0.165485,-0.715792,-0.524144
1,0.523796,-0.360325,0.657472,1.35509,-0.06126,-1.2218,-0.368266,-0.441669,0.503363,-1.07833,-0.922927,0.427001,0.726167,-0.68408,-0.586408,-0.446094,0.633071,-0.85931,1.08006,-0.784698,-0.640702,0.672451,-0.911094,-0.406691,-0.36474,-2.45075,0.184719,-0.490341,1.12953,-1.04071,1.24468,-0.030426,1.18704,-0.231168,-0.646943,-0.27135,-0.275387,-0.476176,0.500426,-0.835434,-0.601558,1.1102,-0.322111,-0.664502,-0.397245,-0.452848,-0.115038,0.621654,0.04113,-0.192143
1,-0.655545,1.65138,2.0613,-0.585031,-0.000159,0.089708,-0.143726,-0.329927,0.223085,0.117503,-1.01329,-0.74091,0.307497,1.71586,-0.515508,-0.320043,-0.240493,-0.092147,0.506947,0.14657,-0.844228,0.544727,-1.49922,-0.328597,-0.270796,-0.933878,3.79036,0.960384,0.292861,-0.876502,0.235613,0.009323,0.249824,2.54297,-1.11035,-0.892837,-0.171251,0.057251,-0.686479,-1.24958,-1.01919,-0.18642,-0.361603,-0.578807,-0.405459,-0.903485,-1.22212,2.15338,-0.005979,0.175726
1,-0.146853,1.55228,0.987127,0.465251,-0.608021,-0.906874,-0.431831,-0.934018,-0.335993,-0.682096,-0.505337,-0.708906,0.779772,0.107546,-0.459045,-0.620419,-0.525513,-1.38832,-0.496381,-0.291167,-0.804795,-0.902844,-0.114091,-0.497318,-0.321957,0.118936,2.32742,-0.245852,-1.2572,-0.730224,0.55054,-0.079502,-0.697631,0.70502,-0.375318,-0.516725,-0.062976,-0.081227,-0.219165,-0.431444,-0.774157,0.035406,-0.538567,-0.484019,-0.382855,-0.271975,-1.07079,-0.342527,-0.778401,-0.26208
