class,Attr6855,Attr2354,Attr4847,Attr1834,Attr1882,Attr3252,Attr2121,Attr6041,Attr1745,Attr1144,Attr2288,Attr4328,Attr1685,Attr1829,Attr2642,Attr758,Attr1779,Attr804,Attr4196,Attr4366
1,0,1,-1,0,-1,-1,-1,0,-1,0,-1,0,0,-1,1,0,-1,1,-1,-1
1,0,0,-1,-1,0,-1,0,-1,0,1,-1,0,0,0,-1,-1,-1,0,0,0
1,-1,1,-1,0,-1,-1,0,-1,-1,1,-1,1,0,-1,-1,-1,-1,1,-1,0
1,1,1,0,0,-1,-1,-1,0,0,0,-1,0,0,0,1,1,-1,0,-1,-1
1,0,0,0,0,-1,-1,-1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,0,-1,-1,-1,-1,0,-1,0
1,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,1,-1,0,1,0,-1,0,-1,-1
1,1,0,-1,0,-1,-1,0,-1,-1,0,-1,0,0,-1,0,0,-1,1,-1,-1
1,0,1,-1,-1,-1,-1,0,-1,-1,1,-1,1,0,0,-1,-1,-1,1,-1,0
1,-1,0,-1,-1,0,-1,0,-1,-1,1,0,1,-1,-1,-1,-1,0,1,-1,0
1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1
1,-1,0,0,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,1,0
1,1,1,0,-1,-1,-1,-1,0,-1,0,-1,1,1,-1,1,1,-1,1,0,-1
1,0,0,-1,-1,0,1,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0
1,1,1,0,-1,-1,-1,0,-1,0,0,-1,1,1,0,1,1,0,0,0,-1
1,1,0,0,-1,-1,-1,0,-1,-1,1,-1,1,1,-1,0,1,0,0,-1,-1
1,0,0,0,-1,-1,1,0,1,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,1
1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,0,0,-1,0
1,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,0,-1,0,0,-1,-1
1,1,1,-1,-1,-1,-1,0,-1,-1,1,-1,1,1,0,1,0,-1,1,-1,-1
1,1,-1,-1,0,-1,-1,-1,-1,0,0,-1,1,0,0,0,1,-1,-1,0,-1
1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,-1
