class,Attr6855,Attr2354,Attr4847,Attr1834,Attr1882,Attr3252,Attr2121,Attr6041,Attr1745,Attr1144,Attr2288,Attr4328,Attr1685,Attr1829,Attr2642,Attr758,Attr1779,Attr804,Attr4196,Attr4366,Attr4973,Attr2020,Attr5593,Attr5501,Attr6806,Attr4229,Attr6919,Attr2111,Attr2402,Attr4680,Attr6797,Attr2441,Attr2363,Attr4438,Attr2335,Attr1928,Attr3847,Attr3320,Attr1909,Attr4377,Attr235,Attr6283,Attr5039,Attr6225,Attr2348,Attr4535,Attr6803,Attr4582,Attr2141,Attr6185,Attr321,Attr5772,Attr7119,Attr1674,Attr4167,Attr6281,Attr3722,Attr6539,Attr1260,Attr4373,Attr6376,Attr1630,Attr4894,Attr4609,Attr6201,Attr173,Attr5087,Attr6373,Attr2546,Attr4211,Attr1400,Attr6702,Attr1740,Attr6257,Attr6162,Attr1926,Attr6167,Attr6623,Attr5688,Attr4082,Attr1081,Attr1725,Attr6005,Attr4499,Attr6974,Attr4107,Attr922,Attr3422,Attr2439,Attr1239,Attr5833,Attr3631,Attr4472,Attr4951,Attr4291,Attr6847,Attr2855,Attr6472,Attr3507,Attr5984,Attr760,Attr532,Attr229,Attr2485,Attr668,Attr5794,Attr2739,Attr3137,Attr1120,Attr1078,Attr4644,Attr4480,Attr1962,Attr5552,Attr2276,Attr1095,Attr490,Attr1092,Attr88,Attr878,Attr2833,Attr293,Attr2084,Attr2356,Attr1615,Attr4137,Attr4004,Attr412,Attr3336,Attr3005,Attr3359,Attr2408,Attr1157,Attr4914,Attr2063,Attr3433,Attr288,Attr3233,Attr3183,Attr3070,Attr1807,Attr4463,Attr5254,Attr6279,Attr6215,Attr1207,Attr5231,Attr379,Attr2043,Attr3258,Attr3932,Attr4546,Attr5808,Attr3861,Attr2909,Attr2422,Attr2733,Attr5191,Attr5600,Attr6049,Attr6573,Attr1551,Attr3984,Attr4318,Attr3688,Attr1704,Attr1448,Attr1953,Attr461,Attr3416,Attr5171,Attr654,Attr4447,Attr6895,Attr6515,Attr1604,Attr6563,Attr6378,Attr4780,Attr1399,Attr5823,Attr4091,Attr5300,Attr2759,Attr5683,Attr1649,Attr1450,Attr4375,Attr1394,Attr5188,Attr6677,Attr3778,Attr1897,Attr1381,Attr2604,Attr2349,Attr5625,Attr2951,Attr900,Attr6801
1,0,1,-1,0,-1,-1,-1,0,-1,0,-1,0,0,-1,1,0,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,0,1,-1,0,-1,1,1,1,0,0,1,0,-1,1,0,1,0,1,-1,1,-1,-1,-1,0,1,-1,1,1,0,-1,-1,-1,-1,0,0,1,-1,-1,1,0,-1,1,0,0,0,1,0,-1,0,0,1,-1,0,-1,-1,0,1,-1,0,-1,1,0,-1,-1,1,-1,1,0,1,1,0,0,0,-1,1,0,1,0,0,0,1,1,0,1,0,1,-1,-1,1,0,-1,0,0,1,0,0,-1,-1,1,1,0,-1,0,1,-1,0,0,-1,-1,-1,0,-1,-1,0,1,0,0,-1,0,1,-1,-1,0,0,-1,0,1,0,-1,0,0,1,1,-1,1,0,0,0,0,0,-1,1,1,0,1,1,0,1,0,-1,0,0,0,-1,1,-1,0,1,-1,0,-1,0,0,1,0,0,-1,0,1,1,0,1
1,0,0,-1,-1,0,-1,0,-1,0,1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,0,0,0,1,-1,-1,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,-1,0,0,0,-1,0,0,0,-1,-1,1,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,1,0,0,-1,1,1,-1,-1,-1,1,0,0,1,-1,-1,1,-1,-1,0,1,-1,-1,-1,0,0,0,0,1,0,1,0,0,0,-1,0,0,-1,-1,1,0,1,1,-1,0,0,-1,0,1,1,0,0,0,-1,0,0,0,1,1,-1,0,-1,1,0,-1,0,0,-1,-1,0,-1,1,-1,0,0,-1,0,1,-1,0,-1,0,-1,0,-1,1,0,-1,-1,0,0,-1,1,-1,-1,-1,1,1,-1,1,0,0,-1,0,1,1,-1,0,0,1,-1,0
1,-1,1,-1,0,-1,-1,0,-1,-1,1,-1,1,0,-1,-1,-1,-1,1,-1,0,-1,0,0,0,0,-1,-1,-1,0,-1,0,1,-1,0,-1,1,1,0,0,-1,-1,1,0,-1,1,1,0,1,-1,0,-1,1,0,-1,1,0,0,-1,-1,-1,-1,1,0,0,-1,-1,1,0,-1,0,0,0,1,0,0,-1,0,0,-1,1,0,-1,0,0,0,-1,-1,-1,0,1,-1,-1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,-1,-1,-1,-1,0,0,-1,1,-1,0,0,1,0,0,0,-1,-1,0,0,1,0,1,1,0,1,-1,0,0,0,0,1,0,-1,1,0,0,1,1,1,-1,-1,0,0,0,1,1,-1,0,1,0,1,-1,-1,-1,-1,0,1,0,0,-1,1,-1,0,1,1,0,1,0,-1,0,0,0,-1,-1,-1,-1,1,-1,1,0,0,1,-1,1,1,-1,0,1,1,0,1
1,1,1,0,0,-1,-1,-1,0,0,0,-1,0,0,0,1,1,-1,0,-1,-1,1,0,-1,1,-1,0,-1,-1,0,0,-1,1,0,0,1,1,0,0,1,-1,0,1,0,1,1,0,-1,1,-1,-1,-1,1,0,-1,0,0,1,-1,-1,-1,0,0,0,1,-1,0,1,0,-1,0,0,1,-1,1,-1,0,1,0,0,-1,0,0,0,0,1,0,-1,-1,1,0,-1,0,1,-1,0,0,0,1,0,0,0,1,0,1,-1,-1,1,1,0,1,0,-1,1,0,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1,0,0,-1,0,0,-1,-1,-1,1,1,0,0,0,0,0,1,-1,-1,0,0,0,1,0,1,1,0,1,-1,1,-1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,-1,-1,-1,0,0,-1,1,-1,-1,0,-1,0,-1,0,0,1,0,1,1,0,1,1,0,1
1,0,0,0,0,-1,-1,-1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,-1,-1,1,1,0,0,0,1,1,1,0,1,0,0,-1,0,-1,0,1,1,1,-1,-1,0,0,0,0,1,-1,0,1,-1,0,0,0,1,0,1,-1,-1,0,0,0,0,1,0,-1,-1,0,0,0,0,1,1,0,0,0,-1,1,-1,1,1,1,0,0,1,1,1,-1,0,-1,1,0,1,0,-1,1,1,1,0,0,0,-1,1,0,0,1,-1,0,1,1,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,-1,-1,1,1,0,0,1,1,-1,1,1,0,1,0,1,0,1,-1,1,0,1,0,1,0,-1,0,0,0,1,0,0,0,-1,0,0,0,1,0,1,-1,-1,1,0,0,-1,1,-1,1,1,1,1,0,1,0,-1,1
1,0,0,-1,-1,0,-1,0,-1,-1,1,0,0,0,-1,-1,-1,-1,0,-1,0,0,-1,1,-1,0,-1,0,-1,0,-1,0,1,-1,0,-1,1,0,-1,0,-1,0,1,0,-1,0,1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,-1,1,0,1,0,0,-1,0,0,0,-1,0,1,-1,-1,0,-1,-1,0,0,1,0,0,-1,1,0,0,0,-1,0,0,-1,0,0,0,1,0,1,-1,0,1,-1,-1,1,-1,-1,1,0,0,1,1,0,0,-1,0,0,0,0,0,0,-1,1,-1,0,-1,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,-1,-1,-1,0,0,0,-1,1,-1,1,0,0,0,0,-1,0,1,1,0,1
1,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,1,-1,0,1,0,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,1,0,0,-1,0,1,0,1,0,1,-1,0,-1,-1,-1,1,-1,-1,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,1,-1,-1,-1,0,0,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,0,-1,1,1,1,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,1,0,-1,0,-1,1,1,-1,0,0,-1,0,0,0,1,1,-1,1,-1,1,-1,0,1,1,0,0,0,0,0,-1,0,1,1,0,1,0,0,-1,-1,0,-1,0,0,-1,0,0,-1,-1,0,0,1,0,1,1,0,0,1,0,1
1,1,0,-1,0,-1,-1,0,-1,-1,0,-1,0,0,-1,0,0,-1,1,-1,-1,1,1,0,1,0,-1,-1,0,0,1,0,1,-1,0,1,1,0,1,0,-1,0,1,0,0,0,0,0,1,-1,-1,0,1,0,0,1,0,1,0,0,-1,-1,1,0,1,0,-1,1,1,0,1,-1,0,0,1,0,0,0,0,1,-1,-1,-1,1,1,1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,1,-1,0,-1,0,-1,0,1,0,0,-1,-1,0,-1,0,0,0,1,0,0,-1,0,1,-1,0,-1,1,0,-1,-1,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,0,-1,0,0,-1,1,1,0,0,-1,-1,0,1,1,1,-1,-1,0,1,-1,0,0,1,0,0,1,-1,1,0,0,-1,-1,1,1,0,-1,-1,0,0,0,0,1
1,0,1,-1,-1,-1,-1,0,-1,-1,1,-1,1,0,0,-1,-1,-1,1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,0,1,0,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,1,1,0,0,0,0,-1,1,1,0,0,1,0,-1,-1,0,0,1,-1,0,-1,-1,1,0,-1,1,-1,1,1,0,-1,-1,1,0,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,1,0,-1,1,0,1,-1,1,1,0,1,0,0,1,1,0,-1,0,0,-1,1,0,1,0,-1,1,1,0,0,-1,-1,-1,1,-1,1,0,0,1,0,1,-1,-1,1,1,1,1,0,0,1,-1,-1,1,1,1,-1,-1,1,1,0,1,1,-1,-1,1,0,1,-1,0,1,-1,-1,1,1,0,-1,1,-1,1,-1,1,1,1,0,0,-1,0,1,-1,-1,-1,0,1,-1,1,0,0,0,0,1,1,-1,0,1,1,-1,1
1,-1,0,-1,-1,0,-1,0,-1,-1,1,0,1,-1,-1,-1,-1,0,1,-1,0,-1,0,0,-1,0,-1,0,-1,-1,-1,0,0,-1,0,-1,1,0,0,0,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,0,-1,1,1,-1,-1,0,0,-1,0,-1,0,0,0,0,0,0,1,-1,-1,0,0,-1,0,0,-1,-1,1,0,0,1,0,-1,-1,0,-1,-1,1,-1,-1,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,1,-1,0,1,-1,-1,-1,0,1,0,0,1,1,-1,0,0,-1,0,0,-1,0,0,0,0,0,1,0,0,0,0,-1,0,0,-1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,-1,0,-1,-1,0,-1,0,1,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,-1,0,-1,1,0,-1,0,0,-1,0,0,-1,1,1,-1,0,0,0,0,-1
