normal,gene14,gene377,gene493,gene1917,gene765,gene249,gene625,gene1771,gene1671,gene841,gene1423,gene1047,gene1892,gene419,gene1293,gene822,gene1674,gene267,gene1400,gene892
F,-1.53192,0.396329,1.03187,0.53002,0.349957,-0.084774,0.332443,-0.694222,-0.525082,0.117787,0.353318,1.69032,-0.378657,-0.961885,0.700039,0.095114,-0.061928,0.000689,-0.942793,-1.37324
T,0.404811,1.68741,1.58552,1.13252,1.55094,1.0784,-0.044018,-1.01578,-1.83078,-0.304669,1.54289,0.508408,1.1736,0.132091,0.204408,1.75134,1.14939,1.24354,-1.43354,1.32801
F,-1.70035,0.697607,0.695736,0.967687,-0.085503,-1.06411,-0.278723,-0.520239,1.04685,-0.317325,0.749552,0.176377,-0.736563,-0.218032,-0.409541,0.184835,2.08388,-0.594958,-0.586686,0.086015
T,-0.55931,0.868489,1.17647,1.56388,1.03575,0.563893,-0.029961,-1.75265,-0.961789,-1.38112,1.40453,0.072867,-0.400963,-0.085119,0.206564,0.940464,1.94943,0.394814,-1.16683,-0.772504
F,0.486905,-1.19735,-0.63584,-0.422701,0.465046,0.168165,-0.442686,1.05626,1.09874,0.101216,-0.298782,-0.679594,0.096454,0.858919,-0.769534,-0.210693,-0.148625,0.135833,-0.019951,0.230257
T,1.93079,0.685269,1.01743,-0.349665,2.0169,1.67156,-0.816522,-0.662504,-0.70534,-0.405644,0.830248,-2.27987,1.382,1.22298,-1.74261,0.335435,0.091651,1.96086,0.028395,1.17087
F,-0.976049,-0.204359,-0.794348,0.479983,-0.543412,-0.946359,0.748909,0.024033,2.4,-0.692239,-0.402997,-0.161914,-0.619891,0.693757,-0.142769,-1.16085,-0.453917,-1.03347,-0.903596,-0.665131
T,1.15644,1.20423,1.05802,1.39596,1.88703,1.9131,-1.5901,-2.18015,-0.623567,-1.76412,0.921093,-1.42771,-1.31616,0.464584,-2.01284,0.906032,0.883036,1.69289,0.118521,-0.314277
F,-0.588374,-1.08521,-0.953479,-1.13047,0.006184,-0.754156,0.737611,1.96852,0.979544,-2.15251,-0.298926,1.5115,-1.21942,-1.54262,0.69997,-0.506791,0.184215,-0.339901,0.752718,-1.03129
T,1.38068,0.73714,1.10446,0.00593,1.86499,1.67066,-2.16295,-1.18195,-1.52505,0.944801,0.902517,-1.13042,1.46816,1.80047,-2.03385,0.881497,-0.299918,1.715,-0.960517,2.26875
F,-1.3067,0.043436,-0.698936,-1.18073,-0.58444,-1.197,0.79234,0.697892,-0.369044,1.44681,-1.58238,-0.918946,0.370383,0.572767,-1.51794,-1.69609,-1.43038,-1.34788,-0.476931,0.665496
T,1.02923,0.424935,1.64426,1.16443,1.92245,1.27091,0.682479,-1.03423,-1.36135,-1.04612,1.60756,-0.246093,1.45326,0.053219,-1.25106,1.25693,1.20275,1.47589,-1.38985,1.61748
F,0.684712,0.265867,0.101192,0.039428,0.640185,0.116041,0.306087,0.208339,-0.122111,-0.840731,0.152458,-0.954375,0.105264,0.348172,-0.471209,0.006657,0.611979,0.329651,0.355437,-0.4096
T,1.01476,1.04822,2.02629,0.049608,1.7931,1.282,-1.15048,-1.09438,-1.78412,-1.4068,1.67565,-0.896482,0.807683,0.74524,-0.84189,1.07628,0.850914,1.59977,-0.722755,0.75711
F,-0.178935,-0.720749,0.316226,0.043344,0.478516,-0.158787,-1.1886,-0.373964,-0.517352,-0.58465,0.082363,-0.219566,-0.235008,-0.065855,-0.383185,-0.39052,0.735404,0.169007,1.01698,-1.61056
T,-0.101042,0.435586,0.750946,-0.129948,0.379343,-0.888453,-1.85838,-2.30359,-0.78385,-1.58673,0.49751,0.398588,-1.13995,0.736467,0.874881,-0.284693,1.80204,0.382122,-1.72185,0.519834
