normal,gene14,gene377,gene493,gene1917,gene765,gene249,gene625,gene1771,gene1671,gene841,gene1423,gene1047,gene1892,gene419,gene1293,gene822,gene1674,gene267,gene1400,gene892,gene66,gene1884,gene581,gene1597,gene245,gene513,gene1153,gene67,gene1494,gene415
F,-1.53192,0.396329,1.03187,0.53002,0.349957,-0.084774,0.332443,-0.694222,-0.525082,0.117787,0.353318,1.69032,-0.378657,-0.961885,0.700039,0.095114,-0.061928,0.000689,-0.942793,-1.37324,0.01698,-0.979565,0.149302,-0.208554,0.053861,0.338184,1.07461,0.116946,-0.652913,0.409291
T,0.404811,1.68741,1.58552,1.13252,1.55094,1.0784,-0.044018,-1.01578,-1.83078,-0.304669,1.54289,0.508408,1.1736,0.132091,0.204408,1.75134,1.14939,1.24354,-1.43354,1.32801,0.639241,0.661753,-0.320751,-0.745925,1.22309,-0.864754,0.046023,0.684171,1.58848,1.50406
F,-1.70035,0.697607,0.695736,0.967687,-0.085503,-1.06411,-0.278723,-0.520239,1.04685,-0.317325,0.749552,0.176377,-0.736563,-0.218032,-0.409541,0.184835,2.08388,-0.594958,-0.586686,0.086015,-0.913681,-0.07141,0.653475,-1.00352,-0.474886,-2.52545,-0.625048,-1.37279,-0.247368,1.03293
T,-0.55931,0.868489,1.17647,1.56388,1.03575,0.563893,-0.029961,-1.75265,-0.961789,-1.38112,1.40453,0.072867,-0.400963,-0.085119,0.206564,0.940464,1.94943,0.394814,-1.16683,-0.772504,-1.26244,-0.531569,0.334995,-0.226896,0.388727,-1.32753,0.30439,-0.818342,-0.174523,1.26225
F,0.486905,-1.19735,-0.63584,-0.422701,0.465046,0.168165,-0.442686,1.05626,1.09874,0.101216,-0.298782,-0.679594,0.096454,0.858919,-0.769534,-0.210693,-0.148625,0.135833,-0.019951,0.230257,0.012152,-0.045139,-0.104955,-0.25915,0.262511,1.48213,0.413872,0.259695,-0.066241,-0.183461
T,1.93079,0.685269,1.01743,-0.349665,2.0169,1.67156,-0.816522,-0.662504,-0.70534,-0.405644,0.830248,-2.27987,1.382,1.22298,-1.74261,0.335435,0.091651,1.96086,0.028395,1.17087,1.77681,1.04794,-1.53802,0.460102,1.96491,-0.759415,-2.99346,0.446307,0.93623,0.216917
F,-0.976049,-0.204359,-0.794348,0.479983,-0.543412,-0.946359,0.748909,0.024033,2.4,-0.692239,-0.402997,-0.161914,-0.619891,0.693757,-0.142769,-1.16085,-0.453917,-1.03347,-0.903596,-0.665131,-0.339011,-1.01048,-0.637474,-0.58874,-0.885041,0.534473,-0.744242,-0.970359,-1.54675,-1.37817
T,1.15644,1.20423,1.05802,1.39596,1.88703,1.9131,-1.5901,-2.18015,-0.623567,-1.76412,0.921093,-1.42771,-1.31616,0.464584,-2.01284,0.906032,0.883036,1.69289,0.118521,-0.314277,0.249952,0.164915,-1.83617,0.869148,1.79079,-0.897567,-2.18458,0.890372,-0.01739,0.514073
F,-0.588374,-1.08521,-0.953479,-1.13047,0.006184,-0.754156,0.737611,1.96852,0.979544,-2.15251,-0.298926,1.5115,-1.21942,-1.54262,0.69997,-0.506791,0.184215,-0.339901,0.752718,-1.03129,-1.13522,-1.04205,1.52378,-1.26659,-0.328117,1.22099,0.667483,-1.5389,-1.23846,-0.76935
T,1.38068,0.73714,1.10446,0.00593,1.86499,1.67066,-2.16295,-1.18195,-1.52505,0.944801,0.902517,-1.13042,1.46816,1.80047,-2.03385,0.881497,-0.299918,1.715,-0.960517,2.26875,1.05099,1.66318,-1.0017,0.4267,1.71781,-1.36961,-1.89596,1.72534,1.30253,0.821226
