normal,gene14,gene377,gene493,gene1917,gene765
F,-1.53192,0.396329,1.03187,0.53002,0.349957
T,0.404811,1.68741,1.58552,1.13252,1.55094
F,-1.70035,0.697607,0.695736,0.967687,-0.085503
T,-0.55931,0.868489,1.17647,1.56388,1.03575
F,0.486905,-1.19735,-0.63584,-0.422701,0.465046
T,1.93079,0.685269,1.01743,-0.349665,2.0169
F,-0.976049,-0.204359,-0.794348,0.479983,-0.543412
T,1.15644,1.20423,1.05802,1.39596,1.88703
F,-0.588374,-1.08521,-0.953479,-1.13047,0.006184
T,1.38068,0.73714,1.10446,0.00593,1.86499
F,-1.3067,0.043436,-0.698936,-1.18073,-0.58444
T,1.02923,0.424935,1.64426,1.16443,1.92245
F,0.684712,0.265867,0.101192,0.039428,0.640185
T,1.01476,1.04822,2.02629,0.049608,1.7931
F,-0.178935,-0.720749,0.316226,0.043344,0.478516
T,-0.101042,0.435586,0.750946,-0.129948,0.379343
F,-0.633022,0.608344,0.189036,0.383361,-0.311375
T,1.02874,2.79307,1.62459,-0.167978,0.505664
F,0.255625,-0.86651,0.03872,-0.74247,-0.518572
T,2.08865,1.24517,1.48417,-0.411039,1.84852
F,-1.84593,0.206886,0.37907,-0.280699,-0.654079
T,-0.660579,0.480019,1.46716,0.453765,1.27248
F,0.217414,-1.06196,-0.943869,-0.328554,-0.554355
T,1.83464,2.32254,1.40241,0.727258,0.65299
F,0.262912,-0.922103,-0.412118,0.066443,-0.69135
F,-1.41239,-0.668042,-1.24689,-0.293392,-0.896282
F,-1.1616,-0.708878,-0.82305,-1.02184,-0.066362
F,-0.399909,-0.951402,-0.884028,0.001639,-0.816295
F,-1.74159,-0.788323,-1.04328,0.215288,-0.783134
F,-1.20655,-0.407664,-1.18657,-0.790649,-0.369369
F,-0.527436,-1.05026,-1.05708,0.088124,0.021763
F,-0.140789,-0.692001,-0.549997,-1.15092,0.16038
F,0.468599,-0.612216,-0.728455,-1.7402,0.041811
F,0.105281,-0.967186,-0.913241,-0.602249,-1.0495
F,-0.750862,-0.686497,-0.338867,-0.726568,0.081342
F,0.063377,-1.65309,-1.83724,-1.65631,-0.819163
F,-2.31952,-0.659746,-0.570915,0.463572,-0.832429
F,0.071696,-1.6452,-1.21756,-0.697529,-0.091932
T,0.760898,1.39393,0.547207,0.783044,1.33909
F,-0.142293,-0.347112,-0.738518,-0.105441,-2.1303
F,-0.232203,-0.970712,-0.977785,0.879838,-0.800751
T,1.31337,1.48753,0.366829,0.285083,0.109645
T,1.04868,0.923745,1.62195,1.47743,0.953207
F,0.08924,-0.600602,-1.03132,-1.77506,-0.853935
F,0.026216,-0.09786,0.43863,0.301769,-0.01211
F,0.660668,-0.61041,-0.636079,-0.935249,-0.898644
F,-0.261051,-1.84239,-1.81962,-1.03706,-1.31511
T,0.731312,1.19715,-0.045496,1.20801,-0.406948
F,0.061964,0.70518,1.02057,0.768901,0.135997
T,1.06366,-0.193367,1.77076,1.58199,0.939973
T,-0.015205,-0.137593,0.0915,-3.12738,-1.27574
F,0.954973,-0.761555,-0.605867,-0.997469,-0.477421
F,0.156209,-0.552491,-0.502564,0.295722,-0.504203
T,1.39249,0.114126,0.448844,1.90586,0.888538
T,-0.769534,-0.164317,-0.937252,0.396271,-1.92326
F,1.12447,0.749598,0.314639,0.662972,0.965813
F,-0.324529,-0.75391,-0.213315,-0.141406,-0.842043
F,-1.39987,0.001145,-0.567127,1.06678,-1.30552
F,-0.229063,-0.507101,-0.556259,0.500274,-0.830158
T,-0.118578,2.21181,0.347547,1.18144,0.056917
F,-1.33116,-0.212275,-1.28944,-2.18534,-1.61317
T,0.696933,0.365677,0.694332,1.06067,0.492348
