normal,gene14,gene377,gene493,gene1917,gene765,gene249,gene625,gene1771,gene1671,gene841,gene1423,gene1047,gene1892,gene419,gene1293,gene822,gene1674,gene267,gene1400,gene892,gene66,gene1884,gene581,gene1597,gene245,gene513,gene1153,gene67,gene1494,gene415,gene1416,gene1635,gene391,gene1873,gene824,gene1772,gene1534,gene1946,gene1472,gene1388,gene1511,gene1058,gene1758,gene111,gene1115,gene1231,gene1730,gene561,gene1168,gene1924
F,-1.53192,0.396329,1.03187,0.53002,0.349957,-0.084774,0.332443,-0.694222,-0.525082,0.117787,0.353318,1.69032,-0.378657,-0.961885,0.700039,0.095114,-0.061928,0.000689,-0.942793,-1.37324,0.01698,-0.979565,0.149302,-0.208554,0.053861,0.338184,1.07461,0.116946,-0.652913,0.409291,-1.53753,-0.782026,0.738424,-0.369497,0.261337,0.234473,1.32067,0.360917,0.673796,-0.560586,-0.157059,-1.09246,0.039088,0.195088,0.432495,-0.616197,-0.153933,-3.04872,0.478998,0.620955
T,0.404811,1.68741,1.58552,1.13252,1.55094,1.0784,-0.044018,-1.01578,-1.83078,-0.304669,1.54289,0.508408,1.1736,0.132091,0.204408,1.75134,1.14939,1.24354,-1.43354,1.32801,0.639241,0.661753,-0.320751,-0.745925,1.22309,-0.864754,0.046023,0.684171,1.58848,1.50406,-0.204508,1.07346,-0.263439,1.71962,0.405049,-1.29141,-0.472861,0.199938,-0.71802,-1.15949,-0.239966,-0.128283,0.710564,1.53404,-0.048505,-0.032051,-1.45746,-1.12694,-0.118437,-0.445452
F,-1.70035,0.697607,0.695736,0.967687,-0.085503,-1.06411,-0.278723,-0.520239,1.04685,-0.317325,0.749552,0.176377,-0.736563,-0.218032,-0.409541,0.184835,2.08388,-0.594958,-0.586686,0.086015,-0.913681,-0.07141,0.653475,-1.00352,-0.474886,-2.52545,-0.625048,-1.37279,-0.247368,1.03293,0.509618,-0.558988,-1.99412,-1.53914,-0.104522,-1.1298,1.06427,-0.713891,0.055553,-3.69987,-0.898824,-1.5117,-0.41509,0.595206,0.245188,-0.525941,-0.741531,-0.620347,-1.53472,0.03812
T,-0.55931,0.868489,1.17647,1.56388,1.03575,0.563893,-0.029961,-1.75265,-0.961789,-1.38112,1.40453,0.072867,-0.400963,-0.085119,0.206564,0.940464,1.94943,0.394814,-1.16683,-0.772504,-1.26244,-0.531569,0.334995,-0.226896,0.388727,-1.32753,0.30439,-0.818342,-0.174523,1.26225,-0.259375,-0.231136,-0.647155,3.20929,-0.976312,-1.35392,-0.012053,0.325624,-0.482723,-0.907193,-0.54901,0.854712,0.717587,1.06286,-0.028642,-0.224959,-1.07194,-0.098443,-2.30458,0.583746
F,0.486905,-1.19735,-0.63584,-0.422701,0.465046,0.168165,-0.442686,1.05626,1.09874,0.101216,-0.298782,-0.679594,0.096454,0.858919,-0.769534,-0.210693,-0.148625,0.135833,-0.019951,0.230257,0.012152,-0.045139,-0.104955,-0.25915,0.262511,1.48213,0.413872,0.259695,-0.066241,-0.183461,0.859295,-0.423752,0.074774,-1.44921,-0.091543,1.29685,-0.005755,-0.676969,-0.882707,1.05278,-0.931567,0.097545,-1.50137,0.285324,0.642919,-1.58396,0.341729,0.130823,0.260467,0.26429
T,1.93079,0.685269,1.01743,-0.349665,2.0169,1.67156,-0.816522,-0.662504,-0.70534,-0.405644,0.830248,-2.27987,1.382,1.22298,-1.74261,0.335435,0.091651,1.96086,0.028395,1.17087,1.77681,1.04794,-1.53802,0.460102,1.96491,-0.759415,-2.99346,0.446307,0.93623,0.216917,1.37814,0.984955,-2.10086,0.784057,1.52198,0.462199,0.524179,-1.77229,-1.02027,1.40426,-1.89414,1.44799,-0.956651,1.14872,-0.462045,2.46805,-1.22157,1.38573,-1.23609,1.65094
F,-0.976049,-0.204359,-0.794348,0.479983,-0.543412,-0.946359,0.748909,0.024033,2.4,-0.692239,-0.402997,-0.161914,-0.619891,0.693757,-0.142769,-1.16085,-0.453917,-1.03347,-0.903596,-0.665131,-0.339011,-1.01048,-0.637474,-0.58874,-0.885041,0.534473,-0.744242,-0.970359,-1.54675,-1.37817,-0.963078,-1.01707,0.643544,-0.184692,-1.45998,0.170894,1.4066,0.53206,-0.349072,0.058219,0.585476,-0.236377,0.261807,-0.210795,1.19394,-1.02632,-0.474359,-0.932672,-0.515561,-2.17991
T,1.15644,1.20423,1.05802,1.39596,1.88703,1.9131,-1.5901,-2.18015,-0.623567,-1.76412,0.921093,-1.42771,-1.31616,0.464584,-2.01284,0.906032,0.883036,1.69289,0.118521,-0.314277,0.249952,0.164915,-1.83617,0.869148,1.79079,-0.897567,-2.18458,0.890372,-0.01739,0.514073,1.10892,0.216604,-0.744561,-0.226522,1.08091,-0.604493,0.216448,-1.1043,-2.11648,1.401,-1.68008,2.26119,-0.354568,0.732065,0.267354,-0.42603,-0.514109,1.17506,-1.72518,1.61149
F,-0.588374,-1.08521,-0.953479,-1.13047,0.006184,-0.754156,0.737611,1.96852,0.979544,-2.15251,-0.298926,1.5115,-1.21942,-1.54262,0.69997,-0.506791,0.184215,-0.339901,0.752718,-1.03129,-1.13522,-1.04205,1.52378,-1.26659,-0.328117,1.22099,0.667483,-1.5389,-1.23846,-0.76935,-0.52983,-1.61988,0.64727,-0.893906,-0.358564,1.0272,1.64366,0.2438,0.220407,-0.002748,0.748379,-0.276179,1.24217,-0.466529,0.663459,0.699473,-0.798628,-0.979262,-0.94423,0.750454
T,1.38068,0.73714,1.10446,0.00593,1.86499,1.67066,-2.16295,-1.18195,-1.52505,0.944801,0.902517,-1.13042,1.46816,1.80047,-2.03385,0.881497,-0.299918,1.715,-0.960517,2.26875,1.05099,1.66318,-1.0017,0.4267,1.71781,-1.36961,-1.89596,1.72534,1.30253,0.821226,0.581662,0.89085,-1.79619,-0.117372,1.07903,-0.719822,-0.638278,-1.80219,-2.2683,0.86971,-2.10916,0.777029,-0.80766,0.886727,-0.659941,0.322806,-0.996422,0.773512,-0.339885,1.23269
