class,Attr3320,Attr6281,Attr804,Attr6184,Attr1962,Attr1829,Attr2121,Attr1674,Attr6677,Attr2363
F,-0.220595,0.749782,0.541643,0.408718,0.257098,-0.714318,-0.604218,-0.831279,-0.378033,-0.944004
F,-0.408508,-0.099772,-0.079822,-0.163314,0.030359,-0.192467,-0.293615,1.04445,-0.672324,-0.086804
F,-0.015344,0.322379,1.49521,0.845823,-0.813048,-0.877052,-0.121384,-0.796445,0.50425,-0.971744
F,-0.423074,0.379488,-0.012533,0.509054,2.195,-0.349703,-0.712532,-0.56639,0.207107,-0.449502
F,-0.546663,0.849345,-0.395435,0.337293,1.67664,0.069398,-0.692148,-0.265192,-1.38768,0.426057
F,-0.527014,0.020094,0.476815,1.61161,-0.755564,-0.732004,-0.43353,-0.767445,0.481847,-0.896146
F,-0.261331,-0.206691,0.440547,1.92858,1.38389,-0.24752,-0.07306,-0.9869,0.445676,-0.423158
F,0.523796,-0.360325,0.657472,1.35509,-0.06126,-1.2218,-0.368266,-0.441669,0.503363,-1.07833
F,-0.655545,1.65138,2.0613,-0.585031,-0.000159,0.089708,-0.143726,-0.329927,0.223085,0.117503
F,-0.146853,1.55228,0.987127,0.465251,-0.608021,-0.906874,-0.431831,-0.934018,-0.335993,-0.682096
F,-0.868556,2.02074,0.782958,-0.12586,-0.26614,-0.874858,-0.594995,-0.776495,-0.330402,-0.092948
F,-0.532135,0.249493,-0.727189,-0.596227,-0.213425,-0.385489,-0.405045,0.887808,-0.62876,-0.084548
F,-0.820459,0.898514,2.20634,0.217274,0.900986,-0.902743,-0.885089,-0.731158,-1.32379,-0.608957
F,-0.588769,-0.674661,-0.459888,-0.198025,-0.615057,0.338396,-0.247696,0.428941,-0.869989,-0.91655
F,-1.09896,1.72033,0.363221,-0.390629,1.72721,-0.378008,-0.399029,-0.372833,-1.45132,-0.235191
F,-0.602,1.10359,0.072262,0.529741,0.599497,-0.725963,-0.399118,-1.14633,-0.199442,-0.601505
F,0.36678,-0.693301,-0.02461,-0.375286,-0.32882,-0.013585,0.357167,0.194485,0.435487,2.62833
F,-0.438071,0.748316,-0.304393,0.477259,-0.264498,-0.608499,-0.867082,-0.07089,-0.022657,-0.684936
F,0.12718,0.554059,-0.086024,0.398602,-0.062929,-0.735121,-0.598722,-0.994,-0.705522,-0.483335
F,-1.01444,2.8961,3.47173,-0.823475,1.93289,0.213297,-0.458318,0.278615,-1.07201,-0.901994
F,-1.09464,1.36519,-0.724897,0.510279,1.8256,-0.473473,-0.943521,-1.30868,-0.087215,-0.705302
F,-0.473055,-0.702947,1.02681,-0.015499,1.01353,-0.804491,-0.755386,-0.719519,-0.214891,-0.840186
F,-0.6119,0.280002,0.471007,2.12329,-0.194179,-0.797645,-0.624085,-1.14548,0.194091,-0.979461
F,-0.557627,0.371777,1.17895,1.16981,3.12941,-0.482278,-0.651686,-0.760499,0.127188,-0.058331
F,-0.140593,0.441323,-0.305916,0.292154,-0.553149,-0.712194,-0.619613,0.461165,0.240955,-0.566933
F,-0.596864,1.11577,-0.380005,0.514541,0.317772,-0.693172,-0.626244,-0.959499,0.182798,-0.843261
F,0.132343,-0.564275,0.290142,1.06681,0.81412,-0.624706,-0.271557,-1.06942,0.456881,-1.00687
T,0.34363,-0.609118,-0.411054,-0.343729,-0.417131,-0.105826,0.481295,1.00248,0.146022,-0.0438
T,1.65205,-0.407852,-1.26286,-1.23827,-1.26225,0.301377,-0.12037,0.094781,3.65881,1.65618
T,2.8127,-1.49876,-0.632391,-0.826278,-0.235821,3.38292,2.13626,1.13347,0.622027,1.31423
T,2.06646,-0.751904,-1.12243,-1.15464,-0.762566,1.50985,0.682255,0.279085,0.912683,0.428323
T,1.42912,-0.450042,-0.075807,-0.444363,0.39294,0.697623,1.71373,1.38522,0.534863,-0.065804
T,-0.082864,-1.70488,-0.461026,-0.780438,-0.640843,-0.353458,-0.145003,1.66652,1.4206,1.93395
T,1.37983,-1.00851,-1.20858,0.059586,-1.11824,1.87495,1.06972,0.310104,1.68874,1.51913
T,1.13572,-1.08897,-1.12521,-0.62997,-1.03822,1.24246,0.40768,-0.468096,0.13811,-0.275413
T,2.71834,-1.62221,-1.08993,-0.045784,-1.02928,2.96686,3.23413,1.90358,1.05106,1.12302
T,1.32334,-1.22122,-0.713176,-1.12797,-0.747331,1.02071,1.50441,1.5892,1.08604,0.161956
T,1.15398,-1.2889,-0.831293,-0.338494,-0.481185,-0.522802,-0.289541,1.50397,0.891999,-0.735074
F,-0.20545,0.496574,0.572294,2.30572,-0.646247,-1.18953,-0.787464,-0.751694,-0.494124,-0.788236
F,-0.224616,-0.265763,-0.628834,-0.575484,-0.614744,-0.934008,-0.73042,-1.17837,-0.424493,0.39196
F,-1.03587,1.14145,0.301434,0.002724,2.27599,-0.291481,-0.667881,-0.983958,-1.08234,-0.288277
F,-1.54256,-0.082984,0.388849,1.33793,0.154358,-0.796541,-0.727262,-0.044556,-0.867499,-0.788659
F,-0.76261,0.00289,-0.351402,0.63416,-0.271495,-0.235699,-0.572736,-0.364919,0.198082,-0.57895
F,-1.30226,1.68599,1.26318,0.352097,-0.184148,-0.128534,-0.668221,-0.765133,-0.652296,-0.828957
F,-0.937053,0.661919,-0.090504,-0.942416,0.366441,-0.245714,-0.516187,-0.07092,-0.801806,-0.780168
F,-0.805493,0.621353,-0.22091,-0.181368,0.227369,-0.058432,-0.440507,-0.059936,-0.78277,-0.632818
F,-0.164445,0.588492,-0.247778,0.741392,-0.557061,-0.5695,-0.603521,-0.71438,-0.217479,-0.147621
F,-0.839137,1.73951,2.18688,-0.39083,0.250459,-0.777745,-0.579345,-0.078582,-1.22564,-0.707537
F,0.112773,-0.075401,-0.070358,1.65068,1.10825,-0.727007,-0.131459,-1.24927,0.897354,-0.86699
T,1.38008,-1.41331,-1.11901,-1.35273,-0.560015,1.1996,1.29352,1.65306,1.74407,1.63765
T,1.26351,-1.11138,-1.23827,-1.92894,-1.00097,0.842926,-0.064507,0.74074,1.45796,0.506342
T,-0.928236,-0.430521,-1.18639,-2.27321,-0.567191,2.76261,3.88072,1.98462,0.408097,0.69698
T,2.48096,-1.31816,0.475891,0.344356,-0.380147,0.025726,1.03863,1.54039,1.7054,-0.318334
T,-0.364046,0.555396,-1.20052,0.499883,-0.222911,0.471043,1.18623,-1.53203,-0.623749,1.12789
F,-0.454576,0.548627,-0.118986,0.503498,-0.120994,-0.510732,-0.837543,-0.70168,-0.18901,-0.643078
F,-0.345304,-0.535277,0.173339,1.25056,0.789918,-0.685716,-0.435715,-0.853285,0.462468,-0.831136
T,-0.584872,-1.01383,-1.26354,-0.3039,-1.22675,1.25933,1.23142,0.572236,1.70928,1.14131
T,1.18361,-0.509781,-0.675648,-1.03958,-1.55569,-0.683367,0.268781,1.18143,0.478313,0.309577
F,-0.830983,1.10476,-0.205684,1.1924,0.029033,-0.54523,-0.184534,-0.772085,0.244864,-0.299357
T,-0.674715,-0.682969,-1.06128,-1.14079,-1.19108,0.191866,-0.238695,-0.559897,-0.576628,1.74884
T,-0.322829,-0.602208,-0.11883,0.729587,-0.355793,1.1101,-0.074826,1.15188,-0.026125,1.19752
T,-0.455592,-1.22768,-0.757855,-2.38457,-0.452197,1.91201,1.47601,2.55484,-3.06575,-0.159569
T,1.28085,-1.68125,-0.854383,-1.54097,-0.791579,1.6015,1.19161,1.61836,0.061355,-0.053549
T,1.91972,-1.40832,-1.21453,-1.20997,-1.36572,1.77458,2.90098,-0.842424,1.43676,3.68477
T,1.42068,-0.579499,-0.715276,0.323774,-1.49183,0.224422,-0.271967,2.07481,0.093298,1.617
T,-0.562615,-0.300681,-1.06257,-1.17741,-1.17456,-0.424275,-0.444636,-0.416589,-0.713825,0.170356
F,-0.369677,-0.740699,2.40122,1.04572,-0.293635,-0.415727,-0.079613,0.739003,-0.563696,-0.470747
F,-0.473066,0.294512,0.903603,-0.817929,1.84781,-0.000257,-0.598225,-0.38437,-1.60187,2.10404
F,0.081127,0.216737,1.308,-0.771467,1.59438,-0.666223,-0.400578,0.162347,-1.26823,0.053721
F,-0.655105,0.203122,-0.540711,-0.793103,0.432009,-0.198136,-0.636524,-0.648265,-1.00704,-0.742953
F,-0.397873,-0.608285,-0.374471,0.127738,-0.346398,-0.805792,-0.630073,-0.3807,-0.63764,-0.762319
F,-0.323774,0.391059,1.25399,1.165,0.567305,-0.757564,-0.955713,-0.342396,-0.548946,-0.745192
