class,Attr3320,Attr6281,Attr804,Attr6184,Attr1962,Attr1829,Attr2121,Attr1674,Attr6677,Attr2363,Attr4847,Attr2439,Attr1087,Attr5984,Attr1882,Attr2111,Attr6347,Attr770,Attr5772,Attr3012,Attr1745,Attr3784,Attr3341,Attr6797,Attr6803,Attr3647,Attr1144,Attr7119,Attr4973,Attr4196,Attr6005,Attr3507,Attr6855,Attr490,Attr6919,Attr1834,Attr3729,Attr1135,Attr2020,Attr173,Attr4229,Attr4609,Attr2402,Attr2288,Attr6806,Attr3258,Attr5833,Attr5087,Attr590,Attr2084,Attr6021,Attr3252,Attr2626,Attr1081,Attr4167,Attr3336,Attr5723,Attr3342,Attr2137,Attr3004,Attr1827,Attr400,Attr4328,Attr4366,Attr235,Attr5823,Attr5062,Attr1802,Attr6162,Attr2276,Attr695,Attr1779,Attr4764,Attr3561,Attr774,Attr2641,Attr3904,Attr321,Attr1260,Attr1630,Attr3778,Attr4504,Attr833,Attr1147,Attr396,Attr4291,Attr4582,Attr878,Attr2441,Attr88,Attr1615,Attr5373,Attr585,Attr4535,Attr3939,Attr120,Attr3847,Attr7044,Attr3631,Attr2181
F,-0.220595,0.749782,0.541643,0.408718,0.257098,-0.714318,-0.604218,-0.831279,-0.378033,-0.944004,-0.661837,1.20838,-0.428808,0.154594,-0.504374,-0.997159,2.41914,-1.49076,0.282473,-0.887425,-0.590146,-0.557205,-0.171669,-0.680772,-0.848447,-2.30751,-0.000996,1.08633,1.1624,-1.05983,-0.914758,-0.173663,0.392286,1.33268,-0.729239,-0.457315,-0.390271,-0.9265,-0.71722,-1.01935,-0.738373,1.53349,-0.423939,-0.587803,-0.748313,-0.575296,-1.28953,1.76245,-0.16021,0.468976,0.582311,-0.724608,-0.813903,-0.047672,1.61509,-0.149107,-0.56837,-0.813328,-0.661439,-0.985834,-0.155211,0.282783,0.014207,-0.631178,-1.07082,0.306318,1.46734,-0.167875,-0.228219,-0.582104,-0.541619,-0.527772,0.444846,0.167678,-1.07897,0.749669,2.96255,-0.677593,-1.58663,-0.296631,0.576407,-0.823608,-0.301116,0.942965,-0.775541,0.650962,1.50972,-0.211529,0.118397,-0.861864,-1.2884,-0.161752,-0.475067,0.69701,-0.198623,-0.01497,0.016964,-0.308227,-1.0887,-0.358844
F,-0.408508,-0.099772,-0.079822,-0.163314,0.030359,-0.192467,-0.293615,1.04445,-0.672324,-0.086804,-0.667077,-0.676527,-0.310982,0.007397,-0.327348,1.10518,-0.835864,0.343471,-0.812226,-0.886608,-0.280799,-0.566469,-0.286596,0.245112,0.056059,-0.846367,0.534197,-0.593272,-0.208466,0.008703,-0.049944,0.760261,-0.251822,2.3862,-0.484845,-0.851959,0.801949,-0.269497,0.322441,-0.066287,-0.039015,0.333407,-0.50399,-0.514951,-0.151483,-0.587984,0.179843,0.025594,1.01,-0.95917,0.544498,-0.589524,-0.628767,-0.675919,-0.284158,0.093272,0.37862,0.190796,-0.424181,-0.233726,-0.677788,-0.90254,0.075228,-0.221208,-0.687197,1.16338,0.453798,-0.757566,-1.42105,-0.093882,-0.658561,-0.540885,-0.883343,-0.433051,1.40707,0.653056,-0.784382,-0.020872,-0.572685,3.03609,-0.464205,1.14268,0.729944,-0.629479,0.574644,0.789463,-1.02484,0.078485,0.416925,0.510149,0.086099,-0.712451,-0.935979,0.291513,0.316636,0.47323,-0.869876,-0.291298,-0.28155,-0.732482
F,-0.015344,0.322379,1.49521,0.845823,-0.813048,-0.877052,-0.121384,-0.796445,0.50425,-0.971744,-0.6691,-0.161472,0.475936,0.186647,-0.516731,-1.28755,0.253612,-1.66695,0.831413,-1.15558,-0.96515,0.49627,0.673574,-0.149671,-0.122842,-2.0317,2.02583,-0.407801,-1.16287,-0.986148,-0.070474,-0.257373,-0.625058,2.27833,-0.652163,-0.393879,-0.316171,0.762637,0.306202,-1.27169,-1.45801,-0.216496,-0.354506,-0.610309,-0.437522,-0.539666,-0.974438,1.27892,-0.329882,0.138684,-0.438776,-0.640081,-0.010583,-0.32847,1.4705,0.903001,-1.53737,-0.86153,-0.70103,-0.188677,0.261284,-0.898393,1.86589,-0.474006,-1.26812,0.254231,-0.533837,-1.5301,-0.22949,0.431903,0.489827,-0.554255,0.918393,-0.096668,-0.694601,0.924689,0.139214,-0.720945,-1.55987,2.7557,-0.99089,0.53143,0.176438,-0.472983,-0.62577,1.78329,1.00479,-0.012351,2.55084,-0.36956,-1.00029,0.366143,-0.617515,1.65528,-0.322498,-0.637911,0.722164,0.44539,-0.594334,0.06022
F,-0.423074,0.379488,-0.012533,0.509054,2.195,-0.349703,-0.712532,-0.56639,0.207107,-0.449502,-0.383181,0.78401,0.294984,0.029181,-0.604415,-0.860332,0.396707,-0.396908,1.46889,-0.311491,0.184016,-0.226615,-0.327019,-0.593958,-0.550678,-0.618918,-0.30018,-0.260879,0.875066,-0.966607,-0.133764,-0.121629,0.828586,-0.408326,-0.662902,-0.266203,-0.110619,1.07527,-0.147056,0.114897,-0.387676,0.545551,-0.399844,-0.591665,-0.561231,-0.515515,-1.27459,0.622835,0.251095,0.127417,2.19836,-0.58836,-0.873552,-0.133029,0.045091,-0.245708,-0.322718,-0.07254,-0.288994,0.40164,0.449108,-0.076736,0.355135,-0.933657,-0.155497,-0.158238,0.077282,0.162475,-1.31906,1.29376,0.612138,-0.537684,-0.795009,0.381427,0.089576,0.029239,0.284293,-1.01382,-1.2317,0.016091,1.05035,-0.315521,-0.883627,1.46714,-0.224611,-0.155342,0.747843,1.22264,1.30552,-0.275172,-1.13551,-0.14688,0.058058,0.266107,0.519597,-0.168975,0.220859,-0.11444,-0.182883,-0.270584
F,-0.546663,0.849345,-0.395435,0.337293,1.67664,0.069398,-0.692148,-0.265192,-1.38768,0.426057,-0.420005,0.551514,1.52768,0.359131,-0.577211,-0.20985,0.413373,0.026507,0.385429,0.453441,-0.184782,1.87241,-1.07085,0.024584,-0.066341,-0.23188,-0.242407,-0.576936,1.4909,1.57688,-1.32989,2.31603,0.304736,-0.119112,0.226273,-0.188082,0.26121,1.14792,-0.644055,0.057636,0.025053,0.799446,-0.402617,-0.413875,-0.067157,-0.320473,-0.148384,1.56086,1.16607,1.55948,1.70314,-0.657389,1.42206,1.10535,1.14466,0.475315,-0.042602,1.78614,0.343921,-0.232172,1.03236,0.983463,0.910636,0.04837,-0.489387,1.59744,1.63298,0.875358,-1.16529,0.606141,-0.212575,-0.380975,-0.210914,2.59833,0.847969,0.473491,0.362237,-0.788129,-1.14576,-0.230844,0.772635,-0.076413,1.9646,-0.426358,0.052793,1.8694,1.08073,1.78795,1.04754,-0.829459,0.069189,-0.742377,0.174004,0.591033,0.661569,-0.202982,-0.899909,-0.147885,-0.005622,-0.416919
F,-0.527014,0.020094,0.476815,1.61161,-0.755564,-0.732004,-0.43353,-0.767445,0.481847,-0.896146,-0.626451,-0.572504,-0.411732,0.667296,-0.339436,-1.26471,-0.214945,-1.74348,0.296857,-0.44109,-0.535866,0.023979,0.134634,-0.01604,-0.128933,-0.600914,2.25046,0.410213,-0.221841,-0.884298,-0.341953,0.262622,-0.237115,0.902521,-0.157987,-0.653673,-0.884727,-0.626581,-0.517678,-0.074282,-1.03305,-0.420447,-0.392244,-0.469759,0.040487,-0.926414,-0.344894,-0.202484,-0.260405,-0.046285,0.130667,-0.595599,0.405705,-0.186979,0.458709,0.158135,-0.76184,0.302552,0.240318,-0.419163,-0.303556,-0.333241,0.437184,-0.438063,-0.08669,-0.615553,-0.103007,-1.43406,-0.282012,0.406409,0.6939,-0.500839,0.660656,-0.371324,-1.08058,0.654171,-0.182515,-0.623372,-0.458886,1.68673,0.349287,0.23175,0.197085,-0.410583,-0.570672,0.019048,-0.428725,-0.657761,0.600479,-0.333963,-1.18145,-0.290975,-0.934112,0.612547,0.129711,0.540299,-0.402788,-0.21461,-0.142361,0.490283
F,-0.261331,-0.206691,0.440547,1.92858,1.38389,-0.24752,-0.07306,-0.9869,0.445676,-0.423158,-0.76256,-0.084384,0.84937,-0.193151,-0.584201,-1.02369,0.070197,-0.598853,0.642716,-0.904241,-0.542944,0.159106,-0.307096,-0.628738,-0.590074,0.159941,-0.334498,-0.542422,-0.600293,-0.955245,-0.279364,-0.283962,-0.055506,0.150246,-0.675489,-0.677404,0.022755,-0.253921,-0.248509,0.18139,-0.545367,0.089417,-0.408144,-0.577604,-0.651577,-0.35427,-0.764888,-0.165485,-0.715792,-0.524144,1.11915,-0.521803,0.288556,-0.155799,0.23464,-0.022093,0.040206,-0.318331,-0.272551,0.304795,0.307082,0.339004,1.05595,-1.01676,-0.14576,-0.037688,-0.519744,-0.174481,-0.07793,1.29577,0.500892,-0.534178,-0.569243,-0.200157,-1.27425,0.384151,-0.321429,-0.70627,-0.839258,-0.639893,0.835853,-0.848588,-0.589578,1.6742,-0.554207,-0.509378,0.398788,-0.200755,0.222504,-0.261406,-0.828438,0.569577,0.076713,0.664141,-0.599643,-0.834918,1.26688,-0.697317,-0.316653,0.027427
F,0.523796,-0.360325,0.657472,1.35509,-0.06126,-1.2218,-0.368266,-0.441669,0.503363,-1.07833,-0.922927,0.427001,0.726167,-0.68408,-0.586408,-0.446094,0.633071,-0.85931,1.08006,-0.784698,-0.640702,0.672451,-0.911094,-0.406691,-0.36474,-2.45075,0.184719,-0.490341,1.12953,-1.04071,1.24468,-0.030426,1.18704,-0.231168,-0.646943,-0.27135,-0.275387,-0.476176,0.500426,-0.835434,-0.601558,1.1102,-0.322111,-0.664502,-0.397245,-0.452848,-0.115038,0.621654,0.04113,-0.192143,-0.387048,-0.514842,-0.945884,-1.17709,0.530129,-0.477567,0.243528,-0.574976,-0.684868,-0.148718,-0.658255,-1.08704,-0.420616,-1.00981,0.023765,0.903931,-0.563562,-1.2769,0.335224,0.834694,1.94489,-0.563624,-0.737754,0.172428,-0.624853,0.661688,1.46002,-0.424042,0.499784,1.55241,0.584866,0.625722,-0.829217,0.502545,-0.280432,-0.03371,0.839545,-0.809771,0.76367,0.430419,-0.688359,0.801988,-0.544053,-0.253323,-1.1012,-1.73494,-0.173667,0.122153,0.082541,0.162654
F,-0.655545,1.65138,2.0613,-0.585031,-0.000159,0.089708,-0.143726,-0.329927,0.223085,0.117503,-1.01329,-0.74091,0.307497,1.71586,-0.515508,-0.320043,-0.240493,-0.092147,0.506947,0.14657,-0.844228,0.544727,-1.49922,-0.328597,-0.270796,-0.933878,3.79036,0.960384,0.292861,-0.876502,0.235613,0.009323,0.249824,2.54297,-1.11035,-0.892837,-0.171251,0.057251,-0.686479,-1.24958,-1.01919,-0.18642,-0.361603,-0.578807,-0.405459,-0.903485,-1.22212,2.15338,-0.005979,0.175726,0.157371,-0.731869,1.23378,1.00983,0.436035,1.20933,-1.21037,-0.267174,-0.895416,0.752709,0.351447,0.612662,1.74458,-0.292032,-1.51679,1.69886,-0.788102,-1.2741,-1.11305,1.9307,-0.203135,-0.552197,1.92582,1.14358,0.632934,0.502206,0.104938,-0.613402,-1.31274,2.05148,-0.236105,0.168716,1.4205,-0.834371,-0.582336,3.06478,0.176066,1.25153,1.37169,-0.587163,-1.23604,-1.30365,-0.894778,3.22164,-0.907175,0.017394,-0.683127,-0.952353,-1.15094,-0.718671
F,-0.146853,1.55228,0.987127,0.465251,-0.608021,-0.906874,-0.431831,-0.934018,-0.335993,-0.682096,-0.505337,-0.708906,0.779772,0.107546,-0.459045,-0.620419,-0.525513,-1.38832,-0.496381,-0.291167,-0.804795,-0.902844,-0.114091,-0.497318,-0.321957,0.118936,2.32742,-0.245852,-1.2572,-0.730224,0.55054,-0.079502,-0.697631,0.70502,-0.375318,-0.516725,-0.062976,-0.081227,-0.219165,-0.431444,-0.774157,0.035406,-0.538567,-0.484019,-0.382855,-0.271975,-1.07079,-0.342527,-0.778401,-0.26208,-0.953828,-0.591766,0.369095,-0.36013,0.562529,0.019724,-0.147274,-0.012047,-0.160806,-0.123421,0.743025,0.536188,0.902733,-0.481535,-0.698552,-0.956274,-0.397978,-1.15152,-0.608369,-0.670059,-0.937352,-0.458701,-0.456117,-0.366835,-0.570599,-0.885289,-0.717249,-0.593752,-0.41124,0.282944,-1.14516,2.03575,1.16578,-0.896159,-0.821117,0.89052,-0.659444,1.83067,-0.115316,-0.128967,-0.940772,-0.691033,-0.623391,0.25642,-1.37263,0.788749,0.242223,0.493221,-0.654389,-0.515941
