normal,gene14,gene1917,gene377,gene765,gene841,gene1671,gene892,gene493,gene1047,gene822
1,-1.53192,0.53002,0.396329,0.349957,0.117787,-0.525082,-1.37324,1.03187,1.69032,0.095114
-1,0.404811,1.13252,1.68741,1.55094,-0.304669,-1.83078,1.32801,1.58552,0.508408,1.75134
1,-1.70035,0.967687,0.697607,-0.085503,-0.317325,1.04685,0.086015,0.695736,0.176377,0.184835
-1,-0.55931,1.56388,0.868489,1.03575,-1.38112,-0.961789,-0.772504,1.17647,0.072867,0.940464
1,0.486905,-0.422701,-1.19735,0.465046,0.101216,1.09874,0.230257,-0.63584,-0.679594,-0.210693
-1,1.93079,-0.349665,0.685269,2.0169,-0.405644,-0.70534,1.17087,1.01743,-2.27987,0.335435
1,-0.976049,0.479983,-0.204359,-0.543412,-0.692239,2.4,-0.665131,-0.794348,-0.161914,-1.16085
-1,1.15644,1.39596,1.20423,1.88703,-1.76412,-0.623567,-0.314277,1.05802,-1.42771,0.906032
1,-0.588374,-1.13047,-1.08521,0.006184,-2.15251,0.979544,-1.03129,-0.953479,1.5115,-0.506791
-1,1.38068,0.00593,0.73714,1.86499,0.944801,-1.52505,2.26875,1.10446,-1.13042,0.881497
1,-1.3067,-1.18073,0.043436,-0.58444,1.44681,-0.369044,0.665496,-0.698936,-0.918946,-1.69609
-1,1.02923,1.16443,0.424935,1.92245,-1.04612,-1.36135,1.61748,1.64426,-0.246093,1.25693
1,0.684712,0.039428,0.265867,0.640185,-0.840731,-0.122111,-0.4096,0.101192,-0.954375,0.006657
-1,1.01476,0.049608,1.04822,1.7931,-1.4068,-1.78412,0.75711,2.02629,-0.896482,1.07628
1,-0.178935,0.043344,-0.720749,0.478516,-0.58465,-0.517352,-1.61056,0.316226,-0.219566,-0.39052
-1,-0.101042,-0.129948,0.435586,0.379343,-1.58673,-0.78385,0.519834,0.750946,0.398588,-0.284693
1,-0.633022,0.383361,0.608344,-0.311375,-0.239024,0.587315,0.110594,0.189036,-1.27301,-1.79101
-1,1.02874,-0.167978,2.79307,0.505664,-1.60027,-0.416893,-0.887962,1.62459,-2.49923,-0.730527
1,0.255625,-0.74247,-0.86651,-0.518572,-2.11258,0.673107,-0.653228,0.03872,0.702935,-1.63708
-1,2.08865,-0.411039,1.24517,1.84852,0.401988,-0.968595,1.52875,1.48417,-2.22404,0.226412
1,-1.84593,-0.280699,0.206886,-0.654079,0.497809,0.188356,-0.234376,0.37907,1.02599,-1.71256
-1,-0.660579,0.453765,0.480019,1.27248,0.697164,-1.75036,0.682372,1.46716,-0.334073,0.906518
1,0.217414,-0.328554,-1.06196,-0.554355,0.811029,2.1186,1.72909,-0.943869,-0.793193,-1.12073
-1,1.83464,0.727258,2.32254,0.65299,0.770656,1.35008,1.11421,1.40241,-1.12493,-0.224861
1,0.262912,0.066443,-0.922103,-0.69135,-0.83707,-0.710774,-0.552452,-0.412118,-0.226297,-1.37047
1,-1.41239,-0.293392,-0.668042,-0.896282,0.732139,0.282961,0.271077,-1.24689,0.822421,0.303539
1,-1.1616,-1.02184,-0.708878,-0.066362,0.62531,0.486299,0.324994,-0.82305,0.617032,-0.038461
1,-0.399909,0.001639,-0.951402,-0.816295,-0.074831,0.417348,-0.602765,-0.884028,1.09067,-0.731605
1,-1.74159,0.215288,-0.788323,-0.783134,0.880796,-0.825631,-0.158845,-1.04328,0.907641,-0.825781
1,-1.20655,-0.790649,-0.407664,-0.369369,-0.214051,0.151039,0.084422,-1.18657,0.441343,-1.3793
