normal,gene14,gene1917,gene377,gene765,gene841,gene1671,gene892,gene493,gene1047,gene822,gene625,gene1416,gene1873,gene1597,gene1892,gene1400,gene67,gene1293,gene1388,gene1423,gene419,gene1758,gene513,gene581,gene1048,gene1534,gene1771,gene249,gene1772,gene1372,gene1494,gene1674,gene1153,gene852,gene1884,gene1115,gene1924,gene1381,gene1042,gene66,gene1672,gene1838,gene267,gene391,gene1635,gene1668,gene1570,gene1346,gene639,gene1451,gene1472,gene657,gene515,gene622,gene245,gene837,gene1334,gene1473,gene99,gene415,gene1168,gene834,gene75,gene187,gene772,gene1887,gene1634,gene1058,gene1599,gene1990,gene1946,gene758,gene1401,gene561,gene1679,gene1730,gene980,gene111,gene1060,gene1920,gene529,gene359,gene317,gene1231,gene119,gene1967,gene1256,gene941,gene1867,gene1511,gene1968,gene648,gene1331,gene1972,gene698,gene824,gene1184,gene1546,gene679,gene882
1,-1.53192,0.53002,0.396329,0.349957,0.117787,-0.525082,-1.37324,1.03187,1.69032,0.095114,0.332443,-1.53753,-0.369497,-0.208554,-0.378657,-0.942793,0.116946,0.700039,-0.560586,0.353318,-0.961885,0.039088,0.338184,0.149302,-1.97717,1.32067,-0.694222,-0.084774,0.234473,1.32168,-0.652913,-0.061928,1.07461,-0.014707,-0.979565,0.432495,0.620955,1.13987,-0.207158,0.01698,0.87534,1.1644,0.000689,0.738424,-0.782026,0.939657,-0.699901,-0.345308,0.286705,-0.24381,0.673796,-0.805889,-0.647495,0.617176,0.053861,-0.366743,-0.247243,1.81534,-1.70486,0.409291,0.478998,-0.321928,1.46226,-0.244483,-0.565748,0.105094,0.591347,-1.09246,-0.28362,1.09066,0.360917,0.551379,-0.07693,-3.04872,0.559915,-0.153933,0.864946,0.195088,-0.262327,0.051585,0.823814,-1.18033,-1.53419,-0.616197,0.330373,0.040511,0.808888,-1.42909,0.700442,-0.157059,0.492108,1.57702,0.074428,0.856032,-0.789765,0.261337,-0.477816,-0.243657,0.991121,-0.397061
-1,0.404811,1.13252,1.68741,1.55094,-0.304669,-1.83078,1.32801,1.58552,0.508408,1.75134,-0.044018,-0.204508,1.71962,-0.745925,1.1736,-1.43354,0.684171,0.204408,-1.15949,1.54289,0.132091,0.710564,-0.864754,-0.320751,-0.489413,-0.472861,-1.01578,1.0784,-1.29141,-0.595039,1.58848,1.14939,0.046023,0.215354,0.661753,-0.048505,-0.445452,0.553479,-0.927375,0.639241,1.07735,-0.152596,1.24354,-0.263439,1.07346,0.675957,-0.02377,-1.12936,0.37356,0.843614,-0.71802,-1.48493,-0.888237,-0.566642,1.22309,-0.431188,-0.675268,0.497104,0.763439,1.50406,-0.118437,-0.189188,0.273909,-1.27933,-0.775275,-0.858913,0.279767,-0.128283,-0.271342,0.470967,0.199938,0.85499,-0.051972,-1.12694,-0.354386,-1.45746,0.490374,1.53404,-1.40416,-1.71671,0.125908,-0.715819,-1.65256,-0.032051,-0.665037,1.49856,-1.04654,0.250505,-1.60278,-0.239966,0.243092,0.468483,1.16633,0.101899,-1.21896,0.405049,-1.12219,-0.625212,0.785612,-0.449232
1,-1.70035,0.967687,0.697607,-0.085503,-0.317325,1.04685,0.086015,0.695736,0.176377,0.184835,-0.278723,0.509618,-1.53914,-1.00352,-0.736563,-0.586686,-1.37279,-0.409541,-3.69987,0.749552,-0.218032,-0.41509,-2.52545,0.653475,-1.28127,1.06427,-0.520239,-1.06411,-1.1298,-0.951838,-0.247368,2.08388,-0.625048,1.10884,-0.07141,0.245188,0.03812,0.915119,-0.880517,-0.913681,0.099298,1.00487,-0.594958,-1.99412,-0.558988,1.9964,-0.905312,-0.613006,-0.639271,-1.92743,0.055553,2.82293,-0.321339,0.228817,-0.474886,-2.39892,-1.47967,0.742474,-1.44388,1.03293,-1.53472,-2.59535,0.367315,-1.17883,0.059353,-1.98869,-0.81348,-1.5117,-2.7507,-0.13348,-0.713891,1.28699,0.39633,-0.620347,-0.857677,-0.741531,1.43271,0.595206,-1.4108,-0.937671,1.0896,-1.63142,-0.016679,-0.525941,2.06027,0.915069,-1.31061,-2.60187,-1.98103,-0.898824,1.52835,-0.378901,1.35922,0.269728,-1.20098,-0.104522,-2.28264,0.21006,-1.2838,-2.23254
-1,-0.55931,1.56388,0.868489,1.03575,-1.38112,-0.961789,-0.772504,1.17647,0.072867,0.940464,-0.029961,-0.259375,3.20929,-0.226896,-0.400963,-1.16683,-0.818342,0.206564,-0.907193,1.40453,-0.085119,0.717587,-1.32753,0.334995,-2.14352,-0.012053,-1.75265,0.563893,-1.35392,-0.798595,-0.174523,1.94943,0.30439,1.22596,-0.531569,-0.028642,0.583746,1.0435,-1.60269,-1.26244,1.76371,-0.12811,0.394814,-0.647155,-0.231136,1.29154,-0.263244,-0.745445,-1.12128,-0.431397,-0.482723,1.63773,-0.427738,-0.332424,0.388727,-2.14932,-1.59173,0.633143,-0.935601,1.26225,-2.30458,-0.528087,0.645204,-1.37408,-0.250012,-0.718938,0.086751,0.854712,-1.98976,1.54958,0.325624,0.03982,-0.118999,-0.098443,0.643558,-1.07194,1.02693,1.06286,-1.31656,-0.01657,1.30849,-0.756585,0.015745,-0.224959,1.78669,1.14069,-3.45447,-1.67613,-1.67146,-0.54901,0.850161,0.417871,0.877519,0.560122,-1.10069,-0.976312,-0.790695,-1.04329,-0.605323,-2.45048
1,0.486905,-0.422701,-1.19735,0.465046,0.101216,1.09874,0.230257,-0.63584,-0.679594,-0.210693,-0.442686,0.859295,-1.44921,-0.25915,0.096454,-0.019951,0.259695,-0.769534,1.05278,-0.298782,0.858919,-1.50137,1.48213,-0.104955,-0.543413,-0.005755,1.05626,0.168165,1.29685,-2.81002,-0.066241,-0.148625,0.413872,0.282601,-0.045139,0.642919,0.26429,0.977141,1.45765,0.012152,-1.07907,1.25196,0.135833,0.074774,-0.423752,1.18501,-0.375952,0.805779,0.478905,-0.368065,-0.882707,0.961706,-0.410578,-0.047115,0.262511,0.559383,0.702272,0.199712,0.360763,-0.183461,0.260467,-0.895889,-0.475822,2.71405,0.450593,0.019797,-0.691,0.097545,-0.395533,-0.945694,-0.676969,-1.48573,0.573074,0.130823,-1.94542,0.341729,1.09381,0.285324,0.170895,-0.576958,-0.413008,0.556399,0.180453,-1.58396,0.927566,-0.443881,0.687996,-0.487528,-0.663756,-0.931567,-1.64516,-0.251714,-0.796555,-1.3266,0.148086,-0.091543,-0.613044,0.352238,-0.531172,0.25656
-1,1.93079,-0.349665,0.685269,2.0169,-0.405644,-0.70534,1.17087,1.01743,-2.27987,0.335435,-0.816522,1.37814,0.784057,0.460102,1.382,0.028395,0.446307,-1.74261,1.40426,0.830248,1.22298,-0.956651,-0.759415,-1.53802,-1.79702,0.524179,-0.662504,1.67156,0.462199,-1.38818,0.93623,0.091651,-2.99346,0.028891,1.04794,-0.462045,1.65094,0.993891,-0.548488,1.77681,-0.604908,0.26056,1.96086,-2.10086,0.984955,1.20607,1.39293,0.521931,-0.651215,1.07145,-1.02027,1.46543,0.373388,-0.19894,1.96491,1.24929,-0.575351,-0.466908,-0.17391,0.216917,-1.23609,-2.29152,-1.66907,-0.172866,0.095824,-1.0659,-2.16042,1.44799,-0.754836,-0.065983,-1.77229,-0.009459,0.869977,1.38573,-2.48127,-1.22157,1.29101,1.14872,-0.871677,-1.85091,-1.5353,0.016835,0.221812,2.46805,0.831449,0.411737,-0.669356,0.442473,-0.389016,-1.89414,0.151907,-1.77946,0.260105,-1.07108,-0.423649,1.52198,0.329907,-1.01797,-1.60984,-0.936904
1,-0.976049,0.479983,-0.204359,-0.543412,-0.692239,2.4,-0.665131,-0.794348,-0.161914,-1.16085,0.748909,-0.963078,-0.184692,-0.58874,-0.619891,-0.903596,-0.970359,-0.142769,0.058219,-0.402997,0.693757,0.261807,0.534473,-0.637474,0.152155,1.4066,0.024033,-0.946359,0.170894,0.70428,-1.54675,-0.453917,-0.744242,0.005807,-1.01048,1.19394,-2.17991,0.563663,-0.181919,-0.339011,0.333194,1.79358,-1.03347,0.643544,-1.01707,0.747802,-1.20301,0.065712,0.181151,0.368234,-0.349072,-0.472886,-0.403777,-0.637864,-0.885041,-1.32618,-0.291619,0.144962,-0.475102,-1.37817,-0.515561,0.275384,1.71127,-0.474134,-0.083466,-0.354126,0.118634,-0.236377,-1.46495,0.302315,0.53206,0.259559,-0.22475,-0.932672,0.770858,-0.474359,0.548956,-0.210795,-0.723846,-0.0749,1.59923,0.886778,-1.13726,-1.02632,-0.172924,-2.34245,-0.170817,-0.871666,-0.623746,0.585476,0.932961,-0.220968,-0.203186,0.086029,-0.580243,-1.45998,-0.690876,-0.316075,0.293963,-0.792025
-1,1.15644,1.39596,1.20423,1.88703,-1.76412,-0.623567,-0.314277,1.05802,-1.42771,0.906032,-1.5901,1.10892,-0.226522,0.869148,-1.31616,0.118521,0.890372,-2.01284,1.401,0.921093,0.464584,-0.354568,-0.897567,-1.83617,-2.12205,0.216448,-2.18015,1.9131,-0.604493,-0.965853,-0.01739,0.883036,-2.18458,-0.841535,0.164915,0.267354,1.61149,1.54623,-0.854182,0.249952,-0.220028,0.524759,1.69289,-0.744561,0.216604,0.846169,1.74145,-0.927831,-1.31814,1.1965,-2.11648,0.118757,-0.010998,1.47902,1.79079,0.237833,-1.09117,-0.748767,0.141878,0.514073,-1.72518,-1.79499,-0.791384,-0.712988,0.926905,-0.692403,-1.36515,2.26119,-0.733269,-0.257475,-1.1043,0.625548,0.266773,1.17506,-0.783226,-0.514109,1.42185,0.732065,-1.26058,-2.65267,-0.67,0.162224,-0.067268,-0.42603,-0.339229,0.554898,-1.74699,-1.89424,0.390606,-1.68008,0.694321,-1.59268,1.22928,-1.65941,-0.098642,1.08091,0.507097,-0.136549,-1.14925,-1.26415
1,-0.588374,-1.13047,-1.08521,0.006184,-2.15251,0.979544,-1.03129,-0.953479,1.5115,-0.506791,0.737611,-0.52983,-0.893906,-1.26659,-1.21942,0.752718,-1.5389,0.69997,-0.002748,-0.298926,-1.54262,1.24217,1.22099,1.52378,-1.59887,1.64366,1.96852,-0.754156,1.0272,-0.261883,-1.23846,0.184215,0.667483,0.96537,-1.04205,0.663459,0.750454,0.355042,2.41727,-1.13522,-0.005845,1.19745,-0.339901,0.64727,-1.61988,0.661823,0.459145,1.51229,-0.692957,-0.858483,0.220407,-0.682842,1.7073,-0.723593,-0.328117,0.601136,0.203385,1.20634,-2.3192,-0.76935,-0.94423,0.265638,0.570647,0.573486,-2.96517,-1.29045,1.84942,-0.276179,-2.80895,0.958013,0.2438,-1.10659,-4.90837,-0.979262,0.348656,-0.798628,0.392767,-0.466529,1.83516,0.516741,0.227413,1.75496,-0.145271,0.699473,-0.741178,-0.840167,-0.003531,-1.84553,1.05164,0.748379,-0.03801,2.14388,-0.147706,0.226533,1.53978,-0.358564,-0.535313,0.55127,0.042583,-0.449611
-1,1.38068,0.00593,0.73714,1.86499,0.944801,-1.52505,2.26875,1.10446,-1.13042,0.881497,-2.16295,0.581662,-0.117372,0.4267,1.46816,-0.960517,1.72534,-2.03385,0.86971,0.902517,1.80047,-0.80766,-1.36961,-1.0017,0.143258,-0.638278,-1.18195,1.67066,-0.719822,-1.01638,1.30253,-0.299918,-1.89596,-0.159962,1.66318,-0.659941,1.23269,0.50106,-0.497923,1.05099,-0.055981,-0.745262,1.715,-1.79619,0.89085,0.989219,1.03875,-0.097736,0.214451,0.49416,-2.2683,0.809126,-0.401013,0.8448,1.71781,0.57064,-0.443268,-0.428891,1.62955,0.821226,-0.339885,-0.880831,-1.69664,-0.837581,1.3486,-0.199832,-2.33238,0.777029,0.52135,-0.529292,-1.80219,-0.006929,1.23916,0.773512,-1.36596,-0.996422,0.248525,0.886727,-1.22513,-1.40665,-1.10737,-0.070359,-1.84241,0.322806,1.09513,0.062145,0.48916,0.639823,-0.848025,-2.10916,-0.92817,-1.02994,-0.799777,-2.45278,-0.11233,1.07903,-0.208042,-0.44262,-1.58793,-0.199566
