normal,gene14,gene1917,gene377,gene765,gene841,gene1671,gene892,gene493,gene1047,gene822,gene625,gene1416,gene1873,gene1597,gene1892,gene1400,gene67,gene1293,gene1388,gene1423
1,-1.53192,0.53002,0.396329,0.349957,0.117787,-0.525082,-1.37324,1.03187,1.69032,0.095114,0.332443,-1.53753,-0.369497,-0.208554,-0.378657,-0.942793,0.116946,0.700039,-0.560586,0.353318
-1,0.404811,1.13252,1.68741,1.55094,-0.304669,-1.83078,1.32801,1.58552,0.508408,1.75134,-0.044018,-0.204508,1.71962,-0.745925,1.1736,-1.43354,0.684171,0.204408,-1.15949,1.54289
1,-1.70035,0.967687,0.697607,-0.085503,-0.317325,1.04685,0.086015,0.695736,0.176377,0.184835,-0.278723,0.509618,-1.53914,-1.00352,-0.736563,-0.586686,-1.37279,-0.409541,-3.69987,0.749552
-1,-0.55931,1.56388,0.868489,1.03575,-1.38112,-0.961789,-0.772504,1.17647,0.072867,0.940464,-0.029961,-0.259375,3.20929,-0.226896,-0.400963,-1.16683,-0.818342,0.206564,-0.907193,1.40453
1,0.486905,-0.422701,-1.19735,0.465046,0.101216,1.09874,0.230257,-0.63584,-0.679594,-0.210693,-0.442686,0.859295,-1.44921,-0.25915,0.096454,-0.019951,0.259695,-0.769534,1.05278,-0.298782
-1,1.93079,-0.349665,0.685269,2.0169,-0.405644,-0.70534,1.17087,1.01743,-2.27987,0.335435,-0.816522,1.37814,0.784057,0.460102,1.382,0.028395,0.446307,-1.74261,1.40426,0.830248
1,-0.976049,0.479983,-0.204359,-0.543412,-0.692239,2.4,-0.665131,-0.794348,-0.161914,-1.16085,0.748909,-0.963078,-0.184692,-0.58874,-0.619891,-0.903596,-0.970359,-0.142769,0.058219,-0.402997
-1,1.15644,1.39596,1.20423,1.88703,-1.76412,-0.623567,-0.314277,1.05802,-1.42771,0.906032,-1.5901,1.10892,-0.226522,0.869148,-1.31616,0.118521,0.890372,-2.01284,1.401,0.921093
1,-0.588374,-1.13047,-1.08521,0.006184,-2.15251,0.979544,-1.03129,-0.953479,1.5115,-0.506791,0.737611,-0.52983,-0.893906,-1.26659,-1.21942,0.752718,-1.5389,0.69997,-0.002748,-0.298926
-1,1.38068,0.00593,0.73714,1.86499,0.944801,-1.52505,2.26875,1.10446,-1.13042,0.881497,-2.16295,0.581662,-0.117372,0.4267,1.46816,-0.960517,1.72534,-2.03385,0.86971,0.902517
1,-1.3067,-1.18073,0.043436,-0.58444,1.44681,-0.369044,0.665496,-0.698936,-0.918946,-1.69609,0.79234,-0.4213,0.637212,0.092227,0.370383,-0.476931,-2.15622,-1.51794,0.022514,-1.58238
-1,1.02923,1.16443,0.424935,1.92245,-1.04612,-1.36135,1.61748,1.64426,-0.246093,1.25693,0.682479,0.76906,1.63418,-0.498545,1.45326,-1.38985,-0.396763,-1.25106,-0.73691,1.60756
1,0.684712,0.039428,0.265867,0.640185,-0.840731,-0.122111,-0.4096,0.101192,-0.954375,0.006657,0.306087,-1.00087,-1.89634,-0.039219,0.105264,0.355437,0.045429,-0.471209,0.518608,0.152458
-1,1.01476,0.049608,1.04822,1.7931,-1.4068,-1.78412,0.75711,2.02629,-0.896482,1.07628,-1.15048,-0.511382,0.340146,0.466268,0.807683,-0.722755,1.04415,-0.84189,0.11835,1.67565
1,-0.178935,0.043344,-0.720749,0.478516,-0.58465,-0.517352,-1.61056,0.316226,-0.219566,-0.39052,-1.1886,-0.217717,-1.10579,0.818666,-0.235008,1.01698,-0.266028,-0.383185,0.775716,0.082363
-1,-0.101042,-0.129948,0.435586,0.379343,-1.58673,-0.78385,0.519834,0.750946,0.398588,-0.284693,-1.85838,-0.396195,-2.47448,0.64537,-1.13995,-1.72185,-0.546999,0.874881,1.24175,0.49751
1,-0.633022,0.383361,0.608344,-0.311375,-0.239024,0.587315,0.110594,0.189036,-1.27301,-1.79101,1.02459,-0.347229,-0.211401,0.036234,-0.065456,-0.03181,0.301681,-0.377808,0.161462,-0.665845
