normal,gene14,gene1917,gene377,gene765,gene841,gene1671,gene892,gene493,gene1047,gene822,gene625,gene1416,gene1873,gene1597,gene1892,gene1400,gene67,gene1293,gene1388,gene1423,gene419,gene1758,gene513,gene581,gene1048,gene1534,gene1771,gene249,gene1772,gene1372,gene1494,gene1674,gene1153,gene852,gene1884,gene1115,gene1924,gene1381,gene1042,gene66,gene1672,gene1838,gene267,gene391,gene1635,gene1668,gene1570,gene1346,gene639,gene1451,gene1472,gene657,gene515,gene622,gene245,gene837,gene1334,gene1473,gene99,gene415,gene1168,gene834,gene75,gene187,gene772,gene1887,gene1634,gene1058,gene1599,gene1990,gene1946,gene758,gene1401,gene561,gene1679,gene1730,gene980,gene111,gene1060,gene1920,gene529,gene359,gene317,gene1231,gene119,gene1967,gene1256,gene941,gene1867,gene1511,gene1968,gene648,gene1331,gene1972,gene698,gene824,gene1184,gene1546,gene679,gene882,gene411,gene1186,gene100,gene1582,gene405,gene866,gene1353,gene1993,gene555,gene779,gene1939,gene912,gene1640,gene1567,gene792,gene992,gene1501,gene937,gene1387,gene1514,gene1111,gene279,gene1959,gene571,gene732,gene1651,gene1982,gene734,gene897,gene1560,gene1325,gene1328,gene1247,gene49,gene360,gene1573,gene1900,gene1911,gene1808,gene1843,gene1366,gene970,gene994,gene495,gene1002,gene1537,gene358,gene1032,gene365,gene818,gene231,gene1010,gene663,gene624,gene1659,gene281,gene1394,gene662,gene136,gene766,gene1380,gene1550,gene1515,gene1535,gene143,gene806,gene1004,gene1849,gene564,gene503,gene1897,gene1386,gene859,gene652,gene778,gene1504,gene181,gene1976,gene1224,gene1209,gene1295,gene447,gene26,gene82,gene1998,gene190,gene395,gene137,gene188,gene739,gene17,gene1414,gene70,gene1282,gene1802,gene1213,gene481,gene399,gene920,gene958
1,-1.53192,0.53002,0.396329,0.349957,0.117787,-0.525082,-1.37324,1.03187,1.69032,0.095114,0.332443,-1.53753,-0.369497,-0.208554,-0.378657,-0.942793,0.116946,0.700039,-0.560586,0.353318,-0.961885,0.039088,0.338184,0.149302,-1.97717,1.32067,-0.694222,-0.084774,0.234473,1.32168,-0.652913,-0.061928,1.07461,-0.014707,-0.979565,0.432495,0.620955,1.13987,-0.207158,0.01698,0.87534,1.1644,0.000689,0.738424,-0.782026,0.939657,-0.699901,-0.345308,0.286705,-0.24381,0.673796,-0.805889,-0.647495,0.617176,0.053861,-0.366743,-0.247243,1.81534,-1.70486,0.409291,0.478998,-0.321928,1.46226,-0.244483,-0.565748,0.105094,0.591347,-1.09246,-0.28362,1.09066,0.360917,0.551379,-0.07693,-3.04872,0.559915,-0.153933,0.864946,0.195088,-0.262327,0.051585,0.823814,-1.18033,-1.53419,-0.616197,0.330373,0.040511,0.808888,-1.42909,0.700442,-0.157059,0.492108,1.57702,0.074428,0.856032,-0.789765,0.261337,-0.477816,-0.243657,0.991121,-0.397061,-0.083107,1.73078,0.264935,0.826214,-0.464192,-0.492318,0.255458,0.382957,0.170738,0.151945,-0.700976,-1.67576,0.576603,0.927177,-0.213302,0.254848,2.00632,0.766146,0.849493,0.169016,-0.424271,0.804711,0.692009,0.006291,1.24654,1.98187,0.973863,0.654866,-0.7566,-0.253579,0.647325,1.11088,-0.909369,0.150824,0.774111,0.929709,-0.645988,-0.174744,0.324087,-1.41003,0.284462,0.247125,0.18709,-1.09345,0.603452,1.76856,0.882357,-0.924512,0.70523,-0.364466,-0.326948,0.118457,-0.00086,-0.743964,-0.36888,1.89978,0.563152,-1.01677,-0.829435,-0.027315,0.023025,-1.18431,0.85446,0.907683,-0.052391,-0.547933,-1.01275,0.919066,1.14539,1.59073,-1.18659,0.831992,1.03889,-0.160803,1.22432,-0.922235,0.405522,-0.27828,1.02289,-1.63596,1.00471,1.53944,0.206106,-1.66269,-0.148522,-0.350859,0.344179,1.30251,0.14712,-0.003091,0.644631,1.91332,-0.361302,0.135984,-0.56101,0.773152,1.27385,-0.676987,-0.083783,-1.41176
-1,0.404811,1.13252,1.68741,1.55094,-0.304669,-1.83078,1.32801,1.58552,0.508408,1.75134,-0.044018,-0.204508,1.71962,-0.745925,1.1736,-1.43354,0.684171,0.204408,-1.15949,1.54289,0.132091,0.710564,-0.864754,-0.320751,-0.489413,-0.472861,-1.01578,1.0784,-1.29141,-0.595039,1.58848,1.14939,0.046023,0.215354,0.661753,-0.048505,-0.445452,0.553479,-0.927375,0.639241,1.07735,-0.152596,1.24354,-0.263439,1.07346,0.675957,-0.02377,-1.12936,0.37356,0.843614,-0.71802,-1.48493,-0.888237,-0.566642,1.22309,-0.431188,-0.675268,0.497104,0.763439,1.50406,-0.118437,-0.189188,0.273909,-1.27933,-0.775275,-0.858913,0.279767,-0.128283,-0.271342,0.470967,0.199938,0.85499,-0.051972,-1.12694,-0.354386,-1.45746,0.490374,1.53404,-1.40416,-1.71671,0.125908,-0.715819,-1.65256,-0.032051,-0.665037,1.49856,-1.04654,0.250505,-1.60278,-0.239966,0.243092,0.468483,1.16633,0.101899,-1.21896,0.405049,-1.12219,-0.625212,0.785612,-0.449232,-1.06075,0.683374,-0.447643,-0.616352,-2.12419,0.350065,-0.328731,-1.81537,1.32224,0.212044,-0.493079,-0.530677,0.19447,0.696587,2.20339,0.924034,1.41489,0.239136,1.46744,-0.717135,0.241204,0.555825,0.410797,-1.34296,0.640032,0.875995,0.818379,-0.185047,0.97298,-0.061358,0.470352,0.419754,1.11567,1.77726,-1.50358,-0.069072,-0.988686,-1.60264,-0.579837,1.11515,-0.820324,0.449087,-1.58125,-0.771483,0.560797,0.759387,0.598599,0.278017,-2.09389,0.871525,0.609809,0.604569,0.949462,-0.189559,-1.83375,0.248899,-0.990217,0.757628,-0.278902,0.026901,1.11883,-1.09611,-0.083477,-2.09932,-0.804864,0.903165,-0.129122,0.787585,0.786489,0.436202,0.754738,-0.684225,0.671071,-1.04402,0.431779,0.096949,1.4573,-0.766516,0.897401,-1.37302,0.24719,0.738014,-0.970803,-0.972176,1.09401,-0.358259,1.60828,0.964317,0.068761,1.76837,-1.23118,0.059041,1.72829,0.869497,-0.729229,0.081657,0.529896,-1.13259,1.19192,-1.38474
1,-1.70035,0.967687,0.697607,-0.085503,-0.317325,1.04685,0.086015,0.695736,0.176377,0.184835,-0.278723,0.509618,-1.53914,-1.00352,-0.736563,-0.586686,-1.37279,-0.409541,-3.69987,0.749552,-0.218032,-0.41509,-2.52545,0.653475,-1.28127,1.06427,-0.520239,-1.06411,-1.1298,-0.951838,-0.247368,2.08388,-0.625048,1.10884,-0.07141,0.245188,0.03812,0.915119,-0.880517,-0.913681,0.099298,1.00487,-0.594958,-1.99412,-0.558988,1.9964,-0.905312,-0.613006,-0.639271,-1.92743,0.055553,2.82293,-0.321339,0.228817,-0.474886,-2.39892,-1.47967,0.742474,-1.44388,1.03293,-1.53472,-2.59535,0.367315,-1.17883,0.059353,-1.98869,-0.81348,-1.5117,-2.7507,-0.13348,-0.713891,1.28699,0.39633,-0.620347,-0.857677,-0.741531,1.43271,0.595206,-1.4108,-0.937671,1.0896,-1.63142,-0.016679,-0.525941,2.06027,0.915069,-1.31061,-2.60187,-1.98103,-0.898824,1.52835,-0.378901,1.35922,0.269728,-1.20098,-0.104522,-2.28264,0.21006,-1.2838,-2.23254,-1.29284,-0.312532,-1.73798,1.04438,-0.700919,1.99586,0.660811,-2.039,-0.497912,0.680832,-1.71925,0.292693,1.56946,-1.13546,-0.798065,-1.01959,0.964316,1.14205,-0.936728,-0.011566,0.074055,0.231054,-0.682391,-0.717165,-0.147491,0.050008,2.026,0.524784,-0.114554,1.15194,-0.930519,0.984876,-0.35342,1.04816,-1.68902,0.819544,-0.58582,0.633602,-0.455509,-0.202171,1.20344,1.20345,-0.543793,-1.33435,-2.07705,-0.372601,0.901649,-1.18503,-0.86126,-0.442843,1.625,0.39296,-0.164638,-3.77658,-0.918661,0.07083,-0.405758,0.962391,-2.05747,-0.977672,-0.116507,-0.231111,-1.44359,-0.783288,1.89654,1.47842,-0.975124,-1.77018,1.53565,1.23882,-1.22744,-0.159514,-0.860676,-2.90591,1.55834,0.074842,-0.215389,0.77263,0.008382,-0.831061,1.46864,-1.01725,-1.29992,0.372586,-0.086285,-2.59585,0.436029,0.515681,1.18443,-0.815769,-2.12236,-1.11734,0.843135,0.117993,-1.17337,-2.12658,-0.037481,-1.1539,1.8941,-1.28499
-1,-0.55931,1.56388,0.868489,1.03575,-1.38112,-0.961789,-0.772504,1.17647,0.072867,0.940464,-0.029961,-0.259375,3.20929,-0.226896,-0.400963,-1.16683,-0.818342,0.206564,-0.907193,1.40453,-0.085119,0.717587,-1.32753,0.334995,-2.14352,-0.012053,-1.75265,0.563893,-1.35392,-0.798595,-0.174523,1.94943,0.30439,1.22596,-0.531569,-0.028642,0.583746,1.0435,-1.60269,-1.26244,1.76371,-0.12811,0.394814,-0.647155,-0.231136,1.29154,-0.263244,-0.745445,-1.12128,-0.431397,-0.482723,1.63773,-0.427738,-0.332424,0.388727,-2.14932,-1.59173,0.633143,-0.935601,1.26225,-2.30458,-0.528087,0.645204,-1.37408,-0.250012,-0.718938,0.086751,0.854712,-1.98976,1.54958,0.325624,0.03982,-0.118999,-0.098443,0.643558,-1.07194,1.02693,1.06286,-1.31656,-0.01657,1.30849,-0.756585,0.015745,-0.224959,1.78669,1.14069,-3.45447,-1.67613,-1.67146,-0.54901,0.850161,0.417871,0.877519,0.560122,-1.10069,-0.976312,-0.790695,-1.04329,-0.605323,-2.45048,-0.460608,0.384819,-1.47202,-0.880243,-1.1175,0.723665,-0.157012,-4.44058,-0.707735,0.716252,-0.976894,-0.966992,1.25289,-1.05041,1.73503,-0.203129,0.497379,0.124154,0.535278,0.872987,-0.401902,1.15382,-0.324593,-1.16308,0.439398,-0.176156,1.66736,-0.283472,1.15993,-0.163218,0.324394,1.17503,-0.544951,1.39601,-0.64477,0.050607,-0.82684,0.344129,-0.853037,-0.06268,-0.943025,1.54539,-0.691908,-1.50155,0.094358,-0.201323,1.74596,-1.48919,-1.14678,-0.253771,0.645439,1.85127,0.336054,-0.696614,-1.72482,0.400919,-0.320061,-0.133409,-1.09337,-0.487705,1.68488,-1.46219,0.26675,-0.220108,0.064675,0.307053,-0.311544,-0.037397,1.86563,-0.016136,-0.417979,-0.07148,0.046851,-1.17613,0.621264,-0.037289,0.804075,0.5414,-0.816307,-1.77883,-0.2749,-0.350931,-0.657361,-0.805627,-0.893938,-2.26128,1.28142,0.992413,0.917493,0.541775,-1.53459,-1.15807,1.8265,0.269327,-0.260261,-1.43679,-0.196377,-0.9109,1.75009,-1.59208
1,0.486905,-0.422701,-1.19735,0.465046,0.101216,1.09874,0.230257,-0.63584,-0.679594,-0.210693,-0.442686,0.859295,-1.44921,-0.25915,0.096454,-0.019951,0.259695,-0.769534,1.05278,-0.298782,0.858919,-1.50137,1.48213,-0.104955,-0.543413,-0.005755,1.05626,0.168165,1.29685,-2.81002,-0.066241,-0.148625,0.413872,0.282601,-0.045139,0.642919,0.26429,0.977141,1.45765,0.012152,-1.07907,1.25196,0.135833,0.074774,-0.423752,1.18501,-0.375952,0.805779,0.478905,-0.368065,-0.882707,0.961706,-0.410578,-0.047115,0.262511,0.559383,0.702272,0.199712,0.360763,-0.183461,0.260467,-0.895889,-0.475822,2.71405,0.450593,0.019797,-0.691,0.097545,-0.395533,-0.945694,-0.676969,-1.48573,0.573074,0.130823,-1.94542,0.341729,1.09381,0.285324,0.170895,-0.576958,-0.413008,0.556399,0.180453,-1.58396,0.927566,-0.443881,0.687996,-0.487528,-0.663756,-0.931567,-1.64516,-0.251714,-0.796555,-1.3266,0.148086,-0.091543,-0.613044,0.352238,-0.531172,0.25656,-0.076038,-0.211984,0.244731,0.355867,0.673079,0.394087,-1.76962,-0.083921,-0.167649,-0.472915,0.174443,-0.28414,0.201883,0.501701,-1.733,0.075031,-1.06992,0.683983,-0.642079,0.427963,-0.208006,-0.392147,0.155246,0.692157,-0.351125,-1.12078,-0.130431,-1.19482,-1.35887,-0.441923,0.239274,0.988397,0.475374,0.854811,0.746676,-1.94241,0.133958,-2.50867,1.07235,-0.061154,-0.223938,-0.124402,0.351548,0.393006,1.25847,-0.76594,-0.405414,0.524665,0.318419,-0.717761,0.307505,0.699346,-1.77599,0.264052,0.450275,2.93216,-0.730999,-0.005828,-0.213359,-1.78997,1.84118,1.21371,-1.73782,1.02424,-0.538091,-0.633712,-0.394748,0.272527,-0.58915,0.375564,0.099831,-1.08367,-1.64131,1.00142,0.047996,-0.325319,-0.203509,-0.673978,-0.956887,0.120791,0.506502,-1.08365,0.716794,1.68243,-0.283786,1.69733,-0.69405,-0.352207,-0.882696,-0.75444,-0.657175,0.448843,0.06279,-0.005278,0.024797,-0.461122,-1.65994,1.03495,1.54902,0.470613
-1,1.93079,-0.349665,0.685269,2.0169,-0.405644,-0.70534,1.17087,1.01743,-2.27987,0.335435,-0.816522,1.37814,0.784057,0.460102,1.382,0.028395,0.446307,-1.74261,1.40426,0.830248,1.22298,-0.956651,-0.759415,-1.53802,-1.79702,0.524179,-0.662504,1.67156,0.462199,-1.38818,0.93623,0.091651,-2.99346,0.028891,1.04794,-0.462045,1.65094,0.993891,-0.548488,1.77681,-0.604908,0.26056,1.96086,-2.10086,0.984955,1.20607,1.39293,0.521931,-0.651215,1.07145,-1.02027,1.46543,0.373388,-0.19894,1.96491,1.24929,-0.575351,-0.466908,-0.17391,0.216917,-1.23609,-2.29152,-1.66907,-0.172866,0.095824,-1.0659,-2.16042,1.44799,-0.754836,-0.065983,-1.77229,-0.009459,0.869977,1.38573,-2.48127,-1.22157,1.29101,1.14872,-0.871677,-1.85091,-1.5353,0.016835,0.221812,2.46805,0.831449,0.411737,-0.669356,0.442473,-0.389016,-1.89414,0.151907,-1.77946,0.260105,-1.07108,-0.423649,1.52198,0.329907,-1.01797,-1.60984,-0.936904,2.19862,-0.232254,-1.52119,0.795269,1.80823,1.08803,-1.36703,0.302785,0.005386,-1.10372,0.206814,1.40056,0.866142,-0.234405,0.113185,-1.80351,1.19298,0.929061,0.593923,1.63743,1.82085,-0.856355,-2.14889,0.051181,0.826835,-1.0525,0.350809,-1.77968,0.832953,1.0564,-0.21729,1.05232,0.881852,0.857844,0.677644,-0.075595,-3.13488,-2.10847,-0.004689,0.777884,-0.749957,-1.16189,-0.902641,-1.11521,-1.38251,-1.7546,-1.90416,-0.971544,0.244371,-1.41064,0.169833,0.529071,-0.105416,1.17434,-0.079347,-1.07469,0.845652,0.62261,0.1295,-0.015012,-0.955168,-1.16008,-1.51064,1.7398,0.899993,0.259387,0.297525,0.673544,0.219211,-0.478997,1.60959,0.848599,-1.85069,0.57285,0.893828,1.49543,0.357609,-0.50442,0.36178,-0.705414,1.65128,-2.46093,-0.292552,1.25833,-0.455263,-1.39267,-0.271033,0.934076,-1.76024,0.953941,0.294138,-0.313775,0.043284,0.867436,0.17042,-1.88616,-0.499603,-0.60064,-0.393513,0.472524
1,-0.976049,0.479983,-0.204359,-0.543412,-0.692239,2.4,-0.665131,-0.794348,-0.161914,-1.16085,0.748909,-0.963078,-0.184692,-0.58874,-0.619891,-0.903596,-0.970359,-0.142769,0.058219,-0.402997,0.693757,0.261807,0.534473,-0.637474,0.152155,1.4066,0.024033,-0.946359,0.170894,0.70428,-1.54675,-0.453917,-0.744242,0.005807,-1.01048,1.19394,-2.17991,0.563663,-0.181919,-0.339011,0.333194,1.79358,-1.03347,0.643544,-1.01707,0.747802,-1.20301,0.065712,0.181151,0.368234,-0.349072,-0.472886,-0.403777,-0.637864,-0.885041,-1.32618,-0.291619,0.144962,-0.475102,-1.37817,-0.515561,0.275384,1.71127,-0.474134,-0.083466,-0.354126,0.118634,-0.236377,-1.46495,0.302315,0.53206,0.259559,-0.22475,-0.932672,0.770858,-0.474359,0.548956,-0.210795,-0.723846,-0.0749,1.59923,0.886778,-1.13726,-1.02632,-0.172924,-2.34245,-0.170817,-0.871666,-0.623746,0.585476,0.932961,-0.220968,-0.203186,0.086029,-0.580243,-1.45998,-0.690876,-0.316075,0.293963,-0.792025,-0.929549,1.46385,0.71119,0.419353,-0.165462,0.312845,1.23659,-1.4559,-1.19596,0.530731,-0.619312,-0.695991,1.34543,0.368493,-0.9252,-0.199972,1.21147,0.820347,-0.369533,-0.958742,-1.40953,0.260285,-0.226564,0.200934,0.086878,-0.060602,0.734183,1.8319,-0.58087,0.326435,1.29351,0.664298,-1.0888,0.424775,-1.05936,1.48888,0.693294,-0.319153,0.681166,-1.19592,1.53235,0.827856,-0.400286,0.175406,0.111394,0.281245,0.981251,-0.157996,0.046925,0.241186,0.457916,0.839071,1.21589,-0.345411,-0.391638,0.442926,-1.62868,-1.47373,0.392649,0.589377,-1.05033,-0.579475,-0.960215,-0.63663,-0.491007,-0.926663,-1.03374,1.2921,2.155,1.64157,-1.14254,-0.374622,0.278788,-0.253267,2.1187,-0.807068,-0.698297,0.864559,1.28702,-0.904617,0.881345,0.604295,0.38318,-0.841217,-0.808293,-0.114265,-1.91122,0.487948,0.783104,-0.681181,-1.0641,0.624761,0.322851,-0.037323,-1.43477,-0.643497,0.257629,0.299623,0.060186,0.089221
-1,1.15644,1.39596,1.20423,1.88703,-1.76412,-0.623567,-0.314277,1.05802,-1.42771,0.906032,-1.5901,1.10892,-0.226522,0.869148,-1.31616,0.118521,0.890372,-2.01284,1.401,0.921093,0.464584,-0.354568,-0.897567,-1.83617,-2.12205,0.216448,-2.18015,1.9131,-0.604493,-0.965853,-0.01739,0.883036,-2.18458,-0.841535,0.164915,0.267354,1.61149,1.54623,-0.854182,0.249952,-0.220028,0.524759,1.69289,-0.744561,0.216604,0.846169,1.74145,-0.927831,-1.31814,1.1965,-2.11648,0.118757,-0.010998,1.47902,1.79079,0.237833,-1.09117,-0.748767,0.141878,0.514073,-1.72518,-1.79499,-0.791384,-0.712988,0.926905,-0.692403,-1.36515,2.26119,-0.733269,-0.257475,-1.1043,0.625548,0.266773,1.17506,-0.783226,-0.514109,1.42185,0.732065,-1.26058,-2.65267,-0.67,0.162224,-0.067268,-0.42603,-0.339229,0.554898,-1.74699,-1.89424,0.390606,-1.68008,0.694321,-1.59268,1.22928,-1.65941,-0.098642,1.08091,0.507097,-0.136549,-1.14925,-1.26415,-0.6283,0.366887,-2.44875,-0.361613,-0.543585,0.026327,-0.249265,-0.094577,-1.01115,-1.16975,0.943851,-0.002561,0.842529,-0.187838,-0.126955,-2.36148,1.06357,0.674679,0.821171,0.483835,0.244202,-1.39194,-1.84592,-0.581948,0.033439,-0.585746,1.03108,0.219526,0.504347,-0.358157,-1.49219,1.66737,0.650727,0.135323,-0.377281,0.307381,-0.937575,-1.22143,0.251135,0.060273,-0.058985,2.31334,-0.560889,-1.61244,-2.96749,-1.43311,-1.21453,-2.14203,-0.286118,-1.13101,-0.779528,1.34424,0.87388,0.625243,-1.11884,-1.83925,1.18172,-0.590058,-0.890805,1.56147,-1.24822,-1.59643,-2.20761,-0.003734,2.42809,0.43739,-0.242807,0.000894,1.21639,-0.496865,-0.9521,0.915547,-1.39394,-1.17712,0.821053,0.283586,-2.30909,-0.30466,-0.43614,-0.11648,1.3043,-0.617198,-1.26798,0.655366,-1.73083,-1.56647,-0.75325,1.062,-0.839501,0.833676,-0.225725,-0.375009,0.170438,0.504393,0.410237,-1.68329,1.11174,-0.477135,-0.047351,0.176753
1,-0.588374,-1.13047,-1.08521,0.006184,-2.15251,0.979544,-1.03129,-0.953479,1.5115,-0.506791,0.737611,-0.52983,-0.893906,-1.26659,-1.21942,0.752718,-1.5389,0.69997,-0.002748,-0.298926,-1.54262,1.24217,1.22099,1.52378,-1.59887,1.64366,1.96852,-0.754156,1.0272,-0.261883,-1.23846,0.184215,0.667483,0.96537,-1.04205,0.663459,0.750454,0.355042,2.41727,-1.13522,-0.005845,1.19745,-0.339901,0.64727,-1.61988,0.661823,0.459145,1.51229,-0.692957,-0.858483,0.220407,-0.682842,1.7073,-0.723593,-0.328117,0.601136,0.203385,1.20634,-2.3192,-0.76935,-0.94423,0.265638,0.570647,0.573486,-2.96517,-1.29045,1.84942,-0.276179,-2.80895,0.958013,0.2438,-1.10659,-4.90837,-0.979262,0.348656,-0.798628,0.392767,-0.466529,1.83516,0.516741,0.227413,1.75496,-0.145271,0.699473,-0.741178,-0.840167,-0.003531,-1.84553,1.05164,0.748379,-0.03801,2.14388,-0.147706,0.226533,1.53978,-0.358564,-0.535313,0.55127,0.042583,-0.449611,-0.966676,1.49557,-1.32122,1.00419,0.663298,-1.03007,1.2233,0.065197,-0.50231,2.09836,-2.69058,0.571631,1.93038,0.188318,0.978377,1.65167,0.197058,0.307034,-2.28773,-0.360555,0.087629,0.488315,1.58141,0.817445,0.89415,-0.632356,0.94817,-0.976826,-1.45536,-2.0617,0.885013,0.528778,-1.85956,1.31197,1.71626,1.73738,-1.10588,-0.997484,0.582824,-2.12833,0.839591,0.480728,0.00372,-0.176035,1.78825,1.44719,1.50241,-2.74605,1.00001,-0.256114,-1.913,-0.619094,1.18185,0.785531,0.41139,0.529996,-0.579811,-1.01541,-0.62406,0.438608,-0.113889,-0.694538,1.5541,1.45011,-0.941886,-1.57126,-2.20968,0.797419,-0.371727,0.281504,-0.544753,-3.2942,-0.43593,1.45502,1.58704,-0.519663,0.535457,-0.32345,0.477362,1.0111,0.982356,0.305696,0.01943,1.15686,0.644346,-0.493943,-0.419689,-0.935229,1.44604,-1.38513,0.44855,0.689448,1.19767,-1.50752,1.19343,-1.42003,-0.916538,2.15884,-0.268128,0.254138
-1,1.38068,0.00593,0.73714,1.86499,0.944801,-1.52505,2.26875,1.10446,-1.13042,0.881497,-2.16295,0.581662,-0.117372,0.4267,1.46816,-0.960517,1.72534,-2.03385,0.86971,0.902517,1.80047,-0.80766,-1.36961,-1.0017,0.143258,-0.638278,-1.18195,1.67066,-0.719822,-1.01638,1.30253,-0.299918,-1.89596,-0.159962,1.66318,-0.659941,1.23269,0.50106,-0.497923,1.05099,-0.055981,-0.745262,1.715,-1.79619,0.89085,0.989219,1.03875,-0.097736,0.214451,0.49416,-2.2683,0.809126,-0.401013,0.8448,1.71781,0.57064,-0.443268,-0.428891,1.62955,0.821226,-0.339885,-0.880831,-1.69664,-0.837581,1.3486,-0.199832,-2.33238,0.777029,0.52135,-0.529292,-1.80219,-0.006929,1.23916,0.773512,-1.36596,-0.996422,0.248525,0.886727,-1.22513,-1.40665,-1.10737,-0.070359,-1.84241,0.322806,1.09513,0.062145,0.48916,0.639823,-0.848025,-2.10916,-0.92817,-1.02994,-0.799777,-2.45278,-0.11233,1.07903,-0.208042,-0.44262,-1.58793,-0.199566,1.51251,-0.527016,-0.017322,-1.04964,1.35995,0.529842,-0.540482,-0.361595,-0.350037,-0.720386,1.621,1.1973,-0.32751,0.436579,-0.631801,-1.66894,0.325639,1.62029,1.23348,0.793199,-0.102478,-1.56822,-1.29951,-0.941371,0.369546,-1.888,0.639984,-1.7316,-0.042601,1.03749,0.344333,0.505341,1.51955,0.398339,-1.16539,-0.793176,0.11758,-1.22165,-0.515844,1.54049,-1.0779,-1.17844,-1.0527,0.365641,-1.28395,-1.47411,-1.43756,0.75958,-0.881237,-1.2351,0.323188,0.890543,0.904336,0.3878,-0.945121,-1.69667,0.40449,1.77649,-0.618222,-0.352419,0.25288,-0.319297,-2.07486,0.530007,-0.337955,0.34443,1.9843,0.532442,0.756049,0.203512,1.00732,-0.278294,-2.00396,-0.362075,0.458958,-0.207075,0.109995,-0.442948,-1.96554,-0.589605,1.07424,-0.857183,-2.07869,1.36102,-0.886065,-0.078251,0.534427,0.566094,-1.79126,0.619186,-1.40775,-1.20253,-0.13684,1.63004,-0.656272,-0.224131,0.066125,-1.01563,-0.856932,0.128726
