normal,gene14,gene1917,gene377,gene765,gene841,gene1671,gene892,gene493,gene1047,gene822,gene625,gene1416,gene1873,gene1597,gene1892,gene1400,gene67,gene1293,gene1388,gene1423,gene419,gene1758,gene513,gene581,gene1048,gene1534,gene1771,gene249,gene1772,gene1372,gene1494,gene1674,gene1153,gene852,gene1884,gene1115,gene1924,gene1381,gene1042,gene66,gene1672,gene1838,gene267,gene391,gene1635,gene1668,gene1570,gene1346,gene639,gene1451
1,-1.53192,0.53002,0.396329,0.349957,0.117787,-0.525082,-1.37324,1.03187,1.69032,0.095114,0.332443,-1.53753,-0.369497,-0.208554,-0.378657,-0.942793,0.116946,0.700039,-0.560586,0.353318,-0.961885,0.039088,0.338184,0.149302,-1.97717,1.32067,-0.694222,-0.084774,0.234473,1.32168,-0.652913,-0.061928,1.07461,-0.014707,-0.979565,0.432495,0.620955,1.13987,-0.207158,0.01698,0.87534,1.1644,0.000689,0.738424,-0.782026,0.939657,-0.699901,-0.345308,0.286705,-0.24381
-1,0.404811,1.13252,1.68741,1.55094,-0.304669,-1.83078,1.32801,1.58552,0.508408,1.75134,-0.044018,-0.204508,1.71962,-0.745925,1.1736,-1.43354,0.684171,0.204408,-1.15949,1.54289,0.132091,0.710564,-0.864754,-0.320751,-0.489413,-0.472861,-1.01578,1.0784,-1.29141,-0.595039,1.58848,1.14939,0.046023,0.215354,0.661753,-0.048505,-0.445452,0.553479,-0.927375,0.639241,1.07735,-0.152596,1.24354,-0.263439,1.07346,0.675957,-0.02377,-1.12936,0.37356,0.843614
1,-1.70035,0.967687,0.697607,-0.085503,-0.317325,1.04685,0.086015,0.695736,0.176377,0.184835,-0.278723,0.509618,-1.53914,-1.00352,-0.736563,-0.586686,-1.37279,-0.409541,-3.69987,0.749552,-0.218032,-0.41509,-2.52545,0.653475,-1.28127,1.06427,-0.520239,-1.06411,-1.1298,-0.951838,-0.247368,2.08388,-0.625048,1.10884,-0.07141,0.245188,0.03812,0.915119,-0.880517,-0.913681,0.099298,1.00487,-0.594958,-1.99412,-0.558988,1.9964,-0.905312,-0.613006,-0.639271,-1.92743
-1,-0.55931,1.56388,0.868489,1.03575,-1.38112,-0.961789,-0.772504,1.17647,0.072867,0.940464,-0.029961,-0.259375,3.20929,-0.226896,-0.400963,-1.16683,-0.818342,0.206564,-0.907193,1.40453,-0.085119,0.717587,-1.32753,0.334995,-2.14352,-0.012053,-1.75265,0.563893,-1.35392,-0.798595,-0.174523,1.94943,0.30439,1.22596,-0.531569,-0.028642,0.583746,1.0435,-1.60269,-1.26244,1.76371,-0.12811,0.394814,-0.647155,-0.231136,1.29154,-0.263244,-0.745445,-1.12128,-0.431397
1,0.486905,-0.422701,-1.19735,0.465046,0.101216,1.09874,0.230257,-0.63584,-0.679594,-0.210693,-0.442686,0.859295,-1.44921,-0.25915,0.096454,-0.019951,0.259695,-0.769534,1.05278,-0.298782,0.858919,-1.50137,1.48213,-0.104955,-0.543413,-0.005755,1.05626,0.168165,1.29685,-2.81002,-0.066241,-0.148625,0.413872,0.282601,-0.045139,0.642919,0.26429,0.977141,1.45765,0.012152,-1.07907,1.25196,0.135833,0.074774,-0.423752,1.18501,-0.375952,0.805779,0.478905,-0.368065
-1,1.93079,-0.349665,0.685269,2.0169,-0.405644,-0.70534,1.17087,1.01743,-2.27987,0.335435,-0.816522,1.37814,0.784057,0.460102,1.382,0.028395,0.446307,-1.74261,1.40426,0.830248,1.22298,-0.956651,-0.759415,-1.53802,-1.79702,0.524179,-0.662504,1.67156,0.462199,-1.38818,0.93623,0.091651,-2.99346,0.028891,1.04794,-0.462045,1.65094,0.993891,-0.548488,1.77681,-0.604908,0.26056,1.96086,-2.10086,0.984955,1.20607,1.39293,0.521931,-0.651215,1.07145
1,-0.976049,0.479983,-0.204359,-0.543412,-0.692239,2.4,-0.665131,-0.794348,-0.161914,-1.16085,0.748909,-0.963078,-0.184692,-0.58874,-0.619891,-0.903596,-0.970359,-0.142769,0.058219,-0.402997,0.693757,0.261807,0.534473,-0.637474,0.152155,1.4066,0.024033,-0.946359,0.170894,0.70428,-1.54675,-0.453917,-0.744242,0.005807,-1.01048,1.19394,-2.17991,0.563663,-0.181919,-0.339011,0.333194,1.79358,-1.03347,0.643544,-1.01707,0.747802,-1.20301,0.065712,0.181151,0.368234
-1,1.15644,1.39596,1.20423,1.88703,-1.76412,-0.623567,-0.314277,1.05802,-1.42771,0.906032,-1.5901,1.10892,-0.226522,0.869148,-1.31616,0.118521,0.890372,-2.01284,1.401,0.921093,0.464584,-0.354568,-0.897567,-1.83617,-2.12205,0.216448,-2.18015,1.9131,-0.604493,-0.965853,-0.01739,0.883036,-2.18458,-0.841535,0.164915,0.267354,1.61149,1.54623,-0.854182,0.249952,-0.220028,0.524759,1.69289,-0.744561,0.216604,0.846169,1.74145,-0.927831,-1.31814,1.1965
1,-0.588374,-1.13047,-1.08521,0.006184,-2.15251,0.979544,-1.03129,-0.953479,1.5115,-0.506791,0.737611,-0.52983,-0.893906,-1.26659,-1.21942,0.752718,-1.5389,0.69997,-0.002748,-0.298926,-1.54262,1.24217,1.22099,1.52378,-1.59887,1.64366,1.96852,-0.754156,1.0272,-0.261883,-1.23846,0.184215,0.667483,0.96537,-1.04205,0.663459,0.750454,0.355042,2.41727,-1.13522,-0.005845,1.19745,-0.339901,0.64727,-1.61988,0.661823,0.459145,1.51229,-0.692957,-0.858483
-1,1.38068,0.00593,0.73714,1.86499,0.944801,-1.52505,2.26875,1.10446,-1.13042,0.881497,-2.16295,0.581662,-0.117372,0.4267,1.46816,-0.960517,1.72534,-2.03385,0.86971,0.902517,1.80047,-0.80766,-1.36961,-1.0017,0.143258,-0.638278,-1.18195,1.67066,-0.719822,-1.01638,1.30253,-0.299918,-1.89596,-0.159962,1.66318,-0.659941,1.23269,0.50106,-0.497923,1.05099,-0.055981,-0.745262,1.715,-1.79619,0.89085,0.989219,1.03875,-0.097736,0.214451,0.49416
