normal,gene1635,gene1014,gene377,gene453,gene979,gene1843,gene493,gene1256,gene1042,gene1370,gene1196,gene639,gene391,gene1772,gene1004,gene739,gene625,gene1473,gene765,gene1546,gene1668,gene1892,gene972,gene1884,gene419,gene1582,gene698,gene249,gene1799,gene286
1,-1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,0.0
-1,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,1.0
1,-1.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0
-1,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
1,0.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0
1,-1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0
-1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
1,-1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0
-1,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0
